# _root_ Still , the market had n't yet crossed into positive territory , and traders were glum .
#goldHeads=0,1,4,5,1,5,5,5,8,11,9,5,5,15,13,15,1,
#predictedHeads=5,5,4,5,0,5,5,5,8,11,9,5,5,15,13,15,5,
(6,16),-1.92506 # DEPENDENCYPART_ARC
(6,17),-1.18309 # DEPENDENCYPART_ARC
(7,5),-1.87356 # DEPENDENCYPART_ARC
(7,6),-0.878335 # DEPENDENCYPART_ARC
(7,8),-0.436242 # DEPENDENCYPART_ARC
(7,9),-1.13893 # DEPENDENCYPART_ARC
(7,10),-1.46662 # DEPENDENCYPART_ARC
(7,11),-1.66688 # DEPENDENCYPART_ARC
(7,13),-1.68046 # DEPENDENCYPART_ARC
(7,15),-1.98373 # DEPENDENCYPART_ARC
(8,1),-1.72273 # DEPENDENCYPART_ARC
(8,2),-1.90414 # DEPENDENCYPART_ARC
(8,4),-1.37903 # DEPENDENCYPART_ARC
(8,5),-1.4028 # DEPENDENCYPART_ARC
(8,6),-0.945478 # DEPENDENCYPART_ARC
(8,7),0.140167 # DEPENDENCYPART_ARC
(8,9),0.688179 # DEPENDENCYPART_ARC
(8,10),-0.899617 # DEPENDENCYPART_ARC
(8,11),-0.639044 # DEPENDENCYPART_ARC
(8,12),-1.13035 # DEPENDENCYPART_ARC
(8,13),-1.53582 # DEPENDENCYPART_ARC
(8,14),-1.49859 # DEPENDENCYPART_ARC
(8,15),-1.59285 # DEPENDENCYPART_ARC
(8,16),-1.81904 # DEPENDENCYPART_ARC
(8,17),-1.48411 # DEPENDENCYPART_ARC
(9,1),-1.86001 # DEPENDENCYPART_ARC
(9,6),-1.41925 # DEPENDENCYPART_ARC
(9,7),-1.43188 # DEPENDENCYPART_ARC
(9,8),-0.513847 # DEPENDENCYPART_ARC
(9,10),-0.346581 # DEPENDENCYPART_ARC
(9,11),0.319825 # DEPENDENCYPART_ARC
(9,12),-1.26697 # DEPENDENCYPART_ARC
(9,13),-1.49094 # DEPENDENCYPART_ARC
(9,14),-0.920781 # DEPENDENCYPART_ARC
(9,15),-1.3355 # DEPENDENCYPART_ARC
(9,16),-2.1396 # DEPENDENCYPART_ARC
(9,17),-1.57397 # DEPENDENCYPART_ARC
(10,6),-1.96894 # DEPENDENCYPART_ARC
(10,7),-1.73286 # DEPENDENCYPART_ARC
(10,9),-0.492733 # DEPENDENCYPART_ARC
(10,12),-1.42054 # DEPENDENCYPART_ARC
(10,13),-1.65663 # DEPENDENCYPART_ARC
(11,1),-2.05574 # DEPENDENCYPART_ARC
(11,2),-2.24807 # DEPENDENCYPART_ARC
(11,3),-1.96034 # DEPENDENCYPART_ARC
(11,4),-1.61895 # DEPENDENCYPART_ARC
(11,5),-1.65745 # DEPENDENCYPART_ARC
(11,6),-1.27065 # DEPENDENCYPART_ARC
(11,7),-1.0829 # DEPENDENCYPART_ARC
(11,8),-1.04402 # DEPENDENCYPART_ARC
(11,9),-0.802283 # DEPENDENCYPART_ARC
(11,10),1.30353 # DEPENDENCYPART_ARC
(11,12),-0.0477704 # DEPENDENCYPART_ARC
(11,13),-1.37343 # DEPENDENCYPART_ARC
(11,14),-1.15404 # DEPENDENCYPART_ARC
(11,15),-1.34981 # DEPENDENCYPART_ARC
(11,16),-1.83161 # DEPENDENCYPART_ARC
(11,17),-1.56594 # DEPENDENCYPART_ARC
(13,14),0.382867 # DEPENDENCYPART_ARC
(13,15),-0.210134 # DEPENDENCYPART_ARC
(13,16),-1.40452 # DEPENDENCYPART_ARC
(14,8),-2.00047 # DEPENDENCYPART_ARC
(14,10),-1.24459 # DEPENDENCYPART_ARC
(14,11),-1.54486 # DEPENDENCYPART_ARC
(14,12),-1.51387 # DEPENDENCYPART_ARC
(14,13),-0.140704 # DEPENDENCYPART_ARC
(14,15),-0.408004 # DEPENDENCYPART_ARC
(14,16),-1.46683 # DEPENDENCYPART_ARC
(15,1),-1.33986 # DEPENDENCYPART_ARC
(15,2),-1.95868 # DEPENDENCYPART_ARC
(15,4),-1.52353 # DEPENDENCYPART_ARC
(15,5),-1.80985 # DEPENDENCYPART_ARC
(15,6),-1.45646 # DEPENDENCYPART_ARC
(15,7),-1.36129 # DEPENDENCYPART_ARC
(15,8),-1.4869 # DEPENDENCYPART_ARC
(15,9),-0.843815 # DEPENDENCYPART_ARC
(15,10),-1.41401 # DEPENDENCYPART_ARC
(15,11),-1.1392 # DEPENDENCYPART_ARC
(15,12),-0.924621 # DEPENDENCYPART_ARC
(15,13),-1.00953 # DEPENDENCYPART_ARC
(15,14),0.797579 # DEPENDENCYPART_ARC
(15,16),0.848679 # DEPENDENCYPART_ARC
(15,17),0.0798303 # DEPENDENCYPART_ARC
(16,5),-1.96493 # DEPENDENCYPART_ARC
(16,7),-2.07723 # DEPENDENCYPART_ARC
(16,11),-1.55022 # DEPENDENCYPART_ARC
(16,12),-1.69494 # DEPENDENCYPART_ARC
(16,14),-1.24676 # DEPENDENCYPART_ARC
(16,15),-0.183841 # DEPENDENCYPART_ARC
(16,17),-0.336611 # DEPENDENCYPART_ARC
(17,16),-0.859909 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0271119 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.10458 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0288137 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.117933 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.130028 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0375912 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.118506 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0961095 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.237384 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.10287 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0215406 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0774166 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.050212 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0384609 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0778694 # DEPENDENCYPART_SIBL
(1,2),(1,9),9.66157e-05 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.125579 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.150305 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.041528 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0512406 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0643261 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00926871 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0348485 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0329702 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0531829 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0114087 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.00327793 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0281479 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0260455 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0712722 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.125775 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0189247 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0273866 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0439453 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0651092 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0606523 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0263018 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0183359 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0184362 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0241821 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.00257079 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0597074 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0431548 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0913 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.031553 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.0170745 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0062611 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0741181 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0105129 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0330672 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0914207 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0731736 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0071644 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00477151 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00200519 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0195869 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00470226 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0583589 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.019253 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0294585 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0197138 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00842367 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.113738 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00921446 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.216198 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.132248 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.116231 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0528737 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.160989 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.02681 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0098799 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0128071 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0231347 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0179013 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0329177 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.052314 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0217162 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0274328 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00452575 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00564319 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.024845 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0229676 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0010994 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0331711 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00648681 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.036075 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00896226 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0166392 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0545553 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0100935 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0272487 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.034077 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0324734 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0343289 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.077218 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0966605 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0016106 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0374789 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.048367 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0757581 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0294515 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0167779 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0991137 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0711515 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0260579 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00421534 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0132372 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0698531 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00566389 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0937452 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.00324422 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0677738 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0501993 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0512636 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0488499 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0611981 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0650955 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0390144 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0267435 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.114496 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.12352 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.101027 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.121588 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0744489 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0568264 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.135567 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0844552 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0113685 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0667806 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0237045 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00265356 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.015829 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0636025 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0465492 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0175304 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0124276 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0284496 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.03869 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0232135 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0780972 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.149107 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0995904 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.104003 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.000663289 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0188556 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.107217 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0657617 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0445446 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.10605 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0254011 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0631654 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0780071 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0362495 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0962004 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0383562 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0431766 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0957002 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0484665 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0342022 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0814291 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.146673 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0957974 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.166651 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0188219 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.00716492 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0953353 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0254764 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0955407 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0217052 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00168721 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0367551 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0269251 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.00950235 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.037242 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.014791 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.00147668 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.00213887 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.071485 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0183838 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0225462 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.103516 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0569721 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0926808 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0395788 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.071522 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0049665 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0975023 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0336424 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0250734 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0366417 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0471254 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0259746 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0509874 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0182264 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0264857 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0181471 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0226657 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0475048 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0168269 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0215946 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0366923 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0848108 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0630335 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0190133 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0431897 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0559296 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0443307 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0756086 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.102679 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.139464 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0784199 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.082527 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.135698 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.089275 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0567987 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0790845 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.11612 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0265217 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0196418 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.019743 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0181016 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0268786 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00688306 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.127007 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0877634 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0277917 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.025336 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0449724 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0025146 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00400169 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0117314 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0226427 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0142902 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.114191 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0381384 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0280885 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0226473 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00144756 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0233438 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0312253 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0762062 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0126036 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00860579 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.020347 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.00209155 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0779566 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0291405 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0119702 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0449013 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0388762 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0366299 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0593113 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0126566 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0449673 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0459374 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.076436 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0372515 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0187381 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0972779 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0272504 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.076456 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0227725 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.00945885 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0216333 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0434859 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.00258578 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0252892 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0473217 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.00675336 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0308763 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0206285 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.014884 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0438422 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.134192 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.092914 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.10331 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.163412 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0370456 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0731272 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0201019 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0532415 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.115609 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.047461 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0318395 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.00367334 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0117054 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0227245 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0142488 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0381588 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0280996 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0981637 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0971165 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0661026 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0418448 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0641373 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.041896 # DEPENDENCYPART_SIBL
