# _root_ Among those sighing with relief was John H. Gutfreund , chairman of Salomon Brothers , who took to the firm 's trading floor to monitor yesterday 's events .
#goldHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
#predictedHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
(3,10),-1.34852 # DEPENDENCYPART_ARC
(3,11),-1.70696 # DEPENDENCYPART_ARC
(3,12),-1.6684 # DEPENDENCYPART_ARC
(3,15),-1.42565 # DEPENDENCYPART_ARC
(3,17),-1.91286 # DEPENDENCYPART_ARC
(3,18),-1.83974 # DEPENDENCYPART_ARC
(3,24),-2.00047 # DEPENDENCYPART_ARC
(4,1),-1.47273 # DEPENDENCYPART_ARC
(4,2),-1.78767 # DEPENDENCYPART_ARC
(4,3),-0.837143 # DEPENDENCYPART_ARC
(4,5),0.98789 # DEPENDENCYPART_ARC
(4,6),-0.409058 # DEPENDENCYPART_ARC
(4,7),-1.59846 # DEPENDENCYPART_ARC
(4,8),-1.66161 # DEPENDENCYPART_ARC
(4,9),-1.50292 # DEPENDENCYPART_ARC
(4,10),-1.44856 # DEPENDENCYPART_ARC
(4,11),-1.75808 # DEPENDENCYPART_ARC
(4,14),-1.98393 # DEPENDENCYPART_ARC
(5,1),-1.75299 # DEPENDENCYPART_ARC
(5,2),-1.41347 # DEPENDENCYPART_ARC
(5,3),-1.19079 # DEPENDENCYPART_ARC
(5,4),-0.224521 # DEPENDENCYPART_ARC
(5,6),-0.626631 # DEPENDENCYPART_ARC
(5,8),-1.7346 # DEPENDENCYPART_ARC
(5,9),-1.92012 # DEPENDENCYPART_ARC
(5,11),-2.16135 # DEPENDENCYPART_ARC
(6,1),-1.1573 # DEPENDENCYPART_ARC
(6,2),-1.31277 # DEPENDENCYPART_ARC
(6,3),-0.827923 # DEPENDENCYPART_ARC
(6,4),-0.676474 # DEPENDENCYPART_ARC
(6,5),0.229036 # DEPENDENCYPART_ARC
(6,7),0.518783 # DEPENDENCYPART_ARC
(6,8),-0.336457 # DEPENDENCYPART_ARC
(6,9),-0.609145 # DEPENDENCYPART_ARC
(6,10),-1.18125 # DEPENDENCYPART_ARC
(6,11),-0.667339 # DEPENDENCYPART_ARC
(6,12),-0.769391 # DEPENDENCYPART_ARC
(6,14),-1.50638 # DEPENDENCYPART_ARC
(6,15),-1.3887 # DEPENDENCYPART_ARC
(6,16),-1.54956 # DEPENDENCYPART_ARC
(6,17),-1.62137 # DEPENDENCYPART_ARC
(6,18),-1.51946 # DEPENDENCYPART_ARC
(6,23),-2.01372 # DEPENDENCYPART_ARC
(6,24),-2.13827 # DEPENDENCYPART_ARC
(6,26),-2.02456 # DEPENDENCYPART_ARC
(6,29),0.266703 # DEPENDENCYPART_ARC
(7,8),-0.812217 # DEPENDENCYPART_ARC
(7,10),-1.72786 # DEPENDENCYPART_ARC
(7,11),-1.84517 # DEPENDENCYPART_ARC
(8,2),-2.84739 # DEPENDENCYPART_ARC
(8,3),-2.068 # DEPENDENCYPART_ARC
(8,4),-2.0646 # DEPENDENCYPART_ARC
(8,5),-1.19678 # DEPENDENCYPART_ARC
(8,6),-1.56643 # DEPENDENCYPART_ARC
(8,7),0.459508 # DEPENDENCYPART_ARC
(8,9),-0.178548 # DEPENDENCYPART_ARC
(8,10),-1.22467 # DEPENDENCYPART_ARC
(8,11),-1.08155 # DEPENDENCYPART_ARC
(8,12),-1.77086 # DEPENDENCYPART_ARC
(8,14),-2.4183 # DEPENDENCYPART_ARC
(8,15),-1.91037 # DEPENDENCYPART_ARC
(8,17),-2.01277 # DEPENDENCYPART_ARC
(9,1),-1.51871 # DEPENDENCYPART_ARC
(9,2),-1.59344 # DEPENDENCYPART_ARC
(9,3),-1.26792 # DEPENDENCYPART_ARC
(9,4),-1.19228 # DEPENDENCYPART_ARC
(9,5),-0.413389 # DEPENDENCYPART_ARC
(9,6),-0.822781 # DEPENDENCYPART_ARC
(9,7),0.711024 # DEPENDENCYPART_ARC
(9,8),1.45327 # DEPENDENCYPART_ARC
(9,10),0.385843 # DEPENDENCYPART_ARC
(9,11),-0.568745 # DEPENDENCYPART_ARC
(9,12),-1.33619 # DEPENDENCYPART_ARC
(9,13),-2.15513 # DEPENDENCYPART_ARC
(9,14),-2.01455 # DEPENDENCYPART_ARC
(9,15),-1.16476 # DEPENDENCYPART_ARC
(9,16),-2.07535 # DEPENDENCYPART_ARC
(9,17),-1.80029 # DEPENDENCYPART_ARC
(9,20),-2.48747 # DEPENDENCYPART_ARC
(9,21),-2.92895 # DEPENDENCYPART_ARC
(9,23),-2.85643 # DEPENDENCYPART_ARC
(9,27),-3.33543 # DEPENDENCYPART_ARC
(9,29),-2.48186 # DEPENDENCYPART_ARC
(11,1),-1.81232 # DEPENDENCYPART_ARC
(11,2),-1.8183 # DEPENDENCYPART_ARC
(11,3),-1.80113 # DEPENDENCYPART_ARC
(11,4),-1.86594 # DEPENDENCYPART_ARC
(11,5),-1.78104 # DEPENDENCYPART_ARC
(11,7),-1.15371 # DEPENDENCYPART_ARC
(11,8),-1.01324 # DEPENDENCYPART_ARC
(11,9),-0.538628 # DEPENDENCYPART_ARC
(11,10),-0.173186 # DEPENDENCYPART_ARC
(11,12),0.883016 # DEPENDENCYPART_ARC
(11,13),-0.872898 # DEPENDENCYPART_ARC
(11,14),-0.864261 # DEPENDENCYPART_ARC
(11,15),-1.16741 # DEPENDENCYPART_ARC
(11,16),-1.40739 # DEPENDENCYPART_ARC
(11,17),-1.0518 # DEPENDENCYPART_ARC
(11,18),-1.18084 # DEPENDENCYPART_ARC
(11,20),-1.44835 # DEPENDENCYPART_ARC
(11,21),-2.03831 # DEPENDENCYPART_ARC
(11,23),-1.74999 # DEPENDENCYPART_ARC
(11,24),-1.73767 # DEPENDENCYPART_ARC
(11,29),-1.5608 # DEPENDENCYPART_ARC
(12,13),-0.0816707 # DEPENDENCYPART_ARC
(12,14),-0.282803 # DEPENDENCYPART_ARC
(12,15),-1.20476 # DEPENDENCYPART_ARC
(12,16),-1.52273 # DEPENDENCYPART_ARC
(12,17),-1.13087 # DEPENDENCYPART_ARC
(12,22),-2.16999 # DEPENDENCYPART_ARC
(12,28),-2.31214 # DEPENDENCYPART_ARC
(13,14),-0.48033 # DEPENDENCYPART_ARC
(13,15),-1.34053 # DEPENDENCYPART_ARC
(13,17),-1.77676 # DEPENDENCYPART_ARC
(13,21),-2.65757 # DEPENDENCYPART_ARC
(14,2),-2.58336 # DEPENDENCYPART_ARC
(14,5),-1.64627 # DEPENDENCYPART_ARC
(14,7),-1.68853 # DEPENDENCYPART_ARC
(14,8),-2.01541 # DEPENDENCYPART_ARC
(14,9),-1.91745 # DEPENDENCYPART_ARC
(14,10),-1.92907 # DEPENDENCYPART_ARC
(14,11),-0.856277 # DEPENDENCYPART_ARC
(14,13),1.57243 # DEPENDENCYPART_ARC
(14,15),0.568132 # DEPENDENCYPART_ARC
(14,16),-1.23496 # DEPENDENCYPART_ARC
(14,17),-1.12306 # DEPENDENCYPART_ARC
(14,18),-1.6873 # DEPENDENCYPART_ARC
(14,20),-1.65241 # DEPENDENCYPART_ARC
(14,21),-1.85623 # DEPENDENCYPART_ARC
(14,22),-1.88218 # DEPENDENCYPART_ARC
(14,23),-2.07393 # DEPENDENCYPART_ARC
(14,24),-2.06075 # DEPENDENCYPART_ARC
(14,27),-2.44411 # DEPENDENCYPART_ARC
(16,14),-1.52101 # DEPENDENCYPART_ARC
(16,18),-1.17175 # DEPENDENCYPART_ARC
(17,1),-2.06179 # DEPENDENCYPART_ARC
(17,3),-1.90354 # DEPENDENCYPART_ARC
(17,4),-1.99608 # DEPENDENCYPART_ARC
(17,5),-2.09566 # DEPENDENCYPART_ARC
(17,6),-2.34643 # DEPENDENCYPART_ARC
(17,8),-2.18042 # DEPENDENCYPART_ARC
(17,9),-2.12052 # DEPENDENCYPART_ARC
(17,10),-2.07915 # DEPENDENCYPART_ARC
(17,11),-1.52412 # DEPENDENCYPART_ARC
(17,13),-2.01881 # DEPENDENCYPART_ARC
(17,14),-1.84674 # DEPENDENCYPART_ARC
(17,15),-1.34631 # DEPENDENCYPART_ARC
(17,16),0.401656 # DEPENDENCYPART_ARC
(17,18),1.23137 # DEPENDENCYPART_ARC
(17,19),-0.675724 # DEPENDENCYPART_ARC
(17,20),-0.234417 # DEPENDENCYPART_ARC
(17,21),-1.17706 # DEPENDENCYPART_ARC
(17,22),-0.634326 # DEPENDENCYPART_ARC
(17,23),-0.856724 # DEPENDENCYPART_ARC
(17,24),-0.797079 # DEPENDENCYPART_ARC
(17,25),-1.60786 # DEPENDENCYPART_ARC
(17,26),-1.05515 # DEPENDENCYPART_ARC
(17,27),-1.68482 # DEPENDENCYPART_ARC
(17,28),-1.56847 # DEPENDENCYPART_ARC
(17,29),-0.308438 # DEPENDENCYPART_ARC
(18,16),-1.44399 # DEPENDENCYPART_ARC
(18,19),0.204346 # DEPENDENCYPART_ARC
(18,20),-0.0025352 # DEPENDENCYPART_ARC
(18,21),-1.18821 # DEPENDENCYPART_ARC
(18,22),-0.799054 # DEPENDENCYPART_ARC
(18,23),-0.966061 # DEPENDENCYPART_ARC
(18,24),-1.16187 # DEPENDENCYPART_ARC
(18,25),-1.54794 # DEPENDENCYPART_ARC
(18,26),-1.79426 # DEPENDENCYPART_ARC
(18,28),-1.77546 # DEPENDENCYPART_ARC
(18,29),-0.851532 # DEPENDENCYPART_ARC
(20,16),-1.33282 # DEPENDENCYPART_ARC
(20,18),-1.02639 # DEPENDENCYPART_ARC
(20,19),1.62142 # DEPENDENCYPART_ARC
(20,21),1.22525 # DEPENDENCYPART_ARC
(20,22),-0.808675 # DEPENDENCYPART_ARC
(20,23),-0.933936 # DEPENDENCYPART_ARC
(20,24),-0.966414 # DEPENDENCYPART_ARC
(20,27),-1.28413 # DEPENDENCYPART_ARC
(20,28),-1.44642 # DEPENDENCYPART_ARC
(20,29),-1.23859 # DEPENDENCYPART_ARC
(21,22),-0.540225 # DEPENDENCYPART_ARC
(22,19),-2.3226 # DEPENDENCYPART_ARC
(22,20),-0.768522 # DEPENDENCYPART_ARC
(22,21),-0.465704 # DEPENDENCYPART_ARC
(22,24),-1.3283 # DEPENDENCYPART_ARC
(22,27),-2.08972 # DEPENDENCYPART_ARC
(23,16),-1.88903 # DEPENDENCYPART_ARC
(23,18),-1.86043 # DEPENDENCYPART_ARC
(23,19),-1.11137 # DEPENDENCYPART_ARC
(23,20),-0.391027 # DEPENDENCYPART_ARC
(23,21),-0.755507 # DEPENDENCYPART_ARC
(23,22),1.32333 # DEPENDENCYPART_ARC
(23,24),-0.191886 # DEPENDENCYPART_ARC
(23,25),-1.02966 # DEPENDENCYPART_ARC
(23,26),-1.04963 # DEPENDENCYPART_ARC
(23,27),-1.4789 # DEPENDENCYPART_ARC
(23,28),-1.50427 # DEPENDENCYPART_ARC
(23,29),-1.34341 # DEPENDENCYPART_ARC
(24,20),-1.79955 # DEPENDENCYPART_ARC
(24,22),-1.78425 # DEPENDENCYPART_ARC
(24,23),-0.808814 # DEPENDENCYPART_ARC
(24,25),0.912384 # DEPENDENCYPART_ARC
(24,26),-0.505401 # DEPENDENCYPART_ARC
(24,27),-1.31731 # DEPENDENCYPART_ARC
(24,28),-1.10404 # DEPENDENCYPART_ARC
(25,1),-1.74736 # DEPENDENCYPART_ARC
(25,16),-1.57258 # DEPENDENCYPART_ARC
(25,20),-1.24164 # DEPENDENCYPART_ARC
(25,22),-0.909516 # DEPENDENCYPART_ARC
(25,23),-1.07683 # DEPENDENCYPART_ARC
(25,24),-0.0332685 # DEPENDENCYPART_ARC
(25,26),0.870178 # DEPENDENCYPART_ARC
(25,27),-0.699484 # DEPENDENCYPART_ARC
(25,28),-0.48419 # DEPENDENCYPART_ARC
(25,29),-1.20432 # DEPENDENCYPART_ARC
(26,27),1.11598 # DEPENDENCYPART_ARC
(26,28),-0.601227 # DEPENDENCYPART_ARC
(27,28),-0.513209 # DEPENDENCYPART_ARC
(28,13),-1.79827 # DEPENDENCYPART_ARC
(28,14),-1.88525 # DEPENDENCYPART_ARC
(28,20),-1.26079 # DEPENDENCYPART_ARC
(28,22),-1.28798 # DEPENDENCYPART_ARC
(28,23),-1.24456 # DEPENDENCYPART_ARC
(28,25),-1.13115 # DEPENDENCYPART_ARC
(28,26),0.0752618 # DEPENDENCYPART_ARC
(28,27),0.426896 # DEPENDENCYPART_ARC
(28,29),-0.378802 # DEPENDENCYPART_ARC
(29,28),-0.856368 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.03933 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0281816 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.005816 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.158142 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.042713 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.131293 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0217387 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0264466 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.108183 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0349372 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0897081 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0574392 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.126254 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0305403 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.108442 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.148764 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0460248 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.119982 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0760879 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.237912 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.1313 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0800398 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0786429 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0755327 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0612489 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0757547 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0757544 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0316538 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0750236 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0316538 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.054261 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.0450898 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0656715 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0629719 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0385812 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0350238 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0350235 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0571561 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0645846 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0571561 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0356867 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.00280852 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00975687 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0460625 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0384845 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0384831 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00122932 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0125101 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.00122932 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0275982 # DEPENDENCYPART_SIBL
(1,4),(1,29),-0.0108379 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.040186 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0872454 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0871894 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00162476 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.162186 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.00162476 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0522142 # DEPENDENCYPART_SIBL
(1,5),(1,29),-0.0338808 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00706137 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.00706111 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0182288 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0579471 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0182288 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0747936 # DEPENDENCYPART_SIBL
(1,6),(1,29),0.109122 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0862595 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0110931 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.114711 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0110931 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0632043 # DEPENDENCYPART_SIBL
(1,8),(1,29),-0.0306854 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.00468732 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.113057 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.00468732 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0632007 # DEPENDENCYPART_SIBL
(1,9),(1,29),-0.0295537 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0260752 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.00526511 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0185644 # DEPENDENCYPART_SIBL
(1,10),(1,29),0.0518414 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0308639 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.0528132 # DEPENDENCYPART_SIBL
(1,11),(1,29),-0.0261407 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0185644 # DEPENDENCYPART_SIBL
(1,15),(1,29),0.0518414 # DEPENDENCYPART_SIBL
(1,17),(1,29),0.0649694 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00494014 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0138546 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0130164 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00498015 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0274178 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00962104 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0114133 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0803077 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0277086 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0292125 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0134987 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0494514 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0384563 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0820526 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0424251 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0423699 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0486642 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0404018 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0471303 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0486642 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0599154 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.04356 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.04356 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0788146 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0306239 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0521281 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0623587 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.06479 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0558231 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0345193 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.113177 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0558231 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0805952 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.050624 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.050624 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00246068 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0293077 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0154828 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0154816 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.00473366 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00461747 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0489686 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.00473366 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.00799801 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0251589 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0251589 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.010242 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0168615 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0168061 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00158669 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0440121 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00816568 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00158669 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0180172 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00885535 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.00885535 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0176803 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0176803 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00615741 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0398579 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0228349 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00615741 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0641045 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0195108 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0195108 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0355335 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0218215 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.025829 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00773775 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0218215 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0296566 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0082742 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0082742 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0153606 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0241202 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.00904049 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0153606 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0295979 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.00832945 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00832945 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0279118 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0443276 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.00784098 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0164192 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0159898 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.0159898 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0115484 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0304757 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.02147 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.00290103 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.00290103 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.014073 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0809234 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.065843 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.065843 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.0164192 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0159898 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.0159898 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.0188687 # DEPENDENCYPART_SIBL
(3,17),(3,24),-0.0188687 # DEPENDENCYPART_SIBL
(3,18),(3,24),-0.0762682 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00989409 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.003093 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.022737 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00270594 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0527851 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.051681 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0516258 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0458105 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0265613 # DEPENDENCYPART_SIBL
