# _root_ In composite trading on the New York Stock Exchange , the company closed at $ 25.25 a share , down 25 cents .
#goldHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,14,15,18,15,13,13,22,20,13,
#predictedHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,14,15,18,15,13,13,22,20,13,
(16,4),-2.13905 # DEPENDENCYPART_ARC
(16,14),-1.16028 # DEPENDENCYPART_ARC
(16,18),-0.891431 # DEPENDENCYPART_ARC
(16,19),-0.965147 # DEPENDENCYPART_ARC
(16,20),-1.26734 # DEPENDENCYPART_ARC
(17,22),-1.78493 # DEPENDENCYPART_ARC
(18,15),-0.998944 # DEPENDENCYPART_ARC
(18,16),-0.763069 # DEPENDENCYPART_ARC
(18,17),1.44233 # DEPENDENCYPART_ARC
(18,19),-0.477559 # DEPENDENCYPART_ARC
(18,20),-1.54559 # DEPENDENCYPART_ARC
(18,21),-1.60197 # DEPENDENCYPART_ARC
(18,22),-1.72102 # DEPENDENCYPART_ARC
(20,18),-1.62966 # DEPENDENCYPART_ARC
(20,21),0.392088 # DEPENDENCYPART_ARC
(20,22),-0.321974 # DEPENDENCYPART_ARC
(20,23),-1.19591 # DEPENDENCYPART_ARC
(21,14),-1.76992 # DEPENDENCYPART_ARC
(21,18),-1.65178 # DEPENDENCYPART_ARC
(21,19),-1.50806 # DEPENDENCYPART_ARC
(21,20),-0.348975 # DEPENDENCYPART_ARC
(21,22),-0.531914 # DEPENDENCYPART_ARC
(22,1),-1.63002 # DEPENDENCYPART_ARC
(22,4),-1.49546 # DEPENDENCYPART_ARC
(22,12),-1.96782 # DEPENDENCYPART_ARC
(22,14),-1.70006 # DEPENDENCYPART_ARC
(22,15),-1.8993 # DEPENDENCYPART_ARC
(22,16),-1.72999 # DEPENDENCYPART_ARC
(22,17),-1.14415 # DEPENDENCYPART_ARC
(22,18),-1.42248 # DEPENDENCYPART_ARC
(22,19),-1.49807 # DEPENDENCYPART_ARC
(22,20),-0.294757 # DEPENDENCYPART_ARC
(22,21),1.19592 # DEPENDENCYPART_ARC
(22,23),-0.282935 # DEPENDENCYPART_ARC
(23,22),-0.927035 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0590922 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0430076 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.12542 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0492857 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.128858 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.139724 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.133949 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0098165 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0598676 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0676341 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0647639 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0267937 # DEPENDENCYPART_SIBL
(1,2),(1,23),0.0155206 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.019884 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.108098 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.111577 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.109066 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0201723 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.0250579 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0436514 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0507327 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0494396 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0120805 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.0176698 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.115741 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.119234 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0407664 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.00568813 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.129266 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0147589 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0134398 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0413442 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.00791311 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.19052 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.076256 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0302921 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.103055 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0661073 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.058894 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0423192 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0314564 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0629226 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0423192 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.00965538 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.004315 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.111499 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0179655 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0173283 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0451006 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0440713 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0460839 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0451006 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.00804812 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0247718 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0464039 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0545753 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0397587 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0355834 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00186153 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0397587 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0790239 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.120556 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0483539 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0257133 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0373186 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0195467 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0257133 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.00714809 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0242488 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.00367317 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0372483 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0186385 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.00367317 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0150448 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.0197258 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0492662 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0423696 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0593278 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0951296 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0113633 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0169016 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0198446 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.00762715 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0141203 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0469434 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.00496683 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0141941 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.0951296 # DEPENDENCYPART_SIBL
(3,19),(3,23),0.0113633 # DEPENDENCYPART_SIBL
(3,20),(3,23),-0.0273727 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0077134 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0632999 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.105923 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.111185 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0878024 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0916205 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0177833 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0374093 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00518627 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0269427 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0815485 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.066359 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.075777 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0865481 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0623684 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0190418 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0115756 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0149456 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0482011 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0965805 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0964 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0948889 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0993852 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0209415 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.114067 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0813193 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.0516426 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.126533 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.131955 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.138055 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0602121 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.162866 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.107755 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.00447301 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.139029 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.14513 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0305399 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.166694 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.113745 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0209102 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.145131 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0378918 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.17012 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.116118 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0150804 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0672054 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.172647 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.119332 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0235278 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0784885 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0100968 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.106111 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0961937 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.0238438 # DEPENDENCYPART_SIBL
(4,13),(4,23),0.135885 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0722389 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.042049 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0494792 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.068248 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0824926 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0036577 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.041316 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0479551 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0500996 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0447053 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0450828 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.000934836 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.00393323 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0251491 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0232587 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0211473 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0653604 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0239485 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.0775622 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0653604 # DEPENDENCYPART_SIBL
(8,5),(8,23),-0.00196975 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0636579 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0197892 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0550327 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0405627 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.050286 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0550327 # DEPENDENCYPART_SIBL
(8,6),(8,23),-0.0268571 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0328188 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0531113 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.00195994 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0081237 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0531113 # DEPENDENCYPART_SIBL
(8,7),(8,23),-0.0111343 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.00922367 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0099964 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0401744 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.00922367 # DEPENDENCYPART_SIBL
(8,9),(8,23),0.0101223 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0285849 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0159579 # DEPENDENCYPART_SIBL
(8,10),(8,19),0.0330513 # DEPENDENCYPART_SIBL
(8,10),(8,23),0.011913 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0893847 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.0473966 # DEPENDENCYPART_SIBL
(8,12),(8,23),0.0785206 # DEPENDENCYPART_SIBL
(8,18),(8,19),0.0612657 # DEPENDENCYPART_SIBL
(8,18),(8,23),0.0852733 # DEPENDENCYPART_SIBL
(8,19),(8,23),0.011913 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.00450811 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0362898 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0277905 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.000423694 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0121503 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.00797784 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0122934 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0868095 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0431516 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.000647045 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0226948 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.035738 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0061772 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.00720766 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0868095 # DEPENDENCYPART_SIBL
(9,1),(9,20),0.00298965 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.0386524 # DEPENDENCYPART_SIBL
(9,1),(9,23),-0.0593989 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0680992 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0431456 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.109462 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.034808 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0553152 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0808016 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0404414 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0195368 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0161323 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0404161 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0644129 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.012059 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0169745 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0404414 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.00924605 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.0108139 # DEPENDENCYPART_SIBL
(9,2),(9,23),-0.0177596 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0578376 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0702354 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0342902 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.044369 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.063955 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0788639 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.06644 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.029506 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.00261757 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0148377 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0344385 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0373214 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0788639 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0243582 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0490248 # DEPENDENCYPART_SIBL
(9,3),(9,23),-0.107118 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0288295 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0444627 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0382562 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0180544 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.111538 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.045903 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.040878 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0309014 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0015316 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0114048 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0357659 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.111538 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0414714 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0248427 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.0429803 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.134858 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.137474 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.208232 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0238737 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0465209 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0619462 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.135198 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0455193 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0744105 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0103564 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0238737 # DEPENDENCYPART_SIBL
(9,5),(9,20),0.0270268 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.0340313 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.0732501 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0705068 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.112866 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.045617 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0616989 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0171261 # DEPENDENCYPART_SIBL
