# _root_ Hertz Corp. of Park Ridge , N.J. , said it retained Merrill Lynch Capital Markets to sell its Hertz Equipment Rental Corp. unit .
#goldHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,11,16,23,23,23,23,23,17,9,
#predictedHeads=9,1,1,5,3,5,5,5,0,11,9,15,15,15,11,15,16,23,23,23,23,23,17,9,
(5,11),-1.57931 # DEPENDENCYPART_ARC
(5,12),-2.53384 # DEPENDENCYPART_ARC
(5,13),-2.69449 # DEPENDENCYPART_ARC
(5,14),-2.71354 # DEPENDENCYPART_ARC
(5,15),-2.62302 # DEPENDENCYPART_ARC
(5,16),-2.09059 # DEPENDENCYPART_ARC
(5,23),-2.69201 # DEPENDENCYPART_ARC
(7,1),-2.5145 # DEPENDENCYPART_ARC
(7,2),-2.10433 # DEPENDENCYPART_ARC
(7,3),-1.68549 # DEPENDENCYPART_ARC
(7,4),-1.24556 # DEPENDENCYPART_ARC
(7,5),-1.07858 # DEPENDENCYPART_ARC
(7,6),0.158426 # DEPENDENCYPART_ARC
(7,8),0.182317 # DEPENDENCYPART_ARC
(7,9),-1.45086 # DEPENDENCYPART_ARC
(7,10),-1.54362 # DEPENDENCYPART_ARC
(7,11),-1.75656 # DEPENDENCYPART_ARC
(8,7),-0.418705 # DEPENDENCYPART_ARC
(9,1),-1.36045 # DEPENDENCYPART_ARC
(9,2),-1.37356 # DEPENDENCYPART_ARC
(9,3),-1.24093 # DEPENDENCYPART_ARC
(9,4),-1.51448 # DEPENDENCYPART_ARC
(9,5),-1.14041 # DEPENDENCYPART_ARC
(9,6),-0.719321 # DEPENDENCYPART_ARC
(9,7),-0.836755 # DEPENDENCYPART_ARC
(9,8),0.391703 # DEPENDENCYPART_ARC
(9,10),0.534096 # DEPENDENCYPART_ARC
(9,11),0.329948 # DEPENDENCYPART_ARC
(9,12),-0.835204 # DEPENDENCYPART_ARC
(9,13),-1.03135 # DEPENDENCYPART_ARC
(9,14),-1.12313 # DEPENDENCYPART_ARC
(9,15),-1.24742 # DEPENDENCYPART_ARC
(9,16),-1.05586 # DEPENDENCYPART_ARC
(9,17),-1.26578 # DEPENDENCYPART_ARC
(9,24),0.672374 # DEPENDENCYPART_ARC
(10,11),-0.379608 # DEPENDENCYPART_ARC
(10,16),-1.72734 # DEPENDENCYPART_ARC
(11,1),-1.95204 # DEPENDENCYPART_ARC
(11,2),-2.08152 # DEPENDENCYPART_ARC
(11,3),-1.39822 # DEPENDENCYPART_ARC
(11,4),-1.99588 # DEPENDENCYPART_ARC
(11,5),-1.94278 # DEPENDENCYPART_ARC
(11,6),-1.51689 # DEPENDENCYPART_ARC
(11,7),-1.88656 # DEPENDENCYPART_ARC
(11,8),-1.27431 # DEPENDENCYPART_ARC
(11,9),-1.28804 # DEPENDENCYPART_ARC
(11,10),0.815089 # DEPENDENCYPART_ARC
(11,12),0.410189 # DEPENDENCYPART_ARC
(11,13),-0.445405 # DEPENDENCYPART_ARC
(11,14),-0.829904 # DEPENDENCYPART_ARC
(11,15),-0.859752 # DEPENDENCYPART_ARC
(11,16),-0.875483 # DEPENDENCYPART_ARC
(11,17),-1.27711 # DEPENDENCYPART_ARC
(11,19),-1.52055 # DEPENDENCYPART_ARC
(11,20),-1.48947 # DEPENDENCYPART_ARC
(11,21),-1.50061 # DEPENDENCYPART_ARC
(11,23),-1.58635 # DEPENDENCYPART_ARC
(11,24),-0.345655 # DEPENDENCYPART_ARC
(12,13),-0.786793 # DEPENDENCYPART_ARC
(12,14),-1.74529 # DEPENDENCYPART_ARC
(13,12),0.0334737 # DEPENDENCYPART_ARC
(13,14),-0.591939 # DEPENDENCYPART_ARC
(13,16),-1.91239 # DEPENDENCYPART_ARC
(13,23),-2.64249 # DEPENDENCYPART_ARC
(14,12),-0.941103 # DEPENDENCYPART_ARC
(14,13),-0.0938306 # DEPENDENCYPART_ARC
(14,15),-0.594267 # DEPENDENCYPART_ARC
(14,16),-1.72582 # DEPENDENCYPART_ARC
(14,23),-2.52818 # DEPENDENCYPART_ARC
(15,1),-2.9598 # DEPENDENCYPART_ARC
(15,2),-3.04998 # DEPENDENCYPART_ARC
(15,4),-2.34368 # DEPENDENCYPART_ARC
(15,5),-2.92015 # DEPENDENCYPART_ARC
(15,6),-2.74736 # DEPENDENCYPART_ARC
(15,7),-2.30844 # DEPENDENCYPART_ARC
(15,8),-2.53895 # DEPENDENCYPART_ARC
(15,10),-1.71434 # DEPENDENCYPART_ARC
(15,11),-1.38662 # DEPENDENCYPART_ARC
(15,12),-0.33213 # DEPENDENCYPART_ARC
(15,13),0.0279278 # DEPENDENCYPART_ARC
(15,14),1.20679 # DEPENDENCYPART_ARC
(15,16),-0.35901 # DEPENDENCYPART_ARC
(15,17),-1.35798 # DEPENDENCYPART_ARC
(15,19),-1.90705 # DEPENDENCYPART_ARC
(15,20),-1.99006 # DEPENDENCYPART_ARC
(15,23),-2.09992 # DEPENDENCYPART_ARC
(16,3),-1.60963 # DEPENDENCYPART_ARC
(16,5),-2.21841 # DEPENDENCYPART_ARC
(16,6),-2.01605 # DEPENDENCYPART_ARC
(16,12),-1.85922 # DEPENDENCYPART_ARC
(16,13),-1.63889 # DEPENDENCYPART_ARC
(16,14),-1.49784 # DEPENDENCYPART_ARC
(16,15),-0.442578 # DEPENDENCYPART_ARC
(16,17),1.07285 # DEPENDENCYPART_ARC
(16,18),-0.817001 # DEPENDENCYPART_ARC
(16,19),-1.22272 # DEPENDENCYPART_ARC
(16,20),-1.41855 # DEPENDENCYPART_ARC
(16,21),-1.54846 # DEPENDENCYPART_ARC
(16,23),-1.56121 # DEPENDENCYPART_ARC
(17,3),-1.90602 # DEPENDENCYPART_ARC
(17,8),-2.27249 # DEPENDENCYPART_ARC
(17,13),-1.64936 # DEPENDENCYPART_ARC
(17,14),-1.45536 # DEPENDENCYPART_ARC
(17,15),-1.38482 # DEPENDENCYPART_ARC
(17,18),0.286431 # DEPENDENCYPART_ARC
(17,19),-0.426103 # DEPENDENCYPART_ARC
(17,20),-0.679009 # DEPENDENCYPART_ARC
(17,21),-0.881063 # DEPENDENCYPART_ARC
(17,22),-1.03276 # DEPENDENCYPART_ARC
(17,23),-0.578977 # DEPENDENCYPART_ARC
(18,16),-1.65661 # DEPENDENCYPART_ARC
(18,19),-0.38522 # DEPENDENCYPART_ARC
(18,20),-1.36591 # DEPENDENCYPART_ARC
(19,18),-0.781275 # DEPENDENCYPART_ARC
(19,20),-0.836202 # DEPENDENCYPART_ARC
(19,21),-1.81337 # DEPENDENCYPART_ARC
(20,12),-2.92833 # DEPENDENCYPART_ARC
(20,18),-1.63057 # DEPENDENCYPART_ARC
(20,19),-0.251631 # DEPENDENCYPART_ARC
(20,21),-0.726635 # DEPENDENCYPART_ARC
(20,22),-1.73394 # DEPENDENCYPART_ARC
(21,1),-4.05326 # DEPENDENCYPART_ARC
(21,4),-3.50357 # DEPENDENCYPART_ARC
(21,12),-2.42198 # DEPENDENCYPART_ARC
(21,13),-2.56803 # DEPENDENCYPART_ARC
(21,14),-2.44815 # DEPENDENCYPART_ARC
(21,15),-2.51778 # DEPENDENCYPART_ARC
(21,18),-1.38442 # DEPENDENCYPART_ARC
(21,19),-0.704837 # DEPENDENCYPART_ARC
(21,20),0.287627 # DEPENDENCYPART_ARC
(21,22),0.137984 # DEPENDENCYPART_ARC
(21,23),-0.739788 # DEPENDENCYPART_ARC
(22,18),-2.1259 # DEPENDENCYPART_ARC
(22,19),-2.06891 # DEPENDENCYPART_ARC
(22,20),-1.66336 # DEPENDENCYPART_ARC
(22,21),-0.647506 # DEPENDENCYPART_ARC
(23,1),-2.53155 # DEPENDENCYPART_ARC
(23,2),-2.70402 # DEPENDENCYPART_ARC
(23,3),-1.13488 # DEPENDENCYPART_ARC
(23,4),-2.30283 # DEPENDENCYPART_ARC
(23,5),-2.28926 # DEPENDENCYPART_ARC
(23,7),-1.87566 # DEPENDENCYPART_ARC
(23,12),-1.43803 # DEPENDENCYPART_ARC
(23,13),-1.16337 # DEPENDENCYPART_ARC
(23,14),-1.18191 # DEPENDENCYPART_ARC
(23,15),-1.15083 # DEPENDENCYPART_ARC
(23,16),-1.66563 # DEPENDENCYPART_ARC
(23,18),-0.0282445 # DEPENDENCYPART_ARC
(23,19),-0.136398 # DEPENDENCYPART_ARC
(23,20),0.0975699 # DEPENDENCYPART_ARC
(23,21),0.782519 # DEPENDENCYPART_ARC
(23,22),2.08321 # DEPENDENCYPART_ARC
(0,1),(0,9),-0.161051 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.130014 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.250429 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.130379 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0959453 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.103245 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.164872 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0632877 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.164872 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0432302 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0569378 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0374764 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.111797 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0601486 # DEPENDENCYPART_SIBL
(1,2),(1,23),0.114254 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0234328 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0302538 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0249543 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0133977 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0249543 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0205502 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0222233 # DEPENDENCYPART_SIBL
(1,3),(1,11),-6.71832e-05 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0290368 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.00541056 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.144691 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00655848 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0490538 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0291891 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0490538 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0193637 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0209256 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0284375 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0151102 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.00428947 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.00575849 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0076011 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0458488 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0076011 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0336514 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0352817 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0427252 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.00154951 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0100452 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0250231 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0221514 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0311393 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00756059 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0115778 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0285964 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0871311 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.00514436 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0665311 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0220412 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0319357 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0329278 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0410095 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.00127557 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.00769139 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0310219 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.00756059 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0115778 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0285964 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0871311 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.00514436 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.0665311 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0212566 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0605548 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0113255 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0093046 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0413469 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0284549 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.00540265 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0362204 # DEPENDENCYPART_SIBL
(1,10),(1,23),-0.0144185 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.00415354 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0202826 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.0484922 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.0129335 # DEPENDENCYPART_SIBL
(1,15),(1,23),-0.0203233 # DEPENDENCYPART_SIBL
(1,16),(1,23),-0.0309519 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0893808 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0318809 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0493998 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0695945 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0337446 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0695945 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0936262 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0939421 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0943231 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0321743 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0389978 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.130557 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00465366 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.130557 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0511141 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0538569 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0304971 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0172119 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.148271 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0185356 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.148271 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0137573 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0132619 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00468386 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.106838 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0351822 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.106838 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.000517289 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00108108 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00959077 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.068912 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.046274 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0205849 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0362492 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.000451631 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.121278 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00119834 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.00127274 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00787508 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0205849 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0362492 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.000451631 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0214445 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0618094 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0297088 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.107826 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0142216 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.116812 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0142216 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0617363 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0408244 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.105315 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.14744 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00127253 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.117839 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00127253 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0616194 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0406725 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.106343 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.149753 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0134023 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0990453 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.055572 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.145807 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0375967 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0189749 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00334271 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0616318 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0410041 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.107395 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.154563 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.055572 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.145807 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0375967 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0189749 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0699847 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.105304 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.132943 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0256768 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.0789457 # DEPENDENCYPART_SIBL
(3,15),(3,23),-0.156172 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0351095 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0348012 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0157907 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0086826 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0673538 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0086826 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0210254 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0395193 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0512013 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0765472 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.134568 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0765472 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0250504 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0378198 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.107189 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0699939 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.107189 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00893175 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0418014 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0553974 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0418014 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0529859 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00289843 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0461289 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00561232 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0273613 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0512702 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.00561232 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.00115907 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0462856 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0706545 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0550976 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.048798 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0550976 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0411291 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0393986 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0416862 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0247661 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0127737 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0172324 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0240642 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0472999 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0522626 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0510038 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.108859 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.012767 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.116012 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.012767 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00553629 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00563608 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00438965 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0422259 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0542183 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.04976 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.042928 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.107214 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0118453 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.031324 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0784015 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0695433 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0784015 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0262872 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00734931 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0109056 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0408441 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.04432 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0469752 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0410184 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0327153 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0259654 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0970502 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0353705 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0970502 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0548826 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0504343 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0554397 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.036735 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0247426 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0292013 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0360331 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0331252 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0598027 # DEPENDENCYPART_SIBL
