# _root_ Les coses han canviat molt des_d' aleshores : en_vigílies dels comicis del 1977 , el PSUC podia mirar de_tu_a_tu un partit socialista constituït recentment ; avui , Iniciativa lluita per la_seva supervivència i el PSC ocupa una posició hegemònica .
#goldHeads=2,4,4,0,4,4,6,18,18,9,10,11,12,9,16,18,18,4,18,21,18,21,21,23,18,29,26,29,18,29,32,30,29,35,36,29,38,36,38,4,
#predictedHeads=2,4,4,18,4,4,6,18,18,9,10,11,12,9,16,18,18,29,18,21,18,21,21,23,29,29,26,29,0,29,32,30,32,35,32,29,38,36,38,29,
(4,28),-2.30702 # DEPENDENCYPART_ARC
(4,29),-1.23301 # DEPENDENCYPART_ARC
(4,30),-0.456447 # DEPENDENCYPART_ARC
(4,32),-1.17164 # DEPENDENCYPART_ARC
(4,33),-2.13761 # DEPENDENCYPART_ARC
(4,35),-2.80601 # DEPENDENCYPART_ARC
(4,36),-1.93939 # DEPENDENCYPART_ARC
(4,38),-2.30287 # DEPENDENCYPART_ARC
(4,40),4.01587 # DEPENDENCYPART_ARC
(5,2),-1.92228 # DEPENDENCYPART_ARC
(5,4),-0.725638 # DEPENDENCYPART_ARC
(5,6),0.328658 # DEPENDENCYPART_ARC
(5,7),-0.123362 # DEPENDENCYPART_ARC
(5,9),-0.722581 # DEPENDENCYPART_ARC
(5,10),-0.788605 # DEPENDENCYPART_ARC
(6,1),-1.15203 # DEPENDENCYPART_ARC
(6,4),-0.409277 # DEPENDENCYPART_ARC
(6,5),1.06539 # DEPENDENCYPART_ARC
(6,7),2.56571 # DEPENDENCYPART_ARC
(6,9),-0.0579994 # DEPENDENCYPART_ARC
(6,10),0.48385 # DEPENDENCYPART_ARC
(6,11),1.03065 # DEPENDENCYPART_ARC
(6,12),-0.278681 # DEPENDENCYPART_ARC
(6,13),-0.96717 # DEPENDENCYPART_ARC
(6,14),-0.299109 # DEPENDENCYPART_ARC
(6,25),-2.16175 # DEPENDENCYPART_ARC
(7,5),-0.527355 # DEPENDENCYPART_ARC
(7,6),-0.420857 # DEPENDENCYPART_ARC
(7,9),0.0161671 # DEPENDENCYPART_ARC
(7,10),0.214607 # DEPENDENCYPART_ARC
(7,12),-0.373427 # DEPENDENCYPART_ARC
(8,10),-0.233526 # DEPENDENCYPART_ARC
(8,12),-0.242914 # DEPENDENCYPART_ARC
(8,14),0.495218 # DEPENDENCYPART_ARC
(8,16),-0.745024 # DEPENDENCYPART_ARC
(8,28),-0.627704 # DEPENDENCYPART_ARC
(8,35),0.0331204 # DEPENDENCYPART_ARC
(9,5),-0.588225 # DEPENDENCYPART_ARC
(9,6),-0.560143 # DEPENDENCYPART_ARC
(9,7),-0.465065 # DEPENDENCYPART_ARC
(9,8),1.08779 # DEPENDENCYPART_ARC
(9,10),2.09678 # DEPENDENCYPART_ARC
(9,11),0.968528 # DEPENDENCYPART_ARC
(9,12),0.897934 # DEPENDENCYPART_ARC
(9,14),1.90756 # DEPENDENCYPART_ARC
(9,16),-0.111525 # DEPENDENCYPART_ARC
(9,17),0.00673994 # DEPENDENCYPART_ARC
(9,18),-0.818181 # DEPENDENCYPART_ARC
(9,19),-0.586221 # DEPENDENCYPART_ARC
(9,27),1.1838 # DEPENDENCYPART_ARC
(9,29),-1.49441 # DEPENDENCYPART_ARC
(10,4),-2.53645 # DEPENDENCYPART_ARC
(10,6),-0.790826 # DEPENDENCYPART_ARC
(10,7),-0.765551 # DEPENDENCYPART_ARC
(10,8),0.55566 # DEPENDENCYPART_ARC
(10,9),0.987447 # DEPENDENCYPART_ARC
(10,11),4.04093 # DEPENDENCYPART_ARC
(10,12),0.229282 # DEPENDENCYPART_ARC
(10,13),-0.666146 # DEPENDENCYPART_ARC
(10,14),0.489697 # DEPENDENCYPART_ARC
(10,25),-1.40521 # DEPENDENCYPART_ARC
(11,7),-1.06902 # DEPENDENCYPART_ARC
(11,8),-0.109084 # DEPENDENCYPART_ARC
(11,9),-0.523784 # DEPENDENCYPART_ARC
(11,12),2.32766 # DEPENDENCYPART_ARC
(11,13),0.248293 # DEPENDENCYPART_ARC
(11,14),0.263837 # DEPENDENCYPART_ARC
(11,16),-0.572027 # DEPENDENCYPART_ARC
(11,17),-0.222456 # DEPENDENCYPART_ARC
(11,18),-0.836794 # DEPENDENCYPART_ARC
(11,23),-1.91088 # DEPENDENCYPART_ARC
(11,25),-1.40559 # DEPENDENCYPART_ARC
(11,28),-1.62133 # DEPENDENCYPART_ARC
(11,40),-0.363698 # DEPENDENCYPART_ARC
(12,13),3.25498 # DEPENDENCYPART_ARC
(12,14),-0.456337 # DEPENDENCYPART_ARC
(12,16),-0.507446 # DEPENDENCYPART_ARC
(12,17),-0.89656 # DEPENDENCYPART_ARC
(13,10),-0.32594 # DEPENDENCYPART_ARC
(13,12),0.93973 # DEPENDENCYPART_ARC
(13,14),0.480536 # DEPENDENCYPART_ARC
(13,17),0.0876541 # DEPENDENCYPART_ARC
(13,18),-0.648314 # DEPENDENCYPART_ARC
(13,21),-1.33487 # DEPENDENCYPART_ARC
(13,25),-0.662967 # DEPENDENCYPART_ARC
(15,16),-0.691715 # DEPENDENCYPART_ARC
(16,15),2.75368 # DEPENDENCYPART_ARC
(16,17),-0.0802397 # DEPENDENCYPART_ARC
(16,23),-1.31737 # DEPENDENCYPART_ARC
(16,25),-1.32735 # DEPENDENCYPART_ARC
(17,2),-2.98422 # DEPENDENCYPART_ARC
(17,3),-1.67907 # DEPENDENCYPART_ARC
(17,4),-2.78395 # DEPENDENCYPART_ARC
(17,5),-2.41614 # DEPENDENCYPART_ARC
(17,6),-1.24395 # DEPENDENCYPART_ARC
(17,7),-2.03508 # DEPENDENCYPART_ARC
(17,8),-0.0767948 # DEPENDENCYPART_ARC
(17,9),-1.55798 # DEPENDENCYPART_ARC
(17,10),-2.62918 # DEPENDENCYPART_ARC
(17,11),-2.17123 # DEPENDENCYPART_ARC
(17,12),-2.99542 # DEPENDENCYPART_ARC
(17,13),-1.84232 # DEPENDENCYPART_ARC
(17,14),-1.34836 # DEPENDENCYPART_ARC
(17,15),-2.49753 # DEPENDENCYPART_ARC
(17,16),-0.166059 # DEPENDENCYPART_ARC
(17,18),0.712326 # DEPENDENCYPART_ARC
(17,19),-0.531563 # DEPENDENCYPART_ARC
(17,21),-0.554833 # DEPENDENCYPART_ARC
(17,23),-1.42679 # DEPENDENCYPART_ARC
(17,24),-1.37814 # DEPENDENCYPART_ARC
(17,25),-0.462612 # DEPENDENCYPART_ARC
(17,26),-1.09327 # DEPENDENCYPART_ARC
(17,27),-1.3897 # DEPENDENCYPART_ARC
(17,28),-2.49368 # DEPENDENCYPART_ARC
(17,29),-1.44003 # DEPENDENCYPART_ARC
(17,30),-1.65242 # DEPENDENCYPART_ARC
(17,33),-1.14901 # DEPENDENCYPART_ARC
(17,36),-1.61622 # DEPENDENCYPART_ARC
(17,40),3.00456 # DEPENDENCYPART_ARC
(18,2),0.492995 # DEPENDENCYPART_ARC
(18,3),2.04816 # DEPENDENCYPART_ARC
(18,4),-0.873467 # DEPENDENCYPART_ARC
(18,5),-0.453031 # DEPENDENCYPART_ARC
(18,6),0.858977 # DEPENDENCYPART_ARC
(18,7),-0.216835 # DEPENDENCYPART_ARC
(18,8),2.25102 # DEPENDENCYPART_ARC
(18,9),0.645859 # DEPENDENCYPART_ARC
(18,10),-0.647105 # DEPENDENCYPART_ARC
(18,11),0.538963 # DEPENDENCYPART_ARC
(18,12),-0.949729 # DEPENDENCYPART_ARC
(18,13),0.153291 # DEPENDENCYPART_ARC
(18,14),0.192123 # DEPENDENCYPART_ARC
(18,15),-0.271607 # DEPENDENCYPART_ARC
(18,16),2.18962 # DEPENDENCYPART_ARC
(18,17),3.90577 # DEPENDENCYPART_ARC
(18,19),2.19496 # DEPENDENCYPART_ARC
(18,21),1.56206 # DEPENDENCYPART_ARC
(18,22),0.435219 # DEPENDENCYPART_ARC
(18,23),0.300517 # DEPENDENCYPART_ARC
(18,24),0.442582 # DEPENDENCYPART_ARC
(18,25),0.997141 # DEPENDENCYPART_ARC
(18,26),0.411861 # DEPENDENCYPART_ARC
(18,27),-0.157849 # DEPENDENCYPART_ARC
(18,28),-1.36656 # DEPENDENCYPART_ARC
(18,29),0.288495 # DEPENDENCYPART_ARC
(18,30),-0.295381 # DEPENDENCYPART_ARC
(18,32),-0.124207 # DEPENDENCYPART_ARC
(18,33),-0.215398 # DEPENDENCYPART_ARC
(18,35),-1.88002 # DEPENDENCYPART_ARC
(18,36),-0.280858 # DEPENDENCYPART_ARC
(18,38),-1.49188 # DEPENDENCYPART_ARC
(18,40),4.62699 # DEPENDENCYPART_ARC
(19,18),-0.336236 # DEPENDENCYPART_ARC
(19,20),0.140527 # DEPENDENCYPART_ARC
(19,21),-0.277843 # DEPENDENCYPART_ARC
(19,24),-1.24314 # DEPENDENCYPART_ARC
(20,19),0.97093 # DEPENDENCYPART_ARC
(20,21),0.838105 # DEPENDENCYPART_ARC
(21,8),-0.86117 # DEPENDENCYPART_ARC
(21,15),-2.12474 # DEPENDENCYPART_ARC
(21,18),-1.59918 # DEPENDENCYPART_ARC
(21,19),0.986482 # DEPENDENCYPART_ARC
(21,20),3.42486 # DEPENDENCYPART_ARC
(21,22),3.72957 # DEPENDENCYPART_ARC
(21,23),3.07765 # DEPENDENCYPART_ARC
(21,24),0.54827 # DEPENDENCYPART_ARC
(21,25),0.711994 # DEPENDENCYPART_ARC
(21,26),0.012441 # DEPENDENCYPART_ARC
(21,27),1.00971 # DEPENDENCYPART_ARC
(21,28),0.991664 # DEPENDENCYPART_ARC
(21,29),0.453709 # DEPENDENCYPART_ARC
(21,30),-1.38533 # DEPENDENCYPART_ARC
(21,32),-0.608835 # DEPENDENCYPART_ARC
(21,33),0.616881 # DEPENDENCYPART_ARC
(21,35),-0.348788 # DEPENDENCYPART_ARC
(21,36),-2.43911 # DEPENDENCYPART_ARC
(21,38),-0.336111 # DEPENDENCYPART_ARC
(21,39),-1.60422 # DEPENDENCYPART_ARC
(21,40),0.744897 # DEPENDENCYPART_ARC
(22,20),-0.546416 # DEPENDENCYPART_ARC
(22,23),0.625286 # DEPENDENCYPART_ARC
(22,24),-0.157152 # DEPENDENCYPART_ARC
(22,26),-0.79445 # DEPENDENCYPART_ARC
(22,30),-2.14428 # DEPENDENCYPART_ARC
(23,19),0.231085 # DEPENDENCYPART_ARC
(23,21),-0.358684 # DEPENDENCYPART_ARC
(23,22),-1.28823 # DEPENDENCYPART_ARC
(23,24),1.43662 # DEPENDENCYPART_ARC
(23,26),0.324479 # DEPENDENCYPART_ARC
(23,27),0.869361 # DEPENDENCYPART_ARC
(23,28),-0.493716 # DEPENDENCYPART_ARC
(23,29),-0.338272 # DEPENDENCYPART_ARC
(23,30),0.0926867 # DEPENDENCYPART_ARC
(23,33),0.324274 # DEPENDENCYPART_ARC
(23,36),-1.47159 # DEPENDENCYPART_ARC
(23,38),-1.72041 # DEPENDENCYPART_ARC
(24,19),-0.488836 # DEPENDENCYPART_ARC
(24,21),-0.88159 # DEPENDENCYPART_ARC
(24,22),-0.158361 # DEPENDENCYPART_ARC
(24,23),0.57041 # DEPENDENCYPART_ARC
(24,26),-0.969433 # DEPENDENCYPART_ARC
(24,27),-0.044429 # DEPENDENCYPART_ARC
(26,24),-1.16599 # DEPENDENCYPART_ARC
(26,27),3.18977 # DEPENDENCYPART_ARC
(26,28),-0.371472 # DEPENDENCYPART_ARC
(26,29),-0.0517464 # DEPENDENCYPART_ARC
(26,30),-2.10654 # DEPENDENCYPART_ARC
(26,33),-0.806483 # DEPENDENCYPART_ARC
(26,35),-1.55558 # DEPENDENCYPART_ARC
(26,36),-1.7391 # DEPENDENCYPART_ARC
(28,26),-0.0390265 # DEPENDENCYPART_ARC
(28,27),0.440261 # DEPENDENCYPART_ARC
(28,29),0.101555 # DEPENDENCYPART_ARC
(29,2),-1.29207 # DEPENDENCYPART_ARC
(29,3),1.26139 # DEPENDENCYPART_ARC
(29,4),-1.17067 # DEPENDENCYPART_ARC
(29,5),-1.24119 # DEPENDENCYPART_ARC
(29,6),0.150689 # DEPENDENCYPART_ARC
(29,7),-0.748365 # DEPENDENCYPART_ARC
(29,8),1.55832 # DEPENDENCYPART_ARC
(29,9),-0.244955 # DEPENDENCYPART_ARC
(29,10),-1.79884 # DEPENDENCYPART_ARC
(29,11),-0.771832 # DEPENDENCYPART_ARC
(29,13),-0.51212 # DEPENDENCYPART_ARC
(29,16),0.429387 # DEPENDENCYPART_ARC
(29,17),0.548715 # DEPENDENCYPART_ARC
(29,18),0.190854 # DEPENDENCYPART_ARC
(29,19),0.381615 # DEPENDENCYPART_ARC
(29,21),1.22939 # DEPENDENCYPART_ARC
(29,22),-0.143917 # DEPENDENCYPART_ARC
(29,23),0.295643 # DEPENDENCYPART_ARC
(29,24),0.946195 # DEPENDENCYPART_ARC
(29,25),1.14909 # DEPENDENCYPART_ARC
(29,26),1.7663 # DEPENDENCYPART_ARC
(29,27),0.451813 # DEPENDENCYPART_ARC
(29,28),2.42847 # DEPENDENCYPART_ARC
(29,30),3.74481 # DEPENDENCYPART_ARC
(29,32),2.10468 # DEPENDENCYPART_ARC
(29,33),1.6157 # DEPENDENCYPART_ARC
(29,35),-0.0102152 # DEPENDENCYPART_ARC
(29,36),2.80522 # DEPENDENCYPART_ARC
(29,38),-0.0801434 # DEPENDENCYPART_ARC
(29,39),-0.204483 # DEPENDENCYPART_ARC
(29,40),4.66499 # DEPENDENCYPART_ARC
(30,32),4.04991 # DEPENDENCYPART_ARC
(30,33),0.360106 # DEPENDENCYPART_ARC
(30,35),-0.220405 # DEPENDENCYPART_ARC
(32,30),0.428174 # DEPENDENCYPART_ARC
(32,31),3.05722 # DEPENDENCYPART_ARC
(32,33),2.201 # DEPENDENCYPART_ARC
(32,35),2.56579 # DEPENDENCYPART_ARC
(32,36),1.00122 # DEPENDENCYPART_ARC
(32,38),0.248727 # DEPENDENCYPART_ARC
(32,39),0.812946 # DEPENDENCYPART_ARC
(34,35),-1.06645 # DEPENDENCYPART_ARC
(35,34),2.86694 # DEPENDENCYPART_ARC
(35,36),-0.0652841 # DEPENDENCYPART_ARC
(35,38),-1.3432 # DEPENDENCYPART_ARC
(35,39),-0.969744 # DEPENDENCYPART_ARC
(36,2),-2.22941 # DEPENDENCYPART_ARC
(36,3),0.137624 # DEPENDENCYPART_ARC
(36,4),-1.68807 # DEPENDENCYPART_ARC
(36,5),-2.45674 # DEPENDENCYPART_ARC
(36,6),-0.298477 # DEPENDENCYPART_ARC
(36,7),-1.61012 # DEPENDENCYPART_ARC
(36,8),-0.33394 # DEPENDENCYPART_ARC
(36,9),-0.927191 # DEPENDENCYPART_ARC
(36,16),-0.597668 # DEPENDENCYPART_ARC
(36,17),-0.89229 # DEPENDENCYPART_ARC
(36,18),-0.81963 # DEPENDENCYPART_ARC
(36,19),-0.457652 # DEPENDENCYPART_ARC
(36,21),0.338276 # DEPENDENCYPART_ARC
(36,23),-0.162937 # DEPENDENCYPART_ARC
(36,24),-0.0691626 # DEPENDENCYPART_ARC
(36,26),0.441968 # DEPENDENCYPART_ARC
(36,28),0.273846 # DEPENDENCYPART_ARC
(36,29),-0.123259 # DEPENDENCYPART_ARC
(36,30),1.22215 # DEPENDENCYPART_ARC
(36,32),1.75769 # DEPENDENCYPART_ARC
(36,33),0.859711 # DEPENDENCYPART_ARC
(36,34),-0.157236 # DEPENDENCYPART_ARC
(36,35),2.31599 # DEPENDENCYPART_ARC
(36,38),3.32594 # DEPENDENCYPART_ARC
(36,39),0.739181 # DEPENDENCYPART_ARC
(36,40),3.15496 # DEPENDENCYPART_ARC
(38,34),-1.48514 # DEPENDENCYPART_ARC
(38,37),4.07336 # DEPENDENCYPART_ARC
(38,39),3.9215 # DEPENDENCYPART_ARC
(38,40),0.661886 # DEPENDENCYPART_ARC
(39,37),-0.378353 # DEPENDENCYPART_ARC
