# _root_ Paul_L._Ravelo , doctor en ciències filosòfiques per la Universitat_de_l'_Havana , impartirà a la Casa_de_Cultura de Girona el curs ' Els_mites_de_la_globalització_neoliberal ' .
#goldHeads=11,3,1,3,4,5,3,9,7,3,0,11,14,12,14,15,18,11,20,18,20,11,
#predictedHeads=11,3,1,3,4,5,3,9,7,3,0,11,14,12,14,15,18,11,20,18,20,11,
(9,22),-0.68084 # DEPENDENCYPART_ARC
(11,1),0.660898 # DEPENDENCYPART_ARC
(11,2),-0.629486 # DEPENDENCYPART_ARC
(11,3),0.552536 # DEPENDENCYPART_ARC
(11,4),0.0132735 # DEPENDENCYPART_ARC
(11,5),-0.137791 # DEPENDENCYPART_ARC
(11,6),-0.495251 # DEPENDENCYPART_ARC
(11,7),0.519668 # DEPENDENCYPART_ARC
(11,8),-0.646572 # DEPENDENCYPART_ARC
(11,9),1.67779 # DEPENDENCYPART_ARC
(11,10),1.05924 # DEPENDENCYPART_ARC
(11,12),3.67206 # DEPENDENCYPART_ARC
(11,14),2.07721 # DEPENDENCYPART_ARC
(11,15),0.623011 # DEPENDENCYPART_ARC
(11,16),-0.0371734 # DEPENDENCYPART_ARC
(11,18),1.55016 # DEPENDENCYPART_ARC
(11,19),0.626393 # DEPENDENCYPART_ARC
(11,20),-0.00403584 # DEPENDENCYPART_ARC
(11,21),0.923472 # DEPENDENCYPART_ARC
(11,22),2.85063 # DEPENDENCYPART_ARC
(12,10),-1.21053 # DEPENDENCYPART_ARC
(12,13),-1.39656 # DEPENDENCYPART_ARC
(12,14),3.68298 # DEPENDENCYPART_ARC
(12,15),-0.566514 # DEPENDENCYPART_ARC
(12,16),1.27089 # DEPENDENCYPART_ARC
(12,18),-1.26016 # DEPENDENCYPART_ARC
(12,19),-0.0585289 # DEPENDENCYPART_ARC
(12,21),-0.419969 # DEPENDENCYPART_ARC
(12,22),-1.11616 # DEPENDENCYPART_ARC
(13,12),-0.519673 # DEPENDENCYPART_ARC
(13,14),2.253 # DEPENDENCYPART_ARC
(13,15),0.682693 # DEPENDENCYPART_ARC
(14,7),-1.35914 # DEPENDENCYPART_ARC
(14,10),-0.883222 # DEPENDENCYPART_ARC
(14,13),2.83356 # DEPENDENCYPART_ARC
(14,15),2.62804 # DEPENDENCYPART_ARC
(14,16),0.477287 # DEPENDENCYPART_ARC
(14,18),0.571663 # DEPENDENCYPART_ARC
(14,20),1.17835 # DEPENDENCYPART_ARC
(14,22),-0.0346624 # DEPENDENCYPART_ARC
(15,13),-0.470677 # DEPENDENCYPART_ARC
(15,16),3.54239 # DEPENDENCYPART_ARC
(15,18),-0.779333 # DEPENDENCYPART_ARC
(15,21),-1.69984 # DEPENDENCYPART_ARC
(16,13),0.93603 # DEPENDENCYPART_ARC
(16,18),-0.853227 # DEPENDENCYPART_ARC
(16,19),0.184697 # DEPENDENCYPART_ARC
(16,20),-0.302588 # DEPENDENCYPART_ARC
(16,22),-1.5127 # DEPENDENCYPART_ARC
(17,15),-1.36838 # DEPENDENCYPART_ARC
(17,16),-0.647406 # DEPENDENCYPART_ARC
(18,7),-2.45057 # DEPENDENCYPART_ARC
(18,12),-1.42471 # DEPENDENCYPART_ARC
(18,13),-0.55297 # DEPENDENCYPART_ARC
(18,15),-0.955634 # DEPENDENCYPART_ARC
(18,17),2.27976 # DEPENDENCYPART_ARC
(18,19),1.67652 # DEPENDENCYPART_ARC
(18,20),1.77305 # DEPENDENCYPART_ARC
(18,21),0.86597 # DEPENDENCYPART_ARC
(18,22),1.06464 # DEPENDENCYPART_ARC
(20,12),-0.422201 # DEPENDENCYPART_ARC
(20,15),-0.312704 # DEPENDENCYPART_ARC
(20,17),0.0776221 # DEPENDENCYPART_ARC
(20,18),-0.0221581 # DEPENDENCYPART_ARC
(20,19),4.00845 # DEPENDENCYPART_ARC
(20,21),3.09983 # DEPENDENCYPART_ARC
(20,22),0.00817182 # DEPENDENCYPART_ARC
