# _root_ Al_llarg_dels anys , a_més_del vessant agrícola , el mercat ha incorporat altres sectors econòmics i socioculturals .
#goldHeads=11,1,1,11,4,5,4,9,11,11,0,13,11,13,14,14,11,
#predictedHeads=11,1,1,11,4,5,4,9,11,11,0,13,11,13,14,14,11,
(5,6),3.93173 # DEPENDENCYPART_ARC
(5,7),0.9427 # DEPENDENCYPART_ARC
(5,9),0.661005 # DEPENDENCYPART_ARC
(5,10),0.220045 # DEPENDENCYPART_ARC
(5,11),-0.117166 # DEPENDENCYPART_ARC
(5,13),-0.542231 # DEPENDENCYPART_ARC
(5,14),-1.51437 # DEPENDENCYPART_ARC
(5,15),0.246397 # DEPENDENCYPART_ARC
(5,16),-2.16336 # DEPENDENCYPART_ARC
(5,17),0.223911 # DEPENDENCYPART_ARC
(6,1),-2.04497 # DEPENDENCYPART_ARC
(6,3),0.439989 # DEPENDENCYPART_ARC
(6,4),0.285205 # DEPENDENCYPART_ARC
(6,7),-0.42602 # DEPENDENCYPART_ARC
(6,9),-1.08058 # DEPENDENCYPART_ARC
(6,15),0.976544 # DEPENDENCYPART_ARC
(6,16),-0.989514 # DEPENDENCYPART_ARC
(7,3),-0.426747 # DEPENDENCYPART_ARC
(7,6),-0.300419 # DEPENDENCYPART_ARC
(8,9),-0.488208 # DEPENDENCYPART_ARC
(9,1),-1.6998 # DEPENDENCYPART_ARC
(9,3),-0.736848 # DEPENDENCYPART_ARC
(9,4),-0.523534 # DEPENDENCYPART_ARC
(9,6),-0.647455 # DEPENDENCYPART_ARC
(9,7),0.282378 # DEPENDENCYPART_ARC
(9,8),3.23716 # DEPENDENCYPART_ARC
(9,10),-0.841855 # DEPENDENCYPART_ARC
(9,14),-2.49456 # DEPENDENCYPART_ARC
(9,16),-3.66365 # DEPENDENCYPART_ARC
(9,17),-0.799502 # DEPENDENCYPART_ARC
(10,1),-0.906433 # DEPENDENCYPART_ARC
(10,3),-1.78391 # DEPENDENCYPART_ARC
(10,4),-0.590149 # DEPENDENCYPART_ARC
(10,7),-1.43792 # DEPENDENCYPART_ARC
(10,9),-0.144137 # DEPENDENCYPART_ARC
(10,11),0.291353 # DEPENDENCYPART_ARC
(10,13),-0.281475 # DEPENDENCYPART_ARC
(10,15),-0.718328 # DEPENDENCYPART_ARC
(10,17),2.98165 # DEPENDENCYPART_ARC
(11,1),1.55552 # DEPENDENCYPART_ARC
(11,2),-0.351832 # DEPENDENCYPART_ARC
(11,3),0.47173 # DEPENDENCYPART_ARC
(11,4),1.46846 # DEPENDENCYPART_ARC
(11,5),1.24845 # DEPENDENCYPART_ARC
(11,6),-0.249578 # DEPENDENCYPART_ARC
(11,7),0.709331 # DEPENDENCYPART_ARC
(11,8),0.0763948 # DEPENDENCYPART_ARC
(11,9),2.42782 # DEPENDENCYPART_ARC
(11,10),6.0803 # DEPENDENCYPART_ARC
(11,13),3.70697 # DEPENDENCYPART_ARC
(11,14),1.16185 # DEPENDENCYPART_ARC
(11,15),0.758245 # DEPENDENCYPART_ARC
(11,16),0.568373 # DEPENDENCYPART_ARC
(11,17),4.35583 # DEPENDENCYPART_ARC
(13,1),-2.67958 # DEPENDENCYPART_ARC
(13,3),-1.5802 # DEPENDENCYPART_ARC
(13,4),-1.47839 # DEPENDENCYPART_ARC
(13,7),-1.47678 # DEPENDENCYPART_ARC
(13,8),-1.23882 # DEPENDENCYPART_ARC
(13,9),-2.3376 # DEPENDENCYPART_ARC
(13,12),2.61517 # DEPENDENCYPART_ARC
(13,14),3.63998 # DEPENDENCYPART_ARC
(13,15),1.0369 # DEPENDENCYPART_ARC
(13,16),1.26926 # DEPENDENCYPART_ARC
(13,17),1.13475 # DEPENDENCYPART_ARC
(14,4),-1.75591 # DEPENDENCYPART_ARC
(14,9),-2.21279 # DEPENDENCYPART_ARC
(14,12),-1.41609 # DEPENDENCYPART_ARC
(14,15),3.34763 # DEPENDENCYPART_ARC
(14,16),3.32125 # DEPENDENCYPART_ARC
(14,17),0.457539 # DEPENDENCYPART_ARC
(16,7),-2.07894 # DEPENDENCYPART_ARC
(16,14),1.42155 # DEPENDENCYPART_ARC
(16,15),1.19101 # DEPENDENCYPART_ARC
(16,17),-1.06223 # DEPENDENCYPART_ARC
