# _root_ Quan ens movem al_voltant_del 3% , ¿ qui es recorda de l' època dels Pactes_de_la_Moncloa , amb un IPC que gairebé arribava al 30% ?
#goldHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,13,19,17,22,22,19,22,23,10,
#predictedHeads=3,3,0,3,4,3,10,10,10,3,10,13,11,13,14,17,10,19,17,22,22,19,22,23,10,
(14,7),-1.58819 # DEPENDENCYPART_ARC
(14,12),-1.04401 # DEPENDENCYPART_ARC
(14,15),3.07132 # DEPENDENCYPART_ARC
(14,16),0.59639 # DEPENDENCYPART_ARC
(14,17),-0.186304 # DEPENDENCYPART_ARC
(14,19),-1.37279 # DEPENDENCYPART_ARC
(14,22),-1.87691 # DEPENDENCYPART_ARC
(15,12),-0.00979393 # DEPENDENCYPART_ARC
(15,16),-0.154661 # DEPENDENCYPART_ARC
(15,17),-0.145347 # DEPENDENCYPART_ARC
(15,19),-0.368543 # DEPENDENCYPART_ARC
(15,21),-1.23208 # DEPENDENCYPART_ARC
(15,22),0.698747 # DEPENDENCYPART_ARC
(17,3),-1.1284 # DEPENDENCYPART_ARC
(17,7),-0.593312 # DEPENDENCYPART_ARC
(17,10),-0.618643 # DEPENDENCYPART_ARC
(17,11),-0.805001 # DEPENDENCYPART_ARC
(17,14),-0.576316 # DEPENDENCYPART_ARC
(17,16),2.00557 # DEPENDENCYPART_ARC
(17,18),-1.2091 # DEPENDENCYPART_ARC
(17,19),3.82419 # DEPENDENCYPART_ARC
(17,21),-1.26784 # DEPENDENCYPART_ARC
(17,22),-0.430014 # DEPENDENCYPART_ARC
(17,23),-1.44184 # DEPENDENCYPART_ARC
(18,21),-0.725739 # DEPENDENCYPART_ARC
(18,23),-1.71666 # DEPENDENCYPART_ARC
(19,3),-2.76107 # DEPENDENCYPART_ARC
(19,10),-1.66169 # DEPENDENCYPART_ARC
(19,11),-0.671813 # DEPENDENCYPART_ARC
(19,14),-0.214399 # DEPENDENCYPART_ARC
(19,16),0.453927 # DEPENDENCYPART_ARC
(19,17),1.12025 # DEPENDENCYPART_ARC
(19,18),3.84748 # DEPENDENCYPART_ARC
(19,21),0.14128 # DEPENDENCYPART_ARC
(19,22),2.57176 # DEPENDENCYPART_ARC
(19,23),-1.48794 # DEPENDENCYPART_ARC
(19,24),-0.46351 # DEPENDENCYPART_ARC
(20,23),-1.11506 # DEPENDENCYPART_ARC
(21,22),-0.10615 # DEPENDENCYPART_ARC
(21,23),-1.57609 # DEPENDENCYPART_ARC
(21,24),-1.90801 # DEPENDENCYPART_ARC
(22,1),1.64397 # DEPENDENCYPART_ARC
(22,3),-0.744723 # DEPENDENCYPART_ARC
(22,4),-0.488274 # DEPENDENCYPART_ARC
(22,6),-0.0695795 # DEPENDENCYPART_ARC
(22,10),0.0597658 # DEPENDENCYPART_ARC
(22,11),-0.913356 # DEPENDENCYPART_ARC
(22,13),0.777299 # DEPENDENCYPART_ARC
(22,14),-0.782083 # DEPENDENCYPART_ARC
(22,15),-0.188105 # DEPENDENCYPART_ARC
(22,16),1.1396 # DEPENDENCYPART_ARC
(22,17),1.56641 # DEPENDENCYPART_ARC
(22,19),1.60376 # DEPENDENCYPART_ARC
(22,20),4.24165 # DEPENDENCYPART_ARC
(22,21),3.48836 # DEPENDENCYPART_ARC
(22,23),3.70537 # DEPENDENCYPART_ARC
(22,24),0.500505 # DEPENDENCYPART_ARC
(22,25),1.47614 # DEPENDENCYPART_ARC
(23,10),-3.3287 # DEPENDENCYPART_ARC
(23,21),-1.03858 # DEPENDENCYPART_ARC
(23,24),2.11165 # DEPENDENCYPART_ARC
(23,25),-0.23364 # DEPENDENCYPART_ARC
(24,14),-0.911506 # DEPENDENCYPART_ARC
(24,17),-1.64564 # DEPENDENCYPART_ARC
(24,23),0.608485 # DEPENDENCYPART_ARC
