# _root_ L' Ajuntament_de_Girona està preparant la redacció d' un nou Pla_General que , segons ha explicat l' alcalde , podria estar llest a finals del 2001 .
#goldHeads=2,4,4,0,6,4,6,10,10,7,20,15,15,15,20,17,15,15,20,10,20,20,22,23,24,4,
#predictedHeads=2,4,4,0,6,4,6,10,10,7,15,15,15,15,10,17,15,15,20,15,20,20,22,23,24,4,
(4,20),-1.34508 # DEPENDENCYPART_ARC
(4,21),-1.0077 # DEPENDENCYPART_ARC
(4,22),-1.348 # DEPENDENCYPART_ARC
(4,25),-1.60079 # DEPENDENCYPART_ARC
(4,26),5.51241 # DEPENDENCYPART_ARC
(5,6),2.63615 # DEPENDENCYPART_ARC
(5,7),0.201487 # DEPENDENCYPART_ARC
(5,8),-0.938538 # DEPENDENCYPART_ARC
(6,1),-1.61332 # DEPENDENCYPART_ARC
(6,3),-1.80493 # DEPENDENCYPART_ARC
(6,4),-0.122089 # DEPENDENCYPART_ARC
(6,5),3.45348 # DEPENDENCYPART_ARC
(6,7),2.89681 # DEPENDENCYPART_ARC
(6,8),-0.996503 # DEPENDENCYPART_ARC
(6,9),-0.664161 # DEPENDENCYPART_ARC
(6,10),0.478277 # DEPENDENCYPART_ARC
(6,12),0.015507 # DEPENDENCYPART_ARC
(6,14),-0.231576 # DEPENDENCYPART_ARC
(6,15),-0.415338 # DEPENDENCYPART_ARC
(6,17),-1.746 # DEPENDENCYPART_ARC
(6,18),-0.863193 # DEPENDENCYPART_ARC
(6,19),-3.08688 # DEPENDENCYPART_ARC
(6,20),-2.59918 # DEPENDENCYPART_ARC
(6,21),-2.87356 # DEPENDENCYPART_ARC
(6,22),-0.919109 # DEPENDENCYPART_ARC
(6,24),-2.38058 # DEPENDENCYPART_ARC
(6,26),0.583614 # DEPENDENCYPART_ARC
(7,5),-0.456033 # DEPENDENCYPART_ARC
(7,8),-0.967379 # DEPENDENCYPART_ARC
(7,9),1.23085 # DEPENDENCYPART_ARC
(7,10),2.96475 # DEPENDENCYPART_ARC
(7,12),0.674081 # DEPENDENCYPART_ARC
(7,13),-0.329353 # DEPENDENCYPART_ARC
(7,15),-1.14857 # DEPENDENCYPART_ARC
(7,17),-3.04079 # DEPENDENCYPART_ARC
(8,7),0.490614 # DEPENDENCYPART_ARC
(8,9),0.312466 # DEPENDENCYPART_ARC
(9,5),-1.38057 # DEPENDENCYPART_ARC
(9,7),-0.0838219 # DEPENDENCYPART_ARC
(9,8),0.411268 # DEPENDENCYPART_ARC
(9,10),0.69808 # DEPENDENCYPART_ARC
(9,12),-0.322704 # DEPENDENCYPART_ARC
(9,13),-0.679539 # DEPENDENCYPART_ARC
(9,14),-0.637423 # DEPENDENCYPART_ARC
(9,15),-1.11885 # DEPENDENCYPART_ARC
(9,17),-1.9298 # DEPENDENCYPART_ARC
(9,19),-1.99011 # DEPENDENCYPART_ARC
(9,20),-2.56721 # DEPENDENCYPART_ARC
(9,21),-2.18192 # DEPENDENCYPART_ARC
(10,4),-1.12733 # DEPENDENCYPART_ARC
(10,7),0.772746 # DEPENDENCYPART_ARC
(10,8),3.32943 # DEPENDENCYPART_ARC
(10,9),3.76275 # DEPENDENCYPART_ARC
(10,12),0.895187 # DEPENDENCYPART_ARC
(10,13),0.38761 # DEPENDENCYPART_ARC
(10,14),1.03016 # DEPENDENCYPART_ARC
(10,15),0.965796 # DEPENDENCYPART_ARC
(10,17),-0.962372 # DEPENDENCYPART_ARC
(10,18),0.0456579 # DEPENDENCYPART_ARC
(10,19),-1.492 # DEPENDENCYPART_ARC
(10,20),-1.17368 # DEPENDENCYPART_ARC
(10,21),-0.859912 # DEPENDENCYPART_ARC
(10,24),-3.03738 # DEPENDENCYPART_ARC
(10,25),-0.693191 # DEPENDENCYPART_ARC
(10,26),1.64509 # DEPENDENCYPART_ARC
(11,13),-0.618883 # DEPENDENCYPART_ARC
(13,12),-0.0636502 # DEPENDENCYPART_ARC
(13,14),-0.167951 # DEPENDENCYPART_ARC
(14,3),-3.25248 # DEPENDENCYPART_ARC
(14,4),-3.87764 # DEPENDENCYPART_ARC
(14,11),-1.00443 # DEPENDENCYPART_ARC
(14,12),-0.0131788 # DEPENDENCYPART_ARC
(14,13),1.68458 # DEPENDENCYPART_ARC
(14,17),-0.950316 # DEPENDENCYPART_ARC
(14,18),-0.392813 # DEPENDENCYPART_ARC
(14,19),-2.17265 # DEPENDENCYPART_ARC
(14,20),-2.27017 # DEPENDENCYPART_ARC
(14,22),-1.5363 # DEPENDENCYPART_ARC
(14,26),-1.13827 # DEPENDENCYPART_ARC
(15,2),-0.950533 # DEPENDENCYPART_ARC
(15,3),-0.427524 # DEPENDENCYPART_ARC
(15,4),-1.81128 # DEPENDENCYPART_ARC
(15,6),-1.38721 # DEPENDENCYPART_ARC
(15,7),-1.88869 # DEPENDENCYPART_ARC
(15,9),-0.746269 # DEPENDENCYPART_ARC
(15,10),-0.955819 # DEPENDENCYPART_ARC
(15,11),1.08587 # DEPENDENCYPART_ARC
(15,12),2.35642 # DEPENDENCYPART_ARC
(15,13),3.61431 # DEPENDENCYPART_ARC
(15,14),5.92078 # DEPENDENCYPART_ARC
(15,17),2.6231 # DEPENDENCYPART_ARC
(15,18),2.04994 # DEPENDENCYPART_ARC
(15,19),0.734825 # DEPENDENCYPART_ARC
(15,20),-0.192094 # DEPENDENCYPART_ARC
(15,21),-0.57729 # DEPENDENCYPART_ARC
(15,22),0.378601 # DEPENDENCYPART_ARC
(15,24),-1.75281 # DEPENDENCYPART_ARC
(15,25),-0.715944 # DEPENDENCYPART_ARC
(15,26),2.81385 # DEPENDENCYPART_ARC
(17,3),-2.50506 # DEPENDENCYPART_ARC
(17,4),-1.91608 # DEPENDENCYPART_ARC
(17,7),-0.356212 # DEPENDENCYPART_ARC
(17,14),-0.725776 # DEPENDENCYPART_ARC
(17,15),-0.693027 # DEPENDENCYPART_ARC
(17,16),3.6892 # DEPENDENCYPART_ARC
(17,18),0.2571 # DEPENDENCYPART_ARC
(17,19),-0.351308 # DEPENDENCYPART_ARC
(17,20),-0.458131 # DEPENDENCYPART_ARC
(17,21),-0.0579129 # DEPENDENCYPART_ARC
(17,22),-0.434786 # DEPENDENCYPART_ARC
(17,24),-1.03493 # DEPENDENCYPART_ARC
(17,25),-1.1076 # DEPENDENCYPART_ARC
(18,17),-2.09197 # DEPENDENCYPART_ARC
(19,2),-3.8553 # DEPENDENCYPART_ARC
(19,3),-3.26801 # DEPENDENCYPART_ARC
(19,4),-3.70498 # DEPENDENCYPART_ARC
(19,6),-3.72525 # DEPENDENCYPART_ARC
(19,10),-3.68691 # DEPENDENCYPART_ARC
(19,11),-1.84072 # DEPENDENCYPART_ARC
(19,13),-0.719403 # DEPENDENCYPART_ARC
(19,14),0.715065 # DEPENDENCYPART_ARC
(19,15),-1.34574 # DEPENDENCYPART_ARC
(19,17),-1.16531 # DEPENDENCYPART_ARC
(19,18),-1.39612 # DEPENDENCYPART_ARC
(19,20),0.97658 # DEPENDENCYPART_ARC
(19,21),-0.809115 # DEPENDENCYPART_ARC
(19,22),-0.473504 # DEPENDENCYPART_ARC
(19,24),-2.54724 # DEPENDENCYPART_ARC
(19,25),-2.10739 # DEPENDENCYPART_ARC
(19,26),0.80784 # DEPENDENCYPART_ARC
(20,2),-0.390374 # DEPENDENCYPART_ARC
(20,3),-1.28743 # DEPENDENCYPART_ARC
(20,4),-1.99786 # DEPENDENCYPART_ARC
(20,6),-0.848462 # DEPENDENCYPART_ARC
(20,9),-0.471649 # DEPENDENCYPART_ARC
(20,10),-0.573983 # DEPENDENCYPART_ARC
(20,11),0.402382 # DEPENDENCYPART_ARC
(20,12),0.673356 # DEPENDENCYPART_ARC
(20,13),2.34946 # DEPENDENCYPART_ARC
(20,14),2.51538 # DEPENDENCYPART_ARC
(20,15),0.19139 # DEPENDENCYPART_ARC
(20,16),-0.125381 # DEPENDENCYPART_ARC
(20,17),1.36989 # DEPENDENCYPART_ARC
(20,18),0.12222 # DEPENDENCYPART_ARC
(20,19),5.24546 # DEPENDENCYPART_ARC
(20,21),2.64329 # DEPENDENCYPART_ARC
(20,22),2.33839 # DEPENDENCYPART_ARC
(20,23),1.17058 # DEPENDENCYPART_ARC
(20,24),-0.0418494 # DEPENDENCYPART_ARC
(20,25),0.348064 # DEPENDENCYPART_ARC
(20,26),3.12052 # DEPENDENCYPART_ARC
(21,18),-0.948559 # DEPENDENCYPART_ARC
(21,22),2.05696 # DEPENDENCYPART_ARC
(21,23),-0.42135 # DEPENDENCYPART_ARC
(21,24),-1.08534 # DEPENDENCYPART_ARC
(21,25),-0.105817 # DEPENDENCYPART_ARC
(22,21),-0.148309 # DEPENDENCYPART_ARC
(22,23),4.26588 # DEPENDENCYPART_ARC
(22,24),-0.018589 # DEPENDENCYPART_ARC
(22,25),-0.21168 # DEPENDENCYPART_ARC
(23,21),-1.5641 # DEPENDENCYPART_ARC
(23,22),0.50683 # DEPENDENCYPART_ARC
(23,24),2.66708 # DEPENDENCYPART_ARC
(23,25),0.518328 # DEPENDENCYPART_ARC
(23,26),0.235256 # DEPENDENCYPART_ARC
(24,25),3.13809 # DEPENDENCYPART_ARC
(25,22),-0.935864 # DEPENDENCYPART_ARC
(25,24),0.647149 # DEPENDENCYPART_ARC
(25,26),-0.642083 # DEPENDENCYPART_ARC
