# _root_ La inflació acumulada a la demarcació de Barcelona és de l' 1,7% i la interanual se situa en el 3,5% .
#goldHeads=2,9,2,3,6,4,6,7,0,9,12,10,9,15,17,17,9,17,20,18,9,
#predictedHeads=2,9,2,3,6,4,6,7,0,9,12,10,9,15,17,17,9,17,20,18,9,
(7,5),-0.146358 # DEPENDENCYPART_ARC
(7,8),3.66123 # DEPENDENCYPART_ARC
(7,9),-0.918229 # DEPENDENCYPART_ARC
(7,10),-1.13681 # DEPENDENCYPART_ARC
(7,12),-1.75299 # DEPENDENCYPART_ARC
(7,15),-2.59319 # DEPENDENCYPART_ARC
(7,17),-1.73807 # DEPENDENCYPART_ARC
(8,4),-0.850172 # DEPENDENCYPART_ARC
(8,5),0.710495 # DEPENDENCYPART_ARC
(8,7),1.4181 # DEPENDENCYPART_ARC
(8,12),-3.09809 # DEPENDENCYPART_ARC
(9,2),2.3201 # DEPENDENCYPART_ARC
(9,3),0.278079 # DEPENDENCYPART_ARC
(9,4),0.424083 # DEPENDENCYPART_ARC
(9,5),-0.526368 # DEPENDENCYPART_ARC
(9,6),2.46446 # DEPENDENCYPART_ARC
(9,7),-0.084922 # DEPENDENCYPART_ARC
(9,8),1.54861 # DEPENDENCYPART_ARC
(9,10),2.12059 # DEPENDENCYPART_ARC
(9,12),0.294115 # DEPENDENCYPART_ARC
(9,13),1.99745 # DEPENDENCYPART_ARC
(9,15),0.0229871 # DEPENDENCYPART_ARC
(9,17),2.4334 # DEPENDENCYPART_ARC
(9,18),0.249385 # DEPENDENCYPART_ARC
(9,20),-0.544367 # DEPENDENCYPART_ARC
(9,21),6.10107 # DEPENDENCYPART_ARC
(10,9),0.0423862 # DEPENDENCYPART_ARC
(10,11),-0.406866 # DEPENDENCYPART_ARC
(10,12),2.10132 # DEPENDENCYPART_ARC
(10,13),0.648444 # DEPENDENCYPART_ARC
(10,15),0.647667 # DEPENDENCYPART_ARC
(10,17),0.278237 # DEPENDENCYPART_ARC
(10,18),-1.35835 # DEPENDENCYPART_ARC
(11,10),0.547411 # DEPENDENCYPART_ARC
(11,13),0.119449 # DEPENDENCYPART_ARC
(11,14),-0.564623 # DEPENDENCYPART_ARC
(12,4),-0.894519 # DEPENDENCYPART_ARC
(12,7),-0.134815 # DEPENDENCYPART_ARC
(12,10),0.970155 # DEPENDENCYPART_ARC
(12,11),2.62612 # DEPENDENCYPART_ARC
(12,13),1.67025 # DEPENDENCYPART_ARC
(12,15),0.29634 # DEPENDENCYPART_ARC
(12,17),0.611946 # DEPENDENCYPART_ARC
(12,18),-0.4328 # DEPENDENCYPART_ARC
(12,20),-0.110766 # DEPENDENCYPART_ARC
(12,21),0.324552 # DEPENDENCYPART_ARC
(14,12),-0.935731 # DEPENDENCYPART_ARC
(14,13),-0.281539 # DEPENDENCYPART_ARC
(14,15),-0.824116 # DEPENDENCYPART_ARC
(15,7),-0.720154 # DEPENDENCYPART_ARC
(15,10),0.0776626 # DEPENDENCYPART_ARC
(15,11),-0.638223 # DEPENDENCYPART_ARC
(15,13),0.297103 # DEPENDENCYPART_ARC
(15,14),2.01504 # DEPENDENCYPART_ARC
(15,17),0.313608 # DEPENDENCYPART_ARC
(15,18),-2.2163 # DEPENDENCYPART_ARC
(15,20),-1.91892 # DEPENDENCYPART_ARC
(17,2),0.447803 # DEPENDENCYPART_ARC
(17,3),-0.85533 # DEPENDENCYPART_ARC
(17,4),-0.785134 # DEPENDENCYPART_ARC
(17,6),0.0381777 # DEPENDENCYPART_ARC
(17,7),-1.56122 # DEPENDENCYPART_ARC
(17,8),-0.796352 # DEPENDENCYPART_ARC
(17,9),-0.728382 # DEPENDENCYPART_ARC
(17,10),-0.547879 # DEPENDENCYPART_ARC
(17,11),-0.955671 # DEPENDENCYPART_ARC
(17,12),0.356101 # DEPENDENCYPART_ARC
(17,13),0.318877 # DEPENDENCYPART_ARC
(17,14),-0.220982 # DEPENDENCYPART_ARC
(17,15),0.829303 # DEPENDENCYPART_ARC
(17,16),3.80691 # DEPENDENCYPART_ARC
(17,18),3.64498 # DEPENDENCYPART_ARC
(17,20),0.254335 # DEPENDENCYPART_ARC
(17,21),2.74272 # DEPENDENCYPART_ARC
(18,12),-2.34727 # DEPENDENCYPART_ARC
(18,14),-2.2432 # DEPENDENCYPART_ARC
(18,19),-1.28292 # DEPENDENCYPART_ARC
(18,20),2.30997 # DEPENDENCYPART_ARC
(18,21),-0.30125 # DEPENDENCYPART_ARC
(19,18),-0.895598 # DEPENDENCYPART_ARC
(20,10),-0.087522 # DEPENDENCYPART_ARC
(20,18),0.463272 # DEPENDENCYPART_ARC
(20,19),2.53732 # DEPENDENCYPART_ARC
(20,21),0.452262 # DEPENDENCYPART_ARC
