# _root_ ' Carpe_Diem ' és un homenatge a la vida : ' aprofita el temps al màxim , que la vida sigui extraordinària , que cada moment sigui únic ' .
#goldHeads=2,4,2,0,6,4,6,9,7,12,12,6,14,12,12,15,12,21,20,21,12,21,12,27,26,27,12,27,12,4,
#predictedHeads=2,4,2,12,6,4,6,9,7,12,12,0,14,12,12,15,12,21,20,21,12,21,27,27,26,27,21,27,27,12,
(5,7),0.0836332 # DEPENDENCYPART_ARC
(6,3),1.18361 # DEPENDENCYPART_ARC
(6,4),0.790069 # DEPENDENCYPART_ARC
(6,5),3.65283 # DEPENDENCYPART_ARC
(6,7),2.38408 # DEPENDENCYPART_ARC
(6,9),1.01014 # DEPENDENCYPART_ARC
(6,10),-0.00886755 # DEPENDENCYPART_ARC
(6,11),0.236087 # DEPENDENCYPART_ARC
(6,12),0.521809 # DEPENDENCYPART_ARC
(6,14),-0.48746 # DEPENDENCYPART_ARC
(6,15),0.0576934 # DEPENDENCYPART_ARC
(6,17),0.22793 # DEPENDENCYPART_ARC
(6,18),-1.22673 # DEPENDENCYPART_ARC
(6,20),-1.27019 # DEPENDENCYPART_ARC
(6,21),-1.54733 # DEPENDENCYPART_ARC
(6,22),-3.79668 # DEPENDENCYPART_ARC
(6,24),-1.89333 # DEPENDENCYPART_ARC
(6,26),-2.3977 # DEPENDENCYPART_ARC
(6,30),0.175341 # DEPENDENCYPART_ARC
(7,4),-0.227962 # DEPENDENCYPART_ARC
(7,5),-1.22076 # DEPENDENCYPART_ARC
(7,6),-0.810948 # DEPENDENCYPART_ARC
(7,9),4.68668 # DEPENDENCYPART_ARC
(7,11),-0.773121 # DEPENDENCYPART_ARC
(7,12),-1.12718 # DEPENDENCYPART_ARC
(8,6),-1.19949 # DEPENDENCYPART_ARC
(8,7),-0.427641 # DEPENDENCYPART_ARC
(9,4),-1.1468 # DEPENDENCYPART_ARC
(9,5),-0.244301 # DEPENDENCYPART_ARC
(9,6),-1.79607 # DEPENDENCYPART_ARC
(9,7),0.0725191 # DEPENDENCYPART_ARC
(9,8),3.84966 # DEPENDENCYPART_ARC
(9,10),-0.845664 # DEPENDENCYPART_ARC
(9,11),-1.01937 # DEPENDENCYPART_ARC
(9,12),-0.0809531 # DEPENDENCYPART_ARC
(9,14),-2.17318 # DEPENDENCYPART_ARC
(9,18),-2.48321 # DEPENDENCYPART_ARC
(10,15),-0.904708 # DEPENDENCYPART_ARC
(12,1),0.557242 # DEPENDENCYPART_ARC
(12,2),-0.277108 # DEPENDENCYPART_ARC
(12,3),-0.315374 # DEPENDENCYPART_ARC
(12,4),1.10558 # DEPENDENCYPART_ARC
(12,6),0.632128 # DEPENDENCYPART_ARC
(12,7),0.127113 # DEPENDENCYPART_ARC
(12,8),-0.846528 # DEPENDENCYPART_ARC
(12,9),1.57302 # DEPENDENCYPART_ARC
(12,10),2.39946 # DEPENDENCYPART_ARC
(12,11),2.51631 # DEPENDENCYPART_ARC
(12,14),3.09943 # DEPENDENCYPART_ARC
(12,15),2.7986 # DEPENDENCYPART_ARC
(12,16),1.26957 # DEPENDENCYPART_ARC
(12,17),1.6738 # DEPENDENCYPART_ARC
(12,18),0.332799 # DEPENDENCYPART_ARC
(12,20),-0.42073 # DEPENDENCYPART_ARC
(12,21),1.191 # DEPENDENCYPART_ARC
(12,22),-0.435237 # DEPENDENCYPART_ARC
(12,23),1.21755 # DEPENDENCYPART_ARC
(12,24),-0.678101 # DEPENDENCYPART_ARC
(12,26),-2.66559 # DEPENDENCYPART_ARC
(12,27),0.012363 # DEPENDENCYPART_ARC
(12,28),-0.901018 # DEPENDENCYPART_ARC
(12,29),1.18626 # DEPENDENCYPART_ARC
(12,30),5.22869 # DEPENDENCYPART_ARC
(13,14),0.700702 # DEPENDENCYPART_ARC
(13,15),-0.500505 # DEPENDENCYPART_ARC
(14,4),0.476412 # DEPENDENCYPART_ARC
(14,7),-0.861222 # DEPENDENCYPART_ARC
(14,8),-2.01969 # DEPENDENCYPART_ARC
(14,10),0.364142 # DEPENDENCYPART_ARC
(14,11),0.757913 # DEPENDENCYPART_ARC
(14,12),2.22507 # DEPENDENCYPART_ARC
(14,13),3.49444 # DEPENDENCYPART_ARC
(14,15),1.3782 # DEPENDENCYPART_ARC
(14,16),-0.118543 # DEPENDENCYPART_ARC
(14,17),0.29547 # DEPENDENCYPART_ARC
(14,18),-0.267265 # DEPENDENCYPART_ARC
(14,20),-0.84568 # DEPENDENCYPART_ARC
(14,21),-0.632721 # DEPENDENCYPART_ARC
(14,22),-2.80806 # DEPENDENCYPART_ARC
(14,23),-1.09698 # DEPENDENCYPART_ARC
(14,24),-1.80503 # DEPENDENCYPART_ARC
(14,26),-3.32166 # DEPENDENCYPART_ARC
(14,27),-2.99402 # DEPENDENCYPART_ARC
(14,28),-2.19147 # DEPENDENCYPART_ARC
(14,29),-1.34296 # DEPENDENCYPART_ARC
(15,11),-1.44385 # DEPENDENCYPART_ARC
(15,13),-0.659866 # DEPENDENCYPART_ARC
(15,14),-0.570869 # DEPENDENCYPART_ARC
(15,16),4.48844 # DEPENDENCYPART_ARC
(15,17),1.24537 # DEPENDENCYPART_ARC
(15,18),-0.345599 # DEPENDENCYPART_ARC
(16,4),-3.5824 # DEPENDENCYPART_ARC
(16,10),-2.23848 # DEPENDENCYPART_ARC
(16,13),-1.39905 # DEPENDENCYPART_ARC
(16,14),-2.42566 # DEPENDENCYPART_ARC
(16,17),-0.165141 # DEPENDENCYPART_ARC
(16,18),-1.32272 # DEPENDENCYPART_ARC
(16,20),-1.63459 # DEPENDENCYPART_ARC
(16,21),-0.779162 # DEPENDENCYPART_ARC
(16,22),-2.98612 # DEPENDENCYPART_ARC
(16,28),-2.43336 # DEPENDENCYPART_ARC
(18,17),0.253114 # DEPENDENCYPART_ARC
(18,20),-1.36505 # DEPENDENCYPART_ARC
(18,27),-2.10942 # DEPENDENCYPART_ARC
(18,29),-1.43816 # DEPENDENCYPART_ARC
(19,20),0.952689 # DEPENDENCYPART_ARC
(20,4),-2.15613 # DEPENDENCYPART_ARC
(20,10),-2.0007 # DEPENDENCYPART_ARC
(20,12),-1.55266 # DEPENDENCYPART_ARC
(20,15),-1.60876 # DEPENDENCYPART_ARC
(20,18),0.861853 # DEPENDENCYPART_ARC
(20,19),3.49139 # DEPENDENCYPART_ARC
(20,21),-0.456709 # DEPENDENCYPART_ARC
(20,22),-0.57158 # DEPENDENCYPART_ARC
(20,27),-3.20408 # DEPENDENCYPART_ARC
(20,28),-4.36966 # DEPENDENCYPART_ARC
(21,1),-1.06272 # DEPENDENCYPART_ARC
(21,2),-2.05303 # DEPENDENCYPART_ARC
(21,3),-1.94491 # DEPENDENCYPART_ARC
(21,4),-0.265552 # DEPENDENCYPART_ARC
(21,6),-0.25589 # DEPENDENCYPART_ARC
(21,7),-2.64121 # DEPENDENCYPART_ARC
(21,9),-1.05543 # DEPENDENCYPART_ARC
(21,10),0.845683 # DEPENDENCYPART_ARC
(21,11),-0.318285 # DEPENDENCYPART_ARC
(21,12),-0.263916 # DEPENDENCYPART_ARC
(21,14),0.777176 # DEPENDENCYPART_ARC
(21,15),-0.771111 # DEPENDENCYPART_ARC
(21,16),-0.784501 # DEPENDENCYPART_ARC
(21,17),1.54468 # DEPENDENCYPART_ARC
(21,18),3.77225 # DEPENDENCYPART_ARC
(21,19),0.11552 # DEPENDENCYPART_ARC
(21,20),2.76848 # DEPENDENCYPART_ARC
(21,22),2.68822 # DEPENDENCYPART_ARC
(21,23),0.793794 # DEPENDENCYPART_ARC
(21,24),-0.294233 # DEPENDENCYPART_ARC
(21,26),-1.1069 # DEPENDENCYPART_ARC
(21,27),1.67978 # DEPENDENCYPART_ARC
(21,28),-0.674176 # DEPENDENCYPART_ARC
(21,29),0.376746 # DEPENDENCYPART_ARC
(21,30),3.20913 # DEPENDENCYPART_ARC
(22,15),-1.9275 # DEPENDENCYPART_ARC
(22,19),-0.868668 # DEPENDENCYPART_ARC
(22,20),-1.23303 # DEPENDENCYPART_ARC
(22,21),-1.03719 # DEPENDENCYPART_ARC
(22,23),0.483484 # DEPENDENCYPART_ARC
(22,24),-1.03663 # DEPENDENCYPART_ARC
(22,26),-1.35706 # DEPENDENCYPART_ARC
(22,27),-0.363146 # DEPENDENCYPART_ARC
(22,28),-2.2424 # DEPENDENCYPART_ARC
(22,29),-0.722572 # DEPENDENCYPART_ARC
(23,22),-0.31127 # DEPENDENCYPART_ARC
(24,23),0.151871 # DEPENDENCYPART_ARC
(24,25),-1.50892 # DEPENDENCYPART_ARC
(24,26),-1.44774 # DEPENDENCYPART_ARC
(24,28),-2.13331 # DEPENDENCYPART_ARC
(24,29),-1.57158 # DEPENDENCYPART_ARC
(25,26),0.634586 # DEPENDENCYPART_ARC
(26,10),-2.52533 # DEPENDENCYPART_ARC
(26,21),-2.74308 # DEPENDENCYPART_ARC
(26,22),-1.45779 # DEPENDENCYPART_ARC
(26,23),-1.01447 # DEPENDENCYPART_ARC
(26,24),0.893729 # DEPENDENCYPART_ARC
(26,25),3.0503 # DEPENDENCYPART_ARC
(26,27),-0.732677 # DEPENDENCYPART_ARC
(26,28),-1.18969 # DEPENDENCYPART_ARC
(26,29),-1.48867 # DEPENDENCYPART_ARC
(27,2),-3.73478 # DEPENDENCYPART_ARC
(27,6),-2.03738 # DEPENDENCYPART_ARC
(27,7),-4.2454 # DEPENDENCYPART_ARC
(27,11),-1.39169 # DEPENDENCYPART_ARC
(27,12),-1.0526 # DEPENDENCYPART_ARC
(27,14),-0.34273 # DEPENDENCYPART_ARC
(27,15),-1.8724 # DEPENDENCYPART_ARC
(27,17),-0.23875 # DEPENDENCYPART_ARC
(27,18),1.92673 # DEPENDENCYPART_ARC
(27,20),0.126269 # DEPENDENCYPART_ARC
(27,21),-0.415986 # DEPENDENCYPART_ARC
(27,22),-1.32312 # DEPENDENCYPART_ARC
(27,23),1.81661 # DEPENDENCYPART_ARC
(27,24),3.78131 # DEPENDENCYPART_ARC
(27,25),0.274734 # DEPENDENCYPART_ARC
(27,26),2.9078 # DEPENDENCYPART_ARC
(27,28),2.7796 # DEPENDENCYPART_ARC
(27,29),1.5049 # DEPENDENCYPART_ARC
(27,30),3.01756 # DEPENDENCYPART_ARC
(28,23),-2.32826 # DEPENDENCYPART_ARC
(28,26),-1.38384 # DEPENDENCYPART_ARC
(28,27),-0.837118 # DEPENDENCYPART_ARC
(28,29),0.918058 # DEPENDENCYPART_ARC
(28,30),-0.872926 # DEPENDENCYPART_ARC
