# _root_ S' esperen precipitacions al litoral i al Prelitoral nord , així_com al Pirineu i Prepirineu_Oriental a_partir_de la tarda , i seran en forma de neu o calabruix a qualsevol cota i localment d' intensitat moderada .
#goldHeads=2,0,2,2,4,4,4,7,8,4,4,4,12,13,13,12,18,16,12,2,2,21,22,23,24,25,25,22,30,28,22,33,22,33,34,2,
#predictedHeads=2,0,2,2,4,4,4,7,8,2,12,4,12,13,13,2,18,16,2,2,2,21,22,23,24,25,25,21,30,28,21,33,30,33,34,2,
(4,3),-0.568382 # DEPENDENCYPART_ARC
(4,5),3.87582 # DEPENDENCYPART_ARC
(4,6),2.41681 # DEPENDENCYPART_ARC
(4,7),2.67846 # DEPENDENCYPART_ARC
(4,8),-0.102555 # DEPENDENCYPART_ARC
(4,9),-2.82016 # DEPENDENCYPART_ARC
(4,10),0.00231605 # DEPENDENCYPART_ARC
(4,11),-0.561549 # DEPENDENCYPART_ARC
(4,12),0.94044 # DEPENDENCYPART_ARC
(4,22),-3.56613 # DEPENDENCYPART_ARC
(4,28),-0.830494 # DEPENDENCYPART_ARC
(5,4),0.422093 # DEPENDENCYPART_ARC
(5,6),-0.133511 # DEPENDENCYPART_ARC
(5,7),-1.22227 # DEPENDENCYPART_ARC
(5,8),0.166822 # DEPENDENCYPART_ARC
(5,9),0.676091 # DEPENDENCYPART_ARC
(5,10),-1.2526 # DEPENDENCYPART_ARC
(5,11),-0.47659 # DEPENDENCYPART_ARC
(5,12),-1.30581 # DEPENDENCYPART_ARC
(5,13),-0.323672 # DEPENDENCYPART_ARC
(5,14),0.278519 # DEPENDENCYPART_ARC
(5,15),-0.17408 # DEPENDENCYPART_ARC
(5,21),-2.38256 # DEPENDENCYPART_ARC
(7,6),0.313557 # DEPENDENCYPART_ARC
(7,8),3.58757 # DEPENDENCYPART_ARC
(7,9),-0.978943 # DEPENDENCYPART_ARC
(7,10),0.518341 # DEPENDENCYPART_ARC
(7,11),-0.739948 # DEPENDENCYPART_ARC
(7,12),0.276344 # DEPENDENCYPART_ARC
(7,14),-0.126715 # DEPENDENCYPART_ARC
(7,16),-1.0582 # DEPENDENCYPART_ARC
(7,19),-0.126497 # DEPENDENCYPART_ARC
(7,20),-1.13918 # DEPENDENCYPART_ARC
(7,22),-2.95374 # DEPENDENCYPART_ARC
(7,28),-0.488866 # DEPENDENCYPART_ARC
(8,6),-1.65792 # DEPENDENCYPART_ARC
(8,9),2.85475 # DEPENDENCYPART_ARC
(8,10),-0.0194244 # DEPENDENCYPART_ARC
(8,11),0.189637 # DEPENDENCYPART_ARC
(8,12),-1.07036 # DEPENDENCYPART_ARC
(8,13),0.446731 # DEPENDENCYPART_ARC
(8,14),1.77893 # DEPENDENCYPART_ARC
(8,15),0.975923 # DEPENDENCYPART_ARC
(8,16),-0.939728 # DEPENDENCYPART_ARC
(8,18),0.0502071 # DEPENDENCYPART_ARC
(8,26),-0.308018 # DEPENDENCYPART_ARC
(8,27),-1.69983 # DEPENDENCYPART_ARC
(9,4),-1.66634 # DEPENDENCYPART_ARC
(9,6),-0.918021 # DEPENDENCYPART_ARC
(9,7),-1.3136 # DEPENDENCYPART_ARC
(9,10),-0.0634911 # DEPENDENCYPART_ARC
(9,11),-0.867866 # DEPENDENCYPART_ARC
(9,12),-1.51547 # DEPENDENCYPART_ARC
(9,14),-0.0519686 # DEPENDENCYPART_ARC
(9,16),-2.16683 # DEPENDENCYPART_ARC
(9,21),-2.00485 # DEPENDENCYPART_ARC
(9,22),-2.99519 # DEPENDENCYPART_ARC
(10,9),0.0658468 # DEPENDENCYPART_ARC
(11,4),-0.546135 # DEPENDENCYPART_ARC
(11,7),-0.875397 # DEPENDENCYPART_ARC
(11,9),-0.437371 # DEPENDENCYPART_ARC
(11,10),0.890325 # DEPENDENCYPART_ARC
(11,12),0.682028 # DEPENDENCYPART_ARC
(11,13),-0.116595 # DEPENDENCYPART_ARC
(11,14),0.00320228 # DEPENDENCYPART_ARC
(11,15),-0.807123 # DEPENDENCYPART_ARC
(11,16),-0.731235 # DEPENDENCYPART_ARC
(11,19),0.0614783 # DEPENDENCYPART_ARC
(11,20),0.0367763 # DEPENDENCYPART_ARC
(11,21),-0.533392 # DEPENDENCYPART_ARC
(11,22),-2.37 # DEPENDENCYPART_ARC
(12,4),-2.05733 # DEPENDENCYPART_ARC
(12,6),-1.2827 # DEPENDENCYPART_ARC
(12,7),-1.88351 # DEPENDENCYPART_ARC
(12,10),1.01217 # DEPENDENCYPART_ARC
(12,11),1.00892 # DEPENDENCYPART_ARC
(12,13),3.72782 # DEPENDENCYPART_ARC
(12,14),1.22404 # DEPENDENCYPART_ARC
(12,15),-0.974306 # DEPENDENCYPART_ARC
(12,16),-0.416023 # DEPENDENCYPART_ARC
(12,19),0.923783 # DEPENDENCYPART_ARC
(12,20),-0.20684 # DEPENDENCYPART_ARC
(12,21),-1.90905 # DEPENDENCYPART_ARC
(12,22),-1.93599 # DEPENDENCYPART_ARC
(12,24),-2.34362 # DEPENDENCYPART_ARC
(12,28),-0.461491 # DEPENDENCYPART_ARC
(12,33),-2.42829 # DEPENDENCYPART_ARC
(13,11),-1.34323 # DEPENDENCYPART_ARC
(13,14),3.36179 # DEPENDENCYPART_ARC
(13,15),2.31829 # DEPENDENCYPART_ARC
(13,16),0.413832 # DEPENDENCYPART_ARC
(13,18),0.780911 # DEPENDENCYPART_ARC
(13,19),-0.287163 # DEPENDENCYPART_ARC
(13,20),-0.480903 # DEPENDENCYPART_ARC
(13,21),-0.814422 # DEPENDENCYPART_ARC
(13,22),-2.06239 # DEPENDENCYPART_ARC
(13,24),-1.7772 # DEPENDENCYPART_ARC
(13,26),-0.129979 # DEPENDENCYPART_ARC
(13,27),-1.02723 # DEPENDENCYPART_ARC
(13,35),-1.39386 # DEPENDENCYPART_ARC
(14,15),-0.00737267 # DEPENDENCYPART_ARC
(15,7),-0.831594 # DEPENDENCYPART_ARC
(15,14),1.54663 # DEPENDENCYPART_ARC
(15,16),-0.428423 # DEPENDENCYPART_ARC
(15,18),-0.325507 # DEPENDENCYPART_ARC
(15,20),-0.691285 # DEPENDENCYPART_ARC
(15,21),-2.38841 # DEPENDENCYPART_ARC
(16,18),4.27636 # DEPENDENCYPART_ARC
(16,19),0.642769 # DEPENDENCYPART_ARC
(16,20),0.061485 # DEPENDENCYPART_ARC
(16,21),-1.05964 # DEPENDENCYPART_ARC
(16,22),-1.09856 # DEPENDENCYPART_ARC
(16,24),-0.894985 # DEPENDENCYPART_ARC
(16,26),-0.43633 # DEPENDENCYPART_ARC
(16,28),-1.40476 # DEPENDENCYPART_ARC
(17,15),-1.48312 # DEPENDENCYPART_ARC
(18,7),-2.27462 # DEPENDENCYPART_ARC
(18,12),-1.87561 # DEPENDENCYPART_ARC
(18,17),3.92014 # DEPENDENCYPART_ARC
(18,19),-0.255271 # DEPENDENCYPART_ARC
(18,20),-1.01412 # DEPENDENCYPART_ARC
(18,21),-1.7574 # DEPENDENCYPART_ARC
(18,22),-2.51477 # DEPENDENCYPART_ARC
(18,24),-1.67192 # DEPENDENCYPART_ARC
(18,26),-1.64577 # DEPENDENCYPART_ARC
(18,27),-2.31491 # DEPENDENCYPART_ARC
(20,19),-1.74887 # DEPENDENCYPART_ARC
(21,2),-3.97676 # DEPENDENCYPART_ARC
(21,6),-2.16099 # DEPENDENCYPART_ARC
(21,7),-2.02388 # DEPENDENCYPART_ARC
(21,10),-1.97145 # DEPENDENCYPART_ARC
(21,11),-2.74798 # DEPENDENCYPART_ARC
(21,12),-2.06562 # DEPENDENCYPART_ARC
(21,15),-1.36119 # DEPENDENCYPART_ARC
(21,16),-1.09483 # DEPENDENCYPART_ARC
(21,18),-1.22995 # DEPENDENCYPART_ARC
(21,19),-0.600148 # DEPENDENCYPART_ARC
(21,20),0.400036 # DEPENDENCYPART_ARC
(21,22),3.0912 # DEPENDENCYPART_ARC
(21,23),1.45832 # DEPENDENCYPART_ARC
(21,24),0.823674 # DEPENDENCYPART_ARC
(21,25),-0.221597 # DEPENDENCYPART_ARC
(21,26),0.666704 # DEPENDENCYPART_ARC
(21,27),-0.693575 # DEPENDENCYPART_ARC
(21,28),1.01513 # DEPENDENCYPART_ARC
(21,30),-0.288443 # DEPENDENCYPART_ARC
(21,31),2.08206 # DEPENDENCYPART_ARC
(21,32),-0.87869 # DEPENDENCYPART_ARC
(21,35),-1.25442 # DEPENDENCYPART_ARC
(21,36),4.51973 # DEPENDENCYPART_ARC
(22,23),4.88423 # DEPENDENCYPART_ARC
(22,24),0.294008 # DEPENDENCYPART_ARC
(22,25),1.27721 # DEPENDENCYPART_ARC
(22,26),0.368915 # DEPENDENCYPART_ARC
(22,27),-2.31946 # DEPENDENCYPART_ARC
(22,28),-0.408885 # DEPENDENCYPART_ARC
(22,31),0.101344 # DEPENDENCYPART_ARC
(22,33),-0.363652 # DEPENDENCYPART_ARC
(23,24),3.04185 # DEPENDENCYPART_ARC
(23,25),0.978933 # DEPENDENCYPART_ARC
(23,26),1.63528 # DEPENDENCYPART_ARC
(23,27),1.16461 # DEPENDENCYPART_ARC
(23,28),0.33898 # DEPENDENCYPART_ARC
(23,29),-1.42997 # DEPENDENCYPART_ARC
(23,30),0.561508 # DEPENDENCYPART_ARC
(23,31),-0.478431 # DEPENDENCYPART_ARC
(23,32),-1.15129 # DEPENDENCYPART_ARC
(23,33),-1.26176 # DEPENDENCYPART_ARC
(23,34),-0.476179 # DEPENDENCYPART_ARC
(23,35),1.07121 # DEPENDENCYPART_ARC
(24,25),3.7923 # DEPENDENCYPART_ARC
(24,26),0.107491 # DEPENDENCYPART_ARC
(24,27),-0.866877 # DEPENDENCYPART_ARC
(24,28),-1.57657 # DEPENDENCYPART_ARC
(24,33),-0.49423 # DEPENDENCYPART_ARC
(25,24),1.44018 # DEPENDENCYPART_ARC
(25,26),2.89744 # DEPENDENCYPART_ARC
(25,27),1.96418 # DEPENDENCYPART_ARC
(25,28),0.796719 # DEPENDENCYPART_ARC
(25,29),-1.13909 # DEPENDENCYPART_ARC
(25,30),0.76744 # DEPENDENCYPART_ARC
(25,31),-0.299144 # DEPENDENCYPART_ARC
(25,32),-0.95314 # DEPENDENCYPART_ARC
(25,33),-0.425117 # DEPENDENCYPART_ARC
(25,34),-0.115095 # DEPENDENCYPART_ARC
(25,35),1.6809 # DEPENDENCYPART_ARC
(27,24),-0.198116 # DEPENDENCYPART_ARC
(27,26),1.09836 # DEPENDENCYPART_ARC
(27,28),0.433904 # DEPENDENCYPART_ARC
(27,29),-1.66838 # DEPENDENCYPART_ARC
(27,30),-0.353769 # DEPENDENCYPART_ARC
(27,31),-0.176221 # DEPENDENCYPART_ARC
(27,32),-1.4338 # DEPENDENCYPART_ARC
(27,33),-0.668614 # DEPENDENCYPART_ARC
(27,34),-0.831739 # DEPENDENCYPART_ARC
(27,35),-1.58656 # DEPENDENCYPART_ARC
(28,27),-0.545878 # DEPENDENCYPART_ARC
(28,29),-0.614513 # DEPENDENCYPART_ARC
(28,30),3.82738 # DEPENDENCYPART_ARC
(28,31),0.526225 # DEPENDENCYPART_ARC
(28,32),-0.669953 # DEPENDENCYPART_ARC
(28,33),-0.260268 # DEPENDENCYPART_ARC
(28,34),-0.0220546 # DEPENDENCYPART_ARC
(28,35),-1.01952 # DEPENDENCYPART_ARC
(29,32),-0.622889 # DEPENDENCYPART_ARC
(29,33),-0.622317 # DEPENDENCYPART_ARC
(30,2),-2.8063 # DEPENDENCYPART_ARC
(30,24),-0.98094 # DEPENDENCYPART_ARC
(30,27),-1.16195 # DEPENDENCYPART_ARC
(30,29),2.83327 # DEPENDENCYPART_ARC
(30,31),0.630988 # DEPENDENCYPART_ARC
(30,32),-0.26316 # DEPENDENCYPART_ARC
(30,33),0.997479 # DEPENDENCYPART_ARC
(30,34),0.278005 # DEPENDENCYPART_ARC
(30,35),2.1608 # DEPENDENCYPART_ARC
(32,31),0.321204 # DEPENDENCYPART_ARC
(32,33),0.985558 # DEPENDENCYPART_ARC
(32,34),0.17943 # DEPENDENCYPART_ARC
(33,29),-0.95828 # DEPENDENCYPART_ARC
(33,31),-0.142401 # DEPENDENCYPART_ARC
(33,32),0.834681 # DEPENDENCYPART_ARC
(33,34),3.9272 # DEPENDENCYPART_ARC
(33,35),0.763543 # DEPENDENCYPART_ARC
(34,29),-0.335118 # DEPENDENCYPART_ARC
(34,32),0.021116 # DEPENDENCYPART_ARC
(34,35),3.6888 # DEPENDENCYPART_ARC
(35,32),-0.563914 # DEPENDENCYPART_ARC
