# _root_ Heather_Mills , l' exmodel de 34 anys que dijous que ve es casarà amb Paul_McCartney , ha muntat un comiat de soltera amb tota mena de luxes .
#goldHeads=18,4,4,1,4,7,5,13,13,11,9,13,4,13,14,4,18,0,20,18,20,21,20,27,24,24,23,18,
#predictedHeads=18,4,4,1,4,7,5,13,13,11,4,13,4,13,14,13,18,0,20,18,20,21,18,25,23,25,26,18,
(23,27),1.56056 # DEPENDENCYPART_ARC
(24,25),3.06079 # DEPENDENCYPART_ARC
(24,26),0.72186 # DEPENDENCYPART_ARC
(25,19),-0.743991 # DEPENDENCYPART_ARC
(25,21),-0.931804 # DEPENDENCYPART_ARC
(25,24),3.50795 # DEPENDENCYPART_ARC
(25,26),2.62623 # DEPENDENCYPART_ARC
(25,27),-0.0363506 # DEPENDENCYPART_ARC
(25,28),-0.0365923 # DEPENDENCYPART_ARC
(26,24),-0.0157915 # DEPENDENCYPART_ARC
(26,27),4.05004 # DEPENDENCYPART_ARC
(27,24),0.596102 # DEPENDENCYPART_ARC
(27,26),1.64957 # DEPENDENCYPART_ARC
