# _root_ Boff va ser condemnat pel Vaticà , l' any_1985 , a un any de silenci i va tornar a ser amonestat posteriorment pel contingut dels seus escrits .
#goldHeads=4,4,4,0,4,5,9,9,4,9,4,13,11,13,14,4,21,21,21,21,4,21,21,23,24,27,25,4,
#predictedHeads=4,4,4,0,4,5,9,9,4,11,4,13,11,13,14,4,21,20,21,21,4,21,21,23,24,27,25,4,
(9,20),-1.50768 # DEPENDENCYPART_ARC
(9,21),-1.62719 # DEPENDENCYPART_ARC
(10,7),-0.667494 # DEPENDENCYPART_ARC
(11,4),-2.35111 # DEPENDENCYPART_ARC
(11,7),-0.0505557 # DEPENDENCYPART_ARC
(11,8),-1.45958 # DEPENDENCYPART_ARC
(11,9),-0.824676 # DEPENDENCYPART_ARC
(11,10),1.7091 # DEPENDENCYPART_ARC
(11,12),-0.886403 # DEPENDENCYPART_ARC
(11,13),3.50496 # DEPENDENCYPART_ARC
(11,14),-0.595482 # DEPENDENCYPART_ARC
(11,15),0.581953 # DEPENDENCYPART_ARC
(11,16),0.172874 # DEPENDENCYPART_ARC
(11,17),-1.72049 # DEPENDENCYPART_ARC
(11,18),-1.67843 # DEPENDENCYPART_ARC
(11,19),0.176392 # DEPENDENCYPART_ARC
(11,20),-2.42925 # DEPENDENCYPART_ARC
(11,21),-2.78344 # DEPENDENCYPART_ARC
(11,23),-0.361845 # DEPENDENCYPART_ARC
(11,25),-1.03952 # DEPENDENCYPART_ARC
(11,28),0.658069 # DEPENDENCYPART_ARC
(12,11),0.423084 # DEPENDENCYPART_ARC
(12,13),2.72308 # DEPENDENCYPART_ARC
(12,14),1.0449 # DEPENDENCYPART_ARC
(13,4),-2.20153 # DEPENDENCYPART_ARC
(13,5),-1.56701 # DEPENDENCYPART_ARC
(13,7),0.161639 # DEPENDENCYPART_ARC
(13,8),-0.268278 # DEPENDENCYPART_ARC
(13,10),0.47938 # DEPENDENCYPART_ARC
(13,11),1.24721 # DEPENDENCYPART_ARC
(13,12),3.75182 # DEPENDENCYPART_ARC
(13,14),2.86951 # DEPENDENCYPART_ARC
(13,15),0.149021 # DEPENDENCYPART_ARC
(13,16),0.426324 # DEPENDENCYPART_ARC
(13,17),-1.30208 # DEPENDENCYPART_ARC
(13,18),-1.5137 # DEPENDENCYPART_ARC
(13,19),-1.24394 # DEPENDENCYPART_ARC
(13,20),-3.06779 # DEPENDENCYPART_ARC
(13,21),-3.55891 # DEPENDENCYPART_ARC
(13,22),-0.60153 # DEPENDENCYPART_ARC
(13,28),0.864887 # DEPENDENCYPART_ARC
(14,10),-0.0370554 # DEPENDENCYPART_ARC
(14,12),-0.338668 # DEPENDENCYPART_ARC
(14,15),3.32262 # DEPENDENCYPART_ARC
(14,16),-0.283841 # DEPENDENCYPART_ARC
(14,17),-2.20303 # DEPENDENCYPART_ARC
(14,19),-2.21744 # DEPENDENCYPART_ARC
(14,20),-3.0593 # DEPENDENCYPART_ARC
(14,23),-1.02127 # DEPENDENCYPART_ARC
(15,12),0.855162 # DEPENDENCYPART_ARC
(15,14),1.69331 # DEPENDENCYPART_ARC
(15,16),-0.537772 # DEPENDENCYPART_ARC
(15,17),-0.951901 # DEPENDENCYPART_ARC
(15,18),-1.48153 # DEPENDENCYPART_ARC
(17,18),-0.451971 # DEPENDENCYPART_ARC
(17,19),0.882664 # DEPENDENCYPART_ARC
(18,1),-2.29899 # DEPENDENCYPART_ARC
(18,2),-1.60766 # DEPENDENCYPART_ARC
(18,3),-2.0865 # DEPENDENCYPART_ARC
(18,4),-3.75743 # DEPENDENCYPART_ARC
(18,5),-2.37754 # DEPENDENCYPART_ARC
(18,9),-1.96684 # DEPENDENCYPART_ARC
(18,10),-2.82467 # DEPENDENCYPART_ARC
(18,11),-1.23835 # DEPENDENCYPART_ARC
(18,13),-1.39175 # DEPENDENCYPART_ARC
(18,14),-2.30275 # DEPENDENCYPART_ARC
(18,15),-1.46277 # DEPENDENCYPART_ARC
(18,16),-0.458088 # DEPENDENCYPART_ARC
(18,17),3.44037 # DEPENDENCYPART_ARC
(18,19),2.51424 # DEPENDENCYPART_ARC
(18,20),-0.0729685 # DEPENDENCYPART_ARC
(18,21),-0.254903 # DEPENDENCYPART_ARC
(18,22),-0.876469 # DEPENDENCYPART_ARC
(18,23),0.183126 # DEPENDENCYPART_ARC
(18,24),-1.4651 # DEPENDENCYPART_ARC
(18,25),-1.0474 # DEPENDENCYPART_ARC
(18,27),-0.1582 # DEPENDENCYPART_ARC
(18,28),1.32619 # DEPENDENCYPART_ARC
(19,20),0.113163 # DEPENDENCYPART_ARC
(19,21),0.648429 # DEPENDENCYPART_ARC
(19,22),-1.51669 # DEPENDENCYPART_ARC
(19,23),-0.916987 # DEPENDENCYPART_ARC
(19,24),-0.297607 # DEPENDENCYPART_ARC
(19,25),-1.64221 # DEPENDENCYPART_ARC
(20,1),-1.52979 # DEPENDENCYPART_ARC
(20,2),-0.360151 # DEPENDENCYPART_ARC
(20,3),0.146578 # DEPENDENCYPART_ARC
(20,4),-2.90594 # DEPENDENCYPART_ARC
(20,5),-1.14114 # DEPENDENCYPART_ARC
(20,11),-0.585721 # DEPENDENCYPART_ARC
(20,13),-1.20812 # DEPENDENCYPART_ARC
(20,15),-0.801188 # DEPENDENCYPART_ARC
(20,17),3.19207 # DEPENDENCYPART_ARC
(20,18),2.36236 # DEPENDENCYPART_ARC
(20,19),2.49876 # DEPENDENCYPART_ARC
(20,21),1.46373 # DEPENDENCYPART_ARC
(20,22),0.373076 # DEPENDENCYPART_ARC
(20,23),0.331189 # DEPENDENCYPART_ARC
(20,24),-0.366984 # DEPENDENCYPART_ARC
(20,25),-1.04348 # DEPENDENCYPART_ARC
(20,27),0.0596891 # DEPENDENCYPART_ARC
(20,28),1.48826 # DEPENDENCYPART_ARC
(21,1),-0.679895 # DEPENDENCYPART_ARC
(21,2),0.31617 # DEPENDENCYPART_ARC
(21,3),-0.427359 # DEPENDENCYPART_ARC
(21,4),-1.80633 # DEPENDENCYPART_ARC
(21,5),-0.230731 # DEPENDENCYPART_ARC
(21,7),-3.01692 # DEPENDENCYPART_ARC
(21,9),-0.762477 # DEPENDENCYPART_ARC
(21,10),-2.26011 # DEPENDENCYPART_ARC
(21,11),0.329321 # DEPENDENCYPART_ARC
(21,13),0.0590646 # DEPENDENCYPART_ARC
(21,14),-0.892929 # DEPENDENCYPART_ARC
(21,15),-0.451984 # DEPENDENCYPART_ARC
(21,16),-0.74904 # DEPENDENCYPART_ARC
(21,17),3.89979 # DEPENDENCYPART_ARC
(21,18),2.30454 # DEPENDENCYPART_ARC
(21,19),2.68612 # DEPENDENCYPART_ARC
(21,20),3.99972 # DEPENDENCYPART_ARC
(21,22),2.44723 # DEPENDENCYPART_ARC
(21,23),2.56707 # DEPENDENCYPART_ARC
(21,24),1.25921 # DEPENDENCYPART_ARC
(21,25),0.396797 # DEPENDENCYPART_ARC
(21,27),1.57035 # DEPENDENCYPART_ARC
(21,28),3.3334 # DEPENDENCYPART_ARC
(22,23),0.258771 # DEPENDENCYPART_ARC
(22,24),-0.367607 # DEPENDENCYPART_ARC
(22,25),-0.830286 # DEPENDENCYPART_ARC
(23,21),-1.71109 # DEPENDENCYPART_ARC
(23,22),0.626404 # DEPENDENCYPART_ARC
(23,24),3.50455 # DEPENDENCYPART_ARC
(23,25),0.199469 # DEPENDENCYPART_ARC
(24,22),-0.823192 # DEPENDENCYPART_ARC
(24,23),-0.180183 # DEPENDENCYPART_ARC
(24,25),2.33933 # DEPENDENCYPART_ARC
(24,26),-0.213576 # DEPENDENCYPART_ARC
(24,27),0.506372 # DEPENDENCYPART_ARC
(24,28),0.0488059 # DEPENDENCYPART_ARC
(25,22),-0.580715 # DEPENDENCYPART_ARC
(25,27),4.82912 # DEPENDENCYPART_ARC
(27,4),-4.13334 # DEPENDENCYPART_ARC
(27,22),-1.22561 # DEPENDENCYPART_ARC
(27,25),0.306838 # DEPENDENCYPART_ARC
(27,26),3.12086 # DEPENDENCYPART_ARC
