# _root_ L' alcalde de Cazorla , Francisco_Navarrete , es va mostrar convençut que el foc havia estat intencionat .
#goldHeads=2,10,2,3,6,2,6,10,10,0,10,16,14,16,16,11,16,10,
#predictedHeads=2,10,2,3,6,2,6,10,10,0,10,16,14,16,16,11,16,10,
(10,12),0.053875 # DEPENDENCYPART_ARC
(10,14),0.173606 # DEPENDENCYPART_ARC
(10,15),1.67205 # DEPENDENCYPART_ARC
(10,16),0.252096 # DEPENDENCYPART_ARC
(10,17),0.305147 # DEPENDENCYPART_ARC
(10,18),3.83531 # DEPENDENCYPART_ARC
(11,5),-2.43633 # DEPENDENCYPART_ARC
(11,7),-1.89041 # DEPENDENCYPART_ARC
(11,12),0.344802 # DEPENDENCYPART_ARC
(11,14),0.271588 # DEPENDENCYPART_ARC
(11,15),1.5875 # DEPENDENCYPART_ARC
(11,16),0.910493 # DEPENDENCYPART_ARC
(11,17),0.065871 # DEPENDENCYPART_ARC
(11,18),0.76359 # DEPENDENCYPART_ARC
(12,14),-1.36525 # DEPENDENCYPART_ARC
(12,15),-0.845435 # DEPENDENCYPART_ARC
(12,16),-1.79639 # DEPENDENCYPART_ARC
(12,17),-2.29024 # DEPENDENCYPART_ARC
(13,14),-0.176801 # DEPENDENCYPART_ARC
(14,2),-2.81409 # DEPENDENCYPART_ARC
(14,10),-1.95311 # DEPENDENCYPART_ARC
(14,11),-0.941224 # DEPENDENCYPART_ARC
(14,12),1.16501 # DEPENDENCYPART_ARC
(14,13),3.03961 # DEPENDENCYPART_ARC
(14,15),-0.25841 # DEPENDENCYPART_ARC
(14,16),-1.08731 # DEPENDENCYPART_ARC
(14,17),-0.728707 # DEPENDENCYPART_ARC
(14,18),-1.03264 # DEPENDENCYPART_ARC
(15,2),-2.69097 # DEPENDENCYPART_ARC
(15,6),-3.61359 # DEPENDENCYPART_ARC
(15,7),-2.00457 # DEPENDENCYPART_ARC
(15,10),-3.01587 # DEPENDENCYPART_ARC
(15,11),-2.11987 # DEPENDENCYPART_ARC
(15,12),0.957062 # DEPENDENCYPART_ARC
(15,13),-2.74113 # DEPENDENCYPART_ARC
(15,14),-0.231503 # DEPENDENCYPART_ARC
(15,16),-0.398733 # DEPENDENCYPART_ARC
(15,17),-0.0471085 # DEPENDENCYPART_ARC
(15,18),0.747484 # DEPENDENCYPART_ARC
(16,1),-1.7614 # DEPENDENCYPART_ARC
(16,2),0.0956366 # DEPENDENCYPART_ARC
(16,5),-1.54971 # DEPENDENCYPART_ARC
(16,6),-0.577893 # DEPENDENCYPART_ARC
(16,7),0.00509018 # DEPENDENCYPART_ARC
(16,9),0.869827 # DEPENDENCYPART_ARC
(16,10),-0.78259 # DEPENDENCYPART_ARC
(16,11),-0.115692 # DEPENDENCYPART_ARC
(16,12),3.54059 # DEPENDENCYPART_ARC
(16,13),0.0161653 # DEPENDENCYPART_ARC
(16,14),2.28429 # DEPENDENCYPART_ARC
(16,15),4.81972 # DEPENDENCYPART_ARC
(16,17),2.74484 # DEPENDENCYPART_ARC
(16,18),2.77547 # DEPENDENCYPART_ARC
(17,7),-2.49672 # DEPENDENCYPART_ARC
(17,13),-1.26114 # DEPENDENCYPART_ARC
(17,14),-1.26427 # DEPENDENCYPART_ARC
(17,16),-0.593618 # DEPENDENCYPART_ARC
(17,18),-0.480671 # DEPENDENCYPART_ARC
