# _root_ Els antecedents dels Pastorets de l' Ametlla_de_Merola es remunten a l' any_1878 , quan a iniciativa de les Germanes_Dominiques , van començar les representacions durant la Missa_del_Gall .
#goldHeads=2,9,2,3,4,7,5,9,0,9,12,10,22,22,22,15,16,19,17,15,22,12,24,22,22,27,25,9,
#predictedHeads=2,9,2,3,2,7,5,9,0,9,12,10,12,22,14,15,16,19,17,9,22,4,24,22,22,27,25,9,
(7,9),-0.261769 # DEPENDENCYPART_ARC
(7,12),-2.9959 # DEPENDENCYPART_ARC
(7,22),-2.3455 # DEPENDENCYPART_ARC
(9,1),-1.05235 # DEPENDENCYPART_ARC
(9,2),1.88322 # DEPENDENCYPART_ARC
(9,3),-0.525696 # DEPENDENCYPART_ARC
(9,4),0.424794 # DEPENDENCYPART_ARC
(9,5),0.703512 # DEPENDENCYPART_ARC
(9,6),-1.17081 # DEPENDENCYPART_ARC
(9,7),1.72878 # DEPENDENCYPART_ARC
(9,8),3.96003 # DEPENDENCYPART_ARC
(9,10),3.0875 # DEPENDENCYPART_ARC
(9,12),0.912007 # DEPENDENCYPART_ARC
(9,13),0.637632 # DEPENDENCYPART_ARC
(9,15),0.621672 # DEPENDENCYPART_ARC
(9,16),-1.30857 # DEPENDENCYPART_ARC
(9,17),-0.502148 # DEPENDENCYPART_ARC
(9,19),-0.173648 # DEPENDENCYPART_ARC
(9,20),0.590387 # DEPENDENCYPART_ARC
(9,21),-0.0173529 # DEPENDENCYPART_ARC
(9,22),-0.670894 # DEPENDENCYPART_ARC
(9,24),-0.292119 # DEPENDENCYPART_ARC
(9,25),-0.413693 # DEPENDENCYPART_ARC
(9,27),-1.15255 # DEPENDENCYPART_ARC
(9,28),5.18307 # DEPENDENCYPART_ARC
(10,1),-3.50747 # DEPENDENCYPART_ARC
(10,11),-0.449401 # DEPENDENCYPART_ARC
(10,12),3.11676 # DEPENDENCYPART_ARC
(10,13),0.389067 # DEPENDENCYPART_ARC
(10,15),0.158176 # DEPENDENCYPART_ARC
(10,16),0.38049 # DEPENDENCYPART_ARC
(10,17),-1.34962 # DEPENDENCYPART_ARC
(10,20),-0.932027 # DEPENDENCYPART_ARC
(11,10),-0.370856 # DEPENDENCYPART_ARC
(11,12),0.951146 # DEPENDENCYPART_ARC
(12,10),1.26377 # DEPENDENCYPART_ARC
(12,11),3.29083 # DEPENDENCYPART_ARC
(12,13),1.22881 # DEPENDENCYPART_ARC
(12,15),0.034029 # DEPENDENCYPART_ARC
(12,16),0.466038 # DEPENDENCYPART_ARC
(12,17),-0.0948458 # DEPENDENCYPART_ARC
(12,20),0.210957 # DEPENDENCYPART_ARC
(12,22),-0.656525 # DEPENDENCYPART_ARC
(12,24),-0.532728 # DEPENDENCYPART_ARC
(12,25),-1.1901 # DEPENDENCYPART_ARC
(14,15),0.955921 # DEPENDENCYPART_ARC
(14,16),0.775689 # DEPENDENCYPART_ARC
(14,17),0.511236 # DEPENDENCYPART_ARC
(15,9),-1.22987 # DEPENDENCYPART_ARC
(15,12),-1.69266 # DEPENDENCYPART_ARC
(15,13),-0.228881 # DEPENDENCYPART_ARC
(15,14),-0.253586 # DEPENDENCYPART_ARC
(15,16),3.90331 # DEPENDENCYPART_ARC
(15,17),-0.469618 # DEPENDENCYPART_ARC
(15,19),-0.196325 # DEPENDENCYPART_ARC
(15,20),-0.226441 # DEPENDENCYPART_ARC
(16,2),-3.46788 # DEPENDENCYPART_ARC
(16,5),-1.89595 # DEPENDENCYPART_ARC
(16,9),-3.14449 # DEPENDENCYPART_ARC
(16,10),-1.57355 # DEPENDENCYPART_ARC
(16,11),-1.30443 # DEPENDENCYPART_ARC
(16,13),-0.901698 # DEPENDENCYPART_ARC
(16,14),-0.704225 # DEPENDENCYPART_ARC
(16,15),0.0802522 # DEPENDENCYPART_ARC
(16,17),2.41927 # DEPENDENCYPART_ARC
(16,19),-0.0779468 # DEPENDENCYPART_ARC
(16,20),-0.443409 # DEPENDENCYPART_ARC
(16,21),-0.955002 # DEPENDENCYPART_ARC
(16,22),-0.674154 # DEPENDENCYPART_ARC
(16,24),-1.54511 # DEPENDENCYPART_ARC
(16,25),-0.313752 # DEPENDENCYPART_ARC
(16,28),-1.08915 # DEPENDENCYPART_ARC
(17,18),-0.978299 # DEPENDENCYPART_ARC
(17,19),3.9922 # DEPENDENCYPART_ARC
(17,20),-0.23386 # DEPENDENCYPART_ARC
(17,21),-0.807026 # DEPENDENCYPART_ARC
(17,22),-1.33044 # DEPENDENCYPART_ARC
(19,2),-3.33108 # DEPENDENCYPART_ARC
(19,9),-2.48273 # DEPENDENCYPART_ARC
(19,18),3.32463 # DEPENDENCYPART_ARC
(19,20),0.0486403 # DEPENDENCYPART_ARC
(19,21),-0.547117 # DEPENDENCYPART_ARC
(19,22),-0.697195 # DEPENDENCYPART_ARC
(19,24),-1.33371 # DEPENDENCYPART_ARC
(19,25),-1.78281 # DEPENDENCYPART_ARC
(19,28),-0.310073 # DEPENDENCYPART_ARC
(21,9),-2.97261 # DEPENDENCYPART_ARC
(21,10),-2.57598 # DEPENDENCYPART_ARC
(21,13),-0.846897 # DEPENDENCYPART_ARC
(21,14),-0.819037 # DEPENDENCYPART_ARC
(21,15),-1.19363 # DEPENDENCYPART_ARC
(21,17),-2.86279 # DEPENDENCYPART_ARC
(21,19),-1.36509 # DEPENDENCYPART_ARC
(21,20),-1.75194 # DEPENDENCYPART_ARC
(21,22),0.424152 # DEPENDENCYPART_ARC
(21,24),-0.231994 # DEPENDENCYPART_ARC
(21,25),0.0639861 # DEPENDENCYPART_ARC
(21,28),1.41539 # DEPENDENCYPART_ARC
(22,2),-0.160444 # DEPENDENCYPART_ARC
(22,5),-2.9974 # DEPENDENCYPART_ARC
(22,7),-0.386157 # DEPENDENCYPART_ARC
(22,9),-0.947626 # DEPENDENCYPART_ARC
(22,10),-0.140894 # DEPENDENCYPART_ARC
(22,12),-0.374669 # DEPENDENCYPART_ARC
(22,13),0.348736 # DEPENDENCYPART_ARC
(22,14),0.93397 # DEPENDENCYPART_ARC
(22,15),0.63806 # DEPENDENCYPART_ARC
(22,16),-0.41845 # DEPENDENCYPART_ARC
(22,17),-1.08523 # DEPENDENCYPART_ARC
(22,18),-1.15004 # DEPENDENCYPART_ARC
(22,19),0.63667 # DEPENDENCYPART_ARC
(22,20),-0.556728 # DEPENDENCYPART_ARC
(22,21),4.52371 # DEPENDENCYPART_ARC
(22,24),3.40361 # DEPENDENCYPART_ARC
(22,25),2.19373 # DEPENDENCYPART_ARC
(22,27),0.376294 # DEPENDENCYPART_ARC
(22,28),3.57236 # DEPENDENCYPART_ARC
(23,24),1.03299 # DEPENDENCYPART_ARC
(23,25),-1.72541 # DEPENDENCYPART_ARC
(23,26),-1.94609 # DEPENDENCYPART_ARC
(24,5),-2.31988 # DEPENDENCYPART_ARC
(24,17),-1.45631 # DEPENDENCYPART_ARC
(24,18),-1.04454 # DEPENDENCYPART_ARC
(24,21),0.283771 # DEPENDENCYPART_ARC
(24,23),3.8134 # DEPENDENCYPART_ARC
(24,25),1.32263 # DEPENDENCYPART_ARC
(24,27),0.387994 # DEPENDENCYPART_ARC
(24,28),0.295934 # DEPENDENCYPART_ARC
(25,23),-0.64651 # DEPENDENCYPART_ARC
(25,24),-0.770729 # DEPENDENCYPART_ARC
(25,26),-1.27677 # DEPENDENCYPART_ARC
(25,27),4.02373 # DEPENDENCYPART_ARC
(25,28),-0.398958 # DEPENDENCYPART_ARC
(26,24),-2.19391 # DEPENDENCYPART_ARC
(27,23),-0.495749 # DEPENDENCYPART_ARC
(27,25),0.432556 # DEPENDENCYPART_ARC
(27,26),3.32502 # DEPENDENCYPART_ARC
(27,28),0.173332 # DEPENDENCYPART_ARC
