# _root_ ' El moviment denuncia l' especulació , els desallotjaments , les polítiques de criminalització i la violència policial exercida contra el moviment okupa .
#goldHeads=4,3,4,0,6,4,6,9,6,6,12,6,12,13,6,17,6,17,17,19,22,20,22,4,
#predictedHeads=4,3,4,0,6,4,6,9,6,6,12,9,12,13,6,17,6,17,17,19,22,20,22,4,
(5,3),-2.22859 # DEPENDENCYPART_ARC
(5,8),-1.97221 # DEPENDENCYPART_ARC
(6,2),-1.83225 # DEPENDENCYPART_ARC
(6,3),-1.84822 # DEPENDENCYPART_ARC
(6,5),2.91631 # DEPENDENCYPART_ARC
(6,7),1.11467 # DEPENDENCYPART_ARC
(6,9),1.63905 # DEPENDENCYPART_ARC
(6,10),1.28894 # DEPENDENCYPART_ARC
(6,12),1.28597 # DEPENDENCYPART_ARC
(6,13),1.59891 # DEPENDENCYPART_ARC
(6,14),1.04505 # DEPENDENCYPART_ARC
(6,15),2.76749 # DEPENDENCYPART_ARC
(6,17),1.3552 # DEPENDENCYPART_ARC
(6,18),0.895727 # DEPENDENCYPART_ARC
(6,19),1.47937 # DEPENDENCYPART_ARC
(6,20),0.214329 # DEPENDENCYPART_ARC
(6,22),0.780973 # DEPENDENCYPART_ARC
(6,23),1.21094 # DEPENDENCYPART_ARC
(6,24),1.47893 # DEPENDENCYPART_ARC
(7,6),-2.0554 # DEPENDENCYPART_ARC
(8,6),-2.00357 # DEPENDENCYPART_ARC
(8,9),-0.639761 # DEPENDENCYPART_ARC
(8,11),-0.237992 # DEPENDENCYPART_ARC
(9,3),-2.58153 # DEPENDENCYPART_ARC
(9,5),-0.540072 # DEPENDENCYPART_ARC
(9,6),-2.03736 # DEPENDENCYPART_ARC
(9,7),0.823452 # DEPENDENCYPART_ARC
(9,8),4.03486 # DEPENDENCYPART_ARC
(9,10),1.09209 # DEPENDENCYPART_ARC
(9,12),1.74427 # DEPENDENCYPART_ARC
(9,13),2.02911 # DEPENDENCYPART_ARC
(9,14),0.758374 # DEPENDENCYPART_ARC
(9,15),2.52177 # DEPENDENCYPART_ARC
(9,17),0.962366 # DEPENDENCYPART_ARC
(9,18),-0.0162852 # DEPENDENCYPART_ARC
(9,19),-1.3022 # DEPENDENCYPART_ARC
(9,20),0.505504 # DEPENDENCYPART_ARC
(9,22),0.646536 # DEPENDENCYPART_ARC
(9,23),0.99427 # DEPENDENCYPART_ARC
(9,24),1.57488 # DEPENDENCYPART_ARC
(10,7),-0.965499 # DEPENDENCYPART_ARC
(10,9),-2.0129 # DEPENDENCYPART_ARC
(11,9),-1.45391 # DEPENDENCYPART_ARC
(11,12),0.974539 # DEPENDENCYPART_ARC
(11,13),0.262596 # DEPENDENCYPART_ARC
(12,7),-0.608399 # DEPENDENCYPART_ARC
(12,8),0.682633 # DEPENDENCYPART_ARC
(12,9),-0.770706 # DEPENDENCYPART_ARC
(12,10),0.480529 # DEPENDENCYPART_ARC
(12,11),4.01404 # DEPENDENCYPART_ARC
(12,13),3.47317 # DEPENDENCYPART_ARC
(12,14),0.763054 # DEPENDENCYPART_ARC
(12,15),1.9246 # DEPENDENCYPART_ARC
(12,17),1.0226 # DEPENDENCYPART_ARC
(12,18),-0.211064 # DEPENDENCYPART_ARC
(12,19),0.72272 # DEPENDENCYPART_ARC
(12,20),1.25745 # DEPENDENCYPART_ARC
(12,22),0.151703 # DEPENDENCYPART_ARC
(12,23),0.875918 # DEPENDENCYPART_ARC
(12,24),1.13528 # DEPENDENCYPART_ARC
(13,10),-0.180595 # DEPENDENCYPART_ARC
(13,11),-0.158261 # DEPENDENCYPART_ARC
(13,12),0.128425 # DEPENDENCYPART_ARC
(13,14),3.82778 # DEPENDENCYPART_ARC
(13,15),0.233182 # DEPENDENCYPART_ARC
(13,17),-0.969667 # DEPENDENCYPART_ARC
(13,20),-1.67451 # DEPENDENCYPART_ARC
(14,7),-1.1371 # DEPENDENCYPART_ARC
(14,8),-2.6465 # DEPENDENCYPART_ARC
(14,9),-1.7293 # DEPENDENCYPART_ARC
(14,10),-0.89616 # DEPENDENCYPART_ARC
(14,11),0.0667568 # DEPENDENCYPART_ARC
(14,12),0.0042718 # DEPENDENCYPART_ARC
(14,13),1.58088 # DEPENDENCYPART_ARC
(14,15),1.2315 # DEPENDENCYPART_ARC
(14,17),0.79111 # DEPENDENCYPART_ARC
(14,18),1.95637 # DEPENDENCYPART_ARC
(14,19),1.57644 # DEPENDENCYPART_ARC
(14,20),0.934038 # DEPENDENCYPART_ARC
(14,22),-0.165814 # DEPENDENCYPART_ARC
(14,23),0.50533 # DEPENDENCYPART_ARC
(14,24),-0.0289097 # DEPENDENCYPART_ARC
(16,15),-0.232195 # DEPENDENCYPART_ARC
(16,17),-0.538867 # DEPENDENCYPART_ARC
(17,7),-0.79827 # DEPENDENCYPART_ARC
(17,9),-2.32386 # DEPENDENCYPART_ARC
(17,10),-0.647451 # DEPENDENCYPART_ARC
(17,11),-1.41888 # DEPENDENCYPART_ARC
(17,12),-1.34885 # DEPENDENCYPART_ARC
(17,13),-0.695503 # DEPENDENCYPART_ARC
(17,15),0.196834 # DEPENDENCYPART_ARC
(17,16),3.62068 # DEPENDENCYPART_ARC
(17,18),3.66916 # DEPENDENCYPART_ARC
(17,19),3.38466 # DEPENDENCYPART_ARC
(17,20),2.15954 # DEPENDENCYPART_ARC
(17,22),0.35073 # DEPENDENCYPART_ARC
(17,23),0.906971 # DEPENDENCYPART_ARC
(17,24),0.712929 # DEPENDENCYPART_ARC
(18,10),-1.253 # DEPENDENCYPART_ARC
(18,13),-0.11216 # DEPENDENCYPART_ARC
(18,16),-0.043798 # DEPENDENCYPART_ARC
(18,17),-0.267549 # DEPENDENCYPART_ARC
(18,19),0.745568 # DEPENDENCYPART_ARC
(18,20),-0.451014 # DEPENDENCYPART_ARC
(19,10),-0.575786 # DEPENDENCYPART_ARC
(19,13),0.137236 # DEPENDENCYPART_ARC
(19,15),-0.103704 # DEPENDENCYPART_ARC
(19,16),-0.322886 # DEPENDENCYPART_ARC
(19,17),-0.12954 # DEPENDENCYPART_ARC
(19,18),-1.50886 # DEPENDENCYPART_ARC
(19,20),2.78542 # DEPENDENCYPART_ARC
(19,22),0.690993 # DEPENDENCYPART_ARC
(19,23),-0.000361196 # DEPENDENCYPART_ARC
(19,24),-0.123637 # DEPENDENCYPART_ARC
(20,18),-0.878901 # DEPENDENCYPART_ARC
(20,19),0.0257857 # DEPENDENCYPART_ARC
(20,21),-1.1232 # DEPENDENCYPART_ARC
(20,22),3.95913 # DEPENDENCYPART_ARC
(20,23),0.486265 # DEPENDENCYPART_ARC
(21,22),0.241524 # DEPENDENCYPART_ARC
(22,7),-0.640507 # DEPENDENCYPART_ARC
(22,12),-2.61768 # DEPENDENCYPART_ARC
(22,16),0.0186243 # DEPENDENCYPART_ARC
(22,18),-0.610741 # DEPENDENCYPART_ARC
(22,19),-1.13456 # DEPENDENCYPART_ARC
(22,21),3.64626 # DEPENDENCYPART_ARC
(22,23),3.00603 # DEPENDENCYPART_ARC
(22,24),0.617497 # DEPENDENCYPART_ARC
(23,7),-0.476404 # DEPENDENCYPART_ARC
(23,12),-2.08717 # DEPENDENCYPART_ARC
(23,19),-0.522448 # DEPENDENCYPART_ARC
(23,20),0.43578 # DEPENDENCYPART_ARC
(23,21),1.15189 # DEPENDENCYPART_ARC
(23,22),0.423403 # DEPENDENCYPART_ARC
(23,24),-0.490714 # DEPENDENCYPART_ARC
