# _root_ ' Amor_,_Prozac_i_dubtes ' és la tercera obra de la companyia , i segona vegada que adapten un text literari .
#goldHeads=2,4,2,0,7,7,4,7,10,8,7,7,14,7,16,14,18,16,18,4,
#predictedHeads=2,4,2,0,7,7,4,7,10,8,4,4,14,4,16,14,18,16,18,4,
(7,4),-0.803583 # DEPENDENCYPART_ARC
(7,5),3.84091 # DEPENDENCYPART_ARC
(7,6),4.59483 # DEPENDENCYPART_ARC
(7,8),2.8008 # DEPENDENCYPART_ARC
(7,10),1.14463 # DEPENDENCYPART_ARC
(7,11),-0.131187 # DEPENDENCYPART_ARC
(7,12),0.988853 # DEPENDENCYPART_ARC
(7,13),0.815679 # DEPENDENCYPART_ARC
(7,14),0.588602 # DEPENDENCYPART_ARC
(7,16),1.07607 # DEPENDENCYPART_ARC
(7,18),-0.362622 # DEPENDENCYPART_ARC
(7,19),-1.77066 # DEPENDENCYPART_ARC
(7,20),1.21298 # DEPENDENCYPART_ARC
(8,7),-0.721323 # DEPENDENCYPART_ARC
(8,10),4.27707 # DEPENDENCYPART_ARC
(8,11),0.167825 # DEPENDENCYPART_ARC
(8,12),-0.00308512 # DEPENDENCYPART_ARC
(8,14),0.0165883 # DEPENDENCYPART_ARC
(8,16),-0.50743 # DEPENDENCYPART_ARC
(9,7),-0.729607 # DEPENDENCYPART_ARC
(9,8),0.177539 # DEPENDENCYPART_ARC
(9,10),0.0534761 # DEPENDENCYPART_ARC
(10,5),0.0329707 # DEPENDENCYPART_ARC
(10,9),3.82475 # DEPENDENCYPART_ARC
(10,11),0.344076 # DEPENDENCYPART_ARC
(10,12),0.291222 # DEPENDENCYPART_ARC
(10,13),0.711916 # DEPENDENCYPART_ARC
(10,14),0.0258632 # DEPENDENCYPART_ARC
(10,16),0.196668 # DEPENDENCYPART_ARC
(10,18),-0.861853 # DEPENDENCYPART_ARC
(12,11),-0.978951 # DEPENDENCYPART_ARC
(13,11),0.38303 # DEPENDENCYPART_ARC
(13,14),-0.157007 # DEPENDENCYPART_ARC
(13,16),-1.0613 # DEPENDENCYPART_ARC
(13,18),-1.66918 # DEPENDENCYPART_ARC
(14,4),-0.420524 # DEPENDENCYPART_ARC
(14,7),-0.222109 # DEPENDENCYPART_ARC
(14,8),-0.215218 # DEPENDENCYPART_ARC
(14,9),1.41973 # DEPENDENCYPART_ARC
(14,11),0.678717 # DEPENDENCYPART_ARC
(14,12),0.782802 # DEPENDENCYPART_ARC
(14,13),3.48602 # DEPENDENCYPART_ARC
(14,15),-1.29084 # DEPENDENCYPART_ARC
(14,16),2.11468 # DEPENDENCYPART_ARC
(14,17),-1.78076 # DEPENDENCYPART_ARC
(14,18),-1.52542 # DEPENDENCYPART_ARC
(14,19),-1.7049 # DEPENDENCYPART_ARC
(14,20),0.717146 # DEPENDENCYPART_ARC
(15,18),-2.29754 # DEPENDENCYPART_ARC
(16,1),-2.12821 # DEPENDENCYPART_ARC
(16,2),-2.1572 # DEPENDENCYPART_ARC
(16,3),-2.76606 # DEPENDENCYPART_ARC
(16,4),-0.960847 # DEPENDENCYPART_ARC
(16,7),-1.77166 # DEPENDENCYPART_ARC
(16,8),-1.59094 # DEPENDENCYPART_ARC
(16,10),-1.10755 # DEPENDENCYPART_ARC
(16,11),-0.907231 # DEPENDENCYPART_ARC
(16,12),-0.743131 # DEPENDENCYPART_ARC
(16,13),-1.51911 # DEPENDENCYPART_ARC
(16,14),-0.14006 # DEPENDENCYPART_ARC
(16,15),4.44897 # DEPENDENCYPART_ARC
(16,18),2.64686 # DEPENDENCYPART_ARC
(16,19),-0.441186 # DEPENDENCYPART_ARC
(16,20),2.15298 # DEPENDENCYPART_ARC
(18,4),-0.968419 # DEPENDENCYPART_ARC
(18,8),0.00912895 # DEPENDENCYPART_ARC
(18,12),-0.631205 # DEPENDENCYPART_ARC
(18,14),-1.55088 # DEPENDENCYPART_ARC
(18,15),0.37069 # DEPENDENCYPART_ARC
(18,16),-0.905119 # DEPENDENCYPART_ARC
(18,17),3.82674 # DEPENDENCYPART_ARC
(18,19),3.3647 # DEPENDENCYPART_ARC
(18,20),0.473112 # DEPENDENCYPART_ARC
(19,14),-1.98769 # DEPENDENCYPART_ARC
(19,17),-0.644919 # DEPENDENCYPART_ARC
