# _root_ A_més_del catàleg , coincidint amb el lliurament dels premis , el dia_6_de_juny s' inaugurarà a Igualada l' exposició que reunirà les obres seleccionades .
#goldHeads=14,1,4,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
#predictedHeads=4,1,1,14,4,7,5,7,8,1,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
(9,14),0.949633 # DEPENDENCYPART_ARC
(9,15),-0.945989 # DEPENDENCYPART_ARC
(9,18),-1.24615 # DEPENDENCYPART_ARC
(9,20),0.101753 # DEPENDENCYPART_ARC
(9,22),-0.195613 # DEPENDENCYPART_ARC
(9,24),0.412641 # DEPENDENCYPART_ARC
(11,8),-1.36805 # DEPENDENCYPART_ARC
(11,12),0.540934 # DEPENDENCYPART_ARC
(12,8),-0.593518 # DEPENDENCYPART_ARC
(12,10),1.09326 # DEPENDENCYPART_ARC
(12,11),2.795 # DEPENDENCYPART_ARC
(12,14),-0.136332 # DEPENDENCYPART_ARC
(12,15),-1.71878 # DEPENDENCYPART_ARC
(12,18),-2.10771 # DEPENDENCYPART_ARC
(12,20),-1.29787 # DEPENDENCYPART_ARC
(14,1),0.181993 # DEPENDENCYPART_ARC
(14,3),-0.965013 # DEPENDENCYPART_ARC
(14,4),0.432257 # DEPENDENCYPART_ARC
(14,5),0.593962 # DEPENDENCYPART_ARC
(14,7),1.01969 # DEPENDENCYPART_ARC
(14,8),-1.24611 # DEPENDENCYPART_ARC
(14,9),-0.761163 # DEPENDENCYPART_ARC
(14,10),0.952034 # DEPENDENCYPART_ARC
(14,11),-0.469517 # DEPENDENCYPART_ARC
(14,12),1.10786 # DEPENDENCYPART_ARC
(14,13),4.08063 # DEPENDENCYPART_ARC
(14,15),4.08401 # DEPENDENCYPART_ARC
(14,16),1.85102 # DEPENDENCYPART_ARC
(14,18),2.43302 # DEPENDENCYPART_ARC
(14,20),1.78015 # DEPENDENCYPART_ARC
(14,22),1.26166 # DEPENDENCYPART_ARC
(14,23),0.300893 # DEPENDENCYPART_ARC
(14,24),3.38609 # DEPENDENCYPART_ARC
(15,4),-1.7484 # DEPENDENCYPART_ARC
(15,11),-2.6753 # DEPENDENCYPART_ARC
(15,12),-2.43677 # DEPENDENCYPART_ARC
(15,16),4.39306 # DEPENDENCYPART_ARC
(15,18),-0.500006 # DEPENDENCYPART_ARC
(15,20),-1.77244 # DEPENDENCYPART_ARC
(16,18),-0.754707 # DEPENDENCYPART_ARC
(16,20),0.111835 # DEPENDENCYPART_ARC
(17,15),-1.62928 # DEPENDENCYPART_ARC
(18,1),-2.76792 # DEPENDENCYPART_ARC
(18,4),-1.82273 # DEPENDENCYPART_ARC
(18,8),-0.704035 # DEPENDENCYPART_ARC
(18,14),-1.44676 # DEPENDENCYPART_ARC
(18,15),-0.307326 # DEPENDENCYPART_ARC
(18,17),3.6366 # DEPENDENCYPART_ARC
(18,19),-0.138507 # DEPENDENCYPART_ARC
(18,20),3.57739 # DEPENDENCYPART_ARC
(18,22),0.43584 # DEPENDENCYPART_ARC
(18,23),0.61324 # DEPENDENCYPART_ARC
(18,24),1.82631 # DEPENDENCYPART_ARC
(19,22),-1.43753 # DEPENDENCYPART_ARC
(20,1),-1.11664 # DEPENDENCYPART_ARC
(20,3),-2.15664 # DEPENDENCYPART_ARC
(20,4),-0.538949 # DEPENDENCYPART_ARC
(20,5),-0.428808 # DEPENDENCYPART_ARC
(20,8),-2.45892 # DEPENDENCYPART_ARC
(20,10),-1.03477 # DEPENDENCYPART_ARC
(20,11),-3.36829 # DEPENDENCYPART_ARC
(20,12),-0.350075 # DEPENDENCYPART_ARC
(20,14),-2.02772 # DEPENDENCYPART_ARC
(20,15),0.281199 # DEPENDENCYPART_ARC
(20,16),-0.551801 # DEPENDENCYPART_ARC
(20,17),-1.59184 # DEPENDENCYPART_ARC
(20,18),0.921914 # DEPENDENCYPART_ARC
(20,19),4.13027 # DEPENDENCYPART_ARC
(20,22),3.31293 # DEPENDENCYPART_ARC
(20,23),0.989772 # DEPENDENCYPART_ARC
(20,24),2.12345 # DEPENDENCYPART_ARC
(22,4),-2.57675 # DEPENDENCYPART_ARC
(22,17),-2.02206 # DEPENDENCYPART_ARC
(22,19),0.373984 # DEPENDENCYPART_ARC
(22,21),3.79591 # DEPENDENCYPART_ARC
(22,23),4.67601 # DEPENDENCYPART_ARC
(22,24),0.311959 # DEPENDENCYPART_ARC
(23,18),-1.36449 # DEPENDENCYPART_ARC
(23,21),-0.28615 # DEPENDENCYPART_ARC
(23,24),-0.898659 # DEPENDENCYPART_ARC
