# _root_ Una altra de les marques de tabac negre , Gitanes , fixarà el_seu preu en 310 pessetes tant en la varietat amb filtre com sense filtre .
#goldHeads=2,12,2,5,3,5,6,7,10,2,10,0,14,12,12,17,15,19,12,21,19,21,22,19,19,25,12,
#predictedHeads=2,12,2,5,3,5,6,7,10,5,10,0,14,12,12,17,15,19,12,21,19,21,22,19,19,25,12,
(21,22),2.39261 # DEPENDENCYPART_ARC
(21,23),0.371785 # DEPENDENCYPART_ARC
(21,24),-0.253838 # DEPENDENCYPART_ARC
(21,25),-0.591821 # DEPENDENCYPART_ARC
(21,27),0.886805 # DEPENDENCYPART_ARC
(22,18),-0.373379 # DEPENDENCYPART_ARC
(22,20),-0.256936 # DEPENDENCYPART_ARC
(22,23),3.9689 # DEPENDENCYPART_ARC
(22,24),1.72437 # DEPENDENCYPART_ARC
(22,25),1.66762 # DEPENDENCYPART_ARC
(22,26),0.388775 # DEPENDENCYPART_ARC
(23,19),-0.69102 # DEPENDENCYPART_ARC
(23,20),0.00169002 # DEPENDENCYPART_ARC
(23,24),-0.484419 # DEPENDENCYPART_ARC
(23,25),-1.14315 # DEPENDENCYPART_ARC
(24,25),0.60338 # DEPENDENCYPART_ARC
(24,26),1.84009 # DEPENDENCYPART_ARC
(24,27),0.537196 # DEPENDENCYPART_ARC
(25,20),-0.16196 # DEPENDENCYPART_ARC
(25,22),0.896803 # DEPENDENCYPART_ARC
(25,24),1.68038 # DEPENDENCYPART_ARC
(25,26),4.39243 # DEPENDENCYPART_ARC
(25,27),0.931639 # DEPENDENCYPART_ARC
(26,20),-2.47116 # DEPENDENCYPART_ARC
(26,24),-1.65647 # DEPENDENCYPART_ARC
