# _root_ Escolti , jo no vull anar a rentar -me les mans , vull anar a orinar .
#goldHeads=0,5,5,5,1,5,6,7,8,11,8,5,5,13,14,15,1,
#predictedHeads=16,5,5,5,16,5,6,7,8,11,8,5,0,13,14,15,16,
(7,1),-1.09133 # DEPENDENCYPART_ARC
(7,5),0.118258 # DEPENDENCYPART_ARC
(7,6),0.660646 # DEPENDENCYPART_ARC
(7,8),3.14113 # DEPENDENCYPART_ARC
(7,9),1.04093 # DEPENDENCYPART_ARC
(7,11),0.482437 # DEPENDENCYPART_ARC
(7,12),-0.111178 # DEPENDENCYPART_ARC
(7,13),-1.53305 # DEPENDENCYPART_ARC
(7,14),-1.18979 # DEPENDENCYPART_ARC
(7,15),0.368396 # DEPENDENCYPART_ARC
(7,16),-1.58428 # DEPENDENCYPART_ARC
(8,1),-0.0744386 # DEPENDENCYPART_ARC
(8,2),0.283449 # DEPENDENCYPART_ARC
(8,3),0.331247 # DEPENDENCYPART_ARC
(8,4),2.13431 # DEPENDENCYPART_ARC
(8,5),2.49031 # DEPENDENCYPART_ARC
(8,6),2.09859 # DEPENDENCYPART_ARC
(8,7),3.44081 # DEPENDENCYPART_ARC
(8,9),2.35206 # DEPENDENCYPART_ARC
(8,11),2.60329 # DEPENDENCYPART_ARC
(8,12),0.969902 # DEPENDENCYPART_ARC
(8,13),1.03731 # DEPENDENCYPART_ARC
(8,14),0.0964518 # DEPENDENCYPART_ARC
(8,15),1.45938 # DEPENDENCYPART_ARC
(8,16),-0.107507 # DEPENDENCYPART_ARC
(8,17),1.53487 # DEPENDENCYPART_ARC
(9,11),0.187814 # DEPENDENCYPART_ARC
(9,12),-0.462611 # DEPENDENCYPART_ARC
(9,13),-1.06247 # DEPENDENCYPART_ARC
(9,14),-0.775117 # DEPENDENCYPART_ARC
(9,15),-2.44745 # DEPENDENCYPART_ARC
(9,17),-0.843751 # DEPENDENCYPART_ARC
(10,7),-1.53486 # DEPENDENCYPART_ARC
(11,1),-1.01874 # DEPENDENCYPART_ARC
(11,2),-0.827986 # DEPENDENCYPART_ARC
(11,3),-2.23729 # DEPENDENCYPART_ARC
(11,5),-1.40897 # DEPENDENCYPART_ARC
(11,6),-1.50837 # DEPENDENCYPART_ARC
(11,7),-0.426095 # DEPENDENCYPART_ARC
(11,8),-0.112874 # DEPENDENCYPART_ARC
(11,9),-0.185152 # DEPENDENCYPART_ARC
(11,10),4.39101 # DEPENDENCYPART_ARC
(11,12),0.780614 # DEPENDENCYPART_ARC
(11,13),0.347148 # DEPENDENCYPART_ARC
(11,14),0.267555 # DEPENDENCYPART_ARC
(11,15),-0.684446 # DEPENDENCYPART_ARC
(11,16),-1.71325 # DEPENDENCYPART_ARC
(11,17),0.259947 # DEPENDENCYPART_ARC
(12,11),-2.09461 # DEPENDENCYPART_ARC
(13,1),-1.0889 # DEPENDENCYPART_ARC
(13,2),-0.86389 # DEPENDENCYPART_ARC
(13,3),-0.96491 # DEPENDENCYPART_ARC
(13,5),-0.341031 # DEPENDENCYPART_ARC
(13,6),-1.67078 # DEPENDENCYPART_ARC
(13,7),0.146331 # DEPENDENCYPART_ARC
(13,8),-0.652583 # DEPENDENCYPART_ARC
(13,9),0.344551 # DEPENDENCYPART_ARC
(13,10),-0.599783 # DEPENDENCYPART_ARC
(13,11),0.503089 # DEPENDENCYPART_ARC
(13,12),0.407726 # DEPENDENCYPART_ARC
(13,14),2.68262 # DEPENDENCYPART_ARC
(13,15),1.87398 # DEPENDENCYPART_ARC
(13,16),0.567255 # DEPENDENCYPART_ARC
(13,17),2.25008 # DEPENDENCYPART_ARC
(14,1),-2.26854 # DEPENDENCYPART_ARC
(14,2),-2.81241 # DEPENDENCYPART_ARC
(14,3),-2.54142 # DEPENDENCYPART_ARC
(14,5),-1.31768 # DEPENDENCYPART_ARC
(14,6),-3.12998 # DEPENDENCYPART_ARC
(14,7),-0.713466 # DEPENDENCYPART_ARC
(14,8),-1.98515 # DEPENDENCYPART_ARC
(14,9),-0.861848 # DEPENDENCYPART_ARC
(14,10),-1.90869 # DEPENDENCYPART_ARC
(14,11),-0.0179245 # DEPENDENCYPART_ARC
(14,13),2.44444 # DEPENDENCYPART_ARC
(14,15),3.77962 # DEPENDENCYPART_ARC
(14,16),0.430773 # DEPENDENCYPART_ARC
(14,17),1.87417 # DEPENDENCYPART_ARC
(15,1),-1.51319 # DEPENDENCYPART_ARC
(15,16),3.27556 # DEPENDENCYPART_ARC
(15,17),0.4037 # DEPENDENCYPART_ARC
(16,1),0.264816 # DEPENDENCYPART_ARC
(16,2),-1.78606 # DEPENDENCYPART_ARC
(16,3),-0.728001 # DEPENDENCYPART_ARC
(16,5),2.18725 # DEPENDENCYPART_ARC
(16,6),0.0363959 # DEPENDENCYPART_ARC
(16,7),0.875056 # DEPENDENCYPART_ARC
(16,8),0.343884 # DEPENDENCYPART_ARC
(16,9),0.450997 # DEPENDENCYPART_ARC
(16,10),-1.00266 # DEPENDENCYPART_ARC
(16,11),0.784693 # DEPENDENCYPART_ARC
(16,12),-0.244766 # DEPENDENCYPART_ARC
(16,13),3.61642 # DEPENDENCYPART_ARC
(16,14),2.87947 # DEPENDENCYPART_ARC
(16,15),4.4148 # DEPENDENCYPART_ARC
(16,17),2.29776 # DEPENDENCYPART_ARC
