# _root_ No els en deixa passar ni una i , si hi ha dubtes sobre la sonoritat d' una nota , fa que la repeteixin tots .
#goldHeads=5,5,5,5,0,7,5,5,12,12,12,21,12,13,16,14,16,19,17,12,5,24,24,21,24,5,
#predictedHeads=5,5,5,5,0,7,5,7,12,12,12,5,12,13,16,14,16,19,17,12,12,24,24,21,24,5,
(13,2),-2.88 # DEPENDENCYPART_ARC
(13,3),-1.77985 # DEPENDENCYPART_ARC
(13,4),-1.26481 # DEPENDENCYPART_ARC
(13,5),-2.63164 # DEPENDENCYPART_ARC
(13,6),-1.10873 # DEPENDENCYPART_ARC
(13,8),-1.56186 # DEPENDENCYPART_ARC
(13,10),-1.11986 # DEPENDENCYPART_ARC
(13,11),-0.301157 # DEPENDENCYPART_ARC
(13,12),0.940601 # DEPENDENCYPART_ARC
(13,14),2.18653 # DEPENDENCYPART_ARC
(13,16),0.597522 # DEPENDENCYPART_ARC
(13,17),0.936461 # DEPENDENCYPART_ARC
(13,19),-0.149478 # DEPENDENCYPART_ARC
(13,20),0.234489 # DEPENDENCYPART_ARC
(13,21),-0.279444 # DEPENDENCYPART_ARC
(13,24),-0.571932 # DEPENDENCYPART_ARC
(13,25),-1.14688 # DEPENDENCYPART_ARC
(14,13),-0.37426 # DEPENDENCYPART_ARC
(14,15),-1.08498 # DEPENDENCYPART_ARC
(14,16),4.27083 # DEPENDENCYPART_ARC
(14,17),0.00136989 # DEPENDENCYPART_ARC
(14,19),1.46159 # DEPENDENCYPART_ARC
(14,20),-0.55411 # DEPENDENCYPART_ARC
(14,21),-1.27927 # DEPENDENCYPART_ARC
(14,22),-1.89225 # DEPENDENCYPART_ARC
(14,24),0.395773 # DEPENDENCYPART_ARC
(15,13),-2.03769 # DEPENDENCYPART_ARC
(15,16),2.92638 # DEPENDENCYPART_ARC
(15,17),-0.0093829 # DEPENDENCYPART_ARC
(15,18),0.631756 # DEPENDENCYPART_ARC
(16,2),-2.40041 # DEPENDENCYPART_ARC
(16,4),-2.55294 # DEPENDENCYPART_ARC
(16,5),-2.31163 # DEPENDENCYPART_ARC
(16,6),-1.23882 # DEPENDENCYPART_ARC
(16,10),-1.40712 # DEPENDENCYPART_ARC
(16,11),-0.380292 # DEPENDENCYPART_ARC
(16,12),-1.95821 # DEPENDENCYPART_ARC
(16,15),3.50418 # DEPENDENCYPART_ARC
(16,17),2.43578 # DEPENDENCYPART_ARC
(16,18),-0.434193 # DEPENDENCYPART_ARC
(16,19),0.839803 # DEPENDENCYPART_ARC
(16,20),0.205673 # DEPENDENCYPART_ARC
(16,21),-0.0848888 # DEPENDENCYPART_ARC
(16,23),-2.59947 # DEPENDENCYPART_ARC
(16,24),-0.781077 # DEPENDENCYPART_ARC
(16,25),-2.45652 # DEPENDENCYPART_ARC
(17,15),-0.257919 # DEPENDENCYPART_ARC
(17,19),4.63597 # DEPENDENCYPART_ARC
(17,20),0.146171 # DEPENDENCYPART_ARC
(17,21),-1.61561 # DEPENDENCYPART_ARC
(17,22),-2.06858 # DEPENDENCYPART_ARC
(17,24),-0.580313 # DEPENDENCYPART_ARC
(18,17),0.624756 # DEPENDENCYPART_ARC
(19,2),-1.83456 # DEPENDENCYPART_ARC
(19,3),-0.0245851 # DEPENDENCYPART_ARC
(19,4),-2.07943 # DEPENDENCYPART_ARC
(19,5),-1.79722 # DEPENDENCYPART_ARC
(19,6),-0.918066 # DEPENDENCYPART_ARC
(19,8),-0.975241 # DEPENDENCYPART_ARC
(19,10),-0.900741 # DEPENDENCYPART_ARC
(19,11),0.0791003 # DEPENDENCYPART_ARC
(19,12),-1.83493 # DEPENDENCYPART_ARC
(19,14),-0.356582 # DEPENDENCYPART_ARC
(19,15),1.50357 # DEPENDENCYPART_ARC
(19,18),4.62746 # DEPENDENCYPART_ARC
(19,20),0.432518 # DEPENDENCYPART_ARC
(19,21),0.602252 # DEPENDENCYPART_ARC
(19,22),-2.06635 # DEPENDENCYPART_ARC
(19,23),-2.611 # DEPENDENCYPART_ARC
(19,24),-0.623136 # DEPENDENCYPART_ARC
(19,25),-2.4949 # DEPENDENCYPART_ARC
(21,2),-4.93218 # DEPENDENCYPART_ARC
(21,3),-4.0762 # DEPENDENCYPART_ARC
(21,4),-1.82399 # DEPENDENCYPART_ARC
(21,5),-3.73322 # DEPENDENCYPART_ARC
(21,6),-3.01671 # DEPENDENCYPART_ARC
(21,7),-3.23637 # DEPENDENCYPART_ARC
(21,8),-1.10849 # DEPENDENCYPART_ARC
(21,9),0.41068 # DEPENDENCYPART_ARC
(21,10),1.06989 # DEPENDENCYPART_ARC
(21,11),-1.22076 # DEPENDENCYPART_ARC
(21,12),-1.14453 # DEPENDENCYPART_ARC
(21,13),-1.00696 # DEPENDENCYPART_ARC
(21,14),-1.1333 # DEPENDENCYPART_ARC
(21,16),0.455681 # DEPENDENCYPART_ARC
(21,17),-0.979316 # DEPENDENCYPART_ARC
(21,19),0.966281 # DEPENDENCYPART_ARC
(21,20),-0.498779 # DEPENDENCYPART_ARC
(21,22),-0.615044 # DEPENDENCYPART_ARC
(21,23),-1.30294 # DEPENDENCYPART_ARC
(21,24),1.22063 # DEPENDENCYPART_ARC
(21,25),-1.74504 # DEPENDENCYPART_ARC
(21,26),3.25555 # DEPENDENCYPART_ARC
(22,23),-1.02706 # DEPENDENCYPART_ARC
(23,22),1.00823 # DEPENDENCYPART_ARC
(23,25),-1.52217 # DEPENDENCYPART_ARC
(24,4),-1.87504 # DEPENDENCYPART_ARC
(24,5),-3.92064 # DEPENDENCYPART_ARC
(24,6),-2.71252 # DEPENDENCYPART_ARC
(24,7),-2.37189 # DEPENDENCYPART_ARC
(24,8),-0.746964 # DEPENDENCYPART_ARC
(24,9),1.71597 # DEPENDENCYPART_ARC
(24,10),0.798343 # DEPENDENCYPART_ARC
(24,11),-0.330764 # DEPENDENCYPART_ARC
(24,12),-0.64712 # DEPENDENCYPART_ARC
(24,13),-0.00274366 # DEPENDENCYPART_ARC
(24,14),-0.443161 # DEPENDENCYPART_ARC
(24,16),-0.456992 # DEPENDENCYPART_ARC
(24,17),-0.918191 # DEPENDENCYPART_ARC
(24,19),-0.728573 # DEPENDENCYPART_ARC
(24,20),0.899237 # DEPENDENCYPART_ARC
(24,21),0.209001 # DEPENDENCYPART_ARC
(24,22),4.70151 # DEPENDENCYPART_ARC
(24,23),3.74701 # DEPENDENCYPART_ARC
(24,25),3.66924 # DEPENDENCYPART_ARC
(24,26),2.79409 # DEPENDENCYPART_ARC
(25,14),-0.949481 # DEPENDENCYPART_ARC
(25,17),-0.627265 # DEPENDENCYPART_ARC
(25,24),0.0765167 # DEPENDENCYPART_ARC
