# _root_ El ministre va assenyalar la informació , la lluita contra la guerra bacteriològica , la nuclear i la química com_a camps per a la cooperació intereuropea .
#goldHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,12,16,12,12,19,12,4,20,21,22,25,23,25,4,
#predictedHeads=2,4,4,0,6,4,6,9,6,9,12,10,12,16,16,12,6,19,16,19,20,9,22,25,23,25,4,
(5,6),0.225839 # DEPENDENCYPART_ARC
(5,8),-0.909719 # DEPENDENCYPART_ARC
(6,1),-2.56181 # DEPENDENCYPART_ARC
(6,2),-2.28387 # DEPENDENCYPART_ARC
(6,3),-1.81235 # DEPENDENCYPART_ARC
(6,5),3.34817 # DEPENDENCYPART_ARC
(6,7),1.21161 # DEPENDENCYPART_ARC
(6,9),1.45817 # DEPENDENCYPART_ARC
(6,10),1.2398 # DEPENDENCYPART_ARC
(6,12),1.1818 # DEPENDENCYPART_ARC
(6,13),1.63841 # DEPENDENCYPART_ARC
(6,14),0.857757 # DEPENDENCYPART_ARC
(6,16),0.0301799 # DEPENDENCYPART_ARC
(6,17),1.91698 # DEPENDENCYPART_ARC
(6,19),0.593438 # DEPENDENCYPART_ARC
(6,20),0.460689 # DEPENDENCYPART_ARC
(6,21),0.247716 # DEPENDENCYPART_ARC
(6,22),-0.109125 # DEPENDENCYPART_ARC
(6,23),-1.24967 # DEPENDENCYPART_ARC
(6,25),0.0522415 # DEPENDENCYPART_ARC
(6,26),0.643832 # DEPENDENCYPART_ARC
(6,27),1.16871 # DEPENDENCYPART_ARC
(7,6),-2.03779 # DEPENDENCYPART_ARC
(8,6),-1.67861 # DEPENDENCYPART_ARC
(8,9),1.25437 # DEPENDENCYPART_ARC
(8,10),-0.346459 # DEPENDENCYPART_ARC
(8,11),0.0846523 # DEPENDENCYPART_ARC
(9,5),0.636997 # DEPENDENCYPART_ARC
(9,6),-0.692251 # DEPENDENCYPART_ARC
(9,7),1.02689 # DEPENDENCYPART_ARC
(9,8),4.14993 # DEPENDENCYPART_ARC
(9,10),2.89126 # DEPENDENCYPART_ARC
(9,12),0.984442 # DEPENDENCYPART_ARC
(9,13),1.78969 # DEPENDENCYPART_ARC
(9,14),0.649607 # DEPENDENCYPART_ARC
(9,16),-0.26696 # DEPENDENCYPART_ARC
(9,17),1.40065 # DEPENDENCYPART_ARC
(9,19),0.271765 # DEPENDENCYPART_ARC
(9,20),1.46481 # DEPENDENCYPART_ARC
(9,21),-0.880968 # DEPENDENCYPART_ARC
(9,22),1.51303 # DEPENDENCYPART_ARC
(9,23),-0.100853 # DEPENDENCYPART_ARC
(9,25),-0.909836 # DEPENDENCYPART_ARC
(9,26),0.0427972 # DEPENDENCYPART_ARC
(9,27),1.2773 # DEPENDENCYPART_ARC
(10,7),-0.037594 # DEPENDENCYPART_ARC
(10,8),-0.846869 # DEPENDENCYPART_ARC
(10,9),-0.626692 # DEPENDENCYPART_ARC
(10,12),4.05975 # DEPENDENCYPART_ARC
(10,13),0.00323328 # DEPENDENCYPART_ARC
(10,14),-0.27856 # DEPENDENCYPART_ARC
(10,16),-0.962503 # DEPENDENCYPART_ARC
(10,17),0.502629 # DEPENDENCYPART_ARC
(10,19),-0.724596 # DEPENDENCYPART_ARC
(10,20),-1.02834 # DEPENDENCYPART_ARC
(10,22),-1.09675 # DEPENDENCYPART_ARC
(10,23),0.35026 # DEPENDENCYPART_ARC
(11,9),-1.61118 # DEPENDENCYPART_ARC
(11,10),-0.744585 # DEPENDENCYPART_ARC
(12,7),-0.6855 # DEPENDENCYPART_ARC
(12,8),0.414625 # DEPENDENCYPART_ARC
(12,9),-1.29699 # DEPENDENCYPART_ARC
(12,10),0.221556 # DEPENDENCYPART_ARC
(12,11),3.49294 # DEPENDENCYPART_ARC
(12,13),3.5023 # DEPENDENCYPART_ARC
(12,14),0.452586 # DEPENDENCYPART_ARC
(12,16),0.354825 # DEPENDENCYPART_ARC
(12,17),1.44575 # DEPENDENCYPART_ARC
(12,19),0.383994 # DEPENDENCYPART_ARC
(12,20),0.765769 # DEPENDENCYPART_ARC
(12,21),0.0858532 # DEPENDENCYPART_ARC
(12,22),0.0548854 # DEPENDENCYPART_ARC
(12,25),0.2832 # DEPENDENCYPART_ARC
(12,26),0.162744 # DEPENDENCYPART_ARC
(12,27),1.40253 # DEPENDENCYPART_ARC
(13,7),-0.534187 # DEPENDENCYPART_ARC
(13,9),-1.45139 # DEPENDENCYPART_ARC
(13,11),0.219368 # DEPENDENCYPART_ARC
(13,14),-0.420494 # DEPENDENCYPART_ARC
(13,16),0.225694 # DEPENDENCYPART_ARC
(13,17),0.231583 # DEPENDENCYPART_ARC
(13,19),-0.59983 # DEPENDENCYPART_ARC
(13,20),-1.50933 # DEPENDENCYPART_ARC
(13,22),-1.66483 # DEPENDENCYPART_ARC
(13,23),-2.28504 # DEPENDENCYPART_ARC
(13,26),-0.502752 # DEPENDENCYPART_ARC
(14,13),-0.325582 # DEPENDENCYPART_ARC
(15,16),-0.614607 # DEPENDENCYPART_ARC
(15,17),-0.0548729 # DEPENDENCYPART_ARC
(15,18),-0.443471 # DEPENDENCYPART_ARC
(16,7),-0.110489 # DEPENDENCYPART_ARC
(16,10),-0.347107 # DEPENDENCYPART_ARC
(16,13),-0.0420765 # DEPENDENCYPART_ARC
(16,14),1.1347 # DEPENDENCYPART_ARC
(16,15),2.09207 # DEPENDENCYPART_ARC
(16,17),1.82189 # DEPENDENCYPART_ARC
(16,19),2.44362 # DEPENDENCYPART_ARC
(16,20),1.38071 # DEPENDENCYPART_ARC
(16,21),0.383262 # DEPENDENCYPART_ARC
(16,22),0.546699 # DEPENDENCYPART_ARC
(16,23),0.05066 # DEPENDENCYPART_ARC
(16,25),0.188542 # DEPENDENCYPART_ARC
(16,26),1.39918 # DEPENDENCYPART_ARC
(16,27),1.32734 # DEPENDENCYPART_ARC
(18,19),-0.341663 # DEPENDENCYPART_ARC
(18,20),-0.127311 # DEPENDENCYPART_ARC
(19,10),-0.945401 # DEPENDENCYPART_ARC
(19,14),0.25857 # DEPENDENCYPART_ARC
(19,15),0.448014 # DEPENDENCYPART_ARC
(19,16),-0.186543 # DEPENDENCYPART_ARC
(19,17),0.719452 # DEPENDENCYPART_ARC
(19,18),2.57584 # DEPENDENCYPART_ARC
(19,20),2.12712 # DEPENDENCYPART_ARC
(19,21),0.411877 # DEPENDENCYPART_ARC
(19,22),0.112458 # DEPENDENCYPART_ARC
(19,23),-0.312019 # DEPENDENCYPART_ARC
(19,25),-0.252834 # DEPENDENCYPART_ARC
(19,26),0.0928536 # DEPENDENCYPART_ARC
(20,15),-1.39818 # DEPENDENCYPART_ARC
(20,18),-0.103423 # DEPENDENCYPART_ARC
(20,19),-0.127469 # DEPENDENCYPART_ARC
(20,21),4.23505 # DEPENDENCYPART_ARC
(20,22),-0.060238 # DEPENDENCYPART_ARC
(20,23),1.14837 # DEPENDENCYPART_ARC
(20,25),0.855252 # DEPENDENCYPART_ARC
(21,7),-2.23183 # DEPENDENCYPART_ARC
(21,15),-1.33524 # DEPENDENCYPART_ARC
(21,16),-2.62018 # DEPENDENCYPART_ARC
(21,18),-0.00122842 # DEPENDENCYPART_ARC
(21,19),-2.41373 # DEPENDENCYPART_ARC
(21,22),1.37312 # DEPENDENCYPART_ARC
(21,23),0.554519 # DEPENDENCYPART_ARC
(21,25),-0.508489 # DEPENDENCYPART_ARC
(21,26),-1.68777 # DEPENDENCYPART_ARC
(21,27),0.0994934 # DEPENDENCYPART_ARC
(22,15),-1.99586 # DEPENDENCYPART_ARC
(22,18),-1.4162 # DEPENDENCYPART_ARC
(22,20),-0.233756 # DEPENDENCYPART_ARC
(22,23),3.45595 # DEPENDENCYPART_ARC
(22,25),1.40082 # DEPENDENCYPART_ARC
(22,26),-0.606669 # DEPENDENCYPART_ARC
(23,18),-3.26763 # DEPENDENCYPART_ARC
(23,24),-1.46711 # DEPENDENCYPART_ARC
(23,25),4.1904 # DEPENDENCYPART_ARC
(23,26),-0.0343727 # DEPENDENCYPART_ARC
(25,16),-1.33566 # DEPENDENCYPART_ARC
(25,24),3.43836 # DEPENDENCYPART_ARC
(25,26),3.71818 # DEPENDENCYPART_ARC
(26,24),-0.0236515 # DEPENDENCYPART_ARC
