# _root_ Mas i Duran van anar ahir , per_separat , al festival de Justo_Molinero al recinte de Can_Zam de Santa_Coloma_de_Gramenet .
#goldHeads=5,1,1,5,0,5,8,5,8,5,10,11,12,5,14,15,16,15,18,5,
#predictedHeads=5,1,1,5,0,5,8,5,8,5,10,11,12,5,14,15,16,17,18,5,
(5,9),0.028826 # DEPENDENCYPART_ARC
(5,10),1.92229 # DEPENDENCYPART_ARC
(5,11),-0.0939329 # DEPENDENCYPART_ARC
(5,12),-0.145928 # DEPENDENCYPART_ARC
(5,13),-0.731704 # DEPENDENCYPART_ARC
(5,14),1.4744 # DEPENDENCYPART_ARC
(5,15),-0.345099 # DEPENDENCYPART_ARC
(5,16),-0.29265 # DEPENDENCYPART_ARC
(5,17),-0.761545 # DEPENDENCYPART_ARC
(5,18),-0.369611 # DEPENDENCYPART_ARC
(5,19),-0.663646 # DEPENDENCYPART_ARC
(5,20),3.37245 # DEPENDENCYPART_ARC
(6,5),0.603699 # DEPENDENCYPART_ARC
(6,7),0.659981 # DEPENDENCYPART_ARC
(6,8),-0.387002 # DEPENDENCYPART_ARC
(6,9),-0.0935249 # DEPENDENCYPART_ARC
(6,10),-1.02688 # DEPENDENCYPART_ARC
(6,12),-1.43927 # DEPENDENCYPART_ARC
(6,14),-1.79098 # DEPENDENCYPART_ARC
(8,6),-0.214917 # DEPENDENCYPART_ARC
(8,7),2.43039 # DEPENDENCYPART_ARC
(8,9),3.05613 # DEPENDENCYPART_ARC
(8,10),-0.488288 # DEPENDENCYPART_ARC
(8,11),-1.01386 # DEPENDENCYPART_ARC
(8,12),-1.05557 # DEPENDENCYPART_ARC
(8,14),-1.55932 # DEPENDENCYPART_ARC
(8,16),-1.86234 # DEPENDENCYPART_ARC
(8,18),-2.10587 # DEPENDENCYPART_ARC
(8,20),-1.82857 # DEPENDENCYPART_ARC
(9,7),-0.291617 # DEPENDENCYPART_ARC
(10,6),-1.42635 # DEPENDENCYPART_ARC
(10,7),0.542093 # DEPENDENCYPART_ARC
(10,8),0.500259 # DEPENDENCYPART_ARC
(10,9),1.62803 # DEPENDENCYPART_ARC
(10,11),3.28345 # DEPENDENCYPART_ARC
(10,12),-0.276709 # DEPENDENCYPART_ARC
(10,13),0.028867 # DEPENDENCYPART_ARC
(10,14),0.249177 # DEPENDENCYPART_ARC
(10,16),-1.3817 # DEPENDENCYPART_ARC
(10,18),-1.65101 # DEPENDENCYPART_ARC
(10,20),0.657608 # DEPENDENCYPART_ARC
(11,7),-1.56444 # DEPENDENCYPART_ARC
(11,8),-1.71085 # DEPENDENCYPART_ARC
(11,9),-1.15869 # DEPENDENCYPART_ARC
(11,10),-0.208449 # DEPENDENCYPART_ARC
(11,12),3.22925 # DEPENDENCYPART_ARC
(11,13),0.831194 # DEPENDENCYPART_ARC
(11,14),1.34959 # DEPENDENCYPART_ARC
(11,15),0.312869 # DEPENDENCYPART_ARC
(11,16),1.47158 # DEPENDENCYPART_ARC
(11,17),-0.0430907 # DEPENDENCYPART_ARC
(11,18),0.88823 # DEPENDENCYPART_ARC
(11,19),-0.110454 # DEPENDENCYPART_ARC
(11,20),0.00664211 # DEPENDENCYPART_ARC
(12,8),-0.408624 # DEPENDENCYPART_ARC
(12,9),0.122766 # DEPENDENCYPART_ARC
(12,13),3.24879 # DEPENDENCYPART_ARC
(12,14),-0.522264 # DEPENDENCYPART_ARC
(12,15),0.553431 # DEPENDENCYPART_ARC
(12,16),-0.246147 # DEPENDENCYPART_ARC
(12,18),-0.34834 # DEPENDENCYPART_ARC
(13,8),-0.669477 # DEPENDENCYPART_ARC
(13,9),-0.45652 # DEPENDENCYPART_ARC
(13,14),0.593596 # DEPENDENCYPART_ARC
(13,15),0.113971 # DEPENDENCYPART_ARC
(13,16),0.984553 # DEPENDENCYPART_ARC
(13,18),0.237307 # DEPENDENCYPART_ARC
(13,20),-0.682811 # DEPENDENCYPART_ARC
(14,10),-1.38001 # DEPENDENCYPART_ARC
(14,12),0.0139165 # DEPENDENCYPART_ARC
(14,15),3.56552 # DEPENDENCYPART_ARC
(14,16),-0.531843 # DEPENDENCYPART_ARC
(14,17),0.139358 # DEPENDENCYPART_ARC
(14,18),-1.36675 # DEPENDENCYPART_ARC
(15,8),-2.58962 # DEPENDENCYPART_ARC
(15,10),-2.26807 # DEPENDENCYPART_ARC
(15,12),-1.53373 # DEPENDENCYPART_ARC
(15,16),2.77558 # DEPENDENCYPART_ARC
(15,17),0.321783 # DEPENDENCYPART_ARC
(15,18),1.75522 # DEPENDENCYPART_ARC
(15,19),-0.12794 # DEPENDENCYPART_ARC
(15,20),-0.689664 # DEPENDENCYPART_ARC
(16,10),-0.748812 # DEPENDENCYPART_ARC
(16,14),0.158117 # DEPENDENCYPART_ARC
(16,17),3.18664 # DEPENDENCYPART_ARC
(16,18),0.358719 # DEPENDENCYPART_ARC
(16,19),0.389353 # DEPENDENCYPART_ARC
(17,10),-1.17712 # DEPENDENCYPART_ARC
(17,18),2.2664 # DEPENDENCYPART_ARC
(17,19),0.529249 # DEPENDENCYPART_ARC
(17,20),-0.259031 # DEPENDENCYPART_ARC
(18,16),0.089543 # DEPENDENCYPART_ARC
(18,19),3.40776 # DEPENDENCYPART_ARC
(18,20),-0.743222 # DEPENDENCYPART_ARC
(19,16),-0.0450459 # DEPENDENCYPART_ARC
