# _root_ En aquesta ocasió es va dir que , a_causa_dels temporals , no hi havia pressupost per tirar_endavant aquest projecte .
#goldHeads=6,3,1,6,6,0,14,9,14,9,9,14,14,6,14,15,16,19,17,6,
#predictedHeads=6,3,1,6,6,0,14,9,14,9,9,14,14,6,14,14,16,19,17,6,
(6,15),-1.86658 # DEPENDENCYPART_ARC
(6,16),-0.791447 # DEPENDENCYPART_ARC
(6,17),0.666578 # DEPENDENCYPART_ARC
(6,20),4.82632 # DEPENDENCYPART_ARC
(7,8),-0.0558432 # DEPENDENCYPART_ARC
(7,9),-0.731311 # DEPENDENCYPART_ARC
(7,11),-0.847099 # DEPENDENCYPART_ARC
(9,1),-1.32821 # DEPENDENCYPART_ARC
(9,6),-1.32011 # DEPENDENCYPART_ARC
(9,7),0.436381 # DEPENDENCYPART_ARC
(9,8),3.02894 # DEPENDENCYPART_ARC
(9,10),4.9945 # DEPENDENCYPART_ARC
(9,11),2.48488 # DEPENDENCYPART_ARC
(9,12),-0.752436 # DEPENDENCYPART_ARC
(9,14),-0.689878 # DEPENDENCYPART_ARC
(9,16),-1.36614 # DEPENDENCYPART_ARC
(9,20),0.620668 # DEPENDENCYPART_ARC
(10,1),-2.37421 # DEPENDENCYPART_ARC
(10,6),-3.23611 # DEPENDENCYPART_ARC
(10,7),-1.09868 # DEPENDENCYPART_ARC
(10,8),-0.669684 # DEPENDENCYPART_ARC
(10,11),-0.148231 # DEPENDENCYPART_ARC
(10,12),-0.688873 # DEPENDENCYPART_ARC
(10,13),-2.08058 # DEPENDENCYPART_ARC
(10,14),0.338087 # DEPENDENCYPART_ARC
(10,15),-1.23555 # DEPENDENCYPART_ARC
(10,16),-0.914619 # DEPENDENCYPART_ARC
(10,17),-0.0532395 # DEPENDENCYPART_ARC
(10,19),-1.18331 # DEPENDENCYPART_ARC
(10,20),-0.191237 # DEPENDENCYPART_ARC
(11,8),-0.62325 # DEPENDENCYPART_ARC
(12,11),-0.327415 # DEPENDENCYPART_ARC
(12,16),-3.44961 # DEPENDENCYPART_ARC
(13,11),-0.341731 # DEPENDENCYPART_ARC
(13,12),0.142386 # DEPENDENCYPART_ARC
(13,15),-1.81873 # DEPENDENCYPART_ARC
(13,16),-1.63615 # DEPENDENCYPART_ARC
(13,17),-1.13616 # DEPENDENCYPART_ARC
(13,19),-2.49607 # DEPENDENCYPART_ARC
(14,1),1.15512 # DEPENDENCYPART_ARC
(14,6),-1.09112 # DEPENDENCYPART_ARC
(14,7),3.02241 # DEPENDENCYPART_ARC
(14,8),1.34699 # DEPENDENCYPART_ARC
(14,9),0.762466 # DEPENDENCYPART_ARC
(14,10),-1.49832 # DEPENDENCYPART_ARC
(14,11),0.87384 # DEPENDENCYPART_ARC
(14,12),2.98622 # DEPENDENCYPART_ARC
(14,13),3.4805 # DEPENDENCYPART_ARC
(14,15),3.31771 # DEPENDENCYPART_ARC
(14,16),2.35334 # DEPENDENCYPART_ARC
(14,17),0.455829 # DEPENDENCYPART_ARC
(14,19),0.561749 # DEPENDENCYPART_ARC
(14,20),1.58092 # DEPENDENCYPART_ARC
(15,1),-1.61512 # DEPENDENCYPART_ARC
(15,6),-3.33644 # DEPENDENCYPART_ARC
(15,7),-0.784381 # DEPENDENCYPART_ARC
(15,8),-1.15232 # DEPENDENCYPART_ARC
(15,9),-1.09308 # DEPENDENCYPART_ARC
(15,11),-0.556829 # DEPENDENCYPART_ARC
(15,12),-0.08393 # DEPENDENCYPART_ARC
(15,13),0.13113 # DEPENDENCYPART_ARC
(15,14),0.0910691 # DEPENDENCYPART_ARC
(15,16),1.79827 # DEPENDENCYPART_ARC
(15,17),1.0655 # DEPENDENCYPART_ARC
(15,19),-0.883631 # DEPENDENCYPART_ARC
(15,20),-0.310781 # DEPENDENCYPART_ARC
(16,9),-2.01626 # DEPENDENCYPART_ARC
(16,15),-0.513851 # DEPENDENCYPART_ARC
(16,17),4.55381 # DEPENDENCYPART_ARC
(16,19),1.13339 # DEPENDENCYPART_ARC
(16,20),0.263827 # DEPENDENCYPART_ARC
(17,1),-2.54522 # DEPENDENCYPART_ARC
(17,6),-3.72397 # DEPENDENCYPART_ARC
(17,7),0.0782514 # DEPENDENCYPART_ARC
(17,8),-2.74579 # DEPENDENCYPART_ARC
(17,9),-2.63046 # DEPENDENCYPART_ARC
(17,12),-0.626707 # DEPENDENCYPART_ARC
(17,13),-0.647034 # DEPENDENCYPART_ARC
(17,14),-1.18617 # DEPENDENCYPART_ARC
(17,15),-2.24059 # DEPENDENCYPART_ARC
(17,16),-0.44136 # DEPENDENCYPART_ARC
(17,19),3.12141 # DEPENDENCYPART_ARC
(17,20),1.46458 # DEPENDENCYPART_ARC
(19,1),-2.15882 # DEPENDENCYPART_ARC
(19,6),-3.00101 # DEPENDENCYPART_ARC
(19,9),-1.48322 # DEPENDENCYPART_ARC
(19,13),-0.450921 # DEPENDENCYPART_ARC
(19,14),-1.62221 # DEPENDENCYPART_ARC
(19,16),-0.236289 # DEPENDENCYPART_ARC
(19,17),0.527647 # DEPENDENCYPART_ARC
(19,18),3.08555 # DEPENDENCYPART_ARC
(19,20),-0.323103 # DEPENDENCYPART_ARC
