# _root_ La manca de personal , segons Lozano , no permet " de_moment " mantenir oberta la Biblioteca durant tot el dia .
#goldHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
#predictedHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
(10,14),2.3659 # DEPENDENCYPART_ARC
(10,15),1.53241 # DEPENDENCYPART_ARC
(10,17),1.58871 # DEPENDENCYPART_ARC
(10,18),1.87693 # DEPENDENCYPART_ARC
(10,21),0.973283 # DEPENDENCYPART_ARC
(10,22),3.73405 # DEPENDENCYPART_ARC
(12,3),-1.15941 # DEPENDENCYPART_ARC
(12,5),-0.0431631 # DEPENDENCYPART_ARC
(12,6),-0.581182 # DEPENDENCYPART_ARC
(12,8),0.71801 # DEPENDENCYPART_ARC
(12,11),2.77837 # DEPENDENCYPART_ARC
(12,13),2.73509 # DEPENDENCYPART_ARC
(12,14),0.843086 # DEPENDENCYPART_ARC
(12,17),-0.900797 # DEPENDENCYPART_ARC
(12,18),-1.48283 # DEPENDENCYPART_ARC
(12,22),0.749061 # DEPENDENCYPART_ARC
(14,1),-1.78192 # DEPENDENCYPART_ARC
(14,2),-0.568315 # DEPENDENCYPART_ARC
(14,4),-1.40566 # DEPENDENCYPART_ARC
(14,5),-2.4205 # DEPENDENCYPART_ARC
(14,6),1.1264 # DEPENDENCYPART_ARC
(14,7),-0.726086 # DEPENDENCYPART_ARC
(14,8),-1.94383 # DEPENDENCYPART_ARC
(14,9),0.998119 # DEPENDENCYPART_ARC
(14,10),0.34463 # DEPENDENCYPART_ARC
(14,11),1.20348 # DEPENDENCYPART_ARC
(14,12),1.8262 # DEPENDENCYPART_ARC
(14,13),1.64367 # DEPENDENCYPART_ARC
(14,15),3.66262 # DEPENDENCYPART_ARC
(14,17),1.81218 # DEPENDENCYPART_ARC
(14,18),2.88174 # DEPENDENCYPART_ARC
(14,21),1.2302 # DEPENDENCYPART_ARC
(14,22),3.36559 # DEPENDENCYPART_ARC
(15,5),-2.47896 # DEPENDENCYPART_ARC
(15,6),-2.94649 # DEPENDENCYPART_ARC
(15,8),-1.9076 # DEPENDENCYPART_ARC
(15,11),-1.08668 # DEPENDENCYPART_ARC
(15,12),-1.2792 # DEPENDENCYPART_ARC
(15,13),-1.12682 # DEPENDENCYPART_ARC
(15,17),-0.470603 # DEPENDENCYPART_ARC
(15,18),0.801334 # DEPENDENCYPART_ARC
(15,21),-0.900578 # DEPENDENCYPART_ARC
(15,22),-0.760512 # DEPENDENCYPART_ARC
(16,12),-1.70233 # DEPENDENCYPART_ARC
(16,17),0.601268 # DEPENDENCYPART_ARC
(16,18),-0.565767 # DEPENDENCYPART_ARC
(16,19),-1.38872 # DEPENDENCYPART_ARC
(17,10),-2.31062 # DEPENDENCYPART_ARC
(17,12),-0.500189 # DEPENDENCYPART_ARC
(17,14),-0.86152 # DEPENDENCYPART_ARC
(17,15),-0.917747 # DEPENDENCYPART_ARC
(17,16),2.76291 # DEPENDENCYPART_ARC
(17,18),0.835357 # DEPENDENCYPART_ARC
(17,21),0.20024 # DEPENDENCYPART_ARC
(17,22),0.708684 # DEPENDENCYPART_ARC
(18,10),-1.90061 # DEPENDENCYPART_ARC
(18,16),-1.29178 # DEPENDENCYPART_ARC
(18,19),-0.727497 # DEPENDENCYPART_ARC
(18,21),3.06818 # DEPENDENCYPART_ARC
(18,22),0.012664 # DEPENDENCYPART_ARC
(19,18),-0.646086 # DEPENDENCYPART_ARC
(19,21),0.33455 # DEPENDENCYPART_ARC
(20,18),0.00679338 # DEPENDENCYPART_ARC
(20,19),4.01127 # DEPENDENCYPART_ARC
(21,6),-2.30228 # DEPENDENCYPART_ARC
(21,10),-2.00176 # DEPENDENCYPART_ARC
(21,12),-0.973372 # DEPENDENCYPART_ARC
(21,14),-1.30439 # DEPENDENCYPART_ARC
(21,15),-2.10198 # DEPENDENCYPART_ARC
(21,16),-0.112151 # DEPENDENCYPART_ARC
(21,18),0.422807 # DEPENDENCYPART_ARC
(21,19),2.21014 # DEPENDENCYPART_ARC
(21,20),2.14378 # DEPENDENCYPART_ARC
(21,22),0.540316 # DEPENDENCYPART_ARC
