# _root_ Mentrestant , a l' interior del que ha de ser el pou d' extracció més modern amb què compta Iberpotash , tot està a punt per a rebre la maquinària de tecnologia alemanya .
#goldHeads=23,3,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,12,19,3,23,0,23,24,23,26,27,30,28,30,31,32,23,
#predictedHeads=10,1,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,12,19,23,23,0,23,24,23,26,27,30,28,30,31,32,19,
(10,19),1.0458 # DEPENDENCYPART_ARC
(10,20),-0.249862 # DEPENDENCYPART_ARC
(10,21),0.265942 # DEPENDENCYPART_ARC
(10,22),-1.20365 # DEPENDENCYPART_ARC
(10,23),0.0916072 # DEPENDENCYPART_ARC
(10,24),-0.12832 # DEPENDENCYPART_ARC
(10,26),0.640072 # DEPENDENCYPART_ARC
(10,27),-0.815405 # DEPENDENCYPART_ARC
(10,28),-0.75218 # DEPENDENCYPART_ARC
(10,30),-1.37955 # DEPENDENCYPART_ARC
(10,34),3.11626 # DEPENDENCYPART_ARC
(11,9),-1.25314 # DEPENDENCYPART_ARC
(11,13),0.138922 # DEPENDENCYPART_ARC
(12,1),-2.48394 # DEPENDENCYPART_ARC
(12,3),-0.851841 # DEPENDENCYPART_ARC
(12,8),-1.84867 # DEPENDENCYPART_ARC
(12,9),-0.233416 # DEPENDENCYPART_ARC
(12,10),-0.155985 # DEPENDENCYPART_ARC
(12,11),2.90975 # DEPENDENCYPART_ARC
(12,13),3.44056 # DEPENDENCYPART_ARC
(12,14),0.688696 # DEPENDENCYPART_ARC
(12,15),0.949259 # DEPENDENCYPART_ARC
(12,16),1.5795 # DEPENDENCYPART_ARC
(12,17),0.642836 # DEPENDENCYPART_ARC
(12,19),2.24626 # DEPENDENCYPART_ARC
(12,20),-0.756826 # DEPENDENCYPART_ARC
(12,22),-1.17424 # DEPENDENCYPART_ARC
(12,23),0.9244 # DEPENDENCYPART_ARC
(12,26),0.242907 # DEPENDENCYPART_ARC
(12,28),0.212821 # DEPENDENCYPART_ARC
(12,33),-2.01875 # DEPENDENCYPART_ARC
(12,34),1.18662 # DEPENDENCYPART_ARC
(13,11),-0.797948 # DEPENDENCYPART_ARC
(13,14),3.71693 # DEPENDENCYPART_ARC
(13,15),-0.515738 # DEPENDENCYPART_ARC
(13,16),-1.27214 # DEPENDENCYPART_ARC
(14,11),-0.0514722 # DEPENDENCYPART_ARC
(14,13),1.61641 # DEPENDENCYPART_ARC
(14,15),0.761477 # DEPENDENCYPART_ARC
(14,16),0.407699 # DEPENDENCYPART_ARC
(14,17),0.981266 # DEPENDENCYPART_ARC
(14,19),1.30555 # DEPENDENCYPART_ARC
(14,20),-1.15808 # DEPENDENCYPART_ARC
(14,22),-2.58064 # DEPENDENCYPART_ARC
(14,23),0.149858 # DEPENDENCYPART_ARC
(14,33),-0.0254952 # DEPENDENCYPART_ARC
(15,13),-0.853826 # DEPENDENCYPART_ARC
(15,14),-0.101769 # DEPENDENCYPART_ARC
(15,17),-1.50679 # DEPENDENCYPART_ARC
(15,19),-0.626431 # DEPENDENCYPART_ARC
(16,6),-0.751122 # DEPENDENCYPART_ARC
(16,9),-0.574117 # DEPENDENCYPART_ARC
(16,12),-0.661596 # DEPENDENCYPART_ARC
(16,13),0.844148 # DEPENDENCYPART_ARC
(16,14),0.203744 # DEPENDENCYPART_ARC
(16,15),3.30379 # DEPENDENCYPART_ARC
(16,17),1.51128 # DEPENDENCYPART_ARC
(16,19),0.882717 # DEPENDENCYPART_ARC
(16,20),-0.256441 # DEPENDENCYPART_ARC
(16,21),0.0214669 # DEPENDENCYPART_ARC
(16,23),-0.330481 # DEPENDENCYPART_ARC
(16,24),-1.92852 # DEPENDENCYPART_ARC
(16,26),-2.40275 # DEPENDENCYPART_ARC
(17,15),-0.877587 # DEPENDENCYPART_ARC
(17,16),-1.05607 # DEPENDENCYPART_ARC
(17,18),4.15387 # DEPENDENCYPART_ARC
(17,19),1.2767 # DEPENDENCYPART_ARC
(17,20),-1.08238 # DEPENDENCYPART_ARC
(17,21),-1.32956 # DEPENDENCYPART_ARC
(17,23),-0.939824 # DEPENDENCYPART_ARC
(17,24),-1.36549 # DEPENDENCYPART_ARC
(17,27),-0.0821349 # DEPENDENCYPART_ARC
(18,17),0.397128 # DEPENDENCYPART_ARC
(18,19),0.40999 # DEPENDENCYPART_ARC
(19,1),0.367945 # DEPENDENCYPART_ARC
(19,2),-0.354317 # DEPENDENCYPART_ARC
(19,3),0.531697 # DEPENDENCYPART_ARC
(19,5),-0.177825 # DEPENDENCYPART_ARC
(19,6),-1.02674 # DEPENDENCYPART_ARC
(19,7),0.582472 # DEPENDENCYPART_ARC
(19,8),0.313843 # DEPENDENCYPART_ARC
(19,9),-0.848081 # DEPENDENCYPART_ARC
(19,10),-0.356288 # DEPENDENCYPART_ARC
(19,11),-2.05845 # DEPENDENCYPART_ARC
(19,12),0.436542 # DEPENDENCYPART_ARC
(19,13),-0.272666 # DEPENDENCYPART_ARC
(19,14),0.129902 # DEPENDENCYPART_ARC
(19,15),-0.360052 # DEPENDENCYPART_ARC
(19,16),-0.493413 # DEPENDENCYPART_ARC
(19,17),2.33875 # DEPENDENCYPART_ARC
(19,18),2.25561 # DEPENDENCYPART_ARC
(19,20),3.35057 # DEPENDENCYPART_ARC
(19,21),1.0705 # DEPENDENCYPART_ARC
(19,22),-0.860934 # DEPENDENCYPART_ARC
(19,23),1.09705 # DEPENDENCYPART_ARC
(19,24),0.81955 # DEPENDENCYPART_ARC
(19,26),-0.288213 # DEPENDENCYPART_ARC
(19,27),-0.507638 # DEPENDENCYPART_ARC
(19,28),-0.234878 # DEPENDENCYPART_ARC
(19,30),-1.321 # DEPENDENCYPART_ARC
(19,33),-1.69443 # DEPENDENCYPART_ARC
(19,34),3.68805 # DEPENDENCYPART_ARC
(20,18),-0.156791 # DEPENDENCYPART_ARC
(20,21),0.280322 # DEPENDENCYPART_ARC
(20,22),0.22859 # DEPENDENCYPART_ARC
(20,23),1.49069 # DEPENDENCYPART_ARC
(20,24),-1.07081 # DEPENDENCYPART_ARC
(20,26),-0.914953 # DEPENDENCYPART_ARC
(20,28),0.157834 # DEPENDENCYPART_ARC
(20,30),-1.27209 # DEPENDENCYPART_ARC
(20,33),-0.6368 # DEPENDENCYPART_ARC
(22,17),-0.976659 # DEPENDENCYPART_ARC
(22,20),-0.553936 # DEPENDENCYPART_ARC
(22,21),0.793041 # DEPENDENCYPART_ARC
(22,23),0.619469 # DEPENDENCYPART_ARC
(22,24),-0.583107 # DEPENDENCYPART_ARC
(22,26),-1.22345 # DEPENDENCYPART_ARC
(22,27),-1.1409 # DEPENDENCYPART_ARC
(22,30),-2.0288 # DEPENDENCYPART_ARC
(22,31),-1.64969 # DEPENDENCYPART_ARC
(23,1),-0.0725755 # DEPENDENCYPART_ARC
(23,2),-0.303669 # DEPENDENCYPART_ARC
(23,3),0.462225 # DEPENDENCYPART_ARC
(23,5),-0.00536337 # DEPENDENCYPART_ARC
(23,7),-0.166882 # DEPENDENCYPART_ARC
(23,8),-0.87629 # DEPENDENCYPART_ARC
(23,9),-1.50622 # DEPENDENCYPART_ARC
(23,10),-0.933004 # DEPENDENCYPART_ARC
(23,12),0.916109 # DEPENDENCYPART_ARC
(23,13),-1.22793 # DEPENDENCYPART_ARC
(23,14),0.196746 # DEPENDENCYPART_ARC
(23,15),-1.29669 # DEPENDENCYPART_ARC
(23,16),-0.662142 # DEPENDENCYPART_ARC
(23,17),1.43064 # DEPENDENCYPART_ARC
(23,18),-0.140446 # DEPENDENCYPART_ARC
(23,19),0.382063 # DEPENDENCYPART_ARC
(23,20),0.368267 # DEPENDENCYPART_ARC
(23,21),2.52866 # DEPENDENCYPART_ARC
(23,22),3.23878 # DEPENDENCYPART_ARC
(23,24),3.50577 # DEPENDENCYPART_ARC
(23,25),1.80226 # DEPENDENCYPART_ARC
(23,26),1.60207 # DEPENDENCYPART_ARC
(23,27),0.874068 # DEPENDENCYPART_ARC
(23,28),-0.0601506 # DEPENDENCYPART_ARC
(23,30),0.496093 # DEPENDENCYPART_ARC
(23,31),-0.38337 # DEPENDENCYPART_ARC
(23,32),-0.906901 # DEPENDENCYPART_ARC
(23,33),-1.01229 # DEPENDENCYPART_ARC
(23,34),2.92676 # DEPENDENCYPART_ARC
(24,25),3.28716 # DEPENDENCYPART_ARC
(24,26),-0.928149 # DEPENDENCYPART_ARC
(24,27),0.866186 # DEPENDENCYPART_ARC
(24,28),-0.22664 # DEPENDENCYPART_ARC
(25,24),0.610711 # DEPENDENCYPART_ARC
(25,26),1.20477 # DEPENDENCYPART_ARC
(25,27),0.0477443 # DEPENDENCYPART_ARC
(25,28),0.782379 # DEPENDENCYPART_ARC
(25,30),-1.60805 # DEPENDENCYPART_ARC
(25,31),0.259162 # DEPENDENCYPART_ARC
(25,33),-1.30601 # DEPENDENCYPART_ARC
(26,24),-0.220626 # DEPENDENCYPART_ARC
(26,27),3.59823 # DEPENDENCYPART_ARC
(26,28),2.05702 # DEPENDENCYPART_ARC
(26,30),-0.111727 # DEPENDENCYPART_ARC
(26,31),-1.53968 # DEPENDENCYPART_ARC
(27,28),3.62906 # DEPENDENCYPART_ARC
(27,30),0.333712 # DEPENDENCYPART_ARC
(27,31),-1.26316 # DEPENDENCYPART_ARC
(28,1),-1.65115 # DEPENDENCYPART_ARC
(28,2),-3.88303 # DEPENDENCYPART_ARC
(28,3),-2.38384 # DEPENDENCYPART_ARC
(28,5),-2.27247 # DEPENDENCYPART_ARC
(28,7),-1.52885 # DEPENDENCYPART_ARC
(28,8),-0.36696 # DEPENDENCYPART_ARC
(28,10),-1.43188 # DEPENDENCYPART_ARC
(28,12),-1.06827 # DEPENDENCYPART_ARC
(28,16),-2.10885 # DEPENDENCYPART_ARC
(28,17),-1.24666 # DEPENDENCYPART_ARC
(28,18),-1.191 # DEPENDENCYPART_ARC
(28,20),-0.926478 # DEPENDENCYPART_ARC
(28,21),-0.485145 # DEPENDENCYPART_ARC
(28,22),-0.155295 # DEPENDENCYPART_ARC
(28,23),0.861076 # DEPENDENCYPART_ARC
(28,24),0.89651 # DEPENDENCYPART_ARC
(28,25),0.126444 # DEPENDENCYPART_ARC
(28,26),0.279879 # DEPENDENCYPART_ARC
(28,27),1.74718 # DEPENDENCYPART_ARC
(28,30),3.06148 # DEPENDENCYPART_ARC
(28,31),0.934558 # DEPENDENCYPART_ARC
(28,32),1.07733 # DEPENDENCYPART_ARC
(28,33),-0.234747 # DEPENDENCYPART_ARC
(28,34),1.89344 # DEPENDENCYPART_ARC
(29,30),2.14374 # DEPENDENCYPART_ARC
(29,31),0.716386 # DEPENDENCYPART_ARC
(30,29),3.31528 # DEPENDENCYPART_ARC
(30,31),3.04322 # DEPENDENCYPART_ARC
(30,32),0.243169 # DEPENDENCYPART_ARC
(30,33),1.77001 # DEPENDENCYPART_ARC
(30,34),0.431166 # DEPENDENCYPART_ARC
(31,29),-0.385586 # DEPENDENCYPART_ARC
(31,32),4.08629 # DEPENDENCYPART_ARC
(31,33),0.615458 # DEPENDENCYPART_ARC
(32,29),1.45127 # DEPENDENCYPART_ARC
(32,33),3.33546 # DEPENDENCYPART_ARC
(33,29),-0.977182 # DEPENDENCYPART_ARC
(33,31),-0.303743 # DEPENDENCYPART_ARC
