# _root_ El conductor del turisme , Antonio_R._S de 51 anys i veí de L'_Escala , ha resultat mort .
#goldHeads=2,16,2,3,6,2,11,9,7,11,6,11,12,6,16,0,16,16,
#predictedHeads=2,16,2,3,6,4,6,9,7,4,4,11,12,2,16,0,16,16,
(4,18),-0.297138 # DEPENDENCYPART_ARC
(6,2),-1.15401 # DEPENDENCYPART_ARC
(6,3),-0.568924 # DEPENDENCYPART_ARC
(6,5),2.51863 # DEPENDENCYPART_ARC
(6,7),2.6594 # DEPENDENCYPART_ARC
(6,8),0.04334 # DEPENDENCYPART_ARC
(6,9),0.0397753 # DEPENDENCYPART_ARC
(6,10),1.63318 # DEPENDENCYPART_ARC
(6,11),0.884652 # DEPENDENCYPART_ARC
(6,12),0.584752 # DEPENDENCYPART_ARC
(6,13),-0.206121 # DEPENDENCYPART_ARC
(6,14),1.45378 # DEPENDENCYPART_ARC
(6,17),-1.59505 # DEPENDENCYPART_ARC
(6,18),0.194929 # DEPENDENCYPART_ARC
(7,5),0.0664788 # DEPENDENCYPART_ARC
(7,8),0.941352 # DEPENDENCYPART_ARC
(7,9),3.42453 # DEPENDENCYPART_ARC
(7,10),0.333814 # DEPENDENCYPART_ARC
(7,11),-1.1629 # DEPENDENCYPART_ARC
(7,12),0.0807692 # DEPENDENCYPART_ARC
(7,14),-0.464918 # DEPENDENCYPART_ARC
(7,18),-0.851948 # DEPENDENCYPART_ARC
(8,3),-0.551798 # DEPENDENCYPART_ARC
(8,7),0.931518 # DEPENDENCYPART_ARC
(8,9),0.131169 # DEPENDENCYPART_ARC
(8,10),-1.00958 # DEPENDENCYPART_ARC
(8,11),-1.14071 # DEPENDENCYPART_ARC
(8,12),-0.720466 # DEPENDENCYPART_ARC
(9,2),-1.71783 # DEPENDENCYPART_ARC
(9,3),-1.02275 # DEPENDENCYPART_ARC
(9,5),-0.56052 # DEPENDENCYPART_ARC
(9,7),1.39816 # DEPENDENCYPART_ARC
(9,8),2.72667 # DEPENDENCYPART_ARC
(9,10),2.2256 # DEPENDENCYPART_ARC
(9,11),0.869014 # DEPENDENCYPART_ARC
(9,12),2.22126 # DEPENDENCYPART_ARC
(9,13),0.262686 # DEPENDENCYPART_ARC
(9,14),-0.42809 # DEPENDENCYPART_ARC
(9,16),-1.54485 # DEPENDENCYPART_ARC
(9,17),-2.10105 # DEPENDENCYPART_ARC
(9,18),0.00436711 # DEPENDENCYPART_ARC
(11,5),1.2594 # DEPENDENCYPART_ARC
(11,7),1.48199 # DEPENDENCYPART_ARC
(11,8),1.12328 # DEPENDENCYPART_ARC
(11,9),-0.0337894 # DEPENDENCYPART_ARC
(11,10),2.36532 # DEPENDENCYPART_ARC
(11,12),2.78485 # DEPENDENCYPART_ARC
(11,13),0.200787 # DEPENDENCYPART_ARC
(11,14),0.334205 # DEPENDENCYPART_ARC
(11,16),-1.04392 # DEPENDENCYPART_ARC
(11,17),-1.01961 # DEPENDENCYPART_ARC
(11,18),-0.569406 # DEPENDENCYPART_ARC
(12,10),-0.449878 # DEPENDENCYPART_ARC
(12,11),0.140985 # DEPENDENCYPART_ARC
(12,13),3.31702 # DEPENDENCYPART_ARC
(12,14),-0.431213 # DEPENDENCYPART_ARC
(12,17),-2.01355 # DEPENDENCYPART_ARC
(13,7),0.13543 # DEPENDENCYPART_ARC
(13,11),0.300919 # DEPENDENCYPART_ARC
(13,14),-0.746546 # DEPENDENCYPART_ARC
(13,16),-1.04274 # DEPENDENCYPART_ARC
(13,17),-1.3768 # DEPENDENCYPART_ARC
(15,2),-1.99543 # DEPENDENCYPART_ARC
(15,6),-2.83323 # DEPENDENCYPART_ARC
(15,11),-1.85281 # DEPENDENCYPART_ARC
(15,16),-0.0857364 # DEPENDENCYPART_ARC
(15,17),-0.334111 # DEPENDENCYPART_ARC
(15,18),1.19178 # DEPENDENCYPART_ARC
(16,1),-1.96222 # DEPENDENCYPART_ARC
(16,2),1.49887 # DEPENDENCYPART_ARC
(16,4),-0.0744896 # DEPENDENCYPART_ARC
(16,5),-2.79974 # DEPENDENCYPART_ARC
(16,6),0.948139 # DEPENDENCYPART_ARC
(16,7),-1.79213 # DEPENDENCYPART_ARC
(16,8),-0.423859 # DEPENDENCYPART_ARC
(16,9),0.333428 # DEPENDENCYPART_ARC
(16,10),-0.22712 # DEPENDENCYPART_ARC
(16,11),0.537323 # DEPENDENCYPART_ARC
(16,12),0.228243 # DEPENDENCYPART_ARC
(16,13),0.936045 # DEPENDENCYPART_ARC
(16,14),0.386837 # DEPENDENCYPART_ARC
(16,15),6.33966 # DEPENDENCYPART_ARC
(16,17),3.29295 # DEPENDENCYPART_ARC
(16,18),3.5112 # DEPENDENCYPART_ARC
(17,7),-1.1833 # DEPENDENCYPART_ARC
(17,12),-1.25926 # DEPENDENCYPART_ARC
(17,14),-1.37398 # DEPENDENCYPART_ARC
(17,18),-0.675172 # DEPENDENCYPART_ARC
