# _root_ A_través_d' aquest programa , que pretén promoure els intercanvis i la cooperació entre França i l' estat espanyol , les dues cambres de comerç volen fomentar l' intercanvi entre empreses catalanes i franceses .
#goldHeads=26,3,1,6,6,3,6,9,7,9,12,9,9,13,14,17,14,17,6,22,20,26,22,23,26,0,28,26,28,29,30,31,31,26,
#predictedHeads=6,3,1,1,6,0,6,9,7,9,12,9,9,13,14,17,14,17,9,22,20,25,22,23,7,25,28,26,28,29,30,31,31,6,
(6,26),-0.740746 # DEPENDENCYPART_ARC
(6,32),-0.836356 # DEPENDENCYPART_ARC
(6,34),9.3753 # DEPENDENCYPART_ARC
(7,1),-0.442176 # DEPENDENCYPART_ARC
(7,3),-1.95739 # DEPENDENCYPART_ARC
(7,4),-0.672907 # DEPENDENCYPART_ARC
(7,5),1.43437 # DEPENDENCYPART_ARC
(7,6),1.39246 # DEPENDENCYPART_ARC
(7,9),3.11953 # DEPENDENCYPART_ARC
(7,10),1.39844 # DEPENDENCYPART_ARC
(7,12),0.554273 # DEPENDENCYPART_ARC
(7,13),0.531804 # DEPENDENCYPART_ARC
(7,14),-1.10942 # DEPENDENCYPART_ARC
(7,15),1.17516 # DEPENDENCYPART_ARC
(7,17),-1.36005 # DEPENDENCYPART_ARC
(7,18),-0.446338 # DEPENDENCYPART_ARC
(7,19),-0.994112 # DEPENDENCYPART_ARC
(7,22),-1.52587 # DEPENDENCYPART_ARC
(7,25),1.6982 # DEPENDENCYPART_ARC
(7,26),0.19737 # DEPENDENCYPART_ARC
(7,29),-1.89184 # DEPENDENCYPART_ARC
(7,32),0.598654 # DEPENDENCYPART_ARC
(7,34),4.56328 # DEPENDENCYPART_ARC
(8,9),0.782941 # DEPENDENCYPART_ARC
(8,10),0.0888917 # DEPENDENCYPART_ARC
(8,11),-1.6537 # DEPENDENCYPART_ARC
(9,1),-0.813998 # DEPENDENCYPART_ARC
(9,4),-1.83231 # DEPENDENCYPART_ARC
(9,6),-0.181142 # DEPENDENCYPART_ARC
(9,7),-0.316975 # DEPENDENCYPART_ARC
(9,8),3.59537 # DEPENDENCYPART_ARC
(9,10),2.79175 # DEPENDENCYPART_ARC
(9,12),1.79743 # DEPENDENCYPART_ARC
(9,13),2.72719 # DEPENDENCYPART_ARC
(9,14),1.39097 # DEPENDENCYPART_ARC
(9,15),1.59344 # DEPENDENCYPART_ARC
(9,17),0.802602 # DEPENDENCYPART_ARC
(9,18),0.000247723 # DEPENDENCYPART_ARC
(9,19),0.879427 # DEPENDENCYPART_ARC
(9,22),2.20233 # DEPENDENCYPART_ARC
(9,23),1.50397 # DEPENDENCYPART_ARC
(9,24),1.30718 # DEPENDENCYPART_ARC
(9,25),1.19538 # DEPENDENCYPART_ARC
(9,26),-0.58141 # DEPENDENCYPART_ARC
(9,28),0.0427247 # DEPENDENCYPART_ARC
(9,29),2.43526 # DEPENDENCYPART_ARC
(11,10),-0.196839 # DEPENDENCYPART_ARC
(11,12),0.91689 # DEPENDENCYPART_ARC
(11,13),-0.233087 # DEPENDENCYPART_ARC
(12,1),-1.78166 # DEPENDENCYPART_ARC
(12,4),-1.29658 # DEPENDENCYPART_ARC
(12,7),-0.544675 # DEPENDENCYPART_ARC
(12,8),-0.758476 # DEPENDENCYPART_ARC
(12,9),-1.09126 # DEPENDENCYPART_ARC
(12,10),0.386821 # DEPENDENCYPART_ARC
(12,11),3.70888 # DEPENDENCYPART_ARC
(12,13),2.39939 # DEPENDENCYPART_ARC
(12,14),0.476797 # DEPENDENCYPART_ARC
(12,15),1.67251 # DEPENDENCYPART_ARC
(12,17),0.487527 # DEPENDENCYPART_ARC
(12,18),-0.663977 # DEPENDENCYPART_ARC
(12,19),0.806005 # DEPENDENCYPART_ARC
(12,22),1.01908 # DEPENDENCYPART_ARC
(12,23),1.12668 # DEPENDENCYPART_ARC
(12,24),-0.243586 # DEPENDENCYPART_ARC
(12,26),-0.906385 # DEPENDENCYPART_ARC
(12,28),-0.956882 # DEPENDENCYPART_ARC
(12,29),0.948129 # DEPENDENCYPART_ARC
(13,11),-0.857228 # DEPENDENCYPART_ARC
(13,12),-0.348858 # DEPENDENCYPART_ARC
(13,14),2.86736 # DEPENDENCYPART_ARC
(13,15),0.567885 # DEPENDENCYPART_ARC
(13,17),-0.795999 # DEPENDENCYPART_ARC
(14,11),0.212332 # DEPENDENCYPART_ARC
(14,12),-0.67604 # DEPENDENCYPART_ARC
(14,15),1.68725 # DEPENDENCYPART_ARC
(14,17),0.925191 # DEPENDENCYPART_ARC
(14,18),1.87107 # DEPENDENCYPART_ARC
(14,19),0.758788 # DEPENDENCYPART_ARC
(14,22),0.599469 # DEPENDENCYPART_ARC
(14,23),0.722212 # DEPENDENCYPART_ARC
(14,24),1.36389 # DEPENDENCYPART_ARC
(14,25),0.0964107 # DEPENDENCYPART_ARC
(14,26),-1.11138 # DEPENDENCYPART_ARC
(14,28),-0.682779 # DEPENDENCYPART_ARC
(14,29),-0.455367 # DEPENDENCYPART_ARC
(14,30),0.410897 # DEPENDENCYPART_ARC
(14,33),-2.27937 # DEPENDENCYPART_ARC
(17,1),-1.48774 # DEPENDENCYPART_ARC
(17,7),-1.84557 # DEPENDENCYPART_ARC
(17,11),0.0150244 # DEPENDENCYPART_ARC
(17,13),-0.0886267 # DEPENDENCYPART_ARC
(17,15),0.270824 # DEPENDENCYPART_ARC
(17,16),3.02794 # DEPENDENCYPART_ARC
(17,18),3.83807 # DEPENDENCYPART_ARC
(17,19),0.719901 # DEPENDENCYPART_ARC
(17,22),0.839747 # DEPENDENCYPART_ARC
(17,23),1.54886 # DEPENDENCYPART_ARC
(17,24),0.715303 # DEPENDENCYPART_ARC
(17,25),0.370988 # DEPENDENCYPART_ARC
(17,26),-0.234732 # DEPENDENCYPART_ARC
(17,28),-0.400685 # DEPENDENCYPART_ARC
(17,29),0.0885267 # DEPENDENCYPART_ARC
(17,31),-3.5626 # DEPENDENCYPART_ARC
(17,33),-4.67215 # DEPENDENCYPART_ARC
(18,13),-0.265573 # DEPENDENCYPART_ARC
(18,16),-0.109551 # DEPENDENCYPART_ARC
(18,17),-0.128996 # DEPENDENCYPART_ARC
(18,19),-0.920345 # DEPENDENCYPART_ARC
(18,22),-2.04141 # DEPENDENCYPART_ARC
(18,23),-2.04475 # DEPENDENCYPART_ARC
(18,32),-0.13036 # DEPENDENCYPART_ARC
(18,33),-3.31532 # DEPENDENCYPART_ARC
(19,17),-1.74806 # DEPENDENCYPART_ARC
(19,18),-0.212407 # DEPENDENCYPART_ARC
(20,21),5.90645 # DEPENDENCYPART_ARC
(21,22),1.63809 # DEPENDENCYPART_ARC
(21,23),1.14141 # DEPENDENCYPART_ARC
(22,1),-2.81857 # DEPENDENCYPART_ARC
(22,6),-0.299304 # DEPENDENCYPART_ARC
(22,7),-0.825503 # DEPENDENCYPART_ARC
(22,16),-1.72355 # DEPENDENCYPART_ARC
(22,18),-2.9083 # DEPENDENCYPART_ARC
(22,20),2.89328 # DEPENDENCYPART_ARC
(22,21),2.77468 # DEPENDENCYPART_ARC
(22,23),4.0147 # DEPENDENCYPART_ARC
(22,24),0.808425 # DEPENDENCYPART_ARC
(22,25),1.81228 # DEPENDENCYPART_ARC
(22,26),0.464802 # DEPENDENCYPART_ARC
(22,28),-0.504027 # DEPENDENCYPART_ARC
(22,29),0.891179 # DEPENDENCYPART_ARC
(22,31),1.21009 # DEPENDENCYPART_ARC
(22,33),0.431825 # DEPENDENCYPART_ARC
(23,20),-0.979026 # DEPENDENCYPART_ARC
(23,21),-0.109581 # DEPENDENCYPART_ARC
(23,24),3.65078 # DEPENDENCYPART_ARC
(23,25),-0.889959 # DEPENDENCYPART_ARC
(23,26),-1.52526 # DEPENDENCYPART_ARC
(24,20),-1.55146 # DEPENDENCYPART_ARC
(24,21),-1.23692 # DEPENDENCYPART_ARC
(24,25),-0.219348 # DEPENDENCYPART_ARC
(25,1),1.05664 # DEPENDENCYPART_ARC
(25,4),-3.2075 # DEPENDENCYPART_ARC
(25,5),-0.258961 # DEPENDENCYPART_ARC
(25,6),-1.97529 # DEPENDENCYPART_ARC
(25,7),-2.55218 # DEPENDENCYPART_ARC
(25,9),0.951096 # DEPENDENCYPART_ARC
(25,10),-0.467549 # DEPENDENCYPART_ARC
(25,12),0.338525 # DEPENDENCYPART_ARC
(25,13),-0.480933 # DEPENDENCYPART_ARC
(25,14),0.000606566 # DEPENDENCYPART_ARC
(25,17),-0.0329967 # DEPENDENCYPART_ARC
(25,18),-2.21342 # DEPENDENCYPART_ARC
(25,19),-0.512177 # DEPENDENCYPART_ARC
(25,20),-0.954998 # DEPENDENCYPART_ARC
(25,22),2.42402 # DEPENDENCYPART_ARC
(25,23),0.475212 # DEPENDENCYPART_ARC
(25,24),0.697982 # DEPENDENCYPART_ARC
(25,26),2.69811 # DEPENDENCYPART_ARC
(25,28),0.474274 # DEPENDENCYPART_ARC
(25,29),0.302857 # DEPENDENCYPART_ARC
(25,30),0.137391 # DEPENDENCYPART_ARC
(25,31),-0.271339 # DEPENDENCYPART_ARC
(25,32),0.531855 # DEPENDENCYPART_ARC
(25,33),-0.353903 # DEPENDENCYPART_ARC
(25,34),4.62067 # DEPENDENCYPART_ARC
(26,1),-1.377 # DEPENDENCYPART_ARC
(26,4),-3.13948 # DEPENDENCYPART_ARC
(26,5),-1.58019 # DEPENDENCYPART_ARC
(26,6),-2.86709 # DEPENDENCYPART_ARC
(26,7),-3.63981 # DEPENDENCYPART_ARC
(26,9),-1.4097 # DEPENDENCYPART_ARC
(26,10),-1.79935 # DEPENDENCYPART_ARC
(26,12),-1.27948 # DEPENDENCYPART_ARC
(26,13),-2.70075 # DEPENDENCYPART_ARC
(26,14),-1.57836 # DEPENDENCYPART_ARC
(26,15),-1.72917 # DEPENDENCYPART_ARC
(26,17),-0.715249 # DEPENDENCYPART_ARC
(26,18),-2.60226 # DEPENDENCYPART_ARC
(26,19),-1.53328 # DEPENDENCYPART_ARC
(26,20),-2.12762 # DEPENDENCYPART_ARC
(26,22),0.348232 # DEPENDENCYPART_ARC
(26,23),-1.23027 # DEPENDENCYPART_ARC
(26,24),-0.350893 # DEPENDENCYPART_ARC
(26,25),2.79459 # DEPENDENCYPART_ARC
(26,28),2.89147 # DEPENDENCYPART_ARC
(26,29),1.34383 # DEPENDENCYPART_ARC
(26,30),1.14767 # DEPENDENCYPART_ARC
(26,31),-0.00742896 # DEPENDENCYPART_ARC
(26,32),0.258197 # DEPENDENCYPART_ARC
(26,33),-0.0444853 # DEPENDENCYPART_ARC
(26,34),3.81599 # DEPENDENCYPART_ARC
(27,28),1.73909 # DEPENDENCYPART_ARC
(27,29),-0.0334981 # DEPENDENCYPART_ARC
(28,6),-1.87576 # DEPENDENCYPART_ARC
(28,23),-1.02281 # DEPENDENCYPART_ARC
(28,27),3.00278 # DEPENDENCYPART_ARC
(28,29),2.44319 # DEPENDENCYPART_ARC
(28,30),0.503519 # DEPENDENCYPART_ARC
(28,31),-1.61759 # DEPENDENCYPART_ARC
(28,32),0.66651 # DEPENDENCYPART_ARC
(28,33),-2.60118 # DEPENDENCYPART_ARC
(29,20),-2.67919 # DEPENDENCYPART_ARC
(29,27),-0.848857 # DEPENDENCYPART_ARC
(29,28),-0.0455012 # DEPENDENCYPART_ARC
(29,30),3.79549 # DEPENDENCYPART_ARC
(29,31),0.140077 # DEPENDENCYPART_ARC
(29,32),0.366106 # DEPENDENCYPART_ARC
(29,33),-0.914148 # DEPENDENCYPART_ARC
(30,27),-0.307194 # DEPENDENCYPART_ARC
(30,28),-1.3297 # DEPENDENCYPART_ARC
(30,31),4.27269 # DEPENDENCYPART_ARC
(30,32),0.958758 # DEPENDENCYPART_ARC
(30,33),1.82712 # DEPENDENCYPART_ARC
(31,32),2.81626 # DEPENDENCYPART_ARC
(31,33),3.19529 # DEPENDENCYPART_ARC
(33,31),1.86965 # DEPENDENCYPART_ARC
(33,32),0.978885 # DEPENDENCYPART_ARC
