# _root_ Mentre viu a sota de les branques o de les pedres dels jardins públics , com passa al Palau_de_Pedralbes de Barcelona , no hi ha tantes queixes : " Els problemes comencen a aparèixer quan s' acosten a les cases " .
#goldHeads=2,25,2,3,4,7,5,5,5,11,9,5,12,13,17,17,2,17,18,19,20,2,25,25,0,27,25,34,34,31,34,34,34,25,37,37,34,37,40,38,34,25,
#predictedHeads=2,34,2,3,4,7,5,5,5,11,9,11,12,13,17,17,2,17,18,19,20,17,25,25,17,27,25,34,34,31,34,34,34,0,37,37,34,37,40,38,37,34,
(6,5),1.00512 # DEPENDENCYPART_ARC
(6,8),0.148138 # DEPENDENCYPART_ARC
(7,1),-1.44281 # DEPENDENCYPART_ARC
(7,3),-1.33177 # DEPENDENCYPART_ARC
(7,4),-0.607037 # DEPENDENCYPART_ARC
(7,5),-0.223189 # DEPENDENCYPART_ARC
(7,6),3.3747 # DEPENDENCYPART_ARC
(7,8),0.0755201 # DEPENDENCYPART_ARC
(7,9),0.232154 # DEPENDENCYPART_ARC
(7,11),1.24713 # DEPENDENCYPART_ARC
(7,12),1.57808 # DEPENDENCYPART_ARC
(7,13),0.176653 # DEPENDENCYPART_ARC
(7,14),-0.516427 # DEPENDENCYPART_ARC
(7,27),-1.3636 # DEPENDENCYPART_ARC
(7,31),-1.3175 # DEPENDENCYPART_ARC
(7,42),0.4253 # DEPENDENCYPART_ARC
(9,8),0.468583 # DEPENDENCYPART_ARC
(9,10),-0.997248 # DEPENDENCYPART_ARC
(9,11),3.81062 # DEPENDENCYPART_ARC
(9,12),0.162908 # DEPENDENCYPART_ARC
(9,13),1.25413 # DEPENDENCYPART_ARC
(9,14),-0.926267 # DEPENDENCYPART_ARC
(9,15),0.188305 # DEPENDENCYPART_ARC
(9,16),-1.0617 # DEPENDENCYPART_ARC
(9,20),-1.45801 # DEPENDENCYPART_ARC
(10,9),0.0368544 # DEPENDENCYPART_ARC
(10,11),2.86381 # DEPENDENCYPART_ARC
(10,12),0.562908 # DEPENDENCYPART_ARC
(11,4),-1.57584 # DEPENDENCYPART_ARC
(11,5),-1.38069 # DEPENDENCYPART_ARC
(11,6),0.467343 # DEPENDENCYPART_ARC
(11,10),3.58731 # DEPENDENCYPART_ARC
(11,12),3.01566 # DEPENDENCYPART_ARC
(11,13),0.840326 # DEPENDENCYPART_ARC
(11,14),0.264651 # DEPENDENCYPART_ARC
(11,15),0.0575891 # DEPENDENCYPART_ARC
(11,16),-0.455871 # DEPENDENCYPART_ARC
(11,17),-0.567183 # DEPENDENCYPART_ARC
(11,20),-1.02512 # DEPENDENCYPART_ARC
(11,42),0.183089 # DEPENDENCYPART_ARC
(12,10),0.143301 # DEPENDENCYPART_ARC
(12,13),4.31071 # DEPENDENCYPART_ARC
(12,14),-0.279911 # DEPENDENCYPART_ARC
(12,15),0.298869 # DEPENDENCYPART_ARC
(12,16),-0.811389 # DEPENDENCYPART_ARC
(12,18),-2.14119 # DEPENDENCYPART_ARC
(13,10),0.0317851 # DEPENDENCYPART_ARC
(13,14),4.03656 # DEPENDENCYPART_ARC
(13,16),0.0586236 # DEPENDENCYPART_ARC
(13,17),-0.307212 # DEPENDENCYPART_ARC
(13,20),-0.0736631 # DEPENDENCYPART_ARC
(13,42),-0.16527 # DEPENDENCYPART_ARC
(14,5),-0.93396 # DEPENDENCYPART_ARC
(14,10),-1.61377 # DEPENDENCYPART_ARC
(14,12),-1.07902 # DEPENDENCYPART_ARC
(14,16),-0.573287 # DEPENDENCYPART_ARC
(14,17),-1.61662 # DEPENDENCYPART_ARC
(14,18),-1.69186 # DEPENDENCYPART_ARC
(15,14),-0.0983436 # DEPENDENCYPART_ARC
(16,15),1.15547 # DEPENDENCYPART_ARC
(16,17),1.63502 # DEPENDENCYPART_ARC
(16,18),0.252799 # DEPENDENCYPART_ARC
(16,19),0.335923 # DEPENDENCYPART_ARC
(16,20),-0.563724 # DEPENDENCYPART_ARC
(16,22),0.217271 # DEPENDENCYPART_ARC
(16,35),-0.4858 # DEPENDENCYPART_ARC
(16,42),1.49566 # DEPENDENCYPART_ARC
(17,1),0.0145366 # DEPENDENCYPART_ARC
(17,2),-0.262243 # DEPENDENCYPART_ARC
(17,3),-0.697895 # DEPENDENCYPART_ARC
(17,4),-1.8403 # DEPENDENCYPART_ARC
(17,5),-1.67679 # DEPENDENCYPART_ARC
(17,7),-1.34974 # DEPENDENCYPART_ARC
(17,8),-2.07387 # DEPENDENCYPART_ARC
(17,9),-0.802357 # DEPENDENCYPART_ARC
(17,11),-0.906183 # DEPENDENCYPART_ARC
(17,12),-1.50708 # DEPENDENCYPART_ARC
(17,13),-1.34517 # DEPENDENCYPART_ARC
(17,14),-1.11403 # DEPENDENCYPART_ARC
(17,15),2.45631 # DEPENDENCYPART_ARC
(17,16),3.3533 # DEPENDENCYPART_ARC
(17,18),3.40285 # DEPENDENCYPART_ARC
(17,19),1.79768 # DEPENDENCYPART_ARC
(17,20),0.719403 # DEPENDENCYPART_ARC
(17,21),-0.259504 # DEPENDENCYPART_ARC
(17,22),0.498767 # DEPENDENCYPART_ARC
(17,23),-0.158349 # DEPENDENCYPART_ARC
(17,24),-1.60271 # DEPENDENCYPART_ARC
(17,25),1.61691 # DEPENDENCYPART_ARC
(17,27),-0.280937 # DEPENDENCYPART_ARC
(17,28),-0.846448 # DEPENDENCYPART_ARC
(17,29),0.168323 # DEPENDENCYPART_ARC
(17,31),-1.25454 # DEPENDENCYPART_ARC
(17,32),0.765466 # DEPENDENCYPART_ARC
(17,33),0.321312 # DEPENDENCYPART_ARC
(17,34),-0.464921 # DEPENDENCYPART_ARC
(17,35),-2.44152 # DEPENDENCYPART_ARC
(17,37),0.181589 # DEPENDENCYPART_ARC
(17,38),-1.80126 # DEPENDENCYPART_ARC
(17,41),-0.135738 # DEPENDENCYPART_ARC
(17,42),3.85297 # DEPENDENCYPART_ARC
(18,19),3.82691 # DEPENDENCYPART_ARC
(18,20),-0.207844 # DEPENDENCYPART_ARC
(18,21),0.999503 # DEPENDENCYPART_ARC
(18,22),-0.0133111 # DEPENDENCYPART_ARC
(18,23),-1.68282 # DEPENDENCYPART_ARC
(18,33),-2.39993 # DEPENDENCYPART_ARC
(19,20),2.74734 # DEPENDENCYPART_ARC
(19,21),0.939685 # DEPENDENCYPART_ARC
(19,22),-0.00849072 # DEPENDENCYPART_ARC
(19,25),0.517657 # DEPENDENCYPART_ARC
(19,27),-0.955353 # DEPENDENCYPART_ARC
(19,31),-1.30085 # DEPENDENCYPART_ARC
(19,32),-1.15578 # DEPENDENCYPART_ARC
(19,34),-1.19643 # DEPENDENCYPART_ARC
(20,21),3.43625 # DEPENDENCYPART_ARC
(20,22),-0.238198 # DEPENDENCYPART_ARC
(20,23),-2.05169 # DEPENDENCYPART_ARC
(20,25),-0.675961 # DEPENDENCYPART_ARC
(21,25),-0.27739 # DEPENDENCYPART_ARC
(21,27),-1.24319 # DEPENDENCYPART_ARC
(21,32),-1.74011 # DEPENDENCYPART_ARC
(21,34),-1.94526 # DEPENDENCYPART_ARC
(23,22),-0.327415 # DEPENDENCYPART_ARC
(24,22),-0.16057 # DEPENDENCYPART_ARC
(24,23),0.323547 # DEPENDENCYPART_ARC
(24,27),-0.247088 # DEPENDENCYPART_ARC
(25,1),-0.321815 # DEPENDENCYPART_ARC
(25,3),-1.66125 # DEPENDENCYPART_ARC
(25,8),-2.47937 # DEPENDENCYPART_ARC
(25,9),-1.73092 # DEPENDENCYPART_ARC
(25,11),-1.96612 # DEPENDENCYPART_ARC
(25,15),0.160846 # DEPENDENCYPART_ARC
(25,16),-0.0175491 # DEPENDENCYPART_ARC
(25,17),0.566108 # DEPENDENCYPART_ARC
(25,18),0.240804 # DEPENDENCYPART_ARC
(25,20),-0.618698 # DEPENDENCYPART_ARC
(25,22),0.110967 # DEPENDENCYPART_ARC
(25,23),2.86304 # DEPENDENCYPART_ARC
(25,24),3.13176 # DEPENDENCYPART_ARC
(25,26),0.27063 # DEPENDENCYPART_ARC
(25,27),3.28963 # DEPENDENCYPART_ARC
(25,29),0.423215 # DEPENDENCYPART_ARC
(25,31),0.4595 # DEPENDENCYPART_ARC
(25,32),0.13397 # DEPENDENCYPART_ARC
(25,33),0.255395 # DEPENDENCYPART_ARC
(25,34),-0.889413 # DEPENDENCYPART_ARC
(25,35),-0.950533 # DEPENDENCYPART_ARC
(25,37),-0.775406 # DEPENDENCYPART_ARC
(25,38),-1.57998 # DEPENDENCYPART_ARC
(25,41),-0.0843636 # DEPENDENCYPART_ARC
(25,42),2.6468 # DEPENDENCYPART_ARC
(26,27),-0.00781298 # DEPENDENCYPART_ARC
(27,2),-0.645932 # DEPENDENCYPART_ARC
(27,5),-2.22811 # DEPENDENCYPART_ARC
(27,9),-1.5091 # DEPENDENCYPART_ARC
(27,20),-0.855301 # DEPENDENCYPART_ARC
(27,23),0.350611 # DEPENDENCYPART_ARC
(27,24),1.0842 # DEPENDENCYPART_ARC
(27,25),1.23499 # DEPENDENCYPART_ARC
(27,26),4.21985 # DEPENDENCYPART_ARC
(27,28),-0.569151 # DEPENDENCYPART_ARC
(27,29),-0.206102 # DEPENDENCYPART_ARC
(27,31),0.435029 # DEPENDENCYPART_ARC
(27,32),0.738996 # DEPENDENCYPART_ARC
(27,33),-1.91078 # DEPENDENCYPART_ARC
(27,34),-1.13367 # DEPENDENCYPART_ARC
(27,37),-1.75536 # DEPENDENCYPART_ARC
(28,29),0.562975 # DEPENDENCYPART_ARC
(28,33),-0.764163 # DEPENDENCYPART_ARC
(28,38),-0.763752 # DEPENDENCYPART_ARC
(30,29),0.0382311 # DEPENDENCYPART_ARC
(30,31),0.68184 # DEPENDENCYPART_ARC
(31,24),-1.6843 # DEPENDENCYPART_ARC
(31,26),-1.04225 # DEPENDENCYPART_ARC
(31,28),-0.32569 # DEPENDENCYPART_ARC
(31,29),0.588663 # DEPENDENCYPART_ARC
(31,30),3.67888 # DEPENDENCYPART_ARC
(31,32),1.07447 # DEPENDENCYPART_ARC
(31,35),-2.37955 # DEPENDENCYPART_ARC
(31,37),-1.47492 # DEPENDENCYPART_ARC
(32,1),-3.2634 # DEPENDENCYPART_ARC
(32,2),-0.955131 # DEPENDENCYPART_ARC
(32,4),-4.32574 # DEPENDENCYPART_ARC
(32,11),-1.47231 # DEPENDENCYPART_ARC
(32,17),-0.714568 # DEPENDENCYPART_ARC
(32,18),-1.44948 # DEPENDENCYPART_ARC
(32,24),-2.07783 # DEPENDENCYPART_ARC
(32,25),-1.11731 # DEPENDENCYPART_ARC
(32,27),0.200614 # DEPENDENCYPART_ARC
(32,28),1.01157 # DEPENDENCYPART_ARC
(32,29),0.818138 # DEPENDENCYPART_ARC
(32,30),-0.704386 # DEPENDENCYPART_ARC
(32,31),1.74279 # DEPENDENCYPART_ARC
(32,33),2.53624 # DEPENDENCYPART_ARC
(32,34),0.0826812 # DEPENDENCYPART_ARC
(32,35),-0.39464 # DEPENDENCYPART_ARC
(32,37),0.386393 # DEPENDENCYPART_ARC
(32,38),-0.908477 # DEPENDENCYPART_ARC
(32,41),0.584588 # DEPENDENCYPART_ARC
(32,42),3.81234 # DEPENDENCYPART_ARC
(33,31),-2.35779 # DEPENDENCYPART_ARC
(33,34),2.30214 # DEPENDENCYPART_ARC
(33,35),-0.847054 # DEPENDENCYPART_ARC
(33,37),0.00918857 # DEPENDENCYPART_ARC
(33,38),-1.06466 # DEPENDENCYPART_ARC
(33,41),-1.17721 # DEPENDENCYPART_ARC
(34,1),-1.20053 # DEPENDENCYPART_ARC
(34,2),1.0209 # DEPENDENCYPART_ARC
(34,3),-1.22494 # DEPENDENCYPART_ARC
(34,4),-2.15516 # DEPENDENCYPART_ARC
(34,7),-1.36872 # DEPENDENCYPART_ARC
(34,8),-4.58402 # DEPENDENCYPART_ARC
(34,11),-1.00562 # DEPENDENCYPART_ARC
(34,14),-0.96847 # DEPENDENCYPART_ARC
(34,17),0.723172 # DEPENDENCYPART_ARC
(34,18),1.73094 # DEPENDENCYPART_ARC
(34,19),-0.144335 # DEPENDENCYPART_ARC
(34,24),0.952872 # DEPENDENCYPART_ARC
(34,25),1.00503 # DEPENDENCYPART_ARC
(34,27),1.20119 # DEPENDENCYPART_ARC
(34,28),2.18607 # DEPENDENCYPART_ARC
(34,29),1.70082 # DEPENDENCYPART_ARC
(34,30),0.166249 # DEPENDENCYPART_ARC
(34,31),2.61377 # DEPENDENCYPART_ARC
(34,32),4.15141 # DEPENDENCYPART_ARC
(34,33),4.55202 # DEPENDENCYPART_ARC
(34,35),1.0164 # DEPENDENCYPART_ARC
(34,37),2.55509 # DEPENDENCYPART_ARC
(34,38),0.934004 # DEPENDENCYPART_ARC
(34,41),0.995547 # DEPENDENCYPART_ARC
(34,42),3.97434 # DEPENDENCYPART_ARC
(35,37),-1.09491 # DEPENDENCYPART_ARC
(37,1),-3.39787 # DEPENDENCYPART_ARC
(37,2),-1.13646 # DEPENDENCYPART_ARC
(37,4),-4.73471 # DEPENDENCYPART_ARC
(37,24),-2.41129 # DEPENDENCYPART_ARC
(37,25),-1.3193 # DEPENDENCYPART_ARC
(37,27),-0.524809 # DEPENDENCYPART_ARC
(37,28),0.838873 # DEPENDENCYPART_ARC
(37,29),-0.133782 # DEPENDENCYPART_ARC
(37,31),0.0515237 # DEPENDENCYPART_ARC
(37,32),0.339559 # DEPENDENCYPART_ARC
(37,33),0.419836 # DEPENDENCYPART_ARC
(37,34),-1.13796 # DEPENDENCYPART_ARC
(37,35),3.7995 # DEPENDENCYPART_ARC
(37,36),3.72603 # DEPENDENCYPART_ARC
(37,38),3.53149 # DEPENDENCYPART_ARC
(37,40),2.34753 # DEPENDENCYPART_ARC
(37,41),1.392 # DEPENDENCYPART_ARC
(37,42),2.47057 # DEPENDENCYPART_ARC
(38,35),-1.27245 # DEPENDENCYPART_ARC
(38,39),-0.924944 # DEPENDENCYPART_ARC
(38,40),4.78364 # DEPENDENCYPART_ARC
(38,41),0.0392838 # DEPENDENCYPART_ARC
(39,41),-0.626884 # DEPENDENCYPART_ARC
(40,2),-2.08126 # DEPENDENCYPART_ARC
(40,28),-1.60379 # DEPENDENCYPART_ARC
(40,35),-1.44599 # DEPENDENCYPART_ARC
(40,38),0.00961472 # DEPENDENCYPART_ARC
(40,39),4.11609 # DEPENDENCYPART_ARC
(40,41),0.287254 # DEPENDENCYPART_ARC
