# _root_ Manolo_Quijano , líder del grup Café_Quijano , ressalta que " la gent té pànic al desconegut " .
#goldHeads=8,3,1,3,4,5,3,0,13,13,12,13,8,13,14,15,13,8,
#predictedHeads=8,3,1,3,4,5,3,0,13,13,12,13,8,13,13,15,13,8,
(13,3),-0.419461 # DEPENDENCYPART_ARC
(13,4),-3.11489 # DEPENDENCYPART_ARC
(13,5),-1.25512 # DEPENDENCYPART_ARC
(13,6),-1.714 # DEPENDENCYPART_ARC
(13,7),-0.974535 # DEPENDENCYPART_ARC
(13,8),-0.170061 # DEPENDENCYPART_ARC
(13,9),3.81186 # DEPENDENCYPART_ARC
(13,10),2.62426 # DEPENDENCYPART_ARC
(13,11),-0.381318 # DEPENDENCYPART_ARC
(13,12),2.61456 # DEPENDENCYPART_ARC
(13,14),4.04549 # DEPENDENCYPART_ARC
(13,15),2.68023 # DEPENDENCYPART_ARC
(13,16),0.821101 # DEPENDENCYPART_ARC
(13,17),2.16543 # DEPENDENCYPART_ARC
(13,18),3.43745 # DEPENDENCYPART_ARC
(14,7),-1.27879 # DEPENDENCYPART_ARC
(14,8),-2.30178 # DEPENDENCYPART_ARC
(14,9),-0.619289 # DEPENDENCYPART_ARC
(14,10),-0.524918 # DEPENDENCYPART_ARC
(14,11),-1.01184 # DEPENDENCYPART_ARC
(14,12),-1.52436 # DEPENDENCYPART_ARC
(14,13),-0.323424 # DEPENDENCYPART_ARC
(14,15),1.05862 # DEPENDENCYPART_ARC
(14,16),1.26978 # DEPENDENCYPART_ARC
(14,17),0.773452 # DEPENDENCYPART_ARC
(14,18),0.013738 # DEPENDENCYPART_ARC
(15,8),-2.2458 # DEPENDENCYPART_ARC
(15,13),-0.920012 # DEPENDENCYPART_ARC
(15,14),-0.791168 # DEPENDENCYPART_ARC
(15,16),2.68421 # DEPENDENCYPART_ARC
(15,17),0.0595975 # DEPENDENCYPART_ARC
(15,18),-0.263731 # DEPENDENCYPART_ARC
(16,7),-2.54106 # DEPENDENCYPART_ARC
(16,12),-2.08133 # DEPENDENCYPART_ARC
(16,14),-1.5012 # DEPENDENCYPART_ARC
(16,15),-0.287708 # DEPENDENCYPART_ARC
(16,17),1.43553 # DEPENDENCYPART_ARC
(16,18),-0.224744 # DEPENDENCYPART_ARC
