# _root_ Dins l' àmbit del Barri_Antic , el consistori també ha anunciat l' inici de la renovació del paviment del carrer Sobrerroca , que començarà el dia_10_de_juny .
#goldHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,16,26,24,11,
#predictedHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,20,26,24,11,
(7,8),-0.389546 # DEPENDENCYPART_ARC
(8,1),-1.05615 # DEPENDENCYPART_ARC
(8,2),-1.72234 # DEPENDENCYPART_ARC
(8,4),-0.911858 # DEPENDENCYPART_ARC
(8,6),0.660442 # DEPENDENCYPART_ARC
(8,7),2.79916 # DEPENDENCYPART_ARC
(8,9),0.26032 # DEPENDENCYPART_ARC
(8,10),0.0626789 # DEPENDENCYPART_ARC
(8,11),-0.376903 # DEPENDENCYPART_ARC
(8,13),-1.27782 # DEPENDENCYPART_ARC
(8,14),-0.482773 # DEPENDENCYPART_ARC
(8,17),-0.946842 # DEPENDENCYPART_ARC
(8,19),-1.32474 # DEPENDENCYPART_ARC
(8,21),-1.01209 # DEPENDENCYPART_ARC
(8,24),-1.64499 # DEPENDENCYPART_ARC
(8,27),0.331526 # DEPENDENCYPART_ARC
(9,1),-1.88901 # DEPENDENCYPART_ARC
(9,4),-1.86606 # DEPENDENCYPART_ARC
(9,6),-0.771036 # DEPENDENCYPART_ARC
(9,7),-1.37019 # DEPENDENCYPART_ARC
(9,8),-0.426135 # DEPENDENCYPART_ARC
(9,10),-0.698698 # DEPENDENCYPART_ARC
(10,1),-0.0646105 # DEPENDENCYPART_ARC
(10,3),-1.22539 # DEPENDENCYPART_ARC
(10,4),-2.20079 # DEPENDENCYPART_ARC
(10,6),-1.41406 # DEPENDENCYPART_ARC
(10,8),-0.352608 # DEPENDENCYPART_ARC
(10,9),0.505752 # DEPENDENCYPART_ARC
(10,11),0.418762 # DEPENDENCYPART_ARC
(10,13),0.118481 # DEPENDENCYPART_ARC
(10,14),-2.17154 # DEPENDENCYPART_ARC
(10,22),-0.625214 # DEPENDENCYPART_ARC
(10,24),-1.54867 # DEPENDENCYPART_ARC
(10,27),2.26119 # DEPENDENCYPART_ARC
(11,1),1.80675 # DEPENDENCYPART_ARC
(11,3),0.973834 # DEPENDENCYPART_ARC
(11,4),-1.23358 # DEPENDENCYPART_ARC
(11,5),0.156721 # DEPENDENCYPART_ARC
(11,6),-0.199056 # DEPENDENCYPART_ARC
(11,7),-0.585667 # DEPENDENCYPART_ARC
(11,8),2.02132 # DEPENDENCYPART_ARC
(11,9),2.46677 # DEPENDENCYPART_ARC
(11,10),5.66223 # DEPENDENCYPART_ARC
(11,13),2.83293 # DEPENDENCYPART_ARC
(11,14),0.257733 # DEPENDENCYPART_ARC
(11,16),1.15325 # DEPENDENCYPART_ARC
(11,17),-1.0371 # DEPENDENCYPART_ARC
(11,18),-0.105665 # DEPENDENCYPART_ARC
(11,19),-1.62855 # DEPENDENCYPART_ARC
(11,20),0.476183 # DEPENDENCYPART_ARC
(11,21),0.290292 # DEPENDENCYPART_ARC
(11,22),0.0973462 # DEPENDENCYPART_ARC
(11,24),-0.291983 # DEPENDENCYPART_ARC
(11,26),-0.477801 # DEPENDENCYPART_ARC
(11,27),4.70942 # DEPENDENCYPART_ARC
(12,9),-2.36553 # DEPENDENCYPART_ARC
(12,14),-0.244509 # DEPENDENCYPART_ARC
(12,15),-0.634916 # DEPENDENCYPART_ARC
(13,1),-1.86128 # DEPENDENCYPART_ARC
(13,4),-1.91898 # DEPENDENCYPART_ARC
(13,6),-1.0516 # DEPENDENCYPART_ARC
(13,7),-2.39277 # DEPENDENCYPART_ARC
(13,8),-2.27036 # DEPENDENCYPART_ARC
(13,9),-0.166011 # DEPENDENCYPART_ARC
(13,10),-1.6225 # DEPENDENCYPART_ARC
(13,11),-1.57556 # DEPENDENCYPART_ARC
(13,12),2.93518 # DEPENDENCYPART_ARC
(13,14),2.8735 # DEPENDENCYPART_ARC
(13,16),0.851796 # DEPENDENCYPART_ARC
(13,17),1.60888 # DEPENDENCYPART_ARC
(13,18),-0.239673 # DEPENDENCYPART_ARC
(13,19),1.09813 # DEPENDENCYPART_ARC
(13,20),-0.418556 # DEPENDENCYPART_ARC
(13,21),0.773036 # DEPENDENCYPART_ARC
(13,22),-0.557083 # DEPENDENCYPART_ARC
(13,24),1.24574 # DEPENDENCYPART_ARC
(13,26),-0.380878 # DEPENDENCYPART_ARC
(13,27),0.1634 # DEPENDENCYPART_ARC
(14,12),-1.05245 # DEPENDENCYPART_ARC
(14,15),-1.40848 # DEPENDENCYPART_ARC
(14,16),4.11147 # DEPENDENCYPART_ARC
(14,17),-0.237677 # DEPENDENCYPART_ARC
(14,18),0.69112 # DEPENDENCYPART_ARC
(14,19),-0.626084 # DEPENDENCYPART_ARC
(15,14),0.205357 # DEPENDENCYPART_ARC
(15,16),2.51651 # DEPENDENCYPART_ARC
(15,17),-0.0995602 # DEPENDENCYPART_ARC
(16,1),-3.04391 # DEPENDENCYPART_ARC
(16,9),-1.20359 # DEPENDENCYPART_ARC
(16,12),-0.582679 # DEPENDENCYPART_ARC
(16,14),-0.0721793 # DEPENDENCYPART_ARC
(16,15),3.36729 # DEPENDENCYPART_ARC
(16,17),3.12796 # DEPENDENCYPART_ARC
(16,18),0.266646 # DEPENDENCYPART_ARC
(16,19),2.14538 # DEPENDENCYPART_ARC
(16,20),-0.272622 # DEPENDENCYPART_ARC
(16,21),1.00364 # DEPENDENCYPART_ARC
(16,22),-0.362324 # DEPENDENCYPART_ARC
(16,24),1.49644 # DEPENDENCYPART_ARC
(16,26),-0.94326 # DEPENDENCYPART_ARC
(16,27),0.121177 # DEPENDENCYPART_ARC
(17,15),-0.164677 # DEPENDENCYPART_ARC
(17,18),3.7987 # DEPENDENCYPART_ARC
(17,19),0.414431 # DEPENDENCYPART_ARC
(17,20),0.801734 # DEPENDENCYPART_ARC
(17,22),-0.719879 # DEPENDENCYPART_ARC
(17,26),-3.5147 # DEPENDENCYPART_ARC
(18,15),0.77506 # DEPENDENCYPART_ARC
(18,19),2.94766 # DEPENDENCYPART_ARC
(18,20),0.689459 # DEPENDENCYPART_ARC
(18,21),1.306 # DEPENDENCYPART_ARC
(18,22),-0.591818 # DEPENDENCYPART_ARC
(18,24),1.54333 # DEPENDENCYPART_ARC
(18,26),-1.62289 # DEPENDENCYPART_ARC
(19,17),-0.506489 # DEPENDENCYPART_ARC
(19,20),3.81542 # DEPENDENCYPART_ARC
(19,21),0.529858 # DEPENDENCYPART_ARC
(19,24),-0.988768 # DEPENDENCYPART_ARC
(19,26),-3.15302 # DEPENDENCYPART_ARC
(20,15),0.324305 # DEPENDENCYPART_ARC
(20,17),-0.142608 # DEPENDENCYPART_ARC
(20,21),2.76448 # DEPENDENCYPART_ARC
(20,22),-0.0993205 # DEPENDENCYPART_ARC
(20,24),1.91258 # DEPENDENCYPART_ARC
(20,26),-1.2632 # DEPENDENCYPART_ARC
(21,19),0.682308 # DEPENDENCYPART_ARC
(21,20),1.54541 # DEPENDENCYPART_ARC
(21,22),0.10468 # DEPENDENCYPART_ARC
(21,24),0.923992 # DEPENDENCYPART_ARC
(21,26),-1.22672 # DEPENDENCYPART_ARC
(24,1),-0.0475201 # DEPENDENCYPART_ARC
(24,3),-0.689859 # DEPENDENCYPART_ARC
(24,6),-2.63151 # DEPENDENCYPART_ARC
(24,8),0.5624 # DEPENDENCYPART_ARC
(24,9),-1.29651 # DEPENDENCYPART_ARC
(24,10),-0.491255 # DEPENDENCYPART_ARC
(24,11),-2.20428 # DEPENDENCYPART_ARC
(24,13),-0.17555 # DEPENDENCYPART_ARC
(24,16),0.0919922 # DEPENDENCYPART_ARC
(24,17),-2.05165 # DEPENDENCYPART_ARC
(24,18),-0.375939 # DEPENDENCYPART_ARC
(24,19),-1.72635 # DEPENDENCYPART_ARC
(24,20),-0.368515 # DEPENDENCYPART_ARC
(24,21),-1.17945 # DEPENDENCYPART_ARC
(24,22),1.80335 # DEPENDENCYPART_ARC
(24,23),3.89421 # DEPENDENCYPART_ARC
(24,26),1.46589 # DEPENDENCYPART_ARC
(24,27),2.60564 # DEPENDENCYPART_ARC
(26,25),3.27752 # DEPENDENCYPART_ARC
(26,27),0.202472 # DEPENDENCYPART_ARC
