# _root_ Volent potser calmar les ansietats dels diputats , Putin va subratllar que Moscou pretén augmentar " l' eficàcia del seu poder de dissuasió " , encara_que no incrementant " quantitativament " el nombre de caps nuclears .
#goldHeads=11,1,1,5,3,5,6,1,11,11,0,14,14,11,14,18,18,15,18,21,19,21,22,18,28,28,28,15,30,28,30,33,28,33,34,35,11,
#predictedHeads=3,3,11,5,3,5,6,7,11,11,0,14,14,11,14,18,18,15,18,21,19,21,22,14,28,28,28,15,30,28,30,33,28,33,34,35,14,
(33,34),3.57757 # DEPENDENCYPART_ARC
(33,35),0.736949 # DEPENDENCYPART_ARC
(33,36),0.333742 # DEPENDENCYPART_ARC
(33,37),0.878071 # DEPENDENCYPART_ARC
(34,30),-0.632141 # DEPENDENCYPART_ARC
(34,32),-0.781447 # DEPENDENCYPART_ARC
(34,35),3.90138 # DEPENDENCYPART_ARC
(34,36),0.276617 # DEPENDENCYPART_ARC
(35,30),-1.2025 # DEPENDENCYPART_ARC
(35,31),-0.47311 # DEPENDENCYPART_ARC
(35,32),0.412244 # DEPENDENCYPART_ARC
(35,36),3.64821 # DEPENDENCYPART_ARC
(36,30),-1.28241 # DEPENDENCYPART_ARC
(36,31),-0.855364 # DEPENDENCYPART_ARC
(36,32),-0.616786 # DEPENDENCYPART_ARC
(36,34),0.776712 # DEPENDENCYPART_ARC
