# _root_ ' La política ha de ser un projecte ètic i moral , un conjunt de principis i de normes presidida pel sentit comú ' , ha dit .
#goldHeads=6,3,6,6,6,27,8,6,8,9,9,14,14,8,14,15,15,15,18,14,20,21,22,6,6,27,0,27,
#predictedHeads=6,3,6,6,6,27,8,6,8,9,9,14,14,8,14,15,15,15,18,19,20,21,22,14,6,27,0,27,
(14,8),-1.19919 # DEPENDENCYPART_ARC
(14,9),-0.0758243 # DEPENDENCYPART_ARC
(14,10),0.458722 # DEPENDENCYPART_ARC
(14,11),0.0757151 # DEPENDENCYPART_ARC
(14,12),1.37503 # DEPENDENCYPART_ARC
(14,13),4.2134 # DEPENDENCYPART_ARC
(14,15),3.66658 # DEPENDENCYPART_ARC
(14,16),0.908616 # DEPENDENCYPART_ARC
(14,17),0.512569 # DEPENDENCYPART_ARC
(14,18),0.253119 # DEPENDENCYPART_ARC
(14,19),0.314423 # DEPENDENCYPART_ARC
(14,20),0.696203 # DEPENDENCYPART_ARC
(14,21),0.574526 # DEPENDENCYPART_ARC
(14,22),0.186677 # DEPENDENCYPART_ARC
(14,23),1.55245 # DEPENDENCYPART_ARC
(14,24),1.15472 # DEPENDENCYPART_ARC
(14,25),-0.53207 # DEPENDENCYPART_ARC
(14,27),-1.71364 # DEPENDENCYPART_ARC
(14,28),0.289967 # DEPENDENCYPART_ARC
(15,12),-0.442318 # DEPENDENCYPART_ARC
(15,13),-0.783208 # DEPENDENCYPART_ARC
(15,16),4.06174 # DEPENDENCYPART_ARC
(15,17),1.88425 # DEPENDENCYPART_ARC
(15,18),2.05685 # DEPENDENCYPART_ARC
(15,19),0.645221 # DEPENDENCYPART_ARC
(15,21),-0.628539 # DEPENDENCYPART_ARC
(16,5),-1.48128 # DEPENDENCYPART_ARC
(16,6),-1.4855 # DEPENDENCYPART_ARC
(16,11),-2.0769 # DEPENDENCYPART_ARC
(16,12),-1.06436 # DEPENDENCYPART_ARC
(16,13),1.50659 # DEPENDENCYPART_ARC
(16,14),-0.896854 # DEPENDENCYPART_ARC
(16,15),1.95203 # DEPENDENCYPART_ARC
(16,17),-0.318516 # DEPENDENCYPART_ARC
(16,18),0.0596319 # DEPENDENCYPART_ARC
(16,19),0.499157 # DEPENDENCYPART_ARC
(16,20),-1.3153 # DEPENDENCYPART_ARC
(16,21),-0.243185 # DEPENDENCYPART_ARC
(16,23),-0.515733 # DEPENDENCYPART_ARC
(18,17),0.556594 # DEPENDENCYPART_ARC
(18,19),4.46619 # DEPENDENCYPART_ARC
(18,20),0.597974 # DEPENDENCYPART_ARC
(18,21),-0.255816 # DEPENDENCYPART_ARC
(18,22),0.347461 # DEPENDENCYPART_ARC
(18,24),0.590383 # DEPENDENCYPART_ARC
(18,25),0.222155 # DEPENDENCYPART_ARC
(19,5),-2.20538 # DEPENDENCYPART_ARC
(19,6),-1.86821 # DEPENDENCYPART_ARC
(19,11),-2.2317 # DEPENDENCYPART_ARC
(19,13),-0.372048 # DEPENDENCYPART_ARC
(19,20),2.39875 # DEPENDENCYPART_ARC
(19,21),0.674903 # DEPENDENCYPART_ARC
(19,22),0.0600161 # DEPENDENCYPART_ARC
(19,23),-1.63964 # DEPENDENCYPART_ARC
(19,24),0.356899 # DEPENDENCYPART_ARC
(19,25),-1.03548 # DEPENDENCYPART_ARC
(19,27),-1.10953 # DEPENDENCYPART_ARC
(19,28),-1.68334 # DEPENDENCYPART_ARC
(20,15),0.233446 # DEPENDENCYPART_ARC
(20,18),0.232521 # DEPENDENCYPART_ARC
(20,21),3.05992 # DEPENDENCYPART_ARC
(20,22),0.777099 # DEPENDENCYPART_ARC
(20,23),-1.12088 # DEPENDENCYPART_ARC
(20,25),-0.158926 # DEPENDENCYPART_ARC
(20,27),-1.77458 # DEPENDENCYPART_ARC
(21,1),-0.839873 # DEPENDENCYPART_ARC
(21,5),-0.865743 # DEPENDENCYPART_ARC
(21,22),4.42308 # DEPENDENCYPART_ARC
(21,23),-0.0770427 # DEPENDENCYPART_ARC
(21,24),0.415558 # DEPENDENCYPART_ARC
(21,25),-0.12234 # DEPENDENCYPART_ARC
(21,27),-0.972615 # DEPENDENCYPART_ARC
(22,20),-1.6766 # DEPENDENCYPART_ARC
(22,23),3.58969 # DEPENDENCYPART_ARC
(22,24),0.679325 # DEPENDENCYPART_ARC
(22,25),-0.36282 # DEPENDENCYPART_ARC
(22,26),-0.0872823 # DEPENDENCYPART_ARC
(22,27),-0.379423 # DEPENDENCYPART_ARC
(22,28),-1.33269 # DEPENDENCYPART_ARC
(23,18),-0.583545 # DEPENDENCYPART_ARC
(23,24),0.113716 # DEPENDENCYPART_ARC
(23,27),-2.17551 # DEPENDENCYPART_ARC
(26,1),-2.08907 # DEPENDENCYPART_ARC
(26,6),-3.17 # DEPENDENCYPART_ARC
(26,14),-3.02331 # DEPENDENCYPART_ARC
(26,28),1.16053 # DEPENDENCYPART_ARC
(27,1),-0.0809969 # DEPENDENCYPART_ARC
(27,3),-1.88326 # DEPENDENCYPART_ARC
(27,4),1.91105 # DEPENDENCYPART_ARC
(27,5),-2.57251 # DEPENDENCYPART_ARC
(27,6),-0.393694 # DEPENDENCYPART_ARC
(27,8),-0.680516 # DEPENDENCYPART_ARC
(27,9),-1.47613 # DEPENDENCYPART_ARC
(27,10),-1.55541 # DEPENDENCYPART_ARC
(27,11),-1.25837 # DEPENDENCYPART_ARC
(27,14),-0.325913 # DEPENDENCYPART_ARC
(27,16),-0.42266 # DEPENDENCYPART_ARC
(27,17),-0.945892 # DEPENDENCYPART_ARC
(27,18),-0.688276 # DEPENDENCYPART_ARC
(27,19),0.0777701 # DEPENDENCYPART_ARC
(27,20),-0.330141 # DEPENDENCYPART_ARC
(27,21),-0.251107 # DEPENDENCYPART_ARC
(27,22),-0.120702 # DEPENDENCYPART_ARC
(27,23),-0.932066 # DEPENDENCYPART_ARC
(27,24),0.174937 # DEPENDENCYPART_ARC
(27,25),0.32849 # DEPENDENCYPART_ARC
(27,26),6.18165 # DEPENDENCYPART_ARC
(27,28),4.84646 # DEPENDENCYPART_ARC
