# _root_ El president , que ha fet el_seu discurs en castellà i català , ha recordat un discurs que va fer a Cadaqués l' any_1980 i on exaltava la figura de Salvador_Dalí .
#goldHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,20,27,20,29,27,29,30,15,
#predictedHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,15,27,20,29,27,29,30,15,
(14,12),-1.14126 # DEPENDENCYPART_ARC
(14,13),-1.66534 # DEPENDENCYPART_ARC
(14,15),0.227166 # DEPENDENCYPART_ARC
(14,17),-0.158521 # DEPENDENCYPART_ARC
(14,20),-1.87369 # DEPENDENCYPART_ARC
(14,21),-0.979246 # DEPENDENCYPART_ARC
(14,25),0.205844 # DEPENDENCYPART_ARC
(14,27),-2.30683 # DEPENDENCYPART_ARC
(14,32),3.94372 # DEPENDENCYPART_ARC
(15,1),-3.15452 # DEPENDENCYPART_ARC
(15,2),-0.643553 # DEPENDENCYPART_ARC
(15,3),-2.48258 # DEPENDENCYPART_ARC
(15,4),0.444196 # DEPENDENCYPART_ARC
(15,5),1.18077 # DEPENDENCYPART_ARC
(15,6),-0.728669 # DEPENDENCYPART_ARC
(15,8),0.770314 # DEPENDENCYPART_ARC
(15,9),0.181103 # DEPENDENCYPART_ARC
(15,10),0.202168 # DEPENDENCYPART_ARC
(15,11),-0.257293 # DEPENDENCYPART_ARC
(15,12),0.575758 # DEPENDENCYPART_ARC
(15,13),0.052951 # DEPENDENCYPART_ARC
(15,14),6.33105 # DEPENDENCYPART_ARC
(15,17),3.18622 # DEPENDENCYPART_ARC
(15,19),0.707446 # DEPENDENCYPART_ARC
(15,20),0.650321 # DEPENDENCYPART_ARC
(15,21),1.16392 # DEPENDENCYPART_ARC
(15,24),0.216087 # DEPENDENCYPART_ARC
(15,25),2.23201 # DEPENDENCYPART_ARC
(15,27),0.650586 # DEPENDENCYPART_ARC
(15,29),-0.895235 # DEPENDENCYPART_ARC
(15,32),6.84239 # DEPENDENCYPART_ARC
(16,21),-1.46794 # DEPENDENCYPART_ARC
(17,2),-1.74636 # DEPENDENCYPART_ARC
(17,6),-2.22902 # DEPENDENCYPART_ARC
(17,9),0.131432 # DEPENDENCYPART_ARC
(17,12),-1.1103 # DEPENDENCYPART_ARC
(17,13),0.151111 # DEPENDENCYPART_ARC
(17,14),-0.631647 # DEPENDENCYPART_ARC
(17,15),-0.675513 # DEPENDENCYPART_ARC
(17,16),4.17848 # DEPENDENCYPART_ARC
(17,18),-0.113961 # DEPENDENCYPART_ARC
(17,19),2.27422 # DEPENDENCYPART_ARC
(17,20),2.5277 # DEPENDENCYPART_ARC
(17,21),0.281115 # DEPENDENCYPART_ARC
(17,24),-0.217614 # DEPENDENCYPART_ARC
(17,25),-0.0547928 # DEPENDENCYPART_ARC
(17,27),0.509801 # DEPENDENCYPART_ARC
(17,29),-0.742473 # DEPENDENCYPART_ARC
(17,30),0.0661768 # DEPENDENCYPART_ARC
(17,32),2.22251 # DEPENDENCYPART_ARC
(19,18),0.771641 # DEPENDENCYPART_ARC
(19,20),0.317348 # DEPENDENCYPART_ARC
(19,21),0.473574 # DEPENDENCYPART_ARC
(19,24),-1.6021 # DEPENDENCYPART_ARC
(19,27),-2.27812 # DEPENDENCYPART_ARC
(19,32),1.65081 # DEPENDENCYPART_ARC
(20,2),-2.23541 # DEPENDENCYPART_ARC
(20,3),-3.41697 # DEPENDENCYPART_ARC
(20,4),0.181412 # DEPENDENCYPART_ARC
(20,5),-1.19327 # DEPENDENCYPART_ARC
(20,6),-2.91466 # DEPENDENCYPART_ARC
(20,8),-0.580538 # DEPENDENCYPART_ARC
(20,9),-0.852942 # DEPENDENCYPART_ARC
(20,10),-1.07843 # DEPENDENCYPART_ARC
(20,11),-1.60763 # DEPENDENCYPART_ARC
(20,12),-0.978528 # DEPENDENCYPART_ARC
(20,14),1.23197 # DEPENDENCYPART_ARC
(20,15),-1.26443 # DEPENDENCYPART_ARC
(20,17),1.20119 # DEPENDENCYPART_ARC
(20,18),3.98433 # DEPENDENCYPART_ARC
(20,19),4.91633 # DEPENDENCYPART_ARC
(20,21),3.84342 # DEPENDENCYPART_ARC
(20,22),1.62266 # DEPENDENCYPART_ARC
(20,24),1.42371 # DEPENDENCYPART_ARC
(20,25),2.13779 # DEPENDENCYPART_ARC
(20,27),1.30623 # DEPENDENCYPART_ARC
(20,29),0.321387 # DEPENDENCYPART_ARC
(20,30),0.10352 # DEPENDENCYPART_ARC
(20,32),4.57495 # DEPENDENCYPART_ARC
(21,22),4.56899 # DEPENDENCYPART_ARC
(21,24),-0.430598 # DEPENDENCYPART_ARC
(21,25),-0.422726 # DEPENDENCYPART_ARC
(21,27),-1.64459 # DEPENDENCYPART_ARC
(22,24),-0.579078 # DEPENDENCYPART_ARC
(22,25),-0.129877 # DEPENDENCYPART_ARC
(22,27),-0.74761 # DEPENDENCYPART_ARC
(22,29),-2.34941 # DEPENDENCYPART_ARC
(22,30),-1.17969 # DEPENDENCYPART_ARC
(23,21),-1.4271 # DEPENDENCYPART_ARC
(24,21),0.760207 # DEPENDENCYPART_ARC
(24,23),3.16255 # DEPENDENCYPART_ARC
(24,25),0.616779 # DEPENDENCYPART_ARC
(24,27),-0.153946 # DEPENDENCYPART_ARC
(24,29),-0.950528 # DEPENDENCYPART_ARC
(24,30),-1.17572 # DEPENDENCYPART_ARC
(26,29),-1.3961 # DEPENDENCYPART_ARC
(26,30),-1.52396 # DEPENDENCYPART_ARC
(27,2),-4.78652 # DEPENDENCYPART_ARC
(27,3),-4.54416 # DEPENDENCYPART_ARC
(27,6),-3.82863 # DEPENDENCYPART_ARC
(27,8),-2.62401 # DEPENDENCYPART_ARC
(27,9),-2.52549 # DEPENDENCYPART_ARC
(27,17),-1.32465 # DEPENDENCYPART_ARC
(27,18),-0.642928 # DEPENDENCYPART_ARC
(27,19),-1.08431 # DEPENDENCYPART_ARC
(27,20),-2.25297 # DEPENDENCYPART_ARC
(27,21),-0.376393 # DEPENDENCYPART_ARC
(27,23),-1.85971 # DEPENDENCYPART_ARC
(27,24),-0.653678 # DEPENDENCYPART_ARC
(27,25),0.485985 # DEPENDENCYPART_ARC
(27,26),4.06979 # DEPENDENCYPART_ARC
(27,29),2.70286 # DEPENDENCYPART_ARC
(27,30),0.65331 # DEPENDENCYPART_ARC
(27,31),0.506868 # DEPENDENCYPART_ARC
(27,32),2.07083 # DEPENDENCYPART_ARC
(28,30),0.83359 # DEPENDENCYPART_ARC
(29,6),-3.19534 # DEPENDENCYPART_ARC
(29,23),-2.16653 # DEPENDENCYPART_ARC
(29,26),-0.676302 # DEPENDENCYPART_ARC
(29,27),-0.277171 # DEPENDENCYPART_ARC
(29,28),3.41775 # DEPENDENCYPART_ARC
(29,30),3.59808 # DEPENDENCYPART_ARC
(29,31),0.766039 # DEPENDENCYPART_ARC
(29,32),1.02251 # DEPENDENCYPART_ARC
(30,28),-0.310987 # DEPENDENCYPART_ARC
(30,31),3.43507 # DEPENDENCYPART_ARC
(31,28),1.03767 # DEPENDENCYPART_ARC
