# _root_ Empúries ha editat en català els tres números anteriors , que portaven per títol ' Harry_Potter_i_la_pedra_filosofal ' , ' Harry_Potter_i_la_cambra_secreta ' i ' Harry_Potter_i_el_presoner_d'_Azkaban ' .
#goldHeads=3,3,0,3,4,8,6,3,8,12,12,8,12,13,16,12,16,16,20,16,20,16,24,16,24,3,
#predictedHeads=3,3,0,3,4,8,6,3,8,12,12,8,12,13,16,14,16,12,20,14,20,16,24,14,24,3,
(9,6),-0.661397 # DEPENDENCYPART_ARC
(9,7),-0.723236 # DEPENDENCYPART_ARC
(9,8),-0.234435 # DEPENDENCYPART_ARC
(9,10),-0.218198 # DEPENDENCYPART_ARC
(9,12),-0.342583 # DEPENDENCYPART_ARC
(9,13),-1.14859 # DEPENDENCYPART_ARC
(9,16),-1.52339 # DEPENDENCYPART_ARC
(9,17),-1.68472 # DEPENDENCYPART_ARC
(9,19),-2.12209 # DEPENDENCYPART_ARC
(10,8),-1.46749 # DEPENDENCYPART_ARC
(10,9),-0.0487828 # DEPENDENCYPART_ARC
(11,13),-0.897032 # DEPENDENCYPART_ARC
(12,1),-0.733108 # DEPENDENCYPART_ARC
(12,2),0.126586 # DEPENDENCYPART_ARC
(12,3),-1.67027 # DEPENDENCYPART_ARC
(12,4),0.416964 # DEPENDENCYPART_ARC
(12,5),-1.39311 # DEPENDENCYPART_ARC
(12,6),-1.50666 # DEPENDENCYPART_ARC
(12,8),0.979968 # DEPENDENCYPART_ARC
(12,9),0.076733 # DEPENDENCYPART_ARC
(12,10),1.40852 # DEPENDENCYPART_ARC
(12,11),4.6286 # DEPENDENCYPART_ARC
(12,13),3.93562 # DEPENDENCYPART_ARC
(12,14),1.8352 # DEPENDENCYPART_ARC
(12,15),0.690524 # DEPENDENCYPART_ARC
(12,16),0.545527 # DEPENDENCYPART_ARC
(12,17),0.390002 # DEPENDENCYPART_ARC
(12,18),0.973503 # DEPENDENCYPART_ARC
(12,19),-1.21083 # DEPENDENCYPART_ARC
(12,20),-1.07668 # DEPENDENCYPART_ARC
(12,21),-1.56574 # DEPENDENCYPART_ARC
(12,22),0.859871 # DEPENDENCYPART_ARC
(12,24),-2.14208 # DEPENDENCYPART_ARC
(12,25),-3.06036 # DEPENDENCYPART_ARC
(12,26),1.49444 # DEPENDENCYPART_ARC
(13,3),-3.24449 # DEPENDENCYPART_ARC
(13,6),-2.52414 # DEPENDENCYPART_ARC
(13,10),-1.25306 # DEPENDENCYPART_ARC
(13,12),0.368524 # DEPENDENCYPART_ARC
(13,14),4.53755 # DEPENDENCYPART_ARC
(13,15),-0.27638 # DEPENDENCYPART_ARC
(13,16),-0.452243 # DEPENDENCYPART_ARC
(13,17),-1.00132 # DEPENDENCYPART_ARC
(13,18),-0.644252 # DEPENDENCYPART_ARC
(13,19),-2.96639 # DEPENDENCYPART_ARC
(13,22),-0.23976 # DEPENDENCYPART_ARC
(14,10),-3.85821 # DEPENDENCYPART_ARC
(14,15),2.15517 # DEPENDENCYPART_ARC
(14,16),1.49331 # DEPENDENCYPART_ARC
(14,17),-0.000401577 # DEPENDENCYPART_ARC
(14,18),-0.280169 # DEPENDENCYPART_ARC
(14,19),0.40243 # DEPENDENCYPART_ARC
(14,20),0.892935 # DEPENDENCYPART_ARC
(14,21),-1.36837 # DEPENDENCYPART_ARC
(14,22),0.859805 # DEPENDENCYPART_ARC
(14,23),-0.588147 # DEPENDENCYPART_ARC
(14,24),1.18438 # DEPENDENCYPART_ARC
(14,25),-2.32556 # DEPENDENCYPART_ARC
(14,26),-0.566216 # DEPENDENCYPART_ARC
(16,3),-2.38156 # DEPENDENCYPART_ARC
(16,8),-1.53562 # DEPENDENCYPART_ARC
(16,12),-1.44435 # DEPENDENCYPART_ARC
(16,13),0.520385 # DEPENDENCYPART_ARC
(16,15),4.00845 # DEPENDENCYPART_ARC
(16,17),3.15815 # DEPENDENCYPART_ARC
(16,18),0.836629 # DEPENDENCYPART_ARC
(16,19),0.755838 # DEPENDENCYPART_ARC
(16,20),0.329956 # DEPENDENCYPART_ARC
(16,22),1.77853 # DEPENDENCYPART_ARC
(16,24),0.33134 # DEPENDENCYPART_ARC
(16,26),-0.164858 # DEPENDENCYPART_ARC
(20,3),-2.75226 # DEPENDENCYPART_ARC
(20,18),0.759886 # DEPENDENCYPART_ARC
(20,19),3.21743 # DEPENDENCYPART_ARC
(20,21),3.44262 # DEPENDENCYPART_ARC
(20,22),1.73816 # DEPENDENCYPART_ARC
(20,23),0.94525 # DEPENDENCYPART_ARC
(20,24),0.605785 # DEPENDENCYPART_ARC
(20,26),0.341529 # DEPENDENCYPART_ARC
(24,3),-2.29967 # DEPENDENCYPART_ARC
(24,22),0.568248 # DEPENDENCYPART_ARC
(24,23),3.67008 # DEPENDENCYPART_ARC
(24,25),3.48497 # DEPENDENCYPART_ARC
(24,26),0.393307 # DEPENDENCYPART_ARC
