# _root_ La construcció d' un edifici de Presidència a les cases Moxó i Morell , de les quals només es conservaran les façanes , haurà de respectar in_situ les restes .
#goldHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,22,17,15,20,20,10,22,20,20,26,26,0,26,29,26,26,
#predictedHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,5,17,15,20,20,26,22,20,20,26,26,0,26,29,26,26,
(5,4),3.39358 # DEPENDENCYPART_ARC
(5,6),3.7336 # DEPENDENCYPART_ARC
(5,7),0.456052 # DEPENDENCYPART_ARC
(5,8),1.81729 # DEPENDENCYPART_ARC
(5,10),0.467493 # DEPENDENCYPART_ARC
(5,11),1.23686 # DEPENDENCYPART_ARC
(5,12),1.83492 # DEPENDENCYPART_ARC
(5,13),1.04187 # DEPENDENCYPART_ARC
(5,14),-0.00123332 # DEPENDENCYPART_ARC
(5,15),1.99416 # DEPENDENCYPART_ARC
(5,18),-1.54278 # DEPENDENCYPART_ARC
(5,20),1.47253 # DEPENDENCYPART_ARC
(5,22),-0.193514 # DEPENDENCYPART_ARC
(5,23),-0.4499 # DEPENDENCYPART_ARC
(5,24),-1.94063 # DEPENDENCYPART_ARC
(5,26),-1.98692 # DEPENDENCYPART_ARC
(5,29),-0.746445 # DEPENDENCYPART_ARC
(5,30),1.4148 # DEPENDENCYPART_ARC
(6,4),-0.639341 # DEPENDENCYPART_ARC
(6,7),3.18136 # DEPENDENCYPART_ARC
(6,8),-0.704186 # DEPENDENCYPART_ARC
(6,12),-0.419883 # DEPENDENCYPART_ARC
(6,15),0.173037 # DEPENDENCYPART_ARC
(6,25),-2.00122 # DEPENDENCYPART_ARC
(7,8),0.192405 # DEPENDENCYPART_ARC
(7,10),-0.315962 # DEPENDENCYPART_ARC
(7,11),0.362478 # DEPENDENCYPART_ARC
(7,12),1.30298 # DEPENDENCYPART_ARC
(7,13),0.61435 # DEPENDENCYPART_ARC
(7,30),0.00544969 # DEPENDENCYPART_ARC
(8,6),-0.204875 # DEPENDENCYPART_ARC
(8,9),-0.981645 # DEPENDENCYPART_ARC
(8,10),4.4497 # DEPENDENCYPART_ARC
(8,11),-0.239491 # DEPENDENCYPART_ARC
(8,12),0.28705 # DEPENDENCYPART_ARC
(8,13),-2.31644 # DEPENDENCYPART_ARC
(8,14),0.155207 # DEPENDENCYPART_ARC
(8,15),-0.935459 # DEPENDENCYPART_ARC
(9,6),-1.61441 # DEPENDENCYPART_ARC
(9,8),-0.727204 # DEPENDENCYPART_ARC
(9,10),0.682819 # DEPENDENCYPART_ARC
(10,2),-2.66406 # DEPENDENCYPART_ARC
(10,4),-0.609327 # DEPENDENCYPART_ARC
(10,6),-1.40661 # DEPENDENCYPART_ARC
(10,9),3.72423 # DEPENDENCYPART_ARC
(10,11),2.38937 # DEPENDENCYPART_ARC
(10,12),1.73176 # DEPENDENCYPART_ARC
(10,13),1.35625 # DEPENDENCYPART_ARC
(10,14),-0.0393444 # DEPENDENCYPART_ARC
(10,15),0.398392 # DEPENDENCYPART_ARC
(10,18),-1.82812 # DEPENDENCYPART_ARC
(10,20),2.11771 # DEPENDENCYPART_ARC
(10,22),0.27078 # DEPENDENCYPART_ARC
(10,23),-0.794608 # DEPENDENCYPART_ARC
(10,24),-2.18139 # DEPENDENCYPART_ARC
(10,26),-1.84311 # DEPENDENCYPART_ARC
(10,29),-0.137399 # DEPENDENCYPART_ARC
(10,30),1.44035 # DEPENDENCYPART_ARC
(11,6),-0.521565 # DEPENDENCYPART_ARC
(11,8),0.329852 # DEPENDENCYPART_ARC
(11,9),0.939272 # DEPENDENCYPART_ARC
(11,12),3.3546 # DEPENDENCYPART_ARC
(11,13),2.94845 # DEPENDENCYPART_ARC
(11,14),0.228555 # DEPENDENCYPART_ARC
(11,15),0.752229 # DEPENDENCYPART_ARC
(11,18),-0.925046 # DEPENDENCYPART_ARC
(11,20),0.920066 # DEPENDENCYPART_ARC
(11,22),-0.297233 # DEPENDENCYPART_ARC
(11,23),-0.562878 # DEPENDENCYPART_ARC
(11,26),-1.26312 # DEPENDENCYPART_ARC
(11,27),-1.35142 # DEPENDENCYPART_ARC
(11,29),-0.852979 # DEPENDENCYPART_ARC
(11,30),1.45397 # DEPENDENCYPART_ARC
(12,13),0.0347111 # DEPENDENCYPART_ARC
(13,9),-0.149399 # DEPENDENCYPART_ARC
(13,11),0.152393 # DEPENDENCYPART_ARC
(13,12),0.810114 # DEPENDENCYPART_ARC
(13,14),-0.443508 # DEPENDENCYPART_ARC
(13,15),0.272869 # DEPENDENCYPART_ARC
(13,20),0.561755 # DEPENDENCYPART_ARC
(13,30),0.605201 # DEPENDENCYPART_ARC
(15,14),0.601063 # DEPENDENCYPART_ARC
(15,16),-1.29895 # DEPENDENCYPART_ARC
(15,17),3.41305 # DEPENDENCYPART_ARC
(15,18),-0.669994 # DEPENDENCYPART_ARC
(15,20),0.808209 # DEPENDENCYPART_ARC
(15,22),-1.23833 # DEPENDENCYPART_ARC
(15,23),1.45321 # DEPENDENCYPART_ARC
(15,25),-1.0511 # DEPENDENCYPART_ARC
(15,26),-1.09433 # DEPENDENCYPART_ARC
(15,27),-1.55605 # DEPENDENCYPART_ARC
(16,17),0.119325 # DEPENDENCYPART_ARC
(17,16),4.33535 # DEPENDENCYPART_ARC
(17,20),1.19514 # DEPENDENCYPART_ARC
(17,22),-0.700809 # DEPENDENCYPART_ARC
(18,16),-1.14767 # DEPENDENCYPART_ARC
(20,2),-0.15942 # DEPENDENCYPART_ARC
(20,3),-1.01627 # DEPENDENCYPART_ARC
(20,5),-0.620236 # DEPENDENCYPART_ARC
(20,8),0.139823 # DEPENDENCYPART_ARC
(20,10),0.865968 # DEPENDENCYPART_ARC
(20,11),-0.87416 # DEPENDENCYPART_ARC
(20,12),-0.0382993 # DEPENDENCYPART_ARC
(20,13),-0.76313 # DEPENDENCYPART_ARC
(20,14),2.70206 # DEPENDENCYPART_ARC
(20,15),1.50677 # DEPENDENCYPART_ARC
(20,16),0.576463 # DEPENDENCYPART_ARC
(20,17),1.02743 # DEPENDENCYPART_ARC
(20,18),2.94624 # DEPENDENCYPART_ARC
(20,19),4.44232 # DEPENDENCYPART_ARC
(20,22),3.85408 # DEPENDENCYPART_ARC
(20,23),1.76651 # DEPENDENCYPART_ARC
(20,24),1.23872 # DEPENDENCYPART_ARC
(20,25),-0.0154972 # DEPENDENCYPART_ARC
(20,26),-0.229965 # DEPENDENCYPART_ARC
(20,27),-0.539931 # DEPENDENCYPART_ARC
(20,29),0.805794 # DEPENDENCYPART_ARC
(20,30),2.21621 # DEPENDENCYPART_ARC
(21,18),-2.20731 # DEPENDENCYPART_ARC
(22,16),-1.24918 # DEPENDENCYPART_ARC
(22,18),0.219996 # DEPENDENCYPART_ARC
(22,20),0.87477 # DEPENDENCYPART_ARC
(22,21),4.03798 # DEPENDENCYPART_ARC
(22,23),0.06036 # DEPENDENCYPART_ARC
(22,24),-0.266942 # DEPENDENCYPART_ARC
(22,25),-0.676473 # DEPENDENCYPART_ARC
(22,26),-1.02101 # DEPENDENCYPART_ARC
(22,27),-1.45925 # DEPENDENCYPART_ARC
(22,29),-0.313577 # DEPENDENCYPART_ARC
(23,22),-2.14773 # DEPENDENCYPART_ARC
(24,11),-3.00758 # DEPENDENCYPART_ARC
(24,13),-2.4439 # DEPENDENCYPART_ARC
(24,17),-2.94996 # DEPENDENCYPART_ARC
(24,18),-0.892647 # DEPENDENCYPART_ARC
(24,22),-0.736516 # DEPENDENCYPART_ARC
(24,23),-0.97588 # DEPENDENCYPART_ARC
(24,25),0.517115 # DEPENDENCYPART_ARC
(24,26),-0.389407 # DEPENDENCYPART_ARC
(24,27),-0.955764 # DEPENDENCYPART_ARC
(24,29),0.682517 # DEPENDENCYPART_ARC
(24,30),1.54469 # DEPENDENCYPART_ARC
(25,16),-2.78283 # DEPENDENCYPART_ARC
(25,23),-1.03428 # DEPENDENCYPART_ARC
(25,26),2.20748 # DEPENDENCYPART_ARC
(25,27),0.227149 # DEPENDENCYPART_ARC
(25,29),0.740203 # DEPENDENCYPART_ARC
(26,2),-0.0187322 # DEPENDENCYPART_ARC
(26,3),-2.09231 # DEPENDENCYPART_ARC
(26,5),-0.67347 # DEPENDENCYPART_ARC
(26,8),-1.04565 # DEPENDENCYPART_ARC
(26,10),0.533997 # DEPENDENCYPART_ARC
(26,11),-0.437988 # DEPENDENCYPART_ARC
(26,13),-0.553864 # DEPENDENCYPART_ARC
(26,14),0.856289 # DEPENDENCYPART_ARC
(26,15),0.0942392 # DEPENDENCYPART_ARC
(26,16),-0.0177859 # DEPENDENCYPART_ARC
(26,17),-0.0556037 # DEPENDENCYPART_ARC
(26,18),1.22868 # DEPENDENCYPART_ARC
(26,20),2.13185 # DEPENDENCYPART_ARC
(26,21),0.447334 # DEPENDENCYPART_ARC
(26,22),1.85193 # DEPENDENCYPART_ARC
(26,23),0.640396 # DEPENDENCYPART_ARC
(26,24),5.01376 # DEPENDENCYPART_ARC
(26,25),4.24196 # DEPENDENCYPART_ARC
(26,27),2.63726 # DEPENDENCYPART_ARC
(26,29),3.21059 # DEPENDENCYPART_ARC
(26,30),2.44757 # DEPENDENCYPART_ARC
(27,25),-1.202 # DEPENDENCYPART_ARC
(27,29),0.402641 # DEPENDENCYPART_ARC
(28,25),-1.71919 # DEPENDENCYPART_ARC
(28,27),-0.0138896 # DEPENDENCYPART_ARC
(29,24),-0.913104 # DEPENDENCYPART_ARC
(29,25),-1.17282 # DEPENDENCYPART_ARC
(29,27),0.688115 # DEPENDENCYPART_ARC
(29,28),3.44122 # DEPENDENCYPART_ARC
(29,30),0.445698 # DEPENDENCYPART_ARC
