# _root_ A_partir_de dilluns_,_dia_5 , també es podrà adquirir a les llibreries de la Generalitat a un preu de 2.500 pessetes .
#goldHeads=7,1,1,7,7,7,0,7,10,8,10,13,11,7,16,14,16,19,17,7,
#predictedHeads=7,1,1,7,7,7,0,7,10,8,10,13,11,7,16,14,16,19,17,7,
(7,11),0.608855 # DEPENDENCYPART_ARC
(7,13),0.832855 # DEPENDENCYPART_ARC
(7,14),1.66356 # DEPENDENCYPART_ARC
(7,16),1.17308 # DEPENDENCYPART_ARC
(7,17),-0.131259 # DEPENDENCYPART_ARC
(7,18),-0.77545 # DEPENDENCYPART_ARC
(7,19),-0.51696 # DEPENDENCYPART_ARC
(7,20),3.69579 # DEPENDENCYPART_ARC
(8,1),-2.14595 # DEPENDENCYPART_ARC
(8,4),-1.08072 # DEPENDENCYPART_ARC
(8,6),-1.27835 # DEPENDENCYPART_ARC
(8,9),-0.935993 # DEPENDENCYPART_ARC
(8,10),4.66378 # DEPENDENCYPART_ARC
(8,11),-0.548768 # DEPENDENCYPART_ARC
(8,13),0.730527 # DEPENDENCYPART_ARC
(8,14),-0.0789717 # DEPENDENCYPART_ARC
(8,19),-1.26598 # DEPENDENCYPART_ARC
(9,8),-0.69995 # DEPENDENCYPART_ARC
(9,10),2.60449 # DEPENDENCYPART_ARC
(9,11),-0.110278 # DEPENDENCYPART_ARC
(9,12),-0.317339 # DEPENDENCYPART_ARC
(10,1),-2.36707 # DEPENDENCYPART_ARC
(10,3),-1.32147 # DEPENDENCYPART_ARC
(10,4),-1.41148 # DEPENDENCYPART_ARC
(10,8),0.0216926 # DEPENDENCYPART_ARC
(10,9),3.64758 # DEPENDENCYPART_ARC
(10,11),2.20513 # DEPENDENCYPART_ARC
(10,13),0.325047 # DEPENDENCYPART_ARC
(10,14),0.774074 # DEPENDENCYPART_ARC
(10,16),-0.246811 # DEPENDENCYPART_ARC
(10,17),0.194872 # DEPENDENCYPART_ARC
(10,18),-1.36831 # DEPENDENCYPART_ARC
(10,19),-0.648996 # DEPENDENCYPART_ARC
(10,20),0.367269 # DEPENDENCYPART_ARC
(11,9),-0.261943 # DEPENDENCYPART_ARC
(11,12),-1.34926 # DEPENDENCYPART_ARC
(11,13),3.81811 # DEPENDENCYPART_ARC
(11,14),-0.885496 # DEPENDENCYPART_ARC
(11,16),0.646923 # DEPENDENCYPART_ARC
(11,17),-0.578039 # DEPENDENCYPART_ARC
(11,19),-0.348105 # DEPENDENCYPART_ARC
(12,11),0.0661112 # DEPENDENCYPART_ARC
(12,13),1.94369 # DEPENDENCYPART_ARC
(12,14),-1.19661 # DEPENDENCYPART_ARC
(12,15),-0.811296 # DEPENDENCYPART_ARC
(13,9),-0.107336 # DEPENDENCYPART_ARC
(13,12),3.00853 # DEPENDENCYPART_ARC
(13,14),0.300383 # DEPENDENCYPART_ARC
(13,16),0.395328 # DEPENDENCYPART_ARC
(13,17),0.106808 # DEPENDENCYPART_ARC
(13,18),-1.34906 # DEPENDENCYPART_ARC
(13,19),-0.753172 # DEPENDENCYPART_ARC
(13,20),0.40577 # DEPENDENCYPART_ARC
(14,12),-0.472083 # DEPENDENCYPART_ARC
(14,15),-0.887382 # DEPENDENCYPART_ARC
(14,16),4.2803 # DEPENDENCYPART_ARC
(14,17),-0.768023 # DEPENDENCYPART_ARC
(14,18),-0.575776 # DEPENDENCYPART_ARC
(14,19),0.362019 # DEPENDENCYPART_ARC
(14,20),-0.994267 # DEPENDENCYPART_ARC
(15,14),0.590602 # DEPENDENCYPART_ARC
(15,16),2.84592 # DEPENDENCYPART_ARC
(15,17),1.19288 # DEPENDENCYPART_ARC
(15,18),0.722456 # DEPENDENCYPART_ARC
(16,1),-1.99871 # DEPENDENCYPART_ARC
(16,4),-1.3949 # DEPENDENCYPART_ARC
(16,11),-0.392729 # DEPENDENCYPART_ARC
(16,12),0.729828 # DEPENDENCYPART_ARC
(16,15),3.50766 # DEPENDENCYPART_ARC
(16,17),3.05262 # DEPENDENCYPART_ARC
(16,18),0.0675576 # DEPENDENCYPART_ARC
(16,19),0.296994 # DEPENDENCYPART_ARC
(16,20),1.11375 # DEPENDENCYPART_ARC
(17,15),-0.557859 # DEPENDENCYPART_ARC
(17,18),1.38177 # DEPENDENCYPART_ARC
(17,19),2.50707 # DEPENDENCYPART_ARC
(17,20),-1.13003 # DEPENDENCYPART_ARC
(18,1),-2.07839 # DEPENDENCYPART_ARC
(18,8),-2.08799 # DEPENDENCYPART_ARC
(18,11),-1.41575 # DEPENDENCYPART_ARC
(18,17),0.593678 # DEPENDENCYPART_ARC
(18,19),-0.933794 # DEPENDENCYPART_ARC
(18,20),-1.54367 # DEPENDENCYPART_ARC
(19,1),-1.31238 # DEPENDENCYPART_ARC
(19,8),-1.14787 # DEPENDENCYPART_ARC
(19,11),-0.566047 # DEPENDENCYPART_ARC
(19,14),0.0147438 # DEPENDENCYPART_ARC
(19,17),0.775363 # DEPENDENCYPART_ARC
(19,18),2.89935 # DEPENDENCYPART_ARC
(19,20),1.01947 # DEPENDENCYPART_ARC
