# _root_ Com_a factor normalitzador hi ha el fet que el gruix d' atestats penals , que fan els Mossos_d'_Esquadra , entra als jutjats en llengua catalana .
#goldHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,10,18,16,16,7,20,21,20,23,24,5,
#predictedHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,7,18,16,16,16,20,21,20,23,24,5,
(22,23),1.86751 # DEPENDENCYPART_ARC
(22,24),0.302746 # DEPENDENCYPART_ARC
(22,25),-1.12687 # DEPENDENCYPART_ARC
(22,26),0.00563373 # DEPENDENCYPART_ARC
(23,21),-0.362315 # DEPENDENCYPART_ARC
(23,24),4.35587 # DEPENDENCYPART_ARC
(23,25),0.318469 # DEPENDENCYPART_ARC
(24,21),-2.04155 # DEPENDENCYPART_ARC
(24,25),3.4363 # DEPENDENCYPART_ARC
(24,26),-0.203614 # DEPENDENCYPART_ARC
(25,21),-1.03167 # DEPENDENCYPART_ARC
(25,23),-0.00946611 # DEPENDENCYPART_ARC
