# _root_ En_funció_d' aquesta Diagnosi s' elaborarà el Pla_d'_Acció_Local_per_a_la_Sostenibilitat , configurat per un conjunt d' accions a emprendre , consensuades amb la ciutadania i els agents socials i econòmics locals .
#goldHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,18,15,18,14,18,21,19,21,24,21,24,25,25,24,5,
#predictedHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,9,15,18,16,18,21,19,21,24,21,24,25,25,24,5,
(5,24),-1.44596 # DEPENDENCYPART_ARC
(5,26),-0.726439 # DEPENDENCYPART_ARC
(5,27),-2.01519 # DEPENDENCYPART_ARC
(5,28),-2.00197 # DEPENDENCYPART_ARC
(5,29),4.4616 # DEPENDENCYPART_ARC
(7,1),-0.857484 # DEPENDENCYPART_ARC
(7,6),2.4949 # DEPENDENCYPART_ARC
(7,8),0.593612 # DEPENDENCYPART_ARC
(7,9),1.63794 # DEPENDENCYPART_ARC
(7,10),0.117354 # DEPENDENCYPART_ARC
(7,12),0.208786 # DEPENDENCYPART_ARC
(7,13),0.0163776 # DEPENDENCYPART_ARC
(7,14),-0.170115 # DEPENDENCYPART_ARC
(7,15),-0.327839 # DEPENDENCYPART_ARC
(7,16),0.457155 # DEPENDENCYPART_ARC
(7,18),-1.03588 # DEPENDENCYPART_ARC
(7,19),-1.43886 # DEPENDENCYPART_ARC
(7,22),0.130209 # DEPENDENCYPART_ARC
(7,24),-1.20652 # DEPENDENCYPART_ARC
(9,1),-0.506228 # DEPENDENCYPART_ARC
(9,6),0.177344 # DEPENDENCYPART_ARC
(9,8),2.92458 # DEPENDENCYPART_ARC
(9,10),4.28716 # DEPENDENCYPART_ARC
(9,12),0.898828 # DEPENDENCYPART_ARC
(9,13),1.06749 # DEPENDENCYPART_ARC
(9,14),0.317261 # DEPENDENCYPART_ARC
(9,15),1.31158 # DEPENDENCYPART_ARC
(9,16),0.320914 # DEPENDENCYPART_ARC
(9,17),0.907884 # DEPENDENCYPART_ARC
(9,18),-2.05631 # DEPENDENCYPART_ARC
(9,19),0.61312 # DEPENDENCYPART_ARC
(9,22),0.102258 # DEPENDENCYPART_ARC
(9,24),-0.692588 # DEPENDENCYPART_ARC
(9,26),0.54828 # DEPENDENCYPART_ARC
(9,29),1.10008 # DEPENDENCYPART_ARC
(10,1),-1.73772 # DEPENDENCYPART_ARC
(10,6),-1.9219 # DEPENDENCYPART_ARC
(10,8),0.371726 # DEPENDENCYPART_ARC
(10,9),0.0161569 # DEPENDENCYPART_ARC
(10,11),-1.05994 # DEPENDENCYPART_ARC
(10,12),3.92849 # DEPENDENCYPART_ARC
(10,13),-0.135798 # DEPENDENCYPART_ARC
(10,14),1.44191 # DEPENDENCYPART_ARC
(10,15),-0.767577 # DEPENDENCYPART_ARC
(10,16),0.244927 # DEPENDENCYPART_ARC
(10,17),-0.454393 # DEPENDENCYPART_ARC
(10,18),-1.26051 # DEPENDENCYPART_ARC
(10,19),-1.74634 # DEPENDENCYPART_ARC
(10,29),0.702471 # DEPENDENCYPART_ARC
(11,12),2.9561 # DEPENDENCYPART_ARC
(11,13),0.932982 # DEPENDENCYPART_ARC
(11,15),-1.65549 # DEPENDENCYPART_ARC
(12,1),-1.22398 # DEPENDENCYPART_ARC
(12,6),-1.45899 # DEPENDENCYPART_ARC
(12,8),0.709756 # DEPENDENCYPART_ARC
(12,9),-0.626908 # DEPENDENCYPART_ARC
(12,11),3.78131 # DEPENDENCYPART_ARC
(12,13),3.09237 # DEPENDENCYPART_ARC
(12,14),0.350117 # DEPENDENCYPART_ARC
(12,15),1.26971 # DEPENDENCYPART_ARC
(12,16),0.68751 # DEPENDENCYPART_ARC
(12,18),-2.47227 # DEPENDENCYPART_ARC
(12,19),0.00293736 # DEPENDENCYPART_ARC
(12,22),-0.122292 # DEPENDENCYPART_ARC
(12,24),-1.00437 # DEPENDENCYPART_ARC
(12,25),-2.36017 # DEPENDENCYPART_ARC
(12,27),-3.36432 # DEPENDENCYPART_ARC
(12,28),-2.44143 # DEPENDENCYPART_ARC
(12,29),0.843406 # DEPENDENCYPART_ARC
(13,11),-0.310515 # DEPENDENCYPART_ARC
(13,14),3.90465 # DEPENDENCYPART_ARC
(13,15),-0.770857 # DEPENDENCYPART_ARC
(13,16),-0.178298 # DEPENDENCYPART_ARC
(13,17),-1.08636 # DEPENDENCYPART_ARC
(14,1),-2.44536 # DEPENDENCYPART_ARC
(14,8),-0.535985 # DEPENDENCYPART_ARC
(14,9),-3.26329 # DEPENDENCYPART_ARC
(14,11),1.1356 # DEPENDENCYPART_ARC
(14,13),0.81912 # DEPENDENCYPART_ARC
(14,15),0.772112 # DEPENDENCYPART_ARC
(14,16),0.758804 # DEPENDENCYPART_ARC
(14,18),1.28222 # DEPENDENCYPART_ARC
(14,19),-0.0505953 # DEPENDENCYPART_ARC
(14,24),-1.24843 # DEPENDENCYPART_ARC
(14,28),-0.525714 # DEPENDENCYPART_ARC
(15,13),-0.322717 # DEPENDENCYPART_ARC
(15,16),4.03676 # DEPENDENCYPART_ARC
(15,17),0.259435 # DEPENDENCYPART_ARC
(15,18),0.0244968 # DEPENDENCYPART_ARC
(15,19),-1.34068 # DEPENDENCYPART_ARC
(15,27),-2.49038 # DEPENDENCYPART_ARC
(16,1),-0.987447 # DEPENDENCYPART_ARC
(16,3),-1.0739 # DEPENDENCYPART_ARC
(16,5),-1.0266 # DEPENDENCYPART_ARC
(16,7),-1.3069 # DEPENDENCYPART_ARC
(16,8),-1.16203 # DEPENDENCYPART_ARC
(16,9),-1.78474 # DEPENDENCYPART_ARC
(16,10),-1.51976 # DEPENDENCYPART_ARC
(16,12),-0.711649 # DEPENDENCYPART_ARC
(16,13),-0.664925 # DEPENDENCYPART_ARC
(16,14),-0.166433 # DEPENDENCYPART_ARC
(16,15),1.3426 # DEPENDENCYPART_ARC
(16,17),1.10171 # DEPENDENCYPART_ARC
(16,18),2.6152 # DEPENDENCYPART_ARC
(16,19),2.7194 # DEPENDENCYPART_ARC
(16,21),1.82069 # DEPENDENCYPART_ARC
(16,22),0.860483 # DEPENDENCYPART_ARC
(16,24),0.809818 # DEPENDENCYPART_ARC
(16,25),0.370179 # DEPENDENCYPART_ARC
(16,26),0.265274 # DEPENDENCYPART_ARC
(16,27),0.121324 # DEPENDENCYPART_ARC
(16,28),0.0956607 # DEPENDENCYPART_ARC
(16,29),4.2066 # DEPENDENCYPART_ARC
(18,8),-0.678275 # DEPENDENCYPART_ARC
(18,10),-0.959247 # DEPENDENCYPART_ARC
(18,13),0.180367 # DEPENDENCYPART_ARC
(18,15),0.511957 # DEPENDENCYPART_ARC
(18,17),2.17101 # DEPENDENCYPART_ARC
(18,19),4.19351 # DEPENDENCYPART_ARC
(18,21),0.404652 # DEPENDENCYPART_ARC
(18,22),1.1219 # DEPENDENCYPART_ARC
(18,24),0.052611 # DEPENDENCYPART_ARC
(18,25),0.172857 # DEPENDENCYPART_ARC
(18,26),1.3686 # DEPENDENCYPART_ARC
(18,27),0.00187155 # DEPENDENCYPART_ARC
(18,28),0.195571 # DEPENDENCYPART_ARC
(18,29),1.67848 # DEPENDENCYPART_ARC
(19,17),0.941619 # DEPENDENCYPART_ARC
(19,18),0.17381 # DEPENDENCYPART_ARC
(19,20),-1.46766 # DEPENDENCYPART_ARC
(19,21),4.39604 # DEPENDENCYPART_ARC
(19,22),0.640936 # DEPENDENCYPART_ARC
(19,24),0.129072 # DEPENDENCYPART_ARC
(19,26),0.31142 # DEPENDENCYPART_ARC
(19,27),-1.59801 # DEPENDENCYPART_ARC
(19,28),-0.808848 # DEPENDENCYPART_ARC
(20,22),-0.492901 # DEPENDENCYPART_ARC
(20,23),-1.2085 # DEPENDENCYPART_ARC
(21,1),-3.0503 # DEPENDENCYPART_ARC
(21,17),-0.617127 # DEPENDENCYPART_ARC
(21,18),-0.923834 # DEPENDENCYPART_ARC
(21,20),3.23729 # DEPENDENCYPART_ARC
(21,22),2.32281 # DEPENDENCYPART_ARC
(21,24),1.34059 # DEPENDENCYPART_ARC
(21,25),0.0303717 # DEPENDENCYPART_ARC
(21,26),0.494398 # DEPENDENCYPART_ARC
(21,27),-3.31647 # DEPENDENCYPART_ARC
(21,28),-0.76665 # DEPENDENCYPART_ARC
(21,29),1.43906 # DEPENDENCYPART_ARC
(23,24),-0.741788 # DEPENDENCYPART_ARC
(24,20),0.651596 # DEPENDENCYPART_ARC
(24,22),0.0547522 # DEPENDENCYPART_ARC
(24,23),3.83857 # DEPENDENCYPART_ARC
(24,25),4.27387 # DEPENDENCYPART_ARC
(24,26),1.67402 # DEPENDENCYPART_ARC
(24,27),1.22253 # DEPENDENCYPART_ARC
(24,28),2.7449 # DEPENDENCYPART_ARC
(24,29),1.27262 # DEPENDENCYPART_ARC
(25,23),-0.157357 # DEPENDENCYPART_ARC
(25,26),3.19781 # DEPENDENCYPART_ARC
(25,27),3.50629 # DEPENDENCYPART_ARC
(25,28),1.44838 # DEPENDENCYPART_ARC
(27,25),0.529246 # DEPENDENCYPART_ARC
(27,26),0.756868 # DEPENDENCYPART_ARC
(27,28),0.621688 # DEPENDENCYPART_ARC
(28,19),-0.0606206 # DEPENDENCYPART_ARC
(28,25),-0.774274 # DEPENDENCYPART_ARC
(28,26),-0.0833588 # DEPENDENCYPART_ARC
(28,27),-0.0705345 # DEPENDENCYPART_ARC
(28,29),-0.804991 # DEPENDENCYPART_ARC
