# _root_ Una persona va morir a Barcelona i una altra a Tarragona , sense que hagi transcendit en quin hospital , perquè encara no s' ha formalitzat la denúncia .
#goldHeads=2,4,4,0,4,5,4,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,16,28,26,4,
#predictedHeads=2,4,4,0,4,5,6,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,13,28,26,4,
(16,23),-0.467667 # DEPENDENCYPART_ARC
(16,25),0.84031 # DEPENDENCYPART_ARC
(16,26),0.478122 # DEPENDENCYPART_ARC
(16,28),-0.653869 # DEPENDENCYPART_ARC
(16,29),5.3254 # DEPENDENCYPART_ARC
(17,19),4.47881 # DEPENDENCYPART_ARC
(17,20),0.734087 # DEPENDENCYPART_ARC
(17,21),-0.000926427 # DEPENDENCYPART_ARC
(17,22),-0.747764 # DEPENDENCYPART_ARC
(17,23),-1.4013 # DEPENDENCYPART_ARC
(17,26),-1.0429 # DEPENDENCYPART_ARC
(19,14),-0.00863974 # DEPENDENCYPART_ARC
(19,15),-2.48041 # DEPENDENCYPART_ARC
(19,17),0.587959 # DEPENDENCYPART_ARC
(19,18),3.10834 # DEPENDENCYPART_ARC
(19,20),-0.20257 # DEPENDENCYPART_ARC
(19,21),-1.37313 # DEPENDENCYPART_ARC
(19,22),-2.30387 # DEPENDENCYPART_ARC
(19,25),-1.10802 # DEPENDENCYPART_ARC
(19,26),-1.00926 # DEPENDENCYPART_ARC
(19,28),-2.71719 # DEPENDENCYPART_ARC
(21,20),-0.214245 # DEPENDENCYPART_ARC
(21,22),-0.82865 # DEPENDENCYPART_ARC
(21,26),-1.96908 # DEPENDENCYPART_ARC
(22,17),-0.401736 # DEPENDENCYPART_ARC
(22,20),-0.460354 # DEPENDENCYPART_ARC
(22,21),0.0799822 # DEPENDENCYPART_ARC
(22,23),0.0634514 # DEPENDENCYPART_ARC
(22,25),-0.260793 # DEPENDENCYPART_ARC
(25,14),0.130595 # DEPENDENCYPART_ARC
(25,17),-1.0901 # DEPENDENCYPART_ARC
(25,20),-0.00830449 # DEPENDENCYPART_ARC
(25,21),1.35989 # DEPENDENCYPART_ARC
(25,22),0.337298 # DEPENDENCYPART_ARC
(25,23),1.11611 # DEPENDENCYPART_ARC
(25,24),1.01743 # DEPENDENCYPART_ARC
(25,26),0.944221 # DEPENDENCYPART_ARC
(25,28),0.100569 # DEPENDENCYPART_ARC
(25,29),1.1762 # DEPENDENCYPART_ARC
(26,2),-1.91549 # DEPENDENCYPART_ARC
(26,3),-0.626382 # DEPENDENCYPART_ARC
(26,4),-2.16481 # DEPENDENCYPART_ARC
(26,7),-1.19442 # DEPENDENCYPART_ARC
(26,9),-1.93401 # DEPENDENCYPART_ARC
(26,10),-1.21882 # DEPENDENCYPART_ARC
(26,12),0.141478 # DEPENDENCYPART_ARC
(26,13),-1.13906 # DEPENDENCYPART_ARC
(26,14),1.93205 # DEPENDENCYPART_ARC
(26,15),1.24233 # DEPENDENCYPART_ARC
(26,16),-1.06488 # DEPENDENCYPART_ARC
(26,17),0.667852 # DEPENDENCYPART_ARC
(26,19),-0.458027 # DEPENDENCYPART_ARC
(26,20),2.33257 # DEPENDENCYPART_ARC
(26,21),2.83018 # DEPENDENCYPART_ARC
(26,22),1.96709 # DEPENDENCYPART_ARC
(26,23),3.0588 # DEPENDENCYPART_ARC
(26,24),3.50037 # DEPENDENCYPART_ARC
(26,25),6.04557 # DEPENDENCYPART_ARC
(26,28),2.95737 # DEPENDENCYPART_ARC
(26,29),2.84627 # DEPENDENCYPART_ARC
(28,4),-2.59864 # DEPENDENCYPART_ARC
(28,17),-1.44575 # DEPENDENCYPART_ARC
(28,22),-0.314041 # DEPENDENCYPART_ARC
(28,25),-1.95805 # DEPENDENCYPART_ARC
(28,26),-0.856897 # DEPENDENCYPART_ARC
(28,27),3.50491 # DEPENDENCYPART_ARC
