# _root_ El senador per CiU i alcalde d' Amposta , Joan_Maria_Roig , s' havia interessat per aquesta qüestió en una pregunta oral a la cambra alta .
#goldHeads=2,14,2,3,2,2,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
#predictedHeads=2,14,2,3,4,4,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
(13,9),-1.64008 # DEPENDENCYPART_ARC
(13,10),-1.88078 # DEPENDENCYPART_ARC
(13,11),0.327592 # DEPENDENCYPART_ARC
(13,12),0.374931 # DEPENDENCYPART_ARC
(13,14),1.34476 # DEPENDENCYPART_ARC
(13,15),-0.0456891 # DEPENDENCYPART_ARC
(13,17),-0.683602 # DEPENDENCYPART_ARC
(13,18),-0.422163 # DEPENDENCYPART_ARC
(13,22),-0.913831 # DEPENDENCYPART_ARC
(13,26),1.17445 # DEPENDENCYPART_ARC
(14,1),-1.90606 # DEPENDENCYPART_ARC
(14,2),0.683606 # DEPENDENCYPART_ARC
(14,3),-0.0994294 # DEPENDENCYPART_ARC
(14,4),0.486037 # DEPENDENCYPART_ARC
(14,5),-0.493489 # DEPENDENCYPART_ARC
(14,6),0.697124 # DEPENDENCYPART_ARC
(14,7),-0.780022 # DEPENDENCYPART_ARC
(14,8),0.283315 # DEPENDENCYPART_ARC
(14,9),0.083294 # DEPENDENCYPART_ARC
(14,10),0.630152 # DEPENDENCYPART_ARC
(14,11),2.07937 # DEPENDENCYPART_ARC
(14,12),3.62539 # DEPENDENCYPART_ARC
(14,13),5.69454 # DEPENDENCYPART_ARC
(14,15),3.21075 # DEPENDENCYPART_ARC
(14,17),2.00923 # DEPENDENCYPART_ARC
(14,18),1.97007 # DEPENDENCYPART_ARC
(14,20),1.21909 # DEPENDENCYPART_ARC
(14,21),-0.0951358 # DEPENDENCYPART_ARC
(14,22),1.43649 # DEPENDENCYPART_ARC
(14,24),0.887309 # DEPENDENCYPART_ARC
(14,25),-0.390238 # DEPENDENCYPART_ARC
(14,26),3.69379 # DEPENDENCYPART_ARC
(15,11),-2.18728 # DEPENDENCYPART_ARC
(15,17),4.28273 # DEPENDENCYPART_ARC
(15,18),-0.212637 # DEPENDENCYPART_ARC
(15,20),0.892289 # DEPENDENCYPART_ARC
(15,22),-1.06923 # DEPENDENCYPART_ARC
(15,26),0.0917409 # DEPENDENCYPART_ARC
(17,2),-2.9758 # DEPENDENCYPART_ARC
(17,7),-1.99453 # DEPENDENCYPART_ARC
(17,15),0.314167 # DEPENDENCYPART_ARC
(17,16),3.16601 # DEPENDENCYPART_ARC
(17,18),0.935362 # DEPENDENCYPART_ARC
(17,20),0.314469 # DEPENDENCYPART_ARC
(17,21),0.881446 # DEPENDENCYPART_ARC
(17,22),0.490167 # DEPENDENCYPART_ARC
(17,24),-0.387086 # DEPENDENCYPART_ARC
(17,25),0.257972 # DEPENDENCYPART_ARC
(17,26),0.924012 # DEPENDENCYPART_ARC
(18,17),-0.779039 # DEPENDENCYPART_ARC
(18,20),4.52593 # DEPENDENCYPART_ARC
(18,21),-0.195416 # DEPENDENCYPART_ARC
(18,22),-0.436823 # DEPENDENCYPART_ARC
(18,24),0.129892 # DEPENDENCYPART_ARC
(19,22),-1.8394 # DEPENDENCYPART_ARC
(20,2),-3.25639 # DEPENDENCYPART_ARC
(20,7),-1.75412 # DEPENDENCYPART_ARC
(20,15),-0.607182 # DEPENDENCYPART_ARC
(20,16),0.437115 # DEPENDENCYPART_ARC
(20,18),0.628294 # DEPENDENCYPART_ARC
(20,19),3.88919 # DEPENDENCYPART_ARC
(20,21),3.77275 # DEPENDENCYPART_ARC
(20,22),1.83062 # DEPENDENCYPART_ARC
(20,24),1.10657 # DEPENDENCYPART_ARC
(20,25),2.2285 # DEPENDENCYPART_ARC
(20,26),1.32216 # DEPENDENCYPART_ARC
(21,15),-0.886795 # DEPENDENCYPART_ARC
(21,19),0.0768474 # DEPENDENCYPART_ARC
(21,22),1.35871 # DEPENDENCYPART_ARC
(21,24),-0.587664 # DEPENDENCYPART_ARC
(21,25),0.132109 # DEPENDENCYPART_ARC
(22,21),-0.274796 # DEPENDENCYPART_ARC
(22,24),4.26418 # DEPENDENCYPART_ARC
(22,25),0.124194 # DEPENDENCYPART_ARC
(24,18),-1.00842 # DEPENDENCYPART_ARC
(24,19),0.766718 # DEPENDENCYPART_ARC
(24,21),-1.15762 # DEPENDENCYPART_ARC
(24,23),3.37925 # DEPENDENCYPART_ARC
(24,25),3.48246 # DEPENDENCYPART_ARC
(24,26),0.182189 # DEPENDENCYPART_ARC
(25,15),-2.09135 # DEPENDENCYPART_ARC
(25,18),-1.169 # DEPENDENCYPART_ARC
(25,23),-0.25328 # DEPENDENCYPART_ARC
