# _root_ ' Si fa falta un estudi , que no vingui a_canvi_de vendre l' aigua ' perquè ' aquest estudi arribarà tard ' , ha dit Castellà .
#goldHeads=10,3,10,3,6,3,3,10,10,25,10,11,14,12,10,20,20,19,20,10,20,20,10,25,0,25,25,
#predictedHeads=3,3,6,3,6,10,10,10,10,12,20,11,14,12,20,20,20,19,20,25,20,20,20,25,0,25,25,
(6,15),-0.966861 # DEPENDENCYPART_ARC
(6,17),-1.34768 # DEPENDENCYPART_ARC
(6,19),-2.86463 # DEPENDENCYPART_ARC
(6,21),-2.02772 # DEPENDENCYPART_ARC
(6,27),0.180763 # DEPENDENCYPART_ARC
(7,6),-1.79544 # DEPENDENCYPART_ARC
(8,7),-0.501001 # DEPENDENCYPART_ARC
(8,10),-0.606455 # DEPENDENCYPART_ARC
(9,7),-0.906131 # DEPENDENCYPART_ARC
(9,8),0.261319 # DEPENDENCYPART_ARC
(10,1),1.44889 # DEPENDENCYPART_ARC
(10,2),0.185351 # DEPENDENCYPART_ARC
(10,3),-0.929549 # DEPENDENCYPART_ARC
(10,4),-0.363024 # DEPENDENCYPART_ARC
(10,6),-0.199918 # DEPENDENCYPART_ARC
(10,7),1.87515 # DEPENDENCYPART_ARC
(10,8),3.26409 # DEPENDENCYPART_ARC
(10,9),3.48033 # DEPENDENCYPART_ARC
(10,11),2.29784 # DEPENDENCYPART_ARC
(10,12),-0.177266 # DEPENDENCYPART_ARC
(10,14),0.611197 # DEPENDENCYPART_ARC
(10,15),-0.0115949 # DEPENDENCYPART_ARC
(10,16),-0.984114 # DEPENDENCYPART_ARC
(10,17),-1.8563 # DEPENDENCYPART_ARC
(10,19),-2.38027 # DEPENDENCYPART_ARC
(10,20),-1.2408 # DEPENDENCYPART_ARC
(10,21),-2.28933 # DEPENDENCYPART_ARC
(10,22),-1.22931 # DEPENDENCYPART_ARC
(10,23),-0.685086 # DEPENDENCYPART_ARC
(10,25),-2.37149 # DEPENDENCYPART_ARC
(10,27),0.597569 # DEPENDENCYPART_ARC
(11,1),-2.07328 # DEPENDENCYPART_ARC
(11,2),-1.58638 # DEPENDENCYPART_ARC
(11,9),-0.486394 # DEPENDENCYPART_ARC
(11,10),-0.458844 # DEPENDENCYPART_ARC
(11,12),3.00663 # DEPENDENCYPART_ARC
(11,14),0.690735 # DEPENDENCYPART_ARC
(11,15),-0.019472 # DEPENDENCYPART_ARC
(11,16),-0.551368 # DEPENDENCYPART_ARC
(11,17),-1.45131 # DEPENDENCYPART_ARC
(11,21),-0.704341 # DEPENDENCYPART_ARC
(11,23),-1.66025 # DEPENDENCYPART_ARC
(11,25),-2.73724 # DEPENDENCYPART_ARC
(12,1),1.09739 # DEPENDENCYPART_ARC
(12,2),-0.689846 # DEPENDENCYPART_ARC
(12,3),-1.28232 # DEPENDENCYPART_ARC
(12,4),-1.36898 # DEPENDENCYPART_ARC
(12,6),-1.37869 # DEPENDENCYPART_ARC
(12,7),0.575303 # DEPENDENCYPART_ARC
(12,8),2.09337 # DEPENDENCYPART_ARC
(12,9),2.05798 # DEPENDENCYPART_ARC
(12,10),2.0925 # DEPENDENCYPART_ARC
(12,11),3.18828 # DEPENDENCYPART_ARC
(12,14),4.1986 # DEPENDENCYPART_ARC
(12,15),1.53182 # DEPENDENCYPART_ARC
(12,16),0.449848 # DEPENDENCYPART_ARC
(12,17),-0.524619 # DEPENDENCYPART_ARC
(12,19),-0.0370629 # DEPENDENCYPART_ARC
(12,20),1.07309 # DEPENDENCYPART_ARC
(12,21),0.0682842 # DEPENDENCYPART_ARC
(12,22),0.19069 # DEPENDENCYPART_ARC
(12,23),0.646642 # DEPENDENCYPART_ARC
(12,24),-0.523711 # DEPENDENCYPART_ARC
(12,25),-0.535463 # DEPENDENCYPART_ARC
(12,26),-1.51041 # DEPENDENCYPART_ARC
(12,27),1.486 # DEPENDENCYPART_ARC
(14,3),-1.49829 # DEPENDENCYPART_ARC
(14,4),-1.99738 # DEPENDENCYPART_ARC
(14,6),-2.73433 # DEPENDENCYPART_ARC
(14,10),-1.82833 # DEPENDENCYPART_ARC
(14,11),-0.513799 # DEPENDENCYPART_ARC
(14,12),0.818839 # DEPENDENCYPART_ARC
(14,13),3.03565 # DEPENDENCYPART_ARC
(14,15),0.430379 # DEPENDENCYPART_ARC
(14,16),-0.823742 # DEPENDENCYPART_ARC
(14,17),-0.679362 # DEPENDENCYPART_ARC
(14,19),-1.25899 # DEPENDENCYPART_ARC
(14,20),-1.03549 # DEPENDENCYPART_ARC
(14,21),-2.44231 # DEPENDENCYPART_ARC
(14,22),-1.75192 # DEPENDENCYPART_ARC
(14,25),-3.92314 # DEPENDENCYPART_ARC
(16,17),0.640125 # DEPENDENCYPART_ARC
(16,19),-0.677429 # DEPENDENCYPART_ARC
(16,20),-0.0233079 # DEPENDENCYPART_ARC
(16,22),-0.111815 # DEPENDENCYPART_ARC
(16,23),0.0468853 # DEPENDENCYPART_ARC
(16,27),0.441496 # DEPENDENCYPART_ARC
(19,3),-2.25679 # DEPENDENCYPART_ARC
(19,4),-3.34365 # DEPENDENCYPART_ARC
(19,11),-1.7361 # DEPENDENCYPART_ARC
(19,12),-1.71903 # DEPENDENCYPART_ARC
(19,13),-1.69849 # DEPENDENCYPART_ARC
(19,15),-0.683849 # DEPENDENCYPART_ARC
(19,16),-0.571307 # DEPENDENCYPART_ARC
(19,17),1.1875 # DEPENDENCYPART_ARC
(19,18),2.95617 # DEPENDENCYPART_ARC
(19,20),0.125581 # DEPENDENCYPART_ARC
(19,21),-1.27804 # DEPENDENCYPART_ARC
(19,22),-0.94226 # DEPENDENCYPART_ARC
(19,25),-2.871 # DEPENDENCYPART_ARC
(20,1),0.604285 # DEPENDENCYPART_ARC
(20,2),-2.13382 # DEPENDENCYPART_ARC
(20,3),-1.41367 # DEPENDENCYPART_ARC
(20,4),-0.996762 # DEPENDENCYPART_ARC
(20,6),-1.59311 # DEPENDENCYPART_ARC
(20,7),0.0582019 # DEPENDENCYPART_ARC
(20,8),1.39955 # DEPENDENCYPART_ARC
(20,10),-0.105804 # DEPENDENCYPART_ARC
(20,11),0.249027 # DEPENDENCYPART_ARC
(20,12),-1.08725 # DEPENDENCYPART_ARC
(20,14),0.322617 # DEPENDENCYPART_ARC
(20,15),2.06492 # DEPENDENCYPART_ARC
(20,16),3.10522 # DEPENDENCYPART_ARC
(20,17),3.10872 # DEPENDENCYPART_ARC
(20,18),-0.716794 # DEPENDENCYPART_ARC
(20,19),2.73188 # DEPENDENCYPART_ARC
(20,21),3.09072 # DEPENDENCYPART_ARC
(20,22),2.6034 # DEPENDENCYPART_ARC
(20,23),2.64143 # DEPENDENCYPART_ARC
(20,24),1.67105 # DEPENDENCYPART_ARC
(20,25),0.73434 # DEPENDENCYPART_ARC
(20,26),0.753773 # DEPENDENCYPART_ARC
(20,27),3.08968 # DEPENDENCYPART_ARC
(21,11),-1.66736 # DEPENDENCYPART_ARC
(21,17),-1.15245 # DEPENDENCYPART_ARC
(21,19),-1.15545 # DEPENDENCYPART_ARC
(21,20),0.152621 # DEPENDENCYPART_ARC
(21,22),-0.0937867 # DEPENDENCYPART_ARC
(21,23),-0.444943 # DEPENDENCYPART_ARC
(21,24),-0.732532 # DEPENDENCYPART_ARC
(21,25),-1.6853 # DEPENDENCYPART_ARC
(24,1),-1.05329 # DEPENDENCYPART_ARC
(24,2),-4.98473 # DEPENDENCYPART_ARC
(24,8),-0.385546 # DEPENDENCYPART_ARC
(24,11),-2.53876 # DEPENDENCYPART_ARC
(24,12),-2.60017 # DEPENDENCYPART_ARC
(24,16),0.178034 # DEPENDENCYPART_ARC
(24,19),-2.06859 # DEPENDENCYPART_ARC
(24,20),-1.90387 # DEPENDENCYPART_ARC
(24,21),-1.27623 # DEPENDENCYPART_ARC
(24,22),-0.961174 # DEPENDENCYPART_ARC
(24,23),-1.73369 # DEPENDENCYPART_ARC
(24,25),0.238121 # DEPENDENCYPART_ARC
(24,26),0.921267 # DEPENDENCYPART_ARC
(24,27),1.69949 # DEPENDENCYPART_ARC
(25,1),0.426731 # DEPENDENCYPART_ARC
(25,2),-3.43207 # DEPENDENCYPART_ARC
(25,3),-0.350542 # DEPENDENCYPART_ARC
(25,4),-3.36253 # DEPENDENCYPART_ARC
(25,6),-4.17304 # DEPENDENCYPART_ARC
(25,7),-0.374869 # DEPENDENCYPART_ARC
(25,8),0.821715 # DEPENDENCYPART_ARC
(25,10),-0.251637 # DEPENDENCYPART_ARC
(25,11),-0.284956 # DEPENDENCYPART_ARC
(25,12),-0.593144 # DEPENDENCYPART_ARC
(25,14),-1.71572 # DEPENDENCYPART_ARC
(25,15),1.24837 # DEPENDENCYPART_ARC
(25,16),1.68644 # DEPENDENCYPART_ARC
(25,17),1.56979 # DEPENDENCYPART_ARC
(25,19),0.466393 # DEPENDENCYPART_ARC
(25,20),1.22832 # DEPENDENCYPART_ARC
(25,21),0.0857875 # DEPENDENCYPART_ARC
(25,22),0.506053 # DEPENDENCYPART_ARC
(25,23),0.375675 # DEPENDENCYPART_ARC
(25,24),6.07457 # DEPENDENCYPART_ARC
(25,26),3.47944 # DEPENDENCYPART_ARC
(25,27),4.69541 # DEPENDENCYPART_ARC
(26,21),-1.50012 # DEPENDENCYPART_ARC
(26,27),-0.0343328 # DEPENDENCYPART_ARC
