# _root_ " Si parla així , és només per intentar fer_front a les enormes pressions internacionals de què és objecte " , va assegurar el ministre palestí Hassan_Asfur .
#goldHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,19,16,14,18,6,6,23,0,25,23,25,25,23,
#predictedHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,14,16,14,18,6,18,23,0,25,23,25,25,6,
(6,18),0.717198 # DEPENDENCYPART_ARC
(6,19),-0.310029 # DEPENDENCYPART_ARC
(6,20),3.25692 # DEPENDENCYPART_ARC
(6,21),1.82261 # DEPENDENCYPART_ARC
(6,23),-1.00309 # DEPENDENCYPART_ARC
(6,25),-1.14314 # DEPENDENCYPART_ARC
(6,27),-0.759138 # DEPENDENCYPART_ARC
(6,28),3.64927 # DEPENDENCYPART_ARC
(7,4),-2.08546 # DEPENDENCYPART_ARC
(7,5),-1.07922 # DEPENDENCYPART_ARC
(7,8),-0.0620396 # DEPENDENCYPART_ARC
(7,9),0.117444 # DEPENDENCYPART_ARC
(7,10),-1.16895 # DEPENDENCYPART_ARC
(7,11),-1.61088 # DEPENDENCYPART_ARC
(8,2),-0.339851 # DEPENDENCYPART_ARC
(8,3),-0.531123 # DEPENDENCYPART_ARC
(8,4),-1.04601 # DEPENDENCYPART_ARC
(8,5),-0.297757 # DEPENDENCYPART_ARC
(8,6),0.691298 # DEPENDENCYPART_ARC
(8,7),1.41122 # DEPENDENCYPART_ARC
(8,9),3.43273 # DEPENDENCYPART_ARC
(8,10),2.5798 # DEPENDENCYPART_ARC
(8,11),0.169319 # DEPENDENCYPART_ARC
(8,14),0.157314 # DEPENDENCYPART_ARC
(8,20),0.842559 # DEPENDENCYPART_ARC
(8,21),-0.412731 # DEPENDENCYPART_ARC
(8,23),-2.20449 # DEPENDENCYPART_ARC
(8,28),-0.00308304 # DEPENDENCYPART_ARC
(9,1),-0.273926 # DEPENDENCYPART_ARC
(9,2),-2.26657 # DEPENDENCYPART_ARC
(9,3),-1.19678 # DEPENDENCYPART_ARC
(9,4),-1.85952 # DEPENDENCYPART_ARC
(9,6),-1.02635 # DEPENDENCYPART_ARC
(9,7),-0.969935 # DEPENDENCYPART_ARC
(9,8),-0.382195 # DEPENDENCYPART_ARC
(9,10),3.46441 # DEPENDENCYPART_ARC
(9,11),1.90545 # DEPENDENCYPART_ARC
(9,14),0.740315 # DEPENDENCYPART_ARC
(9,18),0.480886 # DEPENDENCYPART_ARC
(9,19),-0.603695 # DEPENDENCYPART_ARC
(9,20),0.894382 # DEPENDENCYPART_ARC
(9,21),0.483215 # DEPENDENCYPART_ARC
(9,23),-0.966038 # DEPENDENCYPART_ARC
(9,25),-1.65848 # DEPENDENCYPART_ARC
(9,27),-2.11167 # DEPENDENCYPART_ARC
(9,28),1.65023 # DEPENDENCYPART_ARC
(10,1),1.00905 # DEPENDENCYPART_ARC
(10,2),-1.28156 # DEPENDENCYPART_ARC
(10,3),-1.31787 # DEPENDENCYPART_ARC
(10,4),-1.75514 # DEPENDENCYPART_ARC
(10,5),-2.6629 # DEPENDENCYPART_ARC
(10,6),-1.16153 # DEPENDENCYPART_ARC
(10,7),-1.20432 # DEPENDENCYPART_ARC
(10,8),-0.685254 # DEPENDENCYPART_ARC
(10,9),1.2661 # DEPENDENCYPART_ARC
(10,11),3.46938 # DEPENDENCYPART_ARC
(10,13),-0.068801 # DEPENDENCYPART_ARC
(10,14),1.62021 # DEPENDENCYPART_ARC
(10,15),0.496518 # DEPENDENCYPART_ARC
(10,16),-0.913133 # DEPENDENCYPART_ARC
(10,18),0.499317 # DEPENDENCYPART_ARC
(10,19),-0.00223619 # DEPENDENCYPART_ARC
(10,20),1.34619 # DEPENDENCYPART_ARC
(10,21),1.38297 # DEPENDENCYPART_ARC
(10,22),-1.53263 # DEPENDENCYPART_ARC
(10,23),-0.556346 # DEPENDENCYPART_ARC
(10,25),-1.26272 # DEPENDENCYPART_ARC
(10,27),-1.66268 # DEPENDENCYPART_ARC
(10,28),2.49292 # DEPENDENCYPART_ARC
(11,10),-0.703051 # DEPENDENCYPART_ARC
(11,12),-1.06373 # DEPENDENCYPART_ARC
(11,13),1.82034 # DEPENDENCYPART_ARC
(11,14),3.57914 # DEPENDENCYPART_ARC
(11,15),0.386423 # DEPENDENCYPART_ARC
(11,16),-0.955008 # DEPENDENCYPART_ARC
(11,20),0.228273 # DEPENDENCYPART_ARC
(11,21),-0.613118 # DEPENDENCYPART_ARC
(12,11),-1.01976 # DEPENDENCYPART_ARC
(12,13),0.951317 # DEPENDENCYPART_ARC
(13,5),-2.51001 # DEPENDENCYPART_ARC
(13,7),-1.80852 # DEPENDENCYPART_ARC
(13,12),1.2654 # DEPENDENCYPART_ARC
(13,14),0.999482 # DEPENDENCYPART_ARC
(13,15),0.822775 # DEPENDENCYPART_ARC
(13,16),-1.14053 # DEPENDENCYPART_ARC
(14,4),-1.54857 # DEPENDENCYPART_ARC
(14,5),-1.14734 # DEPENDENCYPART_ARC
(14,7),-0.731707 # DEPENDENCYPART_ARC
(14,8),-1.44397 # DEPENDENCYPART_ARC
(14,9),-1.87859 # DEPENDENCYPART_ARC
(14,11),-0.0521084 # DEPENDENCYPART_ARC
(14,12),3.67238 # DEPENDENCYPART_ARC
(14,13),5.03902 # DEPENDENCYPART_ARC
(14,15),3.85734 # DEPENDENCYPART_ARC
(14,16),1.85014 # DEPENDENCYPART_ARC
(14,18),1.68896 # DEPENDENCYPART_ARC
(14,19),-0.862905 # DEPENDENCYPART_ARC
(14,20),0.595514 # DEPENDENCYPART_ARC
(14,21),-0.713846 # DEPENDENCYPART_ARC
(14,22),-1.65939 # DEPENDENCYPART_ARC
(14,23),-0.577625 # DEPENDENCYPART_ARC
(14,25),-2.19651 # DEPENDENCYPART_ARC
(14,26),-3.136 # DEPENDENCYPART_ARC
(14,27),-0.92413 # DEPENDENCYPART_ARC
(14,28),-0.077839 # DEPENDENCYPART_ARC
(15,12),0.272935 # DEPENDENCYPART_ARC
(15,13),-0.807071 # DEPENDENCYPART_ARC
(15,16),0.388921 # DEPENDENCYPART_ARC
(15,18),-0.332694 # DEPENDENCYPART_ARC
(15,19),-1.16077 # DEPENDENCYPART_ARC
(16,15),-1.1374 # DEPENDENCYPART_ARC
(16,17),3.72426 # DEPENDENCYPART_ARC
(16,18),1.47659 # DEPENDENCYPART_ARC
(16,19),-1.27887 # DEPENDENCYPART_ARC
(16,23),-2.37761 # DEPENDENCYPART_ARC
(17,16),1.316 # DEPENDENCYPART_ARC
(17,18),-0.636357 # DEPENDENCYPART_ARC
(17,19),-2.52166 # DEPENDENCYPART_ARC
(18,1),2.68333 # DEPENDENCYPART_ARC
(18,2),-1.06477 # DEPENDENCYPART_ARC
(18,3),0.972827 # DEPENDENCYPART_ARC
(18,4),-0.521472 # DEPENDENCYPART_ARC
(18,5),-2.31303 # DEPENDENCYPART_ARC
(18,6),0.78977 # DEPENDENCYPART_ARC
(18,7),-1.19196 # DEPENDENCYPART_ARC
(18,8),-0.65719 # DEPENDENCYPART_ARC
(18,9),0.144603 # DEPENDENCYPART_ARC
(18,10),-0.175198 # DEPENDENCYPART_ARC
(18,11),0.735439 # DEPENDENCYPART_ARC
(18,12),-2.35741 # DEPENDENCYPART_ARC
(18,13),-0.0878062 # DEPENDENCYPART_ARC
(18,14),-0.0276447 # DEPENDENCYPART_ARC
(18,15),0.10816 # DEPENDENCYPART_ARC
(18,16),1.31289 # DEPENDENCYPART_ARC
(18,17),2.17421 # DEPENDENCYPART_ARC
(18,19),3.44993 # DEPENDENCYPART_ARC
(18,20),1.94034 # DEPENDENCYPART_ARC
(18,21),1.82375 # DEPENDENCYPART_ARC
(18,22),-0.0581186 # DEPENDENCYPART_ARC
(18,23),-0.00365939 # DEPENDENCYPART_ARC
(18,25),-0.954151 # DEPENDENCYPART_ARC
(18,27),-0.932703 # DEPENDENCYPART_ARC
(18,28),1.86113 # DEPENDENCYPART_ARC
(19,16),-0.16511 # DEPENDENCYPART_ARC
(19,17),-0.743835 # DEPENDENCYPART_ARC
(19,20),1.24308 # DEPENDENCYPART_ARC
(19,21),-0.0355982 # DEPENDENCYPART_ARC
(19,22),0.478378 # DEPENDENCYPART_ARC
(19,23),-0.0879198 # DEPENDENCYPART_ARC
(19,25),-1.01925 # DEPENDENCYPART_ARC
(19,26),0.204626 # DEPENDENCYPART_ARC
(19,27),-0.713911 # DEPENDENCYPART_ARC
(22,3),-1.49275 # DEPENDENCYPART_ARC
(22,6),-1.23407 # DEPENDENCYPART_ARC
(22,25),-0.687764 # DEPENDENCYPART_ARC
(22,28),1.38902 # DEPENDENCYPART_ARC
(23,1),0.647636 # DEPENDENCYPART_ARC
(23,2),-1.89611 # DEPENDENCYPART_ARC
(23,3),0.884853 # DEPENDENCYPART_ARC
(23,4),-1.22602 # DEPENDENCYPART_ARC
(23,6),1.7423 # DEPENDENCYPART_ARC
(23,7),-2.30339 # DEPENDENCYPART_ARC
(23,8),-0.794247 # DEPENDENCYPART_ARC
(23,9),-0.429596 # DEPENDENCYPART_ARC
(23,10),-1.01862 # DEPENDENCYPART_ARC
(23,11),0.279048 # DEPENDENCYPART_ARC
(23,13),0.422405 # DEPENDENCYPART_ARC
(23,14),0.252523 # DEPENDENCYPART_ARC
(23,15),0.0197513 # DEPENDENCYPART_ARC
(23,16),-0.389527 # DEPENDENCYPART_ARC
(23,17),-0.55345 # DEPENDENCYPART_ARC
(23,18),0.736172 # DEPENDENCYPART_ARC
(23,19),-0.0371795 # DEPENDENCYPART_ARC
(23,20),0.436458 # DEPENDENCYPART_ARC
(23,21),0.151793 # DEPENDENCYPART_ARC
(23,22),5.62836 # DEPENDENCYPART_ARC
(23,25),3.10153 # DEPENDENCYPART_ARC
(23,26),0.433653 # DEPENDENCYPART_ARC
(23,27),1.11057 # DEPENDENCYPART_ARC
(23,28),3.52238 # DEPENDENCYPART_ARC
(25,16),-1.09509 # DEPENDENCYPART_ARC
(25,24),2.81764 # DEPENDENCYPART_ARC
(25,26),4.1297 # DEPENDENCYPART_ARC
(25,27),2.78752 # DEPENDENCYPART_ARC
(25,28),1.22812 # DEPENDENCYPART_ARC
(26,24),-1.00609 # DEPENDENCYPART_ARC
(26,27),0.423027 # DEPENDENCYPART_ARC
(27,24),0.55237 # DEPENDENCYPART_ARC
(27,25),-0.251309 # DEPENDENCYPART_ARC
(27,26),1.67429 # DEPENDENCYPART_ARC
