# _root_ El pelatge d' aquesta espècie , format en cada exemplar per taques diferents , actua com un carnet d' identitat .
#goldHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
#predictedHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
(5,13),-1.29462 # DEPENDENCYPART_ARC
(5,14),-0.737423 # DEPENDENCYPART_ARC
(5,15),-0.0755179 # DEPENDENCYPART_ARC
(5,16),-0.83422 # DEPENDENCYPART_ARC
(5,18),-3.07359 # DEPENDENCYPART_ARC
(5,21),-0.0737087 # DEPENDENCYPART_ARC
(7,2),-1.07188 # DEPENDENCYPART_ARC
(7,3),0.821227 # DEPENDENCYPART_ARC
(7,5),0.0203131 # DEPENDENCYPART_ARC
(7,6),3.06784 # DEPENDENCYPART_ARC
(7,8),3.90555 # DEPENDENCYPART_ARC
(7,10),0.906185 # DEPENDENCYPART_ARC
(7,11),2.35993 # DEPENDENCYPART_ARC
(7,12),0.508573 # DEPENDENCYPART_ARC
(7,13),-1.30468 # DEPENDENCYPART_ARC
(7,14),2.81519 # DEPENDENCYPART_ARC
(7,15),-0.0144801 # DEPENDENCYPART_ARC
(7,18),-0.291755 # DEPENDENCYPART_ARC
(7,19),-1.3169 # DEPENDENCYPART_ARC
(7,21),0.498683 # DEPENDENCYPART_ARC
(8,6),0.206042 # DEPENDENCYPART_ARC
(8,7),-0.359037 # DEPENDENCYPART_ARC
(8,9),-0.129744 # DEPENDENCYPART_ARC
(8,10),4.07648 # DEPENDENCYPART_ARC
(8,11),-0.863804 # DEPENDENCYPART_ARC
(8,12),1.33803 # DEPENDENCYPART_ARC
(8,13),-0.767731 # DEPENDENCYPART_ARC
(8,14),-0.134289 # DEPENDENCYPART_ARC
(8,16),-0.891898 # DEPENDENCYPART_ARC
(9,10),2.61863 # DEPENDENCYPART_ARC
(9,11),0.212059 # DEPENDENCYPART_ARC
(10,3),-0.621052 # DEPENDENCYPART_ARC
(10,6),0.0480084 # DEPENDENCYPART_ARC
(10,7),-1.09817 # DEPENDENCYPART_ARC
(10,8),0.878317 # DEPENDENCYPART_ARC
(10,9),3.08877 # DEPENDENCYPART_ARC
(10,11),1.8156 # DEPENDENCYPART_ARC
(10,12),-0.0320888 # DEPENDENCYPART_ARC
(10,13),-0.596967 # DEPENDENCYPART_ARC
(10,14),-0.156859 # DEPENDENCYPART_ARC
(10,15),-0.0417811 # DEPENDENCYPART_ARC
(10,16),-0.174147 # DEPENDENCYPART_ARC
(10,18),-1.95978 # DEPENDENCYPART_ARC
(10,19),-1.10957 # DEPENDENCYPART_ARC
(10,21),-0.25808 # DEPENDENCYPART_ARC
(11,9),-0.565009 # DEPENDENCYPART_ARC
(11,12),4.17915 # DEPENDENCYPART_ARC
(11,13),0.279292 # DEPENDENCYPART_ARC
(11,14),0.246837 # DEPENDENCYPART_ARC
(11,15),-1.49614 # DEPENDENCYPART_ARC
(11,16),-0.941667 # DEPENDENCYPART_ARC
(12,9),-1.9277 # DEPENDENCYPART_ARC
(12,13),3.90471 # DEPENDENCYPART_ARC
(12,14),-0.211367 # DEPENDENCYPART_ARC
(12,15),0.169756 # DEPENDENCYPART_ARC
(12,16),-0.321964 # DEPENDENCYPART_ARC
(12,17),-2.52305 # DEPENDENCYPART_ARC
(12,18),-2.47971 # DEPENDENCYPART_ARC
(12,19),-0.31632 # DEPENDENCYPART_ARC
(12,21),-0.606617 # DEPENDENCYPART_ARC
(13,3),-0.552482 # DEPENDENCYPART_ARC
(13,6),-0.329862 # DEPENDENCYPART_ARC
(13,8),0.398911 # DEPENDENCYPART_ARC
(13,11),0.59498 # DEPENDENCYPART_ARC
(13,14),-0.164012 # DEPENDENCYPART_ARC
(13,15),-1.39186 # DEPENDENCYPART_ARC
(13,16),-0.764324 # DEPENDENCYPART_ARC
(13,18),-1.8531 # DEPENDENCYPART_ARC
(14,13),-0.380068 # DEPENDENCYPART_ARC
(15,1),-3.02913 # DEPENDENCYPART_ARC
(15,2),0.315029 # DEPENDENCYPART_ARC
(15,3),-0.813045 # DEPENDENCYPART_ARC
(15,5),0.966773 # DEPENDENCYPART_ARC
(15,6),-0.424076 # DEPENDENCYPART_ARC
(15,7),-0.239766 # DEPENDENCYPART_ARC
(15,8),0.504357 # DEPENDENCYPART_ARC
(15,10),1.05768 # DEPENDENCYPART_ARC
(15,11),0.3143 # DEPENDENCYPART_ARC
(15,12),0.330134 # DEPENDENCYPART_ARC
(15,13),0.340865 # DEPENDENCYPART_ARC
(15,14),0.859262 # DEPENDENCYPART_ARC
(15,16),1.1019 # DEPENDENCYPART_ARC
(15,18),-0.13849 # DEPENDENCYPART_ARC
(15,19),0.0320958 # DEPENDENCYPART_ARC
(15,21),4.42916 # DEPENDENCYPART_ARC
(16,17),0.283003 # DEPENDENCYPART_ARC
(16,18),1.70662 # DEPENDENCYPART_ARC
(16,19),1.02112 # DEPENDENCYPART_ARC
(16,20),1.08547 # DEPENDENCYPART_ARC
(16,21),0.791405 # DEPENDENCYPART_ARC
(17,18),2.14415 # DEPENDENCYPART_ARC
(17,19),1.83304 # DEPENDENCYPART_ARC
(18,2),-2.64556 # DEPENDENCYPART_ARC
(18,7),-2.09758 # DEPENDENCYPART_ARC
(18,8),-0.545869 # DEPENDENCYPART_ARC
(18,11),-0.951218 # DEPENDENCYPART_ARC
(18,13),-1.32624 # DEPENDENCYPART_ARC
(18,14),-0.121783 # DEPENDENCYPART_ARC
(18,15),-0.144744 # DEPENDENCYPART_ARC
(18,16),0.718494 # DEPENDENCYPART_ARC
(18,17),3.91423 # DEPENDENCYPART_ARC
(18,19),4.24313 # DEPENDENCYPART_ARC
(18,20),1.43728 # DEPENDENCYPART_ARC
(18,21),1.80753 # DEPENDENCYPART_ARC
(19,17),-0.374907 # DEPENDENCYPART_ARC
(19,20),3.98008 # DEPENDENCYPART_ARC
(19,21),-0.691662 # DEPENDENCYPART_ARC
(20,2),-3.3568 # DEPENDENCYPART_ARC
(20,7),-3.17946 # DEPENDENCYPART_ARC
(20,17),0.744477 # DEPENDENCYPART_ARC
(20,18),-0.698378 # DEPENDENCYPART_ARC
(20,19),1.29333 # DEPENDENCYPART_ARC
(20,21),-1.36004 # DEPENDENCYPART_ARC
