# _root_ Un_cop llicenciat , es va dedicar durant molts anys a l' ensenyament de la llengua i la literatura a Barcelona , Vila-real -Fpa- Plana_Baixa -Fpt- i Terrassa .
#goldHeads=2,6,2,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,6,19,20,20,24,22,24,20,20,6,
#predictedHeads=2,6,6,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,18,19,22,12,24,12,24,15,20,6,
(10,13),-0.902009 # DEPENDENCYPART_ARC
(10,15),0.646047 # DEPENDENCYPART_ARC
(10,16),0.043014 # DEPENDENCYPART_ARC
(10,19),-0.550262 # DEPENDENCYPART_ARC
(11,10),-0.307888 # DEPENDENCYPART_ARC
(11,13),-0.57715 # DEPENDENCYPART_ARC
(11,14),-0.409209 # DEPENDENCYPART_ARC
(12,1),-1.9475 # DEPENDENCYPART_ARC
(12,2),-3.09889 # DEPENDENCYPART_ARC
(12,7),-0.352889 # DEPENDENCYPART_ARC
(12,8),-0.927257 # DEPENDENCYPART_ARC
(12,10),0.705329 # DEPENDENCYPART_ARC
(12,11),3.21997 # DEPENDENCYPART_ARC
(12,13),2.71966 # DEPENDENCYPART_ARC
(12,15),0.889259 # DEPENDENCYPART_ARC
(12,16),1.84255 # DEPENDENCYPART_ARC
(12,18),1.39759 # DEPENDENCYPART_ARC
(12,19),1.90072 # DEPENDENCYPART_ARC
(12,20),0.182066 # DEPENDENCYPART_ARC
(12,21),0.0772072 # DEPENDENCYPART_ARC
(12,22),1.95289 # DEPENDENCYPART_ARC
(12,23),-0.0288264 # DEPENDENCYPART_ARC
(12,24),2.05558 # DEPENDENCYPART_ARC
(12,25),-0.00861641 # DEPENDENCYPART_ARC
(12,26),1.13149 # DEPENDENCYPART_ARC
(12,27),0.524277 # DEPENDENCYPART_ARC
(12,28),1.25981 # DEPENDENCYPART_ARC
(13,11),-0.841521 # DEPENDENCYPART_ARC
(13,15),3.91066 # DEPENDENCYPART_ARC
(13,16),0.389684 # DEPENDENCYPART_ARC
(13,18),-0.258844 # DEPENDENCYPART_ARC
(14,13),0.121643 # DEPENDENCYPART_ARC
(14,15),0.656453 # DEPENDENCYPART_ARC
(14,16),-0.803117 # DEPENDENCYPART_ARC
(14,17),-0.715853 # DEPENDENCYPART_ARC
(15,2),-4.10953 # DEPENDENCYPART_ARC
(15,7),-1.60828 # DEPENDENCYPART_ARC
(15,8),-2.94295 # DEPENDENCYPART_ARC
(15,10),-0.88099 # DEPENDENCYPART_ARC
(15,11),-0.341565 # DEPENDENCYPART_ARC
(15,13),0.422589 # DEPENDENCYPART_ARC
(15,14),3.39678 # DEPENDENCYPART_ARC
(15,16),2.55426 # DEPENDENCYPART_ARC
(15,18),1.90854 # DEPENDENCYPART_ARC
(15,19),1.67554 # DEPENDENCYPART_ARC
(15,20),0.877947 # DEPENDENCYPART_ARC
(15,21),0.691362 # DEPENDENCYPART_ARC
(15,22),1.3964 # DEPENDENCYPART_ARC
(15,23),0.206645 # DEPENDENCYPART_ARC
(15,24),1.58324 # DEPENDENCYPART_ARC
(15,25),0.303718 # DEPENDENCYPART_ARC
(15,26),2.41547 # DEPENDENCYPART_ARC
(15,27),1.24297 # DEPENDENCYPART_ARC
(15,28),1.21824 # DEPENDENCYPART_ARC
(17,16),-0.208409 # DEPENDENCYPART_ARC
(17,18),0.896563 # DEPENDENCYPART_ARC
(17,19),-0.538051 # DEPENDENCYPART_ARC
(18,2),-3.70092 # DEPENDENCYPART_ARC
(18,13),-0.390855 # DEPENDENCYPART_ARC
(18,14),1.31154 # DEPENDENCYPART_ARC
(18,16),0.572079 # DEPENDENCYPART_ARC
(18,17),3.93425 # DEPENDENCYPART_ARC
(18,19),2.44889 # DEPENDENCYPART_ARC
(18,20),0.491555 # DEPENDENCYPART_ARC
(18,21),0.30212 # DEPENDENCYPART_ARC
(18,22),1.07803 # DEPENDENCYPART_ARC
(18,23),-0.464726 # DEPENDENCYPART_ARC
(18,24),0.924041 # DEPENDENCYPART_ARC
(18,25),0.113825 # DEPENDENCYPART_ARC
(18,26),1.43704 # DEPENDENCYPART_ARC
(18,27),0.174819 # DEPENDENCYPART_ARC
(18,28),0.201624 # DEPENDENCYPART_ARC
(19,17),-0.475894 # DEPENDENCYPART_ARC
(19,18),0.148397 # DEPENDENCYPART_ARC
(19,20),3.55554 # DEPENDENCYPART_ARC
(19,21),0.30162 # DEPENDENCYPART_ARC
(19,22),-0.431262 # DEPENDENCYPART_ARC
(19,24),-2.98451 # DEPENDENCYPART_ARC
(20,17),-0.911314 # DEPENDENCYPART_ARC
(20,18),-2.11777 # DEPENDENCYPART_ARC
(20,21),1.46096 # DEPENDENCYPART_ARC
(20,22),1.27757 # DEPENDENCYPART_ARC
(20,23),1.21247 # DEPENDENCYPART_ARC
(20,24),1.05751 # DEPENDENCYPART_ARC
(20,25),-0.169703 # DEPENDENCYPART_ARC
(20,26),2.41093 # DEPENDENCYPART_ARC
(20,27),2.22451 # DEPENDENCYPART_ARC
(20,28),-0.112077 # DEPENDENCYPART_ARC
(22,19),-1.05861 # DEPENDENCYPART_ARC
(22,21),1.77214 # DEPENDENCYPART_ARC
(22,23),1.2839 # DEPENDENCYPART_ARC
(22,24),1.4431 # DEPENDENCYPART_ARC
(22,25),1.92073 # DEPENDENCYPART_ARC
(22,26),2.26062 # DEPENDENCYPART_ARC
(22,27),1.63834 # DEPENDENCYPART_ARC
(22,28),1.16925 # DEPENDENCYPART_ARC
(23,25),-1.30669 # DEPENDENCYPART_ARC
(24,2),-3.09567 # DEPENDENCYPART_ARC
(24,18),-1.09592 # DEPENDENCYPART_ARC
(24,19),-0.454812 # DEPENDENCYPART_ARC
(24,21),0.897372 # DEPENDENCYPART_ARC
(24,22),0.393619 # DEPENDENCYPART_ARC
(24,23),4.21384 # DEPENDENCYPART_ARC
(24,25),3.5178 # DEPENDENCYPART_ARC
(24,26),1.40101 # DEPENDENCYPART_ARC
(24,27),1.09087 # DEPENDENCYPART_ARC
(24,28),0.487008 # DEPENDENCYPART_ARC
(25,26),-0.0834844 # DEPENDENCYPART_ARC
(26,27),-0.353219 # DEPENDENCYPART_ARC
(27,23),0.0729164 # DEPENDENCYPART_ARC
(27,25),0.167687 # DEPENDENCYPART_ARC
(27,26),-0.1255 # DEPENDENCYPART_ARC
(27,28),0.453172 # DEPENDENCYPART_ARC
