# _root_ Sonaven molt bé , sens dubte , però el volum sonor no està de més en aquesta mena d' exhibicions de la música barroca .
#goldHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
#predictedHeads=0,3,1,5,1,5,5,1,10,13,10,13,1,13,14,13,18,16,18,19,20,23,21,23,1,
(11,5),-0.741971 # DEPENDENCYPART_ARC
(11,7),-0.369779 # DEPENDENCYPART_ARC
(11,8),-0.546667 # DEPENDENCYPART_ARC
(11,9),-0.148541 # DEPENDENCYPART_ARC
(11,10),-0.173481 # DEPENDENCYPART_ARC
(11,12),0.746056 # DEPENDENCYPART_ARC
(11,13),-0.56566 # DEPENDENCYPART_ARC
(11,14),-1.88235 # DEPENDENCYPART_ARC
(11,15),-1.17051 # DEPENDENCYPART_ARC
(11,16),-1.57117 # DEPENDENCYPART_ARC
(11,19),-2.36431 # DEPENDENCYPART_ARC
(11,21),-3.50616 # DEPENDENCYPART_ARC
(12,11),-0.104625 # DEPENDENCYPART_ARC
(12,14),-1.66074 # DEPENDENCYPART_ARC
(12,16),-2.64774 # DEPENDENCYPART_ARC
(13,1),-0.866349 # DEPENDENCYPART_ARC
(13,2),-0.643518 # DEPENDENCYPART_ARC
(13,3),-0.772379 # DEPENDENCYPART_ARC
(13,4),-1.85368 # DEPENDENCYPART_ARC
(13,5),0.518353 # DEPENDENCYPART_ARC
(13,6),-0.19938 # DEPENDENCYPART_ARC
(13,7),-0.127485 # DEPENDENCYPART_ARC
(13,8),0.701642 # DEPENDENCYPART_ARC
(13,9),-1.50529 # DEPENDENCYPART_ARC
(13,10),1.80059 # DEPENDENCYPART_ARC
(13,11),0.161255 # DEPENDENCYPART_ARC
(13,12),3.10037 # DEPENDENCYPART_ARC
(13,14),1.75491 # DEPENDENCYPART_ARC
(13,15),-0.0183504 # DEPENDENCYPART_ARC
(13,16),1.45268 # DEPENDENCYPART_ARC
(13,18),1.68703 # DEPENDENCYPART_ARC
(13,19),-0.0522714 # DEPENDENCYPART_ARC
(13,20),-0.1968 # DEPENDENCYPART_ARC
(13,21),-0.20429 # DEPENDENCYPART_ARC
(13,23),0.493512 # DEPENDENCYPART_ARC
(13,24),-0.0971342 # DEPENDENCYPART_ARC
(13,25),3.27556 # DEPENDENCYPART_ARC
(14,1),-0.567178 # DEPENDENCYPART_ARC
(14,5),-1.31769 # DEPENDENCYPART_ARC
(14,8),-0.353504 # DEPENDENCYPART_ARC
(14,12),0.998735 # DEPENDENCYPART_ARC
(14,13),1.20584 # DEPENDENCYPART_ARC
(14,15),1.34389 # DEPENDENCYPART_ARC
(14,16),0.0638958 # DEPENDENCYPART_ARC
(14,18),2.36478 # DEPENDENCYPART_ARC
(14,19),-0.123108 # DEPENDENCYPART_ARC
(14,20),1.43843 # DEPENDENCYPART_ARC
(14,21),-0.27381 # DEPENDENCYPART_ARC
(14,24),-0.834389 # DEPENDENCYPART_ARC
(14,25),-0.219216 # DEPENDENCYPART_ARC
(15,5),-0.811373 # DEPENDENCYPART_ARC
(15,14),0.647993 # DEPENDENCYPART_ARC
(15,16),0.446056 # DEPENDENCYPART_ARC
(15,18),-0.861594 # DEPENDENCYPART_ARC
(15,19),-1.59409 # DEPENDENCYPART_ARC
(15,21),-1.55019 # DEPENDENCYPART_ARC
(16,1),-0.691134 # DEPENDENCYPART_ARC
(16,5),-1.93103 # DEPENDENCYPART_ARC
(16,13),-0.449061 # DEPENDENCYPART_ARC
(16,14),-0.179093 # DEPENDENCYPART_ARC
(16,15),0.380302 # DEPENDENCYPART_ARC
(16,18),4.00661 # DEPENDENCYPART_ARC
(16,19),0.0505378 # DEPENDENCYPART_ARC
(16,20),1.11429 # DEPENDENCYPART_ARC
(16,21),-0.808143 # DEPENDENCYPART_ARC
(16,25),-0.0884726 # DEPENDENCYPART_ARC
(18,1),-3.07698 # DEPENDENCYPART_ARC
(18,14),-1.23027 # DEPENDENCYPART_ARC
(18,15),-0.0645922 # DEPENDENCYPART_ARC
(18,16),0.0109192 # DEPENDENCYPART_ARC
(18,17),3.02893 # DEPENDENCYPART_ARC
(18,19),2.29879 # DEPENDENCYPART_ARC
(18,20),-0.104018 # DEPENDENCYPART_ARC
(18,21),0.93983 # DEPENDENCYPART_ARC
(18,23),-0.474791 # DEPENDENCYPART_ARC
(18,24),0.528619 # DEPENDENCYPART_ARC
(18,25),-0.0538958 # DEPENDENCYPART_ARC
(19,15),-1.41303 # DEPENDENCYPART_ARC
(19,20),4.09361 # DEPENDENCYPART_ARC
(19,21),0.109248 # DEPENDENCYPART_ARC
(19,23),0.271132 # DEPENDENCYPART_ARC
(20,1),-1.33445 # DEPENDENCYPART_ARC
(20,14),-1.3474 # DEPENDENCYPART_ARC
(20,15),-0.453567 # DEPENDENCYPART_ARC
(20,16),-0.384678 # DEPENDENCYPART_ARC
(20,17),0.933703 # DEPENDENCYPART_ARC
(20,19),1.00305 # DEPENDENCYPART_ARC
(20,21),2.70117 # DEPENDENCYPART_ARC
(20,23),0.471117 # DEPENDENCYPART_ARC
(20,24),0.622745 # DEPENDENCYPART_ARC
(20,25),0.28368 # DEPENDENCYPART_ARC
(21,23),4.00512 # DEPENDENCYPART_ARC
(21,24),0.207621 # DEPENDENCYPART_ARC
(22,19),-0.765708 # DEPENDENCYPART_ARC
(22,21),0.0550213 # DEPENDENCYPART_ARC
(23,19),-1.02647 # DEPENDENCYPART_ARC
(23,22),3.4365 # DEPENDENCYPART_ARC
(23,24),3.76442 # DEPENDENCYPART_ARC
(23,25),0.263957 # DEPENDENCYPART_ARC
(24,14),-1.79912 # DEPENDENCYPART_ARC
(24,22),-0.000428054 # DEPENDENCYPART_ARC
