# _root_ De_fet , la noia presentava fractura de pelvis , turmell i cama i va ser atesa a un centre hospitalari .
#goldHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
#predictedHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
(5,14),0.613776 # DEPENDENCYPART_ARC
(5,15),0.98395 # DEPENDENCYPART_ARC
(5,16),0.964446 # DEPENDENCYPART_ARC
(5,17),0.226052 # DEPENDENCYPART_ARC
(5,21),5.94709 # DEPENDENCYPART_ARC
(6,1),-1.66319 # DEPENDENCYPART_ARC
(6,2),-1.47744 # DEPENDENCYPART_ARC
(6,3),-0.905825 # DEPENDENCYPART_ARC
(6,4),-1.11593 # DEPENDENCYPART_ARC
(6,5),-0.477814 # DEPENDENCYPART_ARC
(6,7),2.84706 # DEPENDENCYPART_ARC
(6,8),0.103973 # DEPENDENCYPART_ARC
(6,9),0.820886 # DEPENDENCYPART_ARC
(6,10),0.533356 # DEPENDENCYPART_ARC
(6,11),1.62864 # DEPENDENCYPART_ARC
(6,12),1.12116 # DEPENDENCYPART_ARC
(6,13),-0.0723563 # DEPENDENCYPART_ARC
(6,15),-1.43927 # DEPENDENCYPART_ARC
(6,16),-1.56529 # DEPENDENCYPART_ARC
(6,20),-2.57362 # DEPENDENCYPART_ARC
(6,21),0.0575375 # DEPENDENCYPART_ARC
(7,8),4.47541 # DEPENDENCYPART_ARC
(7,9),0.177156 # DEPENDENCYPART_ARC
(7,10),-0.0528728 # DEPENDENCYPART_ARC
(7,11),0.0436998 # DEPENDENCYPART_ARC
(7,13),-0.562364 # DEPENDENCYPART_ARC
(7,16),-3.53272 # DEPENDENCYPART_ARC
(8,1),-2.45744 # DEPENDENCYPART_ARC
(8,3),-2.07401 # DEPENDENCYPART_ARC
(8,9),1.33851 # DEPENDENCYPART_ARC
(8,10),1.22177 # DEPENDENCYPART_ARC
(8,11),2.74191 # DEPENDENCYPART_ARC
(8,12),2.22873 # DEPENDENCYPART_ARC
(8,13),-0.0259561 # DEPENDENCYPART_ARC
(8,15),-1.74921 # DEPENDENCYPART_ARC
(8,16),-2.09119 # DEPENDENCYPART_ARC
(8,21),-0.0570736 # DEPENDENCYPART_ARC
(10,1),-2.06049 # DEPENDENCYPART_ARC
(10,5),-1.72962 # DEPENDENCYPART_ARC
(10,7),-0.0666161 # DEPENDENCYPART_ARC
(10,9),0.84521 # DEPENDENCYPART_ARC
(10,11),2.05401 # DEPENDENCYPART_ARC
(10,12),1.49132 # DEPENDENCYPART_ARC
(10,13),-0.0702822 # DEPENDENCYPART_ARC
(10,14),-0.522084 # DEPENDENCYPART_ARC
(10,15),-1.01162 # DEPENDENCYPART_ARC
(10,16),-1.50898 # DEPENDENCYPART_ARC
(10,20),-0.20675 # DEPENDENCYPART_ARC
(10,21),0.78586 # DEPENDENCYPART_ARC
(12,1),-2.23947 # DEPENDENCYPART_ARC
(12,5),-1.25767 # DEPENDENCYPART_ARC
(12,9),-0.974863 # DEPENDENCYPART_ARC
(12,10),-0.392726 # DEPENDENCYPART_ARC
(12,11),1.10239 # DEPENDENCYPART_ARC
(12,13),-0.0733841 # DEPENDENCYPART_ARC
(12,15),-1.75735 # DEPENDENCYPART_ARC
(12,16),-1.91284 # DEPENDENCYPART_ARC
(14,13),-2.12949 # DEPENDENCYPART_ARC
(14,15),-0.873266 # DEPENDENCYPART_ARC
(14,17),-0.022573 # DEPENDENCYPART_ARC
(15,1),-0.85357 # DEPENDENCYPART_ARC
(15,4),-1.88768 # DEPENDENCYPART_ARC
(15,5),-3.23727 # DEPENDENCYPART_ARC
(15,6),-2.21941 # DEPENDENCYPART_ARC
(15,9),-2.99396 # DEPENDENCYPART_ARC
(15,10),-1.66601 # DEPENDENCYPART_ARC
(15,11),-2.18933 # DEPENDENCYPART_ARC
(15,12),-0.733456 # DEPENDENCYPART_ARC
(15,13),-0.665755 # DEPENDENCYPART_ARC
(15,14),3.39024 # DEPENDENCYPART_ARC
(15,16),0.950865 # DEPENDENCYPART_ARC
(15,17),0.592266 # DEPENDENCYPART_ARC
(15,19),-0.332488 # DEPENDENCYPART_ARC
(15,21),1.84948 # DEPENDENCYPART_ARC
(16,1),1.39874 # DEPENDENCYPART_ARC
(16,4),1.24261 # DEPENDENCYPART_ARC
(16,5),0.708711 # DEPENDENCYPART_ARC
(16,6),0.787997 # DEPENDENCYPART_ARC
(16,8),0.122693 # DEPENDENCYPART_ARC
(16,9),-0.974186 # DEPENDENCYPART_ARC
(16,10),0.582578 # DEPENDENCYPART_ARC
(16,11),0.160486 # DEPENDENCYPART_ARC
(16,12),1.73787 # DEPENDENCYPART_ARC
(16,13),1.07804 # DEPENDENCYPART_ARC
(16,14),6.51714 # DEPENDENCYPART_ARC
(16,15),5.02762 # DEPENDENCYPART_ARC
(16,17),4.01795 # DEPENDENCYPART_ARC
(16,19),1.71916 # DEPENDENCYPART_ARC
(16,20),0.755134 # DEPENDENCYPART_ARC
(16,21),3.13222 # DEPENDENCYPART_ARC
(17,5),-1.10976 # DEPENDENCYPART_ARC
(17,15),-1.42817 # DEPENDENCYPART_ARC
(17,19),4.12218 # DEPENDENCYPART_ARC
(17,20),-0.181356 # DEPENDENCYPART_ARC
(17,21),-0.323588 # DEPENDENCYPART_ARC
(18,17),0.374488 # DEPENDENCYPART_ARC
(19,5),-2.15543 # DEPENDENCYPART_ARC
(19,10),-2.4157 # DEPENDENCYPART_ARC
(19,17),1.14473 # DEPENDENCYPART_ARC
(19,18),3.61921 # DEPENDENCYPART_ARC
(19,20),3.78242 # DEPENDENCYPART_ARC
(19,21),0.593007 # DEPENDENCYPART_ARC
(20,18),-0.69869 # DEPENDENCYPART_ARC
(20,21),-1.36506 # DEPENDENCYPART_ARC
