# _root_ A_més_a_més , el 40% de la població de Rússia viu en la pobresa , en_especial després de l' última crisi .
#goldHeads=10,1,4,10,4,7,5,4,8,0,10,13,11,16,16,10,16,20,20,17,10,
#predictedHeads=10,1,4,10,4,7,5,7,8,0,10,13,11,16,16,10,16,20,20,17,10,
(7,3),-0.820658 # DEPENDENCYPART_ARC
(7,5),0.0820309 # DEPENDENCYPART_ARC
(7,6),3.57102 # DEPENDENCYPART_ARC
(7,8),3.29732 # DEPENDENCYPART_ARC
(7,9),0.781309 # DEPENDENCYPART_ARC
(7,10),0.93752 # DEPENDENCYPART_ARC
(7,11),-0.637711 # DEPENDENCYPART_ARC
(7,15),-1.42983 # DEPENDENCYPART_ARC
(7,16),-0.612239 # DEPENDENCYPART_ARC
(7,17),-2.37653 # DEPENDENCYPART_ARC
(7,20),-0.456122 # DEPENDENCYPART_ARC
(7,21),0.532765 # DEPENDENCYPART_ARC
(8,4),-1.76447 # DEPENDENCYPART_ARC
(8,6),-0.286227 # DEPENDENCYPART_ARC
(8,9),3.38252 # DEPENDENCYPART_ARC
(8,10),-1.13598 # DEPENDENCYPART_ARC
(8,15),-2.47429 # DEPENDENCYPART_ARC
(8,17),-1.75209 # DEPENDENCYPART_ARC
(9,6),0.856191 # DEPENDENCYPART_ARC
(9,8),1.60528 # DEPENDENCYPART_ARC
(9,10),-0.626853 # DEPENDENCYPART_ARC
(10,1),1.56721 # DEPENDENCYPART_ARC
(10,2),0.187005 # DEPENDENCYPART_ARC
(10,3),-2.07747 # DEPENDENCYPART_ARC
(10,4),0.787323 # DEPENDENCYPART_ARC
(10,5),-0.503497 # DEPENDENCYPART_ARC
(10,6),-1.15138 # DEPENDENCYPART_ARC
(10,7),2.22663 # DEPENDENCYPART_ARC
(10,8),0.062738 # DEPENDENCYPART_ARC
(10,9),1.38327 # DEPENDENCYPART_ARC
(10,11),3.70673 # DEPENDENCYPART_ARC
(10,13),2.33787 # DEPENDENCYPART_ARC
(10,14),0.821599 # DEPENDENCYPART_ARC
(10,15),0.50925 # DEPENDENCYPART_ARC
(10,16),1.55415 # DEPENDENCYPART_ARC
(10,17),-0.93599 # DEPENDENCYPART_ARC
(10,19),-0.653607 # DEPENDENCYPART_ARC
(10,20),0.633135 # DEPENDENCYPART_ARC
(10,21),2.53933 # DEPENDENCYPART_ARC
(11,4),-2.78954 # DEPENDENCYPART_ARC
(11,12),-0.90865 # DEPENDENCYPART_ARC
(11,13),4.93216 # DEPENDENCYPART_ARC
(11,14),0.706188 # DEPENDENCYPART_ARC
(11,15),-0.363648 # DEPENDENCYPART_ARC
(11,16),-0.417221 # DEPENDENCYPART_ARC
(11,17),-0.0617321 # DEPENDENCYPART_ARC
(11,20),0.0807011 # DEPENDENCYPART_ARC
(13,1),-2.24024 # DEPENDENCYPART_ARC
(13,5),-1.93879 # DEPENDENCYPART_ARC
(13,8),-1.70424 # DEPENDENCYPART_ARC
(13,11),0.302754 # DEPENDENCYPART_ARC
(13,12),3.87727 # DEPENDENCYPART_ARC
(13,14),0.0996611 # DEPENDENCYPART_ARC
(13,15),-0.857267 # DEPENDENCYPART_ARC
(13,16),-0.333148 # DEPENDENCYPART_ARC
(13,17),-0.35511 # DEPENDENCYPART_ARC
(13,19),0.329293 # DEPENDENCYPART_ARC
(13,20),0.136483 # DEPENDENCYPART_ARC
(13,21),0.767534 # DEPENDENCYPART_ARC
(15,11),-1.19977 # DEPENDENCYPART_ARC
(15,13),-1.75062 # DEPENDENCYPART_ARC
(15,14),0.12604 # DEPENDENCYPART_ARC
(15,16),0.131322 # DEPENDENCYPART_ARC
(15,17),-0.170455 # DEPENDENCYPART_ARC
(15,20),-1.20107 # DEPENDENCYPART_ARC
(15,21),-0.646065 # DEPENDENCYPART_ARC
(16,5),-0.300972 # DEPENDENCYPART_ARC
(16,8),-0.31583 # DEPENDENCYPART_ARC
(16,11),0.67905 # DEPENDENCYPART_ARC
(16,13),0.0670639 # DEPENDENCYPART_ARC
(16,14),1.96811 # DEPENDENCYPART_ARC
(16,15),1.83685 # DEPENDENCYPART_ARC
(16,17),3.21132 # DEPENDENCYPART_ARC
(16,20),0.160046 # DEPENDENCYPART_ARC
(16,21),0.251507 # DEPENDENCYPART_ARC
(17,14),0.339693 # DEPENDENCYPART_ARC
(17,15),0.765318 # DEPENDENCYPART_ARC
(17,16),0.395137 # DEPENDENCYPART_ARC
(17,18),-0.0293266 # DEPENDENCYPART_ARC
(17,19),2.2588 # DEPENDENCYPART_ARC
(17,20),3.12416 # DEPENDENCYPART_ARC
(17,21),0.476212 # DEPENDENCYPART_ARC
(18,15),-0.700127 # DEPENDENCYPART_ARC
(18,16),-0.564501 # DEPENDENCYPART_ARC
(18,17),0.457913 # DEPENDENCYPART_ARC
(18,19),-0.0113265 # DEPENDENCYPART_ARC
(19,16),-0.261192 # DEPENDENCYPART_ARC
(19,18),1.00087 # DEPENDENCYPART_ARC
(19,20),1.01982 # DEPENDENCYPART_ARC
(19,21),-1.22224 # DEPENDENCYPART_ARC
(20,2),-0.535645 # DEPENDENCYPART_ARC
(20,5),-2.39423 # DEPENDENCYPART_ARC
(20,8),-2.23104 # DEPENDENCYPART_ARC
(20,11),-1.1532 # DEPENDENCYPART_ARC
(20,14),0.386431 # DEPENDENCYPART_ARC
(20,15),0.232748 # DEPENDENCYPART_ARC
(20,16),-0.190827 # DEPENDENCYPART_ARC
(20,17),-0.0698018 # DEPENDENCYPART_ARC
(20,18),2.95367 # DEPENDENCYPART_ARC
(20,19),4.68328 # DEPENDENCYPART_ARC
(20,21),0.149553 # DEPENDENCYPART_ARC
