# _root_ - La moció de censura , plantejada amb tant de temps , és un interrogant de com sortirà .
#goldHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,16,13,
#predictedHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,15,13,
(8,6),0.876308 # DEPENDENCYPART_ARC
(8,7),0.229128 # DEPENDENCYPART_ARC
(8,9),1.30401 # DEPENDENCYPART_ARC
(8,10),0.456856 # DEPENDENCYPART_ARC
(8,11),3.61916 # DEPENDENCYPART_ARC
(8,12),0.0746932 # DEPENDENCYPART_ARC
(8,13),-0.724486 # DEPENDENCYPART_ARC
(8,16),-2.58532 # DEPENDENCYPART_ARC
(8,18),-1.27008 # DEPENDENCYPART_ARC
(8,19),-1.04177 # DEPENDENCYPART_ARC
(9,6),-1.38481 # DEPENDENCYPART_ARC
(9,7),-1.75625 # DEPENDENCYPART_ARC
(9,8),-0.599317 # DEPENDENCYPART_ARC
(9,10),1.34789 # DEPENDENCYPART_ARC
(9,11),0.214072 # DEPENDENCYPART_ARC
(9,12),0.280255 # DEPENDENCYPART_ARC
(9,13),-0.504932 # DEPENDENCYPART_ARC
(9,16),-2.01114 # DEPENDENCYPART_ARC
(9,18),-1.05012 # DEPENDENCYPART_ARC
(9,19),0.460335 # DEPENDENCYPART_ARC
(10,2),-1.77902 # DEPENDENCYPART_ARC
(10,4),-0.276368 # DEPENDENCYPART_ARC
(10,6),0.466677 # DEPENDENCYPART_ARC
(10,8),0.461222 # DEPENDENCYPART_ARC
(10,9),1.69633 # DEPENDENCYPART_ARC
(10,11),5.63794 # DEPENDENCYPART_ARC
(10,12),1.32171 # DEPENDENCYPART_ARC
(10,13),-0.213778 # DEPENDENCYPART_ARC
(10,16),-0.580252 # DEPENDENCYPART_ARC
(11,3),-2.23323 # DEPENDENCYPART_ARC
(11,6),0.037163 # DEPENDENCYPART_ARC
(11,7),-2.29297 # DEPENDENCYPART_ARC
(11,8),0.0822036 # DEPENDENCYPART_ARC
(11,9),1.65323 # DEPENDENCYPART_ARC
(11,10),1.50933 # DEPENDENCYPART_ARC
(11,12),-0.912317 # DEPENDENCYPART_ARC
(11,13),-0.311657 # DEPENDENCYPART_ARC
(11,14),-2.5048 # DEPENDENCYPART_ARC
(11,15),-2.33745 # DEPENDENCYPART_ARC
(11,16),-1.01573 # DEPENDENCYPART_ARC
(11,18),-1.31049 # DEPENDENCYPART_ARC
(11,19),-1.22249 # DEPENDENCYPART_ARC
(13,1),2.34631 # DEPENDENCYPART_ARC
(13,2),-0.822636 # DEPENDENCYPART_ARC
(13,3),1.10829 # DEPENDENCYPART_ARC
(13,4),-1.89886 # DEPENDENCYPART_ARC
(13,5),0.133042 # DEPENDENCYPART_ARC
(13,6),-0.268345 # DEPENDENCYPART_ARC
(13,7),0.245644 # DEPENDENCYPART_ARC
(13,8),0.232098 # DEPENDENCYPART_ARC
(13,9),0.0794285 # DEPENDENCYPART_ARC
(13,10),-0.497078 # DEPENDENCYPART_ARC
(13,11),0.698861 # DEPENDENCYPART_ARC
(13,12),0.685073 # DEPENDENCYPART_ARC
(13,15),2.95263 # DEPENDENCYPART_ARC
(13,16),0.0682027 # DEPENDENCYPART_ARC
(13,17),-0.608901 # DEPENDENCYPART_ARC
(13,18),1.12245 # DEPENDENCYPART_ARC
(13,19),3.57732 # DEPENDENCYPART_ARC
(14,15),2.82276 # DEPENDENCYPART_ARC
(14,16),1.21291 # DEPENDENCYPART_ARC
(15,3),-2.40559 # DEPENDENCYPART_ARC
(15,7),-2.28365 # DEPENDENCYPART_ARC
(15,8),-0.87046 # DEPENDENCYPART_ARC
(15,9),0.37495 # DEPENDENCYPART_ARC
(15,10),-0.868342 # DEPENDENCYPART_ARC
(15,12),0.204463 # DEPENDENCYPART_ARC
(15,13),0.68126 # DEPENDENCYPART_ARC
(15,14),3.51362 # DEPENDENCYPART_ARC
(15,16),2.34291 # DEPENDENCYPART_ARC
(15,18),2.71951 # DEPENDENCYPART_ARC
(15,19),1.13505 # DEPENDENCYPART_ARC
(16,14),-0.984046 # DEPENDENCYPART_ARC
(16,17),2.34651 # DEPENDENCYPART_ARC
(16,18),1.65394 # DEPENDENCYPART_ARC
(16,19),-0.909701 # DEPENDENCYPART_ARC
(17,18),1.23486 # DEPENDENCYPART_ARC
(18,1),0.314656 # DEPENDENCYPART_ARC
(18,3),0.381899 # DEPENDENCYPART_ARC
(18,6),-1.08297 # DEPENDENCYPART_ARC
(18,7),-0.0548918 # DEPENDENCYPART_ARC
(18,8),-0.848267 # DEPENDENCYPART_ARC
(18,9),-1.67079 # DEPENDENCYPART_ARC
(18,10),-1.81791 # DEPENDENCYPART_ARC
(18,11),-1.05421 # DEPENDENCYPART_ARC
(18,12),-0.506976 # DEPENDENCYPART_ARC
(18,13),0.284642 # DEPENDENCYPART_ARC
(18,15),1.01198 # DEPENDENCYPART_ARC
(18,16),1.75564 # DEPENDENCYPART_ARC
(18,17),4.12963 # DEPENDENCYPART_ARC
(18,19),2.31978 # DEPENDENCYPART_ARC
