# _root_ En la fase final del premi , que es desenvoluparà entre el 7_de_juny i el 2_de_juliol , els equips disposaran de tres milions de pessetes reals cadascun que podran invertir .
#goldHeads=20,3,1,3,3,5,10,10,10,3,13,13,10,13,16,13,10,19,20,0,20,23,21,23,24,23,20,30,30,23,20,
#predictedHeads=20,3,1,3,3,5,1,10,10,6,13,13,10,13,16,13,16,19,20,0,20,23,21,23,24,23,30,30,30,23,10,
(10,14),1.12906 # DEPENDENCYPART_ARC
(10,16),0.155163 # DEPENDENCYPART_ARC
(10,17),0.918668 # DEPENDENCYPART_ARC
(10,19),0.306311 # DEPENDENCYPART_ARC
(10,20),2.34978 # DEPENDENCYPART_ARC
(10,23),0.0129834 # DEPENDENCYPART_ARC
(10,25),-1.68392 # DEPENDENCYPART_ARC
(10,26),-1.70584 # DEPENDENCYPART_ARC
(10,27),-1.42169 # DEPENDENCYPART_ARC
(10,29),0.742998 # DEPENDENCYPART_ARC
(10,30),0.143866 # DEPENDENCYPART_ARC
(10,31),5.76339 # DEPENDENCYPART_ARC
(11,1),-2.8627 # DEPENDENCYPART_ARC
(11,7),-1.81934 # DEPENDENCYPART_ARC
(11,10),-0.790278 # DEPENDENCYPART_ARC
(11,12),-1.51051 # DEPENDENCYPART_ARC
(11,13),1.63853 # DEPENDENCYPART_ARC
(11,14),0.100168 # DEPENDENCYPART_ARC
(11,16),-0.509841 # DEPENDENCYPART_ARC
(11,17),0.633958 # DEPENDENCYPART_ARC
(11,19),-1.19485 # DEPENDENCYPART_ARC
(11,20),-2.05483 # DEPENDENCYPART_ARC
(11,21),-2.21474 # DEPENDENCYPART_ARC
(11,25),-2.58924 # DEPENDENCYPART_ARC
(11,26),-1.46625 # DEPENDENCYPART_ARC
(12,11),0.0814244 # DEPENDENCYPART_ARC
(12,14),-0.0540768 # DEPENDENCYPART_ARC
(12,15),-0.612692 # DEPENDENCYPART_ARC
(13,11),2.88338 # DEPENDENCYPART_ARC
(13,12),3.40675 # DEPENDENCYPART_ARC
(13,14),2.26985 # DEPENDENCYPART_ARC
(13,16),1.80079 # DEPENDENCYPART_ARC
(13,17),0.746479 # DEPENDENCYPART_ARC
(13,19),-0.791028 # DEPENDENCYPART_ARC
(13,20),-0.618816 # DEPENDENCYPART_ARC
(13,21),-0.477137 # DEPENDENCYPART_ARC
(13,24),-0.717923 # DEPENDENCYPART_ARC
(15,14),-0.0299387 # DEPENDENCYPART_ARC
(15,16),0.180056 # DEPENDENCYPART_ARC
(15,18),-1.1464 # DEPENDENCYPART_ARC
(16,11),1.37456 # DEPENDENCYPART_ARC
(16,14),0.645707 # DEPENDENCYPART_ARC
(16,15),3.37507 # DEPENDENCYPART_ARC
(16,17),1.34408 # DEPENDENCYPART_ARC
(16,19),-0.337928 # DEPENDENCYPART_ARC
(16,20),0.0520684 # DEPENDENCYPART_ARC
(16,21),-0.676731 # DEPENDENCYPART_ARC
(18,19),0.169315 # DEPENDENCYPART_ARC
(19,1),-2.07499 # DEPENDENCYPART_ARC
(19,5),-1.93292 # DEPENDENCYPART_ARC
(19,15),-0.276412 # DEPENDENCYPART_ARC
(19,16),-1.7425 # DEPENDENCYPART_ARC
(19,17),-0.240713 # DEPENDENCYPART_ARC
(19,18),3.81984 # DEPENDENCYPART_ARC
(19,20),0.649209 # DEPENDENCYPART_ARC
(19,21),-1.00114 # DEPENDENCYPART_ARC
(19,24),-1.25882 # DEPENDENCYPART_ARC
(19,25),-2.38905 # DEPENDENCYPART_ARC
(19,26),-0.6644 # DEPENDENCYPART_ARC
(19,27),-1.94887 # DEPENDENCYPART_ARC
(19,29),0.204847 # DEPENDENCYPART_ARC
(19,30),-0.695191 # DEPENDENCYPART_ARC
(19,31),-0.143072 # DEPENDENCYPART_ARC
(20,1),1.25427 # DEPENDENCYPART_ARC
(20,3),-1.03595 # DEPENDENCYPART_ARC
(20,4),-1.83267 # DEPENDENCYPART_ARC
(20,5),-2.53038 # DEPENDENCYPART_ARC
(20,7),-0.551404 # DEPENDENCYPART_ARC
(20,8),1.49648 # DEPENDENCYPART_ARC
(20,10),-2.05488 # DEPENDENCYPART_ARC
(20,11),0.390067 # DEPENDENCYPART_ARC
(20,12),-2.30556 # DEPENDENCYPART_ARC
(20,13),-0.210025 # DEPENDENCYPART_ARC
(20,14),0.455743 # DEPENDENCYPART_ARC
(20,15),-1.78047 # DEPENDENCYPART_ARC
(20,16),-0.0232923 # DEPENDENCYPART_ARC
(20,17),0.472671 # DEPENDENCYPART_ARC
(20,18),-0.220073 # DEPENDENCYPART_ARC
(20,19),2.98617 # DEPENDENCYPART_ARC
(20,21),2.1173 # DEPENDENCYPART_ARC
(20,23),2.39207 # DEPENDENCYPART_ARC
(20,24),0.860587 # DEPENDENCYPART_ARC
(20,25),-0.322884 # DEPENDENCYPART_ARC
(20,26),0.185104 # DEPENDENCYPART_ARC
(20,27),-0.222726 # DEPENDENCYPART_ARC
(20,29),1.49703 # DEPENDENCYPART_ARC
(20,30),0.499843 # DEPENDENCYPART_ARC
(20,31),4.21689 # DEPENDENCYPART_ARC
(21,22),-0.19451 # DEPENDENCYPART_ARC
(21,23),3.88898 # DEPENDENCYPART_ARC
(21,24),-0.0408706 # DEPENDENCYPART_ARC
(21,25),0.195353 # DEPENDENCYPART_ARC
(21,26),-0.0182254 # DEPENDENCYPART_ARC
(22,20),0.615727 # DEPENDENCYPART_ARC
(22,21),1.08099 # DEPENDENCYPART_ARC
(22,23),1.73686 # DEPENDENCYPART_ARC
(22,24),0.158526 # DEPENDENCYPART_ARC
(23,1),-2.09232 # DEPENDENCYPART_ARC
(23,5),-1.85637 # DEPENDENCYPART_ARC
(23,18),-0.248782 # DEPENDENCYPART_ARC
(23,21),1.19733 # DEPENDENCYPART_ARC
(23,22),2.77448 # DEPENDENCYPART_ARC
(23,24),3.03956 # DEPENDENCYPART_ARC
(23,25),-0.230307 # DEPENDENCYPART_ARC
(23,26),2.11108 # DEPENDENCYPART_ARC
(23,27),0.273701 # DEPENDENCYPART_ARC
(23,29),2.85291 # DEPENDENCYPART_ARC
(23,30),1.5777 # DEPENDENCYPART_ARC
(23,31),1.04587 # DEPENDENCYPART_ARC
(24,22),-0.69649 # DEPENDENCYPART_ARC
(24,25),1.82896 # DEPENDENCYPART_ARC
(24,26),0.74601 # DEPENDENCYPART_ARC
(24,29),-0.269423 # DEPENDENCYPART_ARC
(24,30),-0.642814 # DEPENDENCYPART_ARC
(25,21),-0.238003 # DEPENDENCYPART_ARC
(25,22),0.446674 # DEPENDENCYPART_ARC
(25,24),1.31051 # DEPENDENCYPART_ARC
(25,26),0.927253 # DEPENDENCYPART_ARC
(25,29),0.738785 # DEPENDENCYPART_ARC
(25,30),-0.17851 # DEPENDENCYPART_ARC
(26,24),0.9526 # DEPENDENCYPART_ARC
(26,27),-0.11226 # DEPENDENCYPART_ARC
(26,29),0.471534 # DEPENDENCYPART_ARC
(26,30),-0.607634 # DEPENDENCYPART_ARC
(27,21),0.058499 # DEPENDENCYPART_ARC
(27,24),0.218896 # DEPENDENCYPART_ARC
(27,29),2.87874 # DEPENDENCYPART_ARC
(27,30),3.0754 # DEPENDENCYPART_ARC
(27,31),1.73273 # DEPENDENCYPART_ARC
(29,1),-3.24535 # DEPENDENCYPART_ARC
(29,7),-3.95878 # DEPENDENCYPART_ARC
(29,13),-4.31171 # DEPENDENCYPART_ARC
(29,16),-4.26599 # DEPENDENCYPART_ARC
(29,19),-2.91725 # DEPENDENCYPART_ARC
(29,25),-3.06267 # DEPENDENCYPART_ARC
(29,26),-2.85452 # DEPENDENCYPART_ARC
(29,27),-1.6034 # DEPENDENCYPART_ARC
(29,28),1.37473 # DEPENDENCYPART_ARC
(29,30),0.871499 # DEPENDENCYPART_ARC
(29,31),-0.130261 # DEPENDENCYPART_ARC
(30,1),0.956317 # DEPENDENCYPART_ARC
(30,5),-3.62458 # DEPENDENCYPART_ARC
(30,7),-0.479515 # DEPENDENCYPART_ARC
(30,10),-1.06329 # DEPENDENCYPART_ARC
(30,11),0.328126 # DEPENDENCYPART_ARC
(30,13),-0.631005 # DEPENDENCYPART_ARC
(30,16),-0.549795 # DEPENDENCYPART_ARC
(30,17),0.0128721 # DEPENDENCYPART_ARC
(30,19),1.03422 # DEPENDENCYPART_ARC
(30,20),1.11231 # DEPENDENCYPART_ARC
(30,21),0.302588 # DEPENDENCYPART_ARC
(30,23),1.05627 # DEPENDENCYPART_ARC
(30,24),0.350925 # DEPENDENCYPART_ARC
(30,25),0.279049 # DEPENDENCYPART_ARC
(30,26),0.773857 # DEPENDENCYPART_ARC
(30,27),1.92613 # DEPENDENCYPART_ARC
(30,28),4.44593 # DEPENDENCYPART_ARC
(30,29),6.18303 # DEPENDENCYPART_ARC
(30,31),3.4193 # DEPENDENCYPART_ARC
