# _root_ " Per això és bo que tinguin totes les facilitats , com el sistema informàtic i els models que han de fer_servir en català " , ha dit .
#goldHeads=4,4,2,28,4,7,4,9,10,7,12,10,14,12,14,14,18,14,22,22,22,18,14,23,12,12,28,0,28,
#predictedHeads=4,4,2,28,4,7,4,9,10,7,12,7,14,12,14,14,18,22,22,22,22,7,22,23,4,22,28,0,4,
(7,2),0.53299 # DEPENDENCYPART_ARC
(7,3),-0.499833 # DEPENDENCYPART_ARC
(7,4),-1.08865 # DEPENDENCYPART_ARC
(7,5),-1.63508 # DEPENDENCYPART_ARC
(7,6),3.41346 # DEPENDENCYPART_ARC
(7,10),2.34042 # DEPENDENCYPART_ARC
(7,11),1.36138 # DEPENDENCYPART_ARC
(7,12),1.02306 # DEPENDENCYPART_ARC
(7,14),-0.883719 # DEPENDENCYPART_ARC
(7,15),-0.503126 # DEPENDENCYPART_ARC
(7,16),1.5069 # DEPENDENCYPART_ARC
(7,18),-0.192055 # DEPENDENCYPART_ARC
(7,20),1.43969 # DEPENDENCYPART_ARC
(7,21),-1.07675 # DEPENDENCYPART_ARC
(7,22),1.0316 # DEPENDENCYPART_ARC
(7,23),-0.638234 # DEPENDENCYPART_ARC
(7,25),1.2857 # DEPENDENCYPART_ARC
(7,26),0.26815 # DEPENDENCYPART_ARC
(7,27),-0.307922 # DEPENDENCYPART_ARC
(7,28),0.306121 # DEPENDENCYPART_ARC
(7,29),2.28139 # DEPENDENCYPART_ARC
(8,10),0.123294 # DEPENDENCYPART_ARC
(9,8),3.83179 # DEPENDENCYPART_ARC
(9,10),-0.56782 # DEPENDENCYPART_ARC
(10,2),-0.951132 # DEPENDENCYPART_ARC
(10,5),-3.32388 # DEPENDENCYPART_ARC
(10,6),1.08975 # DEPENDENCYPART_ARC
(10,7),0.543887 # DEPENDENCYPART_ARC
(10,8),2.35329 # DEPENDENCYPART_ARC
(10,9),2.63321 # DEPENDENCYPART_ARC
(10,11),0.407012 # DEPENDENCYPART_ARC
(10,12),0.830129 # DEPENDENCYPART_ARC
(10,14),-0.956069 # DEPENDENCYPART_ARC
(10,15),-2.77924 # DEPENDENCYPART_ARC
(10,16),0.498015 # DEPENDENCYPART_ARC
(10,18),-0.402553 # DEPENDENCYPART_ARC
(10,20),-0.655821 # DEPENDENCYPART_ARC
(11,10),-1.7434 # DEPENDENCYPART_ARC
(12,11),2.56813 # DEPENDENCYPART_ARC
(12,14),1.9618 # DEPENDENCYPART_ARC
(12,15),0.628849 # DEPENDENCYPART_ARC
(12,16),0.509396 # DEPENDENCYPART_ARC
(12,21),-0.550696 # DEPENDENCYPART_ARC
(12,26),-0.251088 # DEPENDENCYPART_ARC
(12,29),1.32857 # DEPENDENCYPART_ARC
(13,14),-0.54413 # DEPENDENCYPART_ARC
(14,2),-0.976897 # DEPENDENCYPART_ARC
(14,4),-2.39352 # DEPENDENCYPART_ARC
(14,6),0.220755 # DEPENDENCYPART_ARC
(14,8),-3.13777 # DEPENDENCYPART_ARC
(14,9),-2.19965 # DEPENDENCYPART_ARC
(14,10),-2.7218 # DEPENDENCYPART_ARC
(14,11),-0.429248 # DEPENDENCYPART_ARC
(14,12),0.00850135 # DEPENDENCYPART_ARC
(14,13),2.95282 # DEPENDENCYPART_ARC
(14,15),3.50725 # DEPENDENCYPART_ARC
(14,16),2.05317 # DEPENDENCYPART_ARC
(14,18),1.05727 # DEPENDENCYPART_ARC
(14,20),0.406681 # DEPENDENCYPART_ARC
(14,21),-0.405745 # DEPENDENCYPART_ARC
(14,22),-0.406415 # DEPENDENCYPART_ARC
(14,23),-0.825598 # DEPENDENCYPART_ARC
(14,25),0.408582 # DEPENDENCYPART_ARC
(14,28),-2.34721 # DEPENDENCYPART_ARC
(14,29),0.811044 # DEPENDENCYPART_ARC
(15,10),-2.47758 # DEPENDENCYPART_ARC
(15,11),-0.228499 # DEPENDENCYPART_ARC
(15,13),0.0111039 # DEPENDENCYPART_ARC
(15,16),0.957494 # DEPENDENCYPART_ARC
(15,18),-0.372137 # DEPENDENCYPART_ARC
(15,20),0.469816 # DEPENDENCYPART_ARC
(15,21),-1.76162 # DEPENDENCYPART_ARC
(15,22),-0.412338 # DEPENDENCYPART_ARC
(15,23),-1.27309 # DEPENDENCYPART_ARC
(17,16),-0.186513 # DEPENDENCYPART_ARC
(18,2),-0.986104 # DEPENDENCYPART_ARC
(18,4),0.0510805 # DEPENDENCYPART_ARC
(18,7),-0.474265 # DEPENDENCYPART_ARC
(18,12),-0.620484 # DEPENDENCYPART_ARC
(18,13),1.05938 # DEPENDENCYPART_ARC
(18,14),-1.55173 # DEPENDENCYPART_ARC
(18,15),-1.05979 # DEPENDENCYPART_ARC
(18,16),0.517818 # DEPENDENCYPART_ARC
(18,17),4.63908 # DEPENDENCYPART_ARC
(18,19),0.62568 # DEPENDENCYPART_ARC
(18,20),3.36853 # DEPENDENCYPART_ARC
(18,21),1.14741 # DEPENDENCYPART_ARC
(18,22),1.62235 # DEPENDENCYPART_ARC
(18,23),0.0249574 # DEPENDENCYPART_ARC
(18,25),0.831282 # DEPENDENCYPART_ARC
(18,26),-0.133272 # DEPENDENCYPART_ARC
(18,27),-1.09163 # DEPENDENCYPART_ARC
(18,28),-0.31696 # DEPENDENCYPART_ARC
(18,29),1.26111 # DEPENDENCYPART_ARC
(20,6),-3.25396 # DEPENDENCYPART_ARC
(20,14),-4.01571 # DEPENDENCYPART_ARC
(20,18),-1.62468 # DEPENDENCYPART_ARC
(20,19),1.28039 # DEPENDENCYPART_ARC
(20,21),0.12829 # DEPENDENCYPART_ARC
(20,22),-1.79657 # DEPENDENCYPART_ARC
(20,23),-0.687834 # DEPENDENCYPART_ARC
(20,25),-1.62829 # DEPENDENCYPART_ARC
(20,26),-1.12239 # DEPENDENCYPART_ARC
(20,28),-3.32184 # DEPENDENCYPART_ARC
(21,19),-1.64975 # DEPENDENCYPART_ARC
(21,22),2.01061 # DEPENDENCYPART_ARC
(21,23),-0.513569 # DEPENDENCYPART_ARC
(21,24),1.49221 # DEPENDENCYPART_ARC
(21,26),-0.267114 # DEPENDENCYPART_ARC
(21,28),-1.64958 # DEPENDENCYPART_ARC
(22,1),-1.92095 # DEPENDENCYPART_ARC
(22,2),-0.0395258 # DEPENDENCYPART_ARC
(22,3),-2.00206 # DEPENDENCYPART_ARC
(22,4),-1.22252 # DEPENDENCYPART_ARC
(22,5),-1.12496 # DEPENDENCYPART_ARC
(22,6),0.715948 # DEPENDENCYPART_ARC
(22,7),0.000298737 # DEPENDENCYPART_ARC
(22,9),-0.923177 # DEPENDENCYPART_ARC
(22,10),-0.281768 # DEPENDENCYPART_ARC
(22,11),0.112922 # DEPENDENCYPART_ARC
(22,12),0.17558 # DEPENDENCYPART_ARC
(22,13),-1.40322 # DEPENDENCYPART_ARC
(22,14),0.596224 # DEPENDENCYPART_ARC
(22,15),-0.251068 # DEPENDENCYPART_ARC
(22,16),0.0737574 # DEPENDENCYPART_ARC
(22,17),-0.0411074 # DEPENDENCYPART_ARC
(22,18),1.77616 # DEPENDENCYPART_ARC
(22,19),3.82992 # DEPENDENCYPART_ARC
(22,20),4.86278 # DEPENDENCYPART_ARC
(22,21),4.08237 # DEPENDENCYPART_ARC
(22,23),3.76786 # DEPENDENCYPART_ARC
(22,24),2.67616 # DEPENDENCYPART_ARC
(22,25),1.4196 # DEPENDENCYPART_ARC
(22,26),1.26117 # DEPENDENCYPART_ARC
(22,27),0.491785 # DEPENDENCYPART_ARC
(22,28),-0.00650875 # DEPENDENCYPART_ARC
(22,29),1.00338 # DEPENDENCYPART_ARC
(23,21),-1.35395 # DEPENDENCYPART_ARC
(23,24),5.18191 # DEPENDENCYPART_ARC
(23,25),0.0427238 # DEPENDENCYPART_ARC
(23,26),-0.0346517 # DEPENDENCYPART_ARC
(23,28),-1.05783 # DEPENDENCYPART_ARC
(24,23),-0.484435 # DEPENDENCYPART_ARC
(24,25),-0.136075 # DEPENDENCYPART_ARC
(24,27),-0.912056 # DEPENDENCYPART_ARC
(24,28),-1.24638 # DEPENDENCYPART_ARC
(27,4),-2.63665 # DEPENDENCYPART_ARC
(27,18),-3.22585 # DEPENDENCYPART_ARC
(27,19),-0.981638 # DEPENDENCYPART_ARC
(27,22),-2.17206 # DEPENDENCYPART_ARC
(27,23),-0.890283 # DEPENDENCYPART_ARC
(27,29),1.16053 # DEPENDENCYPART_ARC
(28,1),-2.87555 # DEPENDENCYPART_ARC
(28,2),-1.09968 # DEPENDENCYPART_ARC
(28,4),1.83273 # DEPENDENCYPART_ARC
(28,5),-2.41096 # DEPENDENCYPART_ARC
(28,6),-0.461122 # DEPENDENCYPART_ARC
(28,7),-0.015305 # DEPENDENCYPART_ARC
(28,10),-2.58235 # DEPENDENCYPART_ARC
(28,11),-1.15022 # DEPENDENCYPART_ARC
(28,12),-2.05087 # DEPENDENCYPART_ARC
(28,14),-0.877923 # DEPENDENCYPART_ARC
(28,15),-1.5244 # DEPENDENCYPART_ARC
(28,18),0.435231 # DEPENDENCYPART_ARC
(28,19),0.467566 # DEPENDENCYPART_ARC
(28,20),2.00296 # DEPENDENCYPART_ARC
(28,21),0.0911855 # DEPENDENCYPART_ARC
(28,22),0.294931 # DEPENDENCYPART_ARC
(28,23),1.20463 # DEPENDENCYPART_ARC
(28,24),-0.40591 # DEPENDENCYPART_ARC
(28,25),0.260283 # DEPENDENCYPART_ARC
(28,26),0.32849 # DEPENDENCYPART_ARC
(28,27),6.18165 # DEPENDENCYPART_ARC
(28,29),4.84646 # DEPENDENCYPART_ARC
