# _root_ He de reconèixer que és difícil , amb un nacionalisme espanyol tan excloent com el que està fent el PP , mantenir aquesta política de pactes perquè de_vegades fan trontollar .
#goldHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,8,5,24,22,24,25,29,29,5,29,3,
#predictedHeads=3,3,0,5,3,5,8,18,10,8,10,13,10,18,18,18,18,3,20,18,18,18,24,22,24,25,30,30,30,22,3,
(3,21),0.316793 # DEPENDENCYPART_ARC
(3,22),-0.0235185 # DEPENDENCYPART_ARC
(3,29),-0.264167 # DEPENDENCYPART_ARC
(3,30),-0.411928 # DEPENDENCYPART_ARC
(3,31),6.10861 # DEPENDENCYPART_ARC
(5,1),-1.09074 # DEPENDENCYPART_ARC
(5,2),-0.320066 # DEPENDENCYPART_ARC
(5,3),-0.92581 # DEPENDENCYPART_ARC
(5,4),4.41376 # DEPENDENCYPART_ARC
(5,6),2.93014 # DEPENDENCYPART_ARC
(5,7),0.829424 # DEPENDENCYPART_ARC
(5,8),0.687597 # DEPENDENCYPART_ARC
(5,10),0.124845 # DEPENDENCYPART_ARC
(5,11),-0.49148 # DEPENDENCYPART_ARC
(5,12),-0.605745 # DEPENDENCYPART_ARC
(5,13),-0.311591 # DEPENDENCYPART_ARC
(5,14),-1.75163 # DEPENDENCYPART_ARC
(5,16),-1.5564 # DEPENDENCYPART_ARC
(5,17),0.923746 # DEPENDENCYPART_ARC
(5,18),0.45038 # DEPENDENCYPART_ARC
(5,20),-2.81578 # DEPENDENCYPART_ARC
(5,21),0.488477 # DEPENDENCYPART_ARC
(5,22),-0.382179 # DEPENDENCYPART_ARC
(5,24),-2.95926 # DEPENDENCYPART_ARC
(5,29),-0.983721 # DEPENDENCYPART_ARC
(5,30),-1.0371 # DEPENDENCYPART_ARC
(5,31),4.01871 # DEPENDENCYPART_ARC
(6,2),-1.01024 # DEPENDENCYPART_ARC
(6,4),-1.02039 # DEPENDENCYPART_ARC
(6,5),-1.40616 # DEPENDENCYPART_ARC
(6,7),0.309977 # DEPENDENCYPART_ARC
(6,8),-0.139355 # DEPENDENCYPART_ARC
(6,10),-1.14704 # DEPENDENCYPART_ARC
(6,11),-0.276062 # DEPENDENCYPART_ARC
(6,13),0.206602 # DEPENDENCYPART_ARC
(7,6),-0.46136 # DEPENDENCYPART_ARC
(8,3),-1.54837 # DEPENDENCYPART_ARC
(8,6),-0.626168 # DEPENDENCYPART_ARC
(8,7),1.89083 # DEPENDENCYPART_ARC
(8,9),-1.25508 # DEPENDENCYPART_ARC
(8,10),3.72183 # DEPENDENCYPART_ARC
(8,11),-0.834628 # DEPENDENCYPART_ARC
(8,12),-1.15021 # DEPENDENCYPART_ARC
(8,13),-0.434022 # DEPENDENCYPART_ARC
(8,14),-0.487748 # DEPENDENCYPART_ARC
(8,18),-1.3459 # DEPENDENCYPART_ARC
(8,21),0.123397 # DEPENDENCYPART_ARC
(9,12),-0.807218 # DEPENDENCYPART_ARC
(10,2),-1.31713 # DEPENDENCYPART_ARC
(10,3),-2.42961 # DEPENDENCYPART_ARC
(10,6),-0.861338 # DEPENDENCYPART_ARC
(10,9),3.38103 # DEPENDENCYPART_ARC
(10,11),3.18069 # DEPENDENCYPART_ARC
(10,12),-0.063792 # DEPENDENCYPART_ARC
(10,13),0.908883 # DEPENDENCYPART_ARC
(10,14),1.18264 # DEPENDENCYPART_ARC
(10,17),0.164724 # DEPENDENCYPART_ARC
(10,18),-0.892211 # DEPENDENCYPART_ARC
(10,20),-1.49964 # DEPENDENCYPART_ARC
(10,24),-1.8155 # DEPENDENCYPART_ARC
(10,25),-2.27082 # DEPENDENCYPART_ARC
(10,31),0.931952 # DEPENDENCYPART_ARC
(11,2),-1.13745 # DEPENDENCYPART_ARC
(11,9),-0.200185 # DEPENDENCYPART_ARC
(11,12),0.0938809 # DEPENDENCYPART_ARC
(11,13),0.454145 # DEPENDENCYPART_ARC
(11,14),-0.65485 # DEPENDENCYPART_ARC
(12,7),-0.870578 # DEPENDENCYPART_ARC
(12,10),-1.24571 # DEPENDENCYPART_ARC
(12,11),-0.204542 # DEPENDENCYPART_ARC
(12,13),0.466639 # DEPENDENCYPART_ARC
(12,14),-0.546629 # DEPENDENCYPART_ARC
(12,17),-0.202092 # DEPENDENCYPART_ARC
(13,7),0.293701 # DEPENDENCYPART_ARC
(13,8),0.45985 # DEPENDENCYPART_ARC
(13,10),-0.594406 # DEPENDENCYPART_ARC
(13,11),0.231429 # DEPENDENCYPART_ARC
(13,12),3.30126 # DEPENDENCYPART_ARC
(13,14),0.322754 # DEPENDENCYPART_ARC
(13,17),0.880974 # DEPENDENCYPART_ARC
(13,18),0.276647 # DEPENDENCYPART_ARC
(13,20),-0.0222922 # DEPENDENCYPART_ARC
(13,21),0.0809381 # DEPENDENCYPART_ARC
(13,22),-0.805834 # DEPENDENCYPART_ARC
(13,24),-0.952261 # DEPENDENCYPART_ARC
(13,25),-2.21299 # DEPENDENCYPART_ARC
(13,30),-1.27721 # DEPENDENCYPART_ARC
(14,17),1.7162 # DEPENDENCYPART_ARC
(14,18),0.395765 # DEPENDENCYPART_ARC
(14,21),-0.344505 # DEPENDENCYPART_ARC
(14,27),0.132738 # DEPENDENCYPART_ARC
(14,31),1.60467 # DEPENDENCYPART_ARC
(15,16),0.178556 # DEPENDENCYPART_ARC
(16,15),-1.87238 # DEPENDENCYPART_ARC
(16,17),-0.221454 # DEPENDENCYPART_ARC
(17,4),-0.393463 # DEPENDENCYPART_ARC
(17,5),-1.83784 # DEPENDENCYPART_ARC
(17,7),-0.170441 # DEPENDENCYPART_ARC
(17,8),-0.956451 # DEPENDENCYPART_ARC
(17,10),-2.25135 # DEPENDENCYPART_ARC
(17,12),-1.42287 # DEPENDENCYPART_ARC
(17,14),-0.565843 # DEPENDENCYPART_ARC
(17,15),-0.640032 # DEPENDENCYPART_ARC
(17,16),1.83643 # DEPENDENCYPART_ARC
(17,18),1.78671 # DEPENDENCYPART_ARC
(17,20),-0.28486 # DEPENDENCYPART_ARC
(17,21),0.276912 # DEPENDENCYPART_ARC
(17,22),-1.69353 # DEPENDENCYPART_ARC
(17,24),-1.34818 # DEPENDENCYPART_ARC
(17,28),-2.3515 # DEPENDENCYPART_ARC
(17,29),-2.04898 # DEPENDENCYPART_ARC
(17,30),-1.93077 # DEPENDENCYPART_ARC
(17,31),1.85267 # DEPENDENCYPART_ARC
(18,1),-0.596127 # DEPENDENCYPART_ARC
(18,2),-1.23484 # DEPENDENCYPART_ARC
(18,3),-2.97012 # DEPENDENCYPART_ARC
(18,4),1.98379 # DEPENDENCYPART_ARC
(18,5),0.613224 # DEPENDENCYPART_ARC
(18,6),-0.597953 # DEPENDENCYPART_ARC
(18,7),1.38373 # DEPENDENCYPART_ARC
(18,8),1.05665 # DEPENDENCYPART_ARC
(18,10),-0.281456 # DEPENDENCYPART_ARC
(18,11),-0.329883 # DEPENDENCYPART_ARC
(18,12),0.131306 # DEPENDENCYPART_ARC
(18,13),-0.0236159 # DEPENDENCYPART_ARC
(18,14),1.65219 # DEPENDENCYPART_ARC
(18,15),1.46127 # DEPENDENCYPART_ARC
(18,16),3.65633 # DEPENDENCYPART_ARC
(18,17),5.26575 # DEPENDENCYPART_ARC
(18,20),2.39407 # DEPENDENCYPART_ARC
(18,21),1.43811 # DEPENDENCYPART_ARC
(18,22),0.603787 # DEPENDENCYPART_ARC
(18,24),0.156768 # DEPENDENCYPART_ARC
(18,25),-0.578739 # DEPENDENCYPART_ARC
(18,26),-0.285889 # DEPENDENCYPART_ARC
(18,27),-1.26344 # DEPENDENCYPART_ARC
(18,28),-1.88273 # DEPENDENCYPART_ARC
(18,29),0.563779 # DEPENDENCYPART_ARC
(18,30),-0.536675 # DEPENDENCYPART_ARC
(18,31),2.43388 # DEPENDENCYPART_ARC
(20,18),0.467391 # DEPENDENCYPART_ARC
(20,19),3.0294 # DEPENDENCYPART_ARC
(20,21),0.0699518 # DEPENDENCYPART_ARC
(20,22),0.248517 # DEPENDENCYPART_ARC
(20,24),-0.900257 # DEPENDENCYPART_ARC
(20,25),-0.793601 # DEPENDENCYPART_ARC
(20,27),-1.77182 # DEPENDENCYPART_ARC
(20,28),-2.07608 # DEPENDENCYPART_ARC
(22,1),-2.09449 # DEPENDENCYPART_ARC
(22,3),-3.05082 # DEPENDENCYPART_ARC
(22,4),-0.43161 # DEPENDENCYPART_ARC
(22,5),-0.0304773 # DEPENDENCYPART_ARC
(22,6),-2.51397 # DEPENDENCYPART_ARC
(22,8),-0.770662 # DEPENDENCYPART_ARC
(22,10),-2.00795 # DEPENDENCYPART_ARC
(22,11),-2.2604 # DEPENDENCYPART_ARC
(22,12),-1.68098 # DEPENDENCYPART_ARC
(22,13),-2.13724 # DEPENDENCYPART_ARC
(22,14),-1.36836 # DEPENDENCYPART_ARC
(22,15),-2.03521 # DEPENDENCYPART_ARC
(22,16),0.225161 # DEPENDENCYPART_ARC
(22,17),0.389428 # DEPENDENCYPART_ARC
(22,18),-0.184021 # DEPENDENCYPART_ARC
(22,19),-0.493462 # DEPENDENCYPART_ARC
(22,20),0.380689 # DEPENDENCYPART_ARC
(22,21),-0.000822239 # DEPENDENCYPART_ARC
(22,24),3.30873 # DEPENDENCYPART_ARC
(22,25),1.16748 # DEPENDENCYPART_ARC
(22,26),1.23546 # DEPENDENCYPART_ARC
(22,27),-0.27364 # DEPENDENCYPART_ARC
(22,28),-0.909486 # DEPENDENCYPART_ARC
(22,29),0.602573 # DEPENDENCYPART_ARC
(22,30),0.41221 # DEPENDENCYPART_ARC
(22,31),2.55516 # DEPENDENCYPART_ARC
(24,2),-2.95529 # DEPENDENCYPART_ARC
(24,19),-2.59501 # DEPENDENCYPART_ARC
(24,22),0.174365 # DEPENDENCYPART_ARC
(24,23),3.05645 # DEPENDENCYPART_ARC
(24,25),2.7438 # DEPENDENCYPART_ARC
(24,26),0.238388 # DEPENDENCYPART_ARC
(24,27),-0.718193 # DEPENDENCYPART_ARC
(24,28),-1.0583 # DEPENDENCYPART_ARC
(24,29),-0.741 # DEPENDENCYPART_ARC
(24,30),-1.39665 # DEPENDENCYPART_ARC
(25,15),-3.72848 # DEPENDENCYPART_ARC
(25,26),3.96734 # DEPENDENCYPART_ARC
(25,27),-0.170842 # DEPENDENCYPART_ARC
(25,28),-1.15309 # DEPENDENCYPART_ARC
(25,29),-0.776863 # DEPENDENCYPART_ARC
(25,30),-1.11847 # DEPENDENCYPART_ARC
(26,2),-2.66367 # DEPENDENCYPART_ARC
(26,23),0.252122 # DEPENDENCYPART_ARC
(26,25),1.75728 # DEPENDENCYPART_ARC
(26,27),-1.09738 # DEPENDENCYPART_ARC
(26,28),-1.39942 # DEPENDENCYPART_ARC
(26,29),0.498923 # DEPENDENCYPART_ARC
(26,30),-1.71286 # DEPENDENCYPART_ARC
(27,28),-0.714001 # DEPENDENCYPART_ARC
(28,25),0.0836821 # DEPENDENCYPART_ARC
(28,26),-0.53234 # DEPENDENCYPART_ARC
(28,27),0.35626 # DEPENDENCYPART_ARC
(28,29),1.03746 # DEPENDENCYPART_ARC
(29,3),-6.17089 # DEPENDENCYPART_ARC
(29,4),-0.899831 # DEPENDENCYPART_ARC
(29,5),-2.25785 # DEPENDENCYPART_ARC
(29,15),-5.06498 # DEPENDENCYPART_ARC
(29,16),-1.25738 # DEPENDENCYPART_ARC
(29,20),-2.245 # DEPENDENCYPART_ARC
(29,22),-2.23793 # DEPENDENCYPART_ARC
(29,24),-1.65089 # DEPENDENCYPART_ARC
(29,25),-1.90614 # DEPENDENCYPART_ARC
(29,26),-0.611612 # DEPENDENCYPART_ARC
(29,27),1.64739 # DEPENDENCYPART_ARC
(29,28),1.46457 # DEPENDENCYPART_ARC
(29,30),2.12333 # DEPENDENCYPART_ARC
(29,31),1.67193 # DEPENDENCYPART_ARC
(30,1),-2.83156 # DEPENDENCYPART_ARC
(30,3),-3.59632 # DEPENDENCYPART_ARC
(30,4),-0.0197867 # DEPENDENCYPART_ARC
(30,5),-0.554448 # DEPENDENCYPART_ARC
(30,6),-2.27266 # DEPENDENCYPART_ARC
(30,8),-1.84684 # DEPENDENCYPART_ARC
(30,11),-2.07819 # DEPENDENCYPART_ARC
(30,12),-2.19787 # DEPENDENCYPART_ARC
(30,13),-1.80329 # DEPENDENCYPART_ARC
(30,15),-3.0486 # DEPENDENCYPART_ARC
(30,16),-0.0591606 # DEPENDENCYPART_ARC
(30,17),-0.394509 # DEPENDENCYPART_ARC
(30,20),-1.27953 # DEPENDENCYPART_ARC
(30,22),-0.159894 # DEPENDENCYPART_ARC
(30,24),-0.00432117 # DEPENDENCYPART_ARC
(30,25),-1.06811 # DEPENDENCYPART_ARC
(30,26),-0.0373404 # DEPENDENCYPART_ARC
(30,27),2.59457 # DEPENDENCYPART_ARC
(30,28),2.35348 # DEPENDENCYPART_ARC
(30,29),4.36301 # DEPENDENCYPART_ARC
(30,31),3.15912 # DEPENDENCYPART_ARC
