# _root_ Hi poden optar tots els músics , en solitari o en formació , que no disposin d' obra editada comercialment .
#goldHeads=3,3,0,5,6,3,8,6,8,8,8,11,8,16,16,6,16,17,18,19,3,
#predictedHeads=3,3,0,5,6,3,8,3,8,8,8,11,8,16,16,3,16,17,18,19,3,
(16,20),0.738527 # DEPENDENCYPART_ARC
(16,21),2.24769 # DEPENDENCYPART_ARC
(17,10),-1.48327 # DEPENDENCYPART_ARC
(17,15),-0.824197 # DEPENDENCYPART_ARC
(17,16),-0.265594 # DEPENDENCYPART_ARC
(17,18),5.34789 # DEPENDENCYPART_ARC
(17,19),1.2144 # DEPENDENCYPART_ARC
(17,20),0.0714806 # DEPENDENCYPART_ARC
(17,21),0.306504 # DEPENDENCYPART_ARC
(18,8),-1.64429 # DEPENDENCYPART_ARC
(18,9),-1.85057 # DEPENDENCYPART_ARC
(18,10),-1.68967 # DEPENDENCYPART_ARC
(18,11),-1.8459 # DEPENDENCYPART_ARC
(18,15),-0.431112 # DEPENDENCYPART_ARC
(18,16),-1.75044 # DEPENDENCYPART_ARC
(18,17),0.463996 # DEPENDENCYPART_ARC
(18,19),3.5383 # DEPENDENCYPART_ARC
(18,20),-0.309453 # DEPENDENCYPART_ARC
(18,21),-0.356039 # DEPENDENCYPART_ARC
(19,11),-1.2784 # DEPENDENCYPART_ARC
(19,17),0.052396 # DEPENDENCYPART_ARC
(19,20),1.57064 # DEPENDENCYPART_ARC
(19,21),0.0386741 # DEPENDENCYPART_ARC
(20,8),-0.201729 # DEPENDENCYPART_ARC
(20,11),-0.903093 # DEPENDENCYPART_ARC
(20,13),-0.51656 # DEPENDENCYPART_ARC
(20,17),-0.37345 # DEPENDENCYPART_ARC
(20,18),-0.723811 # DEPENDENCYPART_ARC
(20,19),0.255102 # DEPENDENCYPART_ARC
(20,21),-0.803105 # DEPENDENCYPART_ARC
