# _root_ Aquesta primera edició de la Fira tindrà com_a escenari el municipi de l' Estany , però com en el cas de la Festa serà itinerant pels 10 municipis del Moianès , i se celebrarà sempre el primer cap de setmana de juny .
#goldHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,11,7,24,17,20,18,20,23,21,7,24,24,28,26,28,29,26,24,34,24,34,38,38,34,38,39,38,41,7,
#predictedHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,7,7,24,24,20,18,20,23,21,7,24,25,28,26,28,29,7,7,34,24,34,38,38,34,38,39,38,41,7,
(7,31),1.16681 # DEPENDENCYPART_ARC
(7,32),2.66648 # DEPENDENCYPART_ARC
(7,34),0.291582 # DEPENDENCYPART_ARC
(7,42),-2.77644 # DEPENDENCYPART_ARC
(7,43),7.73755 # DEPENDENCYPART_ARC
(8,5),-1.68731 # DEPENDENCYPART_ARC
(8,9),4.59755 # DEPENDENCYPART_ARC
(8,11),-0.875417 # DEPENDENCYPART_ARC
(8,12),-1.53208 # DEPENDENCYPART_ARC
(8,15),-0.887901 # DEPENDENCYPART_ARC
(8,16),-1.10995 # DEPENDENCYPART_ARC
(8,17),-0.0874615 # DEPENDENCYPART_ARC
(8,18),-1.2847 # DEPENDENCYPART_ARC
(9,3),-3.72699 # DEPENDENCYPART_ARC
(9,4),-1.94047 # DEPENDENCYPART_ARC
(9,5),-1.70694 # DEPENDENCYPART_ARC
(9,8),0.0196484 # DEPENDENCYPART_ARC
(9,11),-1.24745 # DEPENDENCYPART_ARC
(9,12),0.636792 # DEPENDENCYPART_ARC
(10,8),-1.13232 # DEPENDENCYPART_ARC
(10,12),0.322716 # DEPENDENCYPART_ARC
(10,13),-0.688247 # DEPENDENCYPART_ARC
(11,3),-2.21206 # DEPENDENCYPART_ARC
(11,4),-0.569259 # DEPENDENCYPART_ARC
(11,5),-1.33017 # DEPENDENCYPART_ARC
(11,7),-1.27162 # DEPENDENCYPART_ARC
(11,8),0.319686 # DEPENDENCYPART_ARC
(11,9),0.0614616 # DEPENDENCYPART_ARC
(11,10),3.55602 # DEPENDENCYPART_ARC
(11,12),2.80705 # DEPENDENCYPART_ARC
(11,14),0.687727 # DEPENDENCYPART_ARC
(11,15),0.511708 # DEPENDENCYPART_ARC
(11,16),-0.176868 # DEPENDENCYPART_ARC
(11,17),-0.73279 # DEPENDENCYPART_ARC
(11,18),-1.64615 # DEPENDENCYPART_ARC
(11,20),-0.359197 # DEPENDENCYPART_ARC
(11,21),-0.194259 # DEPENDENCYPART_ARC
(11,23),-0.688885 # DEPENDENCYPART_ARC
(11,24),-1.62686 # DEPENDENCYPART_ARC
(11,25),-1.53633 # DEPENDENCYPART_ARC
(11,27),-1.98671 # DEPENDENCYPART_ARC
(11,28),-2.40867 # DEPENDENCYPART_ARC
(11,29),-2.25472 # DEPENDENCYPART_ARC
(11,34),-2.14049 # DEPENDENCYPART_ARC
(11,38),-3.7081 # DEPENDENCYPART_ARC
(12,10),-1.12622 # DEPENDENCYPART_ARC
(12,11),-0.582164 # DEPENDENCYPART_ARC
(12,13),-0.241919 # DEPENDENCYPART_ARC
(12,14),4.01202 # DEPENDENCYPART_ARC
(12,15),0.250539 # DEPENDENCYPART_ARC
(12,16),-0.515861 # DEPENDENCYPART_ARC
(12,17),0.432457 # DEPENDENCYPART_ARC
(12,18),-0.602915 # DEPENDENCYPART_ARC
(12,21),-0.48858 # DEPENDENCYPART_ARC
(13,11),-0.894528 # DEPENDENCYPART_ARC
(14,3),-2.97276 # DEPENDENCYPART_ARC
(14,8),-0.992631 # DEPENDENCYPART_ARC
(14,10),-1.00949 # DEPENDENCYPART_ARC
(14,13),3.13474 # DEPENDENCYPART_ARC
(14,15),0.0412469 # DEPENDENCYPART_ARC
(14,16),-0.768597 # DEPENDENCYPART_ARC
(14,17),-1.40694 # DEPENDENCYPART_ARC
(16,15),0.50809 # DEPENDENCYPART_ARC
(17,16),0.855262 # DEPENDENCYPART_ARC
(17,18),1.05761 # DEPENDENCYPART_ARC
(17,20),1.05144 # DEPENDENCYPART_ARC
(17,21),-0.209075 # DEPENDENCYPART_ARC
(17,24),0.322495 # DEPENDENCYPART_ARC
(17,26),-0.558713 # DEPENDENCYPART_ARC
(17,31),-0.0614988 # DEPENDENCYPART_ARC
(17,32),-0.0533148 # DEPENDENCYPART_ARC
(17,43),1.27322 # DEPENDENCYPART_ARC
(18,7),-0.96443 # DEPENDENCYPART_ARC
(18,15),-0.131054 # DEPENDENCYPART_ARC
(18,16),0.127183 # DEPENDENCYPART_ARC
(18,17),0.530898 # DEPENDENCYPART_ARC
(18,19),-0.439047 # DEPENDENCYPART_ARC
(18,20),4.14944 # DEPENDENCYPART_ARC
(18,21),0.551639 # DEPENDENCYPART_ARC
(18,23),0.901854 # DEPENDENCYPART_ARC
(18,24),-0.936294 # DEPENDENCYPART_ARC
(18,25),-1.20018 # DEPENDENCYPART_ARC
(18,26),-0.856497 # DEPENDENCYPART_ARC
(18,31),0.116499 # DEPENDENCYPART_ARC
(18,32),-0.902566 # DEPENDENCYPART_ARC
(19,20),2.14876 # DEPENDENCYPART_ARC
(19,21),-0.0138204 # DEPENDENCYPART_ARC
(19,22),-0.673324 # DEPENDENCYPART_ARC
(20,7),-1.94459 # DEPENDENCYPART_ARC
(20,12),-1.09958 # DEPENDENCYPART_ARC
(20,17),-0.472156 # DEPENDENCYPART_ARC
(20,19),2.90971 # DEPENDENCYPART_ARC
(20,21),2.83622 # DEPENDENCYPART_ARC
(20,23),0.441102 # DEPENDENCYPART_ARC
(20,24),0.299736 # DEPENDENCYPART_ARC
(20,25),-0.170697 # DEPENDENCYPART_ARC
(20,26),-0.123402 # DEPENDENCYPART_ARC
(20,27),-1.59306 # DEPENDENCYPART_ARC
(20,28),-1.92698 # DEPENDENCYPART_ARC
(20,29),-0.24983 # DEPENDENCYPART_ARC
(20,34),-1.51076 # DEPENDENCYPART_ARC
(20,35),-1.65482 # DEPENDENCYPART_ARC
(20,38),-2.73895 # DEPENDENCYPART_ARC
(21,19),-0.377636 # DEPENDENCYPART_ARC
(21,22),-1.48932 # DEPENDENCYPART_ARC
(21,23),4.15699 # DEPENDENCYPART_ARC
(21,24),-1.41896 # DEPENDENCYPART_ARC
(21,25),-0.746087 # DEPENDENCYPART_ARC
(21,27),-1.98274 # DEPENDENCYPART_ARC
(21,28),-1.14414 # DEPENDENCYPART_ARC
(22,21),-0.0578028 # DEPENDENCYPART_ARC
(22,23),0.447279 # DEPENDENCYPART_ARC
(23,19),-0.817015 # DEPENDENCYPART_ARC
(23,22),2.91592 # DEPENDENCYPART_ARC
(23,24),-0.519173 # DEPENDENCYPART_ARC
(23,25),-0.857502 # DEPENDENCYPART_ARC
(23,29),-2.04382 # DEPENDENCYPART_ARC
(24,3),-1.39642 # DEPENDENCYPART_ARC
(24,6),-0.238965 # DEPENDENCYPART_ARC
(24,7),-1.88799 # DEPENDENCYPART_ARC
(24,8),-1.33834 # DEPENDENCYPART_ARC
(24,11),-0.030718 # DEPENDENCYPART_ARC
(24,14),-0.880482 # DEPENDENCYPART_ARC
(24,15),0.671413 # DEPENDENCYPART_ARC
(24,16),0.0820851 # DEPENDENCYPART_ARC
(24,17),1.08107 # DEPENDENCYPART_ARC
(24,18),1.05965 # DEPENDENCYPART_ARC
(24,19),-2.03503 # DEPENDENCYPART_ARC
(24,20),1.89856 # DEPENDENCYPART_ARC
(24,21),-0.0173805 # DEPENDENCYPART_ARC
(24,22),-0.333722 # DEPENDENCYPART_ARC
(24,23),2.35232 # DEPENDENCYPART_ARC
(24,25),3.17645 # DEPENDENCYPART_ARC
(24,26),1.35172 # DEPENDENCYPART_ARC
(24,27),-0.403012 # DEPENDENCYPART_ARC
(24,28),1.48645 # DEPENDENCYPART_ARC
(24,29),-0.407819 # DEPENDENCYPART_ARC
(24,30),-0.213697 # DEPENDENCYPART_ARC
(24,31),1.13694 # DEPENDENCYPART_ARC
(24,32),2.66412 # DEPENDENCYPART_ARC
(24,34),1.94925 # DEPENDENCYPART_ARC
(24,35),-0.672244 # DEPENDENCYPART_ARC
(24,38),-0.935758 # DEPENDENCYPART_ARC
(24,42),-1.08691 # DEPENDENCYPART_ARC
(24,43),5.13904 # DEPENDENCYPART_ARC
(25,18),-0.801505 # DEPENDENCYPART_ARC
(25,21),-0.303778 # DEPENDENCYPART_ARC
(25,22),-0.607872 # DEPENDENCYPART_ARC
(25,24),-0.449415 # DEPENDENCYPART_ARC
(25,26),2.29699 # DEPENDENCYPART_ARC
(25,27),-0.387918 # DEPENDENCYPART_ARC
(25,28),-0.968827 # DEPENDENCYPART_ARC
(25,29),-1.20117 # DEPENDENCYPART_ARC
(25,30),-0.761205 # DEPENDENCYPART_ARC
(25,31),-0.215848 # DEPENDENCYPART_ARC
(25,32),0.0275795 # DEPENDENCYPART_ARC
(25,34),-0.374326 # DEPENDENCYPART_ARC
(25,35),-1.5562 # DEPENDENCYPART_ARC
(25,38),-2.52781 # DEPENDENCYPART_ARC
(26,22),-0.42326 # DEPENDENCYPART_ARC
(26,25),-0.336753 # DEPENDENCYPART_ARC
(26,27),0.857205 # DEPENDENCYPART_ARC
(26,28),3.7861 # DEPENDENCYPART_ARC
(26,29),-0.0890029 # DEPENDENCYPART_ARC
(26,30),-0.13748 # DEPENDENCYPART_ARC
(26,31),0.838033 # DEPENDENCYPART_ARC
(26,32),0.169573 # DEPENDENCYPART_ARC
(26,34),-1.86474 # DEPENDENCYPART_ARC
(26,41),-1.52883 # DEPENDENCYPART_ARC
(27,26),-0.0158595 # DEPENDENCYPART_ARC
(27,28),0.806479 # DEPENDENCYPART_ARC
(27,29),0.106755 # DEPENDENCYPART_ARC
(27,32),0.0859346 # DEPENDENCYPART_ARC
(27,34),-0.603711 # DEPENDENCYPART_ARC
(27,38),-1.50176 # DEPENDENCYPART_ARC
(28,7),-0.895293 # DEPENDENCYPART_ARC
(28,12),-1.20852 # DEPENDENCYPART_ARC
(28,18),-0.144501 # DEPENDENCYPART_ARC
(28,21),-0.191225 # DEPENDENCYPART_ARC
(28,22),-0.77829 # DEPENDENCYPART_ARC
(28,25),-1.1148 # DEPENDENCYPART_ARC
(28,26),1.11291 # DEPENDENCYPART_ARC
(28,27),2.71393 # DEPENDENCYPART_ARC
(28,29),2.94584 # DEPENDENCYPART_ARC
(28,30),0.310546 # DEPENDENCYPART_ARC
(28,31),0.334311 # DEPENDENCYPART_ARC
(28,32),0.482462 # DEPENDENCYPART_ARC
(28,34),0.301676 # DEPENDENCYPART_ARC
(28,35),-1.23666 # DEPENDENCYPART_ARC
(28,38),-1.19908 # DEPENDENCYPART_ARC
(28,39),-1.12824 # DEPENDENCYPART_ARC
(28,41),-2.03203 # DEPENDENCYPART_ARC
(28,42),-1.34407 # DEPENDENCYPART_ARC
(29,27),-0.64829 # DEPENDENCYPART_ARC
(29,30),3.32693 # DEPENDENCYPART_ARC
(29,31),-0.0416163 # DEPENDENCYPART_ARC
(29,32),-0.348854 # DEPENDENCYPART_ARC
(29,34),-1.03087 # DEPENDENCYPART_ARC
(29,41),-2.06503 # DEPENDENCYPART_ARC
(30,34),-0.748054 # DEPENDENCYPART_ARC
(30,38),-1.87191 # DEPENDENCYPART_ARC
(32,31),-1.33422 # DEPENDENCYPART_ARC
(34,3),-3.16126 # DEPENDENCYPART_ARC
(34,7),-4.27271 # DEPENDENCYPART_ARC
(34,8),-4.33393 # DEPENDENCYPART_ARC
(34,11),-2.20134 # DEPENDENCYPART_ARC
(34,15),-1.04548 # DEPENDENCYPART_ARC
(34,16),-1.28117 # DEPENDENCYPART_ARC
(34,17),-1.90856 # DEPENDENCYPART_ARC
(34,18),-1.17324 # DEPENDENCYPART_ARC
(34,20),0.152589 # DEPENDENCYPART_ARC
(34,23),-0.235625 # DEPENDENCYPART_ARC
(34,24),-2.28612 # DEPENDENCYPART_ARC
(34,25),-1.09531 # DEPENDENCYPART_ARC
(34,26),-1.69681 # DEPENDENCYPART_ARC
(34,27),-1.13123 # DEPENDENCYPART_ARC
(34,28),-1.23113 # DEPENDENCYPART_ARC
(34,29),-1.88828 # DEPENDENCYPART_ARC
(34,30),-1.27564 # DEPENDENCYPART_ARC
(34,31),0.281371 # DEPENDENCYPART_ARC
(34,32),0.869887 # DEPENDENCYPART_ARC
(34,33),4.09105 # DEPENDENCYPART_ARC
(34,35),3.00305 # DEPENDENCYPART_ARC
(34,37),0.531367 # DEPENDENCYPART_ARC
(34,38),1.99521 # DEPENDENCYPART_ARC
(34,39),0.441414 # DEPENDENCYPART_ARC
(34,40),0.787535 # DEPENDENCYPART_ARC
(34,41),-0.221305 # DEPENDENCYPART_ARC
(34,42),0.590521 # DEPENDENCYPART_ARC
(34,43),3.3849 # DEPENDENCYPART_ARC
(35,38),-1.10367 # DEPENDENCYPART_ARC
(35,39),-1.53353 # DEPENDENCYPART_ARC
(35,41),-2.00017 # DEPENDENCYPART_ARC
(36,35),-0.41063 # DEPENDENCYPART_ARC
(36,37),-0.129221 # DEPENDENCYPART_ARC
(37,35),0.518298 # DEPENDENCYPART_ARC
(37,36),0.765057 # DEPENDENCYPART_ARC
(37,39),-0.498545 # DEPENDENCYPART_ARC
(37,41),-1.90434 # DEPENDENCYPART_ARC
(37,42),-1.08487 # DEPENDENCYPART_ARC
(38,26),-1.17512 # DEPENDENCYPART_ARC
(38,29),-1.08808 # DEPENDENCYPART_ARC
(38,35),1.04306 # DEPENDENCYPART_ARC
(38,36),3.15575 # DEPENDENCYPART_ARC
(38,37),4.46159 # DEPENDENCYPART_ARC
(38,39),3.40244 # DEPENDENCYPART_ARC
(38,40),0.742293 # DEPENDENCYPART_ARC
(38,41),2.14099 # DEPENDENCYPART_ARC
(38,42),0.155246 # DEPENDENCYPART_ARC
(39,35),-0.520433 # DEPENDENCYPART_ARC
(39,36),-1.37275 # DEPENDENCYPART_ARC
(39,40),3.39898 # DEPENDENCYPART_ARC
(39,41),-0.314769 # DEPENDENCYPART_ARC
(39,42),-0.797836 # DEPENDENCYPART_ARC
(40,35),-0.0491989 # DEPENDENCYPART_ARC
(40,36),-0.0803574 # DEPENDENCYPART_ARC
(40,37),0.193747 # DEPENDENCYPART_ARC
(40,39),1.23299 # DEPENDENCYPART_ARC
(40,41),1.23492 # DEPENDENCYPART_ARC
(40,42),-0.586195 # DEPENDENCYPART_ARC
(41,39),0.368084 # DEPENDENCYPART_ARC
(41,42),3.37417 # DEPENDENCYPART_ARC
(42,39),-0.875095 # DEPENDENCYPART_ARC
(42,41),0.2582 # DEPENDENCYPART_ARC
