# _root_ Que no critiquin tant els altres , no fos que s' enganxin els dits , i que siguin una_mica més constructius .
#goldHeads=3,3,0,3,6,3,9,9,3,12,12,9,14,12,9,3,18,3,21,19,18,3,
#predictedHeads=3,3,0,3,6,9,9,9,3,12,12,9,14,12,12,12,18,9,21,21,18,3,
(6,5),3.4283 # DEPENDENCYPART_ARC
(6,7),0.39673 # DEPENDENCYPART_ARC
(6,9),1.1742 # DEPENDENCYPART_ARC
(6,10),-0.0329246 # DEPENDENCYPART_ARC
(6,12),1.45407 # DEPENDENCYPART_ARC
(6,14),-0.508978 # DEPENDENCYPART_ARC
(6,15),-0.531881 # DEPENDENCYPART_ARC
(6,16),-0.645355 # DEPENDENCYPART_ARC
(6,17),-0.445576 # DEPENDENCYPART_ARC
(6,18),-0.168362 # DEPENDENCYPART_ARC
(6,22),1.3126 # DEPENDENCYPART_ARC
(8,7),0.150599 # DEPENDENCYPART_ARC
(9,1),3.58616 # DEPENDENCYPART_ARC
(9,2),1.71139 # DEPENDENCYPART_ARC
(9,3),-0.0799966 # DEPENDENCYPART_ARC
(9,4),0.587752 # DEPENDENCYPART_ARC
(9,5),0.397939 # DEPENDENCYPART_ARC
(9,6),0.364002 # DEPENDENCYPART_ARC
(9,7),1.10037 # DEPENDENCYPART_ARC
(9,8),4.07964 # DEPENDENCYPART_ARC
(9,10),0.394458 # DEPENDENCYPART_ARC
(9,12),3.43657 # DEPENDENCYPART_ARC
(9,14),-0.148685 # DEPENDENCYPART_ARC
(9,15),1.03639 # DEPENDENCYPART_ARC
(9,16),1.71862 # DEPENDENCYPART_ARC
(9,17),-0.3659 # DEPENDENCYPART_ARC
(9,18),2.48143 # DEPENDENCYPART_ARC
(9,19),-2.13161 # DEPENDENCYPART_ARC
(9,21),-0.89388 # DEPENDENCYPART_ARC
(9,22),5.51792 # DEPENDENCYPART_ARC
(10,18),-2.65525 # DEPENDENCYPART_ARC
(12,1),1.47381 # DEPENDENCYPART_ARC
(12,3),-0.821114 # DEPENDENCYPART_ARC
(12,4),-1.62295 # DEPENDENCYPART_ARC
(12,5),-0.713816 # DEPENDENCYPART_ARC
(12,6),-1.83364 # DEPENDENCYPART_ARC
(12,7),-0.572895 # DEPENDENCYPART_ARC
(12,8),1.51403 # DEPENDENCYPART_ARC
(12,9),-0.908196 # DEPENDENCYPART_ARC
(12,10),4.16815 # DEPENDENCYPART_ARC
(12,11),3.9756 # DEPENDENCYPART_ARC
(12,14),3.73331 # DEPENDENCYPART_ARC
(12,15),1.04216 # DEPENDENCYPART_ARC
(12,16),1.94455 # DEPENDENCYPART_ARC
(12,17),-0.386557 # DEPENDENCYPART_ARC
(12,18),2.12002 # DEPENDENCYPART_ARC
(12,19),-1.44616 # DEPENDENCYPART_ARC
(12,20),-2.11797 # DEPENDENCYPART_ARC
(12,21),-0.387972 # DEPENDENCYPART_ARC
(12,22),3.59173 # DEPENDENCYPART_ARC
(14,3),-2.86766 # DEPENDENCYPART_ARC
(14,4),-0.14214 # DEPENDENCYPART_ARC
(14,7),-0.293811 # DEPENDENCYPART_ARC
(14,9),-1.35487 # DEPENDENCYPART_ARC
(14,10),0.0778611 # DEPENDENCYPART_ARC
(14,12),-0.282668 # DEPENDENCYPART_ARC
(14,13),3.82166 # DEPENDENCYPART_ARC
(14,15),0.188895 # DEPENDENCYPART_ARC
(14,16),-0.0811623 # DEPENDENCYPART_ARC
(14,17),-2.54995 # DEPENDENCYPART_ARC
(14,18),-0.953633 # DEPENDENCYPART_ARC
(14,19),-2.47791 # DEPENDENCYPART_ARC
(14,20),-1.99497 # DEPENDENCYPART_ARC
(14,21),-0.859771 # DEPENDENCYPART_ARC
(15,14),-1.87449 # DEPENDENCYPART_ARC
(16,15),-0.324505 # DEPENDENCYPART_ARC
(17,16),-0.879142 # DEPENDENCYPART_ARC
(17,19),-2.91483 # DEPENDENCYPART_ARC
(17,21),-2.78853 # DEPENDENCYPART_ARC
(18,1),-0.594557 # DEPENDENCYPART_ARC
(18,3),-2.3541 # DEPENDENCYPART_ARC
(18,4),-2.82917 # DEPENDENCYPART_ARC
(18,5),-1.71609 # DEPENDENCYPART_ARC
(18,6),-3.35346 # DEPENDENCYPART_ARC
(18,7),-2.13185 # DEPENDENCYPART_ARC
(18,9),-4.02121 # DEPENDENCYPART_ARC
(18,10),0.611442 # DEPENDENCYPART_ARC
(18,12),-1.27774 # DEPENDENCYPART_ARC
(18,13),-0.627774 # DEPENDENCYPART_ARC
(18,14),-0.380774 # DEPENDENCYPART_ARC
(18,15),0.814577 # DEPENDENCYPART_ARC
(18,16),0.217602 # DEPENDENCYPART_ARC
(18,17),4.6448 # DEPENDENCYPART_ARC
(18,19),1.31907 # DEPENDENCYPART_ARC
(18,20),0.177267 # DEPENDENCYPART_ARC
(18,21),1.05272 # DEPENDENCYPART_ARC
(18,22),1.21858 # DEPENDENCYPART_ARC
(19,15),-1.76304 # DEPENDENCYPART_ARC
(19,16),-1.14416 # DEPENDENCYPART_ARC
(19,17),-0.533551 # DEPENDENCYPART_ARC
(19,20),2.08442 # DEPENDENCYPART_ARC
(19,21),0.423004 # DEPENDENCYPART_ARC
(19,22),-0.542744 # DEPENDENCYPART_ARC
(20,15),-1.16331 # DEPENDENCYPART_ARC
(20,19),1.0643 # DEPENDENCYPART_ARC
(20,21),-0.218606 # DEPENDENCYPART_ARC
(21,15),-0.868343 # DEPENDENCYPART_ARC
(21,16),-1.06111 # DEPENDENCYPART_ARC
(21,18),-1.70096 # DEPENDENCYPART_ARC
(21,19),1.59596 # DEPENDENCYPART_ARC
(21,20),2.25935 # DEPENDENCYPART_ARC
(21,22),-0.213955 # DEPENDENCYPART_ARC
