# _root_ Per intentar el rècord , l' embarcació catalana participarà en el rànquing ' World_Sailing_Record ' , l' entitat que estableix la legalitat de les marques .
#goldHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
#predictedHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
(18,19),-0.181079 # DEPENDENCYPART_ARC
(18,20),3.68009 # DEPENDENCYPART_ARC
(18,22),0.423971 # DEPENDENCYPART_ARC
(18,23),1.31664 # DEPENDENCYPART_ARC
(18,25),0.60737 # DEPENDENCYPART_ARC
(18,26),1.75446 # DEPENDENCYPART_ARC
(19,22),-2.13454 # DEPENDENCYPART_ARC
(19,23),-0.987727 # DEPENDENCYPART_ARC
(20,1),-0.33913 # DEPENDENCYPART_ARC
(20,2),-2.54558 # DEPENDENCYPART_ARC
(20,4),-1.37101 # DEPENDENCYPART_ARC
(20,5),-2.34602 # DEPENDENCYPART_ARC
(20,7),-0.79468 # DEPENDENCYPART_ARC
(20,9),-1.69047 # DEPENDENCYPART_ARC
(20,10),-0.0300225 # DEPENDENCYPART_ARC
(20,13),-0.187665 # DEPENDENCYPART_ARC
(20,14),-1.41434 # DEPENDENCYPART_ARC
(20,15),0.0511248 # DEPENDENCYPART_ARC
(20,16),0.480963 # DEPENDENCYPART_ARC
(20,17),-1.48201 # DEPENDENCYPART_ARC
(20,18),0.861463 # DEPENDENCYPART_ARC
(20,19),4.26266 # DEPENDENCYPART_ARC
(20,22),2.78886 # DEPENDENCYPART_ARC
(20,23),0.506924 # DEPENDENCYPART_ARC
(20,25),1.24913 # DEPENDENCYPART_ARC
(20,26),2.36353 # DEPENDENCYPART_ARC
(21,22),2.1631 # DEPENDENCYPART_ARC
(21,23),0.11275 # DEPENDENCYPART_ARC
(21,24),0.0677082 # DEPENDENCYPART_ARC
(22,1),-3.18518 # DEPENDENCYPART_ARC
(22,9),-2.5349 # DEPENDENCYPART_ARC
(22,17),-1.32759 # DEPENDENCYPART_ARC
(22,18),-1.39271 # DEPENDENCYPART_ARC
(22,19),0.161032 # DEPENDENCYPART_ARC
(22,20),-0.350926 # DEPENDENCYPART_ARC
(22,21),3.49276 # DEPENDENCYPART_ARC
(22,23),2.90939 # DEPENDENCYPART_ARC
(22,25),1.29537 # DEPENDENCYPART_ARC
(22,26),0.983075 # DEPENDENCYPART_ARC
(23,21),-0.633495 # DEPENDENCYPART_ARC
(23,25),4.79855 # DEPENDENCYPART_ARC
(24,23),-0.301862 # DEPENDENCYPART_ARC
(25,21),0.347434 # DEPENDENCYPART_ARC
(25,24),4.22354 # DEPENDENCYPART_ARC
