# _root_ La majoria dels treballs presentats són de centres de la comarca d' Osona -Fpa- 39 -Fpt- , seguits dels 18 de La_Selva i La_Garrotxa , dels 15 del Bages i de 7 del Vallès_Oriental .
#goldHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,2,15,18,2,18,19,20,21,22,22,19,19,26,27,28,19,19,31,32,33,6,
#predictedHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,6,15,18,8,18,19,20,21,22,22,18,20,26,27,28,15,27,31,32,33,6,
(7,5),-1.1916 # DEPENDENCYPART_ARC
(7,8),4.69483 # DEPENDENCYPART_ARC
(7,9),0.41593 # DEPENDENCYPART_ARC
(7,11),0.0641627 # DEPENDENCYPART_ARC
(7,12),-0.339836 # DEPENDENCYPART_ARC
(7,14),-1.16546 # DEPENDENCYPART_ARC
(7,17),-0.671727 # DEPENDENCYPART_ARC
(7,18),-2.48357 # DEPENDENCYPART_ARC
(7,21),-0.80935 # DEPENDENCYPART_ARC
(7,31),-0.890539 # DEPENDENCYPART_ARC
(7,33),-1.64503 # DEPENDENCYPART_ARC
(8,2),-2.99141 # DEPENDENCYPART_ARC
(8,3),-1.71593 # DEPENDENCYPART_ARC
(8,5),-1.41915 # DEPENDENCYPART_ARC
(8,7),0.72024 # DEPENDENCYPART_ARC
(8,9),2.81264 # DEPENDENCYPART_ARC
(8,11),-0.11723 # DEPENDENCYPART_ARC
(8,12),1.68568 # DEPENDENCYPART_ARC
(8,13),-0.297245 # DEPENDENCYPART_ARC
(8,14),-0.549505 # DEPENDENCYPART_ARC
(8,15),-0.426455 # DEPENDENCYPART_ARC
(8,16),-0.929142 # DEPENDENCYPART_ARC
(8,17),-0.647473 # DEPENDENCYPART_ARC
(8,18),1.35239 # DEPENDENCYPART_ARC
(8,19),-0.671268 # DEPENDENCYPART_ARC
(8,20),-1.72087 # DEPENDENCYPART_ARC
(8,21),-0.796466 # DEPENDENCYPART_ARC
(8,23),0.715796 # DEPENDENCYPART_ARC
(8,24),-0.475563 # DEPENDENCYPART_ARC
(8,27),-2.42876 # DEPENDENCYPART_ARC
(9,10),-1.41126 # DEPENDENCYPART_ARC
(9,11),4.17313 # DEPENDENCYPART_ARC
(9,12),-0.229128 # DEPENDENCYPART_ARC
(9,13),0.384501 # DEPENDENCYPART_ARC
(9,14),-1.07705 # DEPENDENCYPART_ARC
(9,15),-0.99703 # DEPENDENCYPART_ARC
(9,17),-0.621609 # DEPENDENCYPART_ARC
(9,18),-1.55341 # DEPENDENCYPART_ARC
(9,26),-0.458416 # DEPENDENCYPART_ARC
(9,28),-1.20472 # DEPENDENCYPART_ARC
(9,30),1.27627 # DEPENDENCYPART_ARC
(9,31),-0.474409 # DEPENDENCYPART_ARC
(10,7),-0.697231 # DEPENDENCYPART_ARC
(10,9),0.181583 # DEPENDENCYPART_ARC
(10,11),2.5067 # DEPENDENCYPART_ARC
(10,12),0.0568948 # DEPENDENCYPART_ARC
(11,10),3.28524 # DEPENDENCYPART_ARC
(11,12),2.60384 # DEPENDENCYPART_ARC
(11,13),0.16633 # DEPENDENCYPART_ARC
(11,14),-0.322868 # DEPENDENCYPART_ARC
(11,15),-0.268077 # DEPENDENCYPART_ARC
(11,16),-0.250261 # DEPENDENCYPART_ARC
(11,17),-0.368676 # DEPENDENCYPART_ARC
(11,18),-1.75681 # DEPENDENCYPART_ARC
(11,19),-0.161874 # DEPENDENCYPART_ARC
(11,20),-1.80124 # DEPENDENCYPART_ARC
(11,21),-0.826461 # DEPENDENCYPART_ARC
(11,23),-0.124706 # DEPENDENCYPART_ARC
(11,24),-0.818826 # DEPENDENCYPART_ARC
(11,27),-2.47548 # DEPENDENCYPART_ARC
(11,32),-2.49008 # DEPENDENCYPART_ARC
(12,10),0.0257152 # DEPENDENCYPART_ARC
(12,13),2.92562 # DEPENDENCYPART_ARC
(12,14),-0.516483 # DEPENDENCYPART_ARC
(12,15),-1.23513 # DEPENDENCYPART_ARC
(12,16),-1.15889 # DEPENDENCYPART_ARC
(12,18),-1.82219 # DEPENDENCYPART_ARC
(13,10),0.993458 # DEPENDENCYPART_ARC
(13,14),-0.680289 # DEPENDENCYPART_ARC
(13,15),0.170693 # DEPENDENCYPART_ARC
(13,16),-0.108674 # DEPENDENCYPART_ARC
(13,17),-0.141958 # DEPENDENCYPART_ARC
(13,18),-0.110821 # DEPENDENCYPART_ARC
(13,19),-1.20262 # DEPENDENCYPART_ARC
(13,20),-1.93919 # DEPENDENCYPART_ARC
(13,21),-1.05915 # DEPENDENCYPART_ARC
(13,22),-0.26705 # DEPENDENCYPART_ARC
(13,23),1.96705 # DEPENDENCYPART_ARC
(13,24),1.17015 # DEPENDENCYPART_ARC
(14,16),-0.91118 # DEPENDENCYPART_ARC
(15,3),0.613337 # DEPENDENCYPART_ARC
(15,7),0.122854 # DEPENDENCYPART_ARC
(15,9),0.317778 # DEPENDENCYPART_ARC
(15,12),1.23406 # DEPENDENCYPART_ARC
(15,14),3.75041 # DEPENDENCYPART_ARC
(15,16),2.93554 # DEPENDENCYPART_ARC
(15,17),0.800285 # DEPENDENCYPART_ARC
(15,19),0.483336 # DEPENDENCYPART_ARC
(15,20),0.699148 # DEPENDENCYPART_ARC
(15,21),0.313169 # DEPENDENCYPART_ARC
(15,22),0.266572 # DEPENDENCYPART_ARC
(15,23),1.77994 # DEPENDENCYPART_ARC
(15,24),0.134277 # DEPENDENCYPART_ARC
(15,25),1.06727 # DEPENDENCYPART_ARC
(15,27),0.333235 # DEPENDENCYPART_ARC
(15,29),-0.056857 # DEPENDENCYPART_ARC
(15,30),1.71156 # DEPENDENCYPART_ARC
(15,32),0.00352647 # DEPENDENCYPART_ARC
(15,34),-0.44748 # DEPENDENCYPART_ARC
(18,9),-0.451126 # DEPENDENCYPART_ARC
(18,12),0.14873 # DEPENDENCYPART_ARC
(18,14),0.514362 # DEPENDENCYPART_ARC
(18,16),0.807777 # DEPENDENCYPART_ARC
(18,17),2.4711 # DEPENDENCYPART_ARC
(18,19),2.98794 # DEPENDENCYPART_ARC
(18,20),0.421146 # DEPENDENCYPART_ARC
(18,21),0.954786 # DEPENDENCYPART_ARC
(18,22),0.25498 # DEPENDENCYPART_ARC
(18,23),0.999956 # DEPENDENCYPART_ARC
(18,24),-0.0394605 # DEPENDENCYPART_ARC
(18,25),1.55012 # DEPENDENCYPART_ARC
(18,26),-1.22702 # DEPENDENCYPART_ARC
(18,28),-0.805383 # DEPENDENCYPART_ARC
(18,33),-1.85181 # DEPENDENCYPART_ARC
(19,16),-1.58454 # DEPENDENCYPART_ARC
(19,17),-0.383574 # DEPENDENCYPART_ARC
(19,18),-0.220204 # DEPENDENCYPART_ARC
(19,20),1.23466 # DEPENDENCYPART_ARC
(19,21),0.147769 # DEPENDENCYPART_ARC
(19,22),0.981818 # DEPENDENCYPART_ARC
(19,23),-0.140542 # DEPENDENCYPART_ARC
(19,24),-1.31224 # DEPENDENCYPART_ARC
(19,25),0.134607 # DEPENDENCYPART_ARC
(19,26),0.246607 # DEPENDENCYPART_ARC
(19,28),-0.74001 # DEPENDENCYPART_ARC
(19,30),0.362045 # DEPENDENCYPART_ARC
(19,31),-0.0370489 # DEPENDENCYPART_ARC
(19,33),-1.14671 # DEPENDENCYPART_ARC
(20,3),-0.650026 # DEPENDENCYPART_ARC
(20,7),-1.60007 # DEPENDENCYPART_ARC
(20,9),-1.12584 # DEPENDENCYPART_ARC
(20,19),1.11694 # DEPENDENCYPART_ARC
(20,21),2.15822 # DEPENDENCYPART_ARC
(20,22),1.37649 # DEPENDENCYPART_ARC
(20,23),1.35167 # DEPENDENCYPART_ARC
(20,24),0.774262 # DEPENDENCYPART_ARC
(20,25),0.24524 # DEPENDENCYPART_ARC
(20,26),0.480204 # DEPENDENCYPART_ARC
(20,27),0.261964 # DEPENDENCYPART_ARC
(20,28),0.107283 # DEPENDENCYPART_ARC
(20,29),0.250574 # DEPENDENCYPART_ARC
(20,30),0.860377 # DEPENDENCYPART_ARC
(20,32),-0.0660248 # DEPENDENCYPART_ARC
(20,34),-0.00290287 # DEPENDENCYPART_ARC
(21,17),-0.42478 # DEPENDENCYPART_ARC
(21,19),-0.120415 # DEPENDENCYPART_ARC
(21,20),-0.202229 # DEPENDENCYPART_ARC
(21,22),3.69325 # DEPENDENCYPART_ARC
(21,23),0.261379 # DEPENDENCYPART_ARC
(21,25),-0.0901382 # DEPENDENCYPART_ARC
(21,26),-0.368663 # DEPENDENCYPART_ARC
(21,27),-1.5867 # DEPENDENCYPART_ARC
(21,28),-0.301233 # DEPENDENCYPART_ARC
(21,30),0.69057 # DEPENDENCYPART_ARC
(21,31),0.0135649 # DEPENDENCYPART_ARC
(21,33),-0.983939 # DEPENDENCYPART_ARC
(22,23),3.12913 # DEPENDENCYPART_ARC
(22,24),2.66191 # DEPENDENCYPART_ARC
(22,26),-0.224175 # DEPENDENCYPART_ARC
(22,27),-1.2057 # DEPENDENCYPART_ARC
(22,28),-0.0374081 # DEPENDENCYPART_ARC
(22,29),0.27153 # DEPENDENCYPART_ARC
(23,24),0.0124441 # DEPENDENCYPART_ARC
(24,25),-0.507161 # DEPENDENCYPART_ARC
(24,26),0.0309013 # DEPENDENCYPART_ARC
(24,27),-1.34432 # DEPENDENCYPART_ARC
(24,28),-0.74479 # DEPENDENCYPART_ARC
(24,29),-0.868832 # DEPENDENCYPART_ARC
(24,32),-2.18901 # DEPENDENCYPART_ARC
(26,25),0.965418 # DEPENDENCYPART_ARC
(26,27),0.960878 # DEPENDENCYPART_ARC
(26,28),0.0443955 # DEPENDENCYPART_ARC
(26,29),0.42512 # DEPENDENCYPART_ARC
(26,30),0.708854 # DEPENDENCYPART_ARC
(26,31),0.318906 # DEPENDENCYPART_ARC
(26,32),-1.5651 # DEPENDENCYPART_ARC
(26,33),-0.471736 # DEPENDENCYPART_ARC
(26,35),1.05789 # DEPENDENCYPART_ARC
(27,3),-0.681965 # DEPENDENCYPART_ARC
(27,19),-0.278217 # DEPENDENCYPART_ARC
(27,21),-0.908255 # DEPENDENCYPART_ARC
(27,25),-0.0901897 # DEPENDENCYPART_ARC
(27,26),1.00346 # DEPENDENCYPART_ARC
(27,28),2.08583 # DEPENDENCYPART_ARC
(27,29),1.32127 # DEPENDENCYPART_ARC
(27,30),1.379 # DEPENDENCYPART_ARC
(27,31),1.00366 # DEPENDENCYPART_ARC
(27,32),0.918706 # DEPENDENCYPART_ARC
(27,33),0.507121 # DEPENDENCYPART_ARC
(27,34),0.206635 # DEPENDENCYPART_ARC
(28,25),-0.0604884 # DEPENDENCYPART_ARC
(28,26),-0.614621 # DEPENDENCYPART_ARC
(28,27),-0.26709 # DEPENDENCYPART_ARC
(28,29),3.87098 # DEPENDENCYPART_ARC
(28,30),1.70987 # DEPENDENCYPART_ARC
(28,31),0.971756 # DEPENDENCYPART_ARC
(28,32),-0.28582 # DEPENDENCYPART_ARC
(28,33),0.458656 # DEPENDENCYPART_ARC
(29,31),-1.24266 # DEPENDENCYPART_ARC
(29,32),-1.36475 # DEPENDENCYPART_ARC
(29,33),-0.214418 # DEPENDENCYPART_ARC
(29,34),-0.648919 # DEPENDENCYPART_ARC
(31,32),2.38956 # DEPENDENCYPART_ARC
(31,33),0.616018 # DEPENDENCYPART_ARC
(31,34),1.40124 # DEPENDENCYPART_ARC
(32,3),0.687687 # DEPENDENCYPART_ARC
(32,7),-1.16877 # DEPENDENCYPART_ARC
(32,9),-0.583055 # DEPENDENCYPART_ARC
(32,12),0.0751184 # DEPENDENCYPART_ARC
(32,19),0.861706 # DEPENDENCYPART_ARC
(32,21),-0.155875 # DEPENDENCYPART_ARC
(32,26),0.761545 # DEPENDENCYPART_ARC
(32,28),0.46618 # DEPENDENCYPART_ARC
(32,31),1.80319 # DEPENDENCYPART_ARC
(32,33),1.6681 # DEPENDENCYPART_ARC
(32,34),0.955283 # DEPENDENCYPART_ARC
(33,32),-0.220983 # DEPENDENCYPART_ARC
(33,34),4.05357 # DEPENDENCYPART_ARC
