# _root_ El Consell_Regulador_de_la_Denominació_d'_Origen_Empordà-Costa_Brava ha concedit el Premi_Tòria_d'_Or , creat per premiar la promoció dels vins d' aquesta denominació d' origen , al Restaurant Ca_la_Maria de Mollet_de_Peralada .
#goldHeads=2,4,4,0,6,4,8,6,8,9,12,10,12,13,14,17,15,17,18,8,4,21,22,22,24,4,
#predictedHeads=2,4,4,0,6,4,8,6,8,9,12,10,12,13,14,17,15,17,18,21,12,21,22,22,24,4,
(6,26),-0.00373833 # DEPENDENCYPART_ARC
(8,5),-0.0577378 # DEPENDENCYPART_ARC
(8,7),2.68257 # DEPENDENCYPART_ARC
(8,9),4.04474 # DEPENDENCYPART_ARC
(8,10),0.634233 # DEPENDENCYPART_ARC
(8,12),0.0314362 # DEPENDENCYPART_ARC
(8,13),0.167627 # DEPENDENCYPART_ARC
(8,14),0.0314315 # DEPENDENCYPART_ARC
(8,15),-0.629964 # DEPENDENCYPART_ARC
(8,17),-0.388866 # DEPENDENCYPART_ARC
(8,18),-1.13904 # DEPENDENCYPART_ARC
(8,20),0.379983 # DEPENDENCYPART_ARC
(8,21),-1.27887 # DEPENDENCYPART_ARC
(9,5),-2.14983 # DEPENDENCYPART_ARC
(9,7),0.132216 # DEPENDENCYPART_ARC
(9,8),-0.352744 # DEPENDENCYPART_ARC
(9,10),3.89666 # DEPENDENCYPART_ARC
(9,12),0.730143 # DEPENDENCYPART_ARC
(9,13),-0.0577436 # DEPENDENCYPART_ARC
(9,15),-1.29524 # DEPENDENCYPART_ARC
(9,20),-0.530733 # DEPENDENCYPART_ARC
(9,26),-0.277617 # DEPENDENCYPART_ARC
(10,2),-1.96177 # DEPENDENCYPART_ARC
(10,3),-0.287645 # DEPENDENCYPART_ARC
(10,6),-2.28962 # DEPENDENCYPART_ARC
(10,7),-1.92323 # DEPENDENCYPART_ARC
(10,8),-2.35695 # DEPENDENCYPART_ARC
(10,9),-1.04628 # DEPENDENCYPART_ARC
(10,12),2.9979 # DEPENDENCYPART_ARC
(10,13),0.467372 # DEPENDENCYPART_ARC
(10,14),1.27016 # DEPENDENCYPART_ARC
(10,15),0.107139 # DEPENDENCYPART_ARC
(10,17),0.561666 # DEPENDENCYPART_ARC
(10,18),-0.322951 # DEPENDENCYPART_ARC
(10,19),0.00661368 # DEPENDENCYPART_ARC
(10,21),0.073335 # DEPENDENCYPART_ARC
(10,22),-1.06978 # DEPENDENCYPART_ARC
(10,23),-0.700224 # DEPENDENCYPART_ARC
(10,26),1.56446 # DEPENDENCYPART_ARC
(11,12),2.2422 # DEPENDENCYPART_ARC
(11,13),0.979406 # DEPENDENCYPART_ARC
(12,7),-0.636832 # DEPENDENCYPART_ARC
(12,8),-2.28067 # DEPENDENCYPART_ARC
(12,11),3.34574 # DEPENDENCYPART_ARC
(12,13),3.09738 # DEPENDENCYPART_ARC
(12,14),0.463885 # DEPENDENCYPART_ARC
(12,15),1.77562 # DEPENDENCYPART_ARC
(12,17),0.630305 # DEPENDENCYPART_ARC
(12,18),1.07678 # DEPENDENCYPART_ARC
(12,19),-0.298134 # DEPENDENCYPART_ARC
(12,20),-0.755383 # DEPENDENCYPART_ARC
(12,21),0.0918245 # DEPENDENCYPART_ARC
(12,22),-0.504077 # DEPENDENCYPART_ARC
(12,23),0.369037 # DEPENDENCYPART_ARC
(12,24),-0.819885 # DEPENDENCYPART_ARC
(12,25),-0.449826 # DEPENDENCYPART_ARC
(12,26),-0.153878 # DEPENDENCYPART_ARC
(13,11),-0.404217 # DEPENDENCYPART_ARC
(13,14),4.18605 # DEPENDENCYPART_ARC
(13,15),-0.314993 # DEPENDENCYPART_ARC
(13,17),-1.10301 # DEPENDENCYPART_ARC
(13,18),-1.26844 # DEPENDENCYPART_ARC
(13,20),0.251415 # DEPENDENCYPART_ARC
(13,21),-0.912362 # DEPENDENCYPART_ARC
(13,24),-0.485372 # DEPENDENCYPART_ARC
(14,11),0.540327 # DEPENDENCYPART_ARC
(14,13),0.601327 # DEPENDENCYPART_ARC
(14,15),2.2102 # DEPENDENCYPART_ARC
(14,17),0.0279078 # DEPENDENCYPART_ARC
(14,18),1.54949 # DEPENDENCYPART_ARC
(14,19),-0.0917309 # DEPENDENCYPART_ARC
(14,21),-0.241645 # DEPENDENCYPART_ARC
(14,22),-0.411254 # DEPENDENCYPART_ARC
(14,23),0.307532 # DEPENDENCYPART_ARC
(14,24),0.396206 # DEPENDENCYPART_ARC
(14,25),-0.328275 # DEPENDENCYPART_ARC
(14,26),-0.551532 # DEPENDENCYPART_ARC
(15,13),-0.591172 # DEPENDENCYPART_ARC
(15,17),4.21895 # DEPENDENCYPART_ARC
(15,18),-0.146821 # DEPENDENCYPART_ARC
(15,19),1.37614 # DEPENDENCYPART_ARC
(15,20),0.365447 # DEPENDENCYPART_ARC
(15,21),-0.658608 # DEPENDENCYPART_ARC
(15,24),-0.960084 # DEPENDENCYPART_ARC
(17,11),-1.01275 # DEPENDENCYPART_ARC
(17,13),-0.960082 # DEPENDENCYPART_ARC
(17,15),-0.0942728 # DEPENDENCYPART_ARC
(17,16),3.04715 # DEPENDENCYPART_ARC
(17,18),2.72146 # DEPENDENCYPART_ARC
(17,19),0.168773 # DEPENDENCYPART_ARC
(17,20),-0.230376 # DEPENDENCYPART_ARC
(17,21),-0.168001 # DEPENDENCYPART_ARC
(17,22),-0.562913 # DEPENDENCYPART_ARC
(17,23),0.330149 # DEPENDENCYPART_ARC
(17,24),0.543244 # DEPENDENCYPART_ARC
(18,19),3.78837 # DEPENDENCYPART_ARC
(18,20),0.876871 # DEPENDENCYPART_ARC
(18,21),0.0686876 # DEPENDENCYPART_ARC
(18,22),-0.000767989 # DEPENDENCYPART_ARC
(18,24),-0.667408 # DEPENDENCYPART_ARC
(19,15),0.33404 # DEPENDENCYPART_ARC
(19,16),0.836739 # DEPENDENCYPART_ARC
(19,18),1.76499 # DEPENDENCYPART_ARC
(19,20),-0.704499 # DEPENDENCYPART_ARC
(19,21),-0.506701 # DEPENDENCYPART_ARC
(19,22),-0.353133 # DEPENDENCYPART_ARC
(19,23),-0.352459 # DEPENDENCYPART_ARC
(19,24),0.342323 # DEPENDENCYPART_ARC
(19,25),-0.436194 # DEPENDENCYPART_ARC
(21,18),-0.539816 # DEPENDENCYPART_ARC
(21,20),1.67732 # DEPENDENCYPART_ARC
(21,22),2.84589 # DEPENDENCYPART_ARC
(21,23),0.145691 # DEPENDENCYPART_ARC
(21,24),-1.27793 # DEPENDENCYPART_ARC
(21,26),0.0310187 # DEPENDENCYPART_ARC
(22,23),2.65499 # DEPENDENCYPART_ARC
(22,24),1.91383 # DEPENDENCYPART_ARC
(22,25),0.978926 # DEPENDENCYPART_ARC
(22,26),0.386547 # DEPENDENCYPART_ARC
(23,22),1.23336 # DEPENDENCYPART_ARC
(23,24),1.40283 # DEPENDENCYPART_ARC
(23,25),0.733988 # DEPENDENCYPART_ARC
(23,26),0.529563 # DEPENDENCYPART_ARC
(24,25),3.52723 # DEPENDENCYPART_ARC
(25,23),0.00057562 # DEPENDENCYPART_ARC
