# _root_ El Congrés s' havia plantejat de consens a l' entorn_de Preses , que ha iniciat el tercer mandat al_capdavant_de Comissions , si_bé una hora abans d' acabar -se el termini Àngel_González ha presentat la_seva candidatura .
#goldHeads=2,5,5,5,0,5,6,7,10,8,10,15,15,15,11,18,18,15,15,19,15,33,24,25,33,25,26,27,30,27,33,33,5,35,33,5,
#predictedHeads=2,5,5,5,0,5,6,5,10,8,10,15,15,15,11,18,18,15,15,19,33,33,24,25,15,25,26,33,30,33,30,33,15,35,33,15,
(5,11),-0.259818 # DEPENDENCYPART_ARC
(5,12),0.481665 # DEPENDENCYPART_ARC
(5,14),0.370668 # DEPENDENCYPART_ARC
(5,15),0.0654488 # DEPENDENCYPART_ARC
(5,18),-0.168457 # DEPENDENCYPART_ARC
(5,19),0.705365 # DEPENDENCYPART_ARC
(5,21),1.12932 # DEPENDENCYPART_ARC
(5,22),-0.987008 # DEPENDENCYPART_ARC
(5,24),-1.83737 # DEPENDENCYPART_ARC
(5,25),-0.124017 # DEPENDENCYPART_ARC
(5,27),-2.20049 # DEPENDENCYPART_ARC
(5,30),-2.1608 # DEPENDENCYPART_ARC
(5,31),-2.17824 # DEPENDENCYPART_ARC
(5,32),-1.57604 # DEPENDENCYPART_ARC
(5,33),-0.720346 # DEPENDENCYPART_ARC
(5,35),-1.55397 # DEPENDENCYPART_ARC
(5,36),5.34524 # DEPENDENCYPART_ARC
(6,7),4.3728 # DEPENDENCYPART_ARC
(6,8),-0.43835 # DEPENDENCYPART_ARC
(6,10),-0.160249 # DEPENDENCYPART_ARC
(6,11),0.780887 # DEPENDENCYPART_ARC
(6,12),-0.558658 # DEPENDENCYPART_ARC
(7,1),-2.89656 # DEPENDENCYPART_ARC
(7,5),-1.95614 # DEPENDENCYPART_ARC
(7,6),1.02865 # DEPENDENCYPART_ARC
(7,8),1.02158 # DEPENDENCYPART_ARC
(7,10),0.178954 # DEPENDENCYPART_ARC
(7,11),-0.454877 # DEPENDENCYPART_ARC
(7,14),-0.279947 # DEPENDENCYPART_ARC
(7,15),-0.126371 # DEPENDENCYPART_ARC
(7,19),-0.490445 # DEPENDENCYPART_ARC
(8,6),-0.260482 # DEPENDENCYPART_ARC
(8,9),-0.131285 # DEPENDENCYPART_ARC
(8,10),1.62995 # DEPENDENCYPART_ARC
(8,11),3.18407 # DEPENDENCYPART_ARC
(8,12),0.360009 # DEPENDENCYPART_ARC
(8,14),-0.0887067 # DEPENDENCYPART_ARC
(8,15),-0.301724 # DEPENDENCYPART_ARC
(8,18),-2.25618 # DEPENDENCYPART_ARC
(9,6),-1.08691 # DEPENDENCYPART_ARC
(9,8),-0.382492 # DEPENDENCYPART_ARC
(10,1),-1.9234 # DEPENDENCYPART_ARC
(10,5),-1.20889 # DEPENDENCYPART_ARC
(10,6),0.0196943 # DEPENDENCYPART_ARC
(10,8),0.538099 # DEPENDENCYPART_ARC
(10,9),2.68643 # DEPENDENCYPART_ARC
(10,11),4.6696 # DEPENDENCYPART_ARC
(10,12),0.846312 # DEPENDENCYPART_ARC
(10,14),-0.117528 # DEPENDENCYPART_ARC
(10,15),0.357929 # DEPENDENCYPART_ARC
(11,9),-0.0887748 # DEPENDENCYPART_ARC
(11,10),-0.0381427 # DEPENDENCYPART_ARC
(11,12),-0.0361189 # DEPENDENCYPART_ARC
(11,14),1.07495 # DEPENDENCYPART_ARC
(11,15),1.09739 # DEPENDENCYPART_ARC
(11,18),-0.938829 # DEPENDENCYPART_ARC
(11,22),-0.553273 # DEPENDENCYPART_ARC
(11,36),1.79445 # DEPENDENCYPART_ARC
(14,2),-3.43752 # DEPENDENCYPART_ARC
(14,8),-1.51178 # DEPENDENCYPART_ARC
(14,10),-0.925731 # DEPENDENCYPART_ARC
(14,12),-0.648604 # DEPENDENCYPART_ARC
(14,13),0.927049 # DEPENDENCYPART_ARC
(14,18),-0.914043 # DEPENDENCYPART_ARC
(14,19),-0.609685 # DEPENDENCYPART_ARC
(14,33),-2.10093 # DEPENDENCYPART_ARC
(14,36),2.43395 # DEPENDENCYPART_ARC
(15,2),-0.171748 # DEPENDENCYPART_ARC
(15,4),0.962218 # DEPENDENCYPART_ARC
(15,5),-1.08485 # DEPENDENCYPART_ARC
(15,6),-1.23391 # DEPENDENCYPART_ARC
(15,7),-1.03336 # DEPENDENCYPART_ARC
(15,8),-0.00302538 # DEPENDENCYPART_ARC
(15,9),-1.53292 # DEPENDENCYPART_ARC
(15,10),0.45471 # DEPENDENCYPART_ARC
(15,11),-0.386775 # DEPENDENCYPART_ARC
(15,12),1.5796 # DEPENDENCYPART_ARC
(15,13),3.62955 # DEPENDENCYPART_ARC
(15,14),5.72565 # DEPENDENCYPART_ARC
(15,17),1.05585 # DEPENDENCYPART_ARC
(15,18),1.57833 # DEPENDENCYPART_ARC
(15,19),2.12196 # DEPENDENCYPART_ARC
(15,20),0.580783 # DEPENDENCYPART_ARC
(15,21),1.03752 # DEPENDENCYPART_ARC
(15,22),0.727162 # DEPENDENCYPART_ARC
(15,24),-1.50782 # DEPENDENCYPART_ARC
(15,25),1.06333 # DEPENDENCYPART_ARC
(15,26),-1.23471 # DEPENDENCYPART_ARC
(15,27),0.726434 # DEPENDENCYPART_ARC
(15,30),-2.12894 # DEPENDENCYPART_ARC
(15,31),-1.92264 # DEPENDENCYPART_ARC
(15,32),0.666355 # DEPENDENCYPART_ARC
(15,33),0.594174 # DEPENDENCYPART_ARC
(15,35),-2.13601 # DEPENDENCYPART_ARC
(15,36),5.49759 # DEPENDENCYPART_ARC
(16,17),0.213932 # DEPENDENCYPART_ARC
(17,16),0.386594 # DEPENDENCYPART_ARC
(17,19),-0.263043 # DEPENDENCYPART_ARC
(17,21),-0.970081 # DEPENDENCYPART_ARC
(17,27),-0.687821 # DEPENDENCYPART_ARC
(18,5),-3.73404 # DEPENDENCYPART_ARC
(18,6),-1.19302 # DEPENDENCYPART_ARC
(18,8),-0.684819 # DEPENDENCYPART_ARC
(18,10),-0.877522 # DEPENDENCYPART_ARC
(18,12),-0.316498 # DEPENDENCYPART_ARC
(18,14),-1.76581 # DEPENDENCYPART_ARC
(18,15),-2.1761 # DEPENDENCYPART_ARC
(18,16),3.38376 # DEPENDENCYPART_ARC
(18,17),4.42683 # DEPENDENCYPART_ARC
(18,19),1.82449 # DEPENDENCYPART_ARC
(18,20),0.460305 # DEPENDENCYPART_ARC
(18,21),0.177986 # DEPENDENCYPART_ARC
(18,22),0.666066 # DEPENDENCYPART_ARC
(18,23),-2.08583 # DEPENDENCYPART_ARC
(18,24),-0.982274 # DEPENDENCYPART_ARC
(18,25),-0.315768 # DEPENDENCYPART_ARC
(18,26),-1.21053 # DEPENDENCYPART_ARC
(18,27),-0.680393 # DEPENDENCYPART_ARC
(18,30),-2.21361 # DEPENDENCYPART_ARC
(18,31),-1.60621 # DEPENDENCYPART_ARC
(18,33),-1.17867 # DEPENDENCYPART_ARC
(18,35),-2.16075 # DEPENDENCYPART_ARC
(18,36),0.680882 # DEPENDENCYPART_ARC
(19,18),-0.355801 # DEPENDENCYPART_ARC
(19,20),3.0415 # DEPENDENCYPART_ARC
(19,21),0.37117 # DEPENDENCYPART_ARC
(19,22),-0.528015 # DEPENDENCYPART_ARC
(20,16),-1.08645 # DEPENDENCYPART_ARC
(20,18),-1.16911 # DEPENDENCYPART_ARC
(20,22),-0.190337 # DEPENDENCYPART_ARC
(20,24),-1.51039 # DEPENDENCYPART_ARC
(22,21),0.828446 # DEPENDENCYPART_ARC
(22,23),-0.742137 # DEPENDENCYPART_ARC
(22,24),-0.132172 # DEPENDENCYPART_ARC
(22,26),-0.702865 # DEPENDENCYPART_ARC
(22,27),-0.510611 # DEPENDENCYPART_ARC
(23,24),1.82727 # DEPENDENCYPART_ARC
(23,25),0.728043 # DEPENDENCYPART_ARC
(23,26),0.072112 # DEPENDENCYPART_ARC
(24,5),-3.56952 # DEPENDENCYPART_ARC
(24,6),-1.79132 # DEPENDENCYPART_ARC
(24,18),-1.46366 # DEPENDENCYPART_ARC
(24,19),-0.443652 # DEPENDENCYPART_ARC
(24,21),0.0735198 # DEPENDENCYPART_ARC
(24,22),0.499407 # DEPENDENCYPART_ARC
(24,23),4.04966 # DEPENDENCYPART_ARC
(24,25),1.31047 # DEPENDENCYPART_ARC
(24,26),1.71043 # DEPENDENCYPART_ARC
(24,27),1.02275 # DEPENDENCYPART_ARC
(24,30),-0.988087 # DEPENDENCYPART_ARC
(24,31),-0.325479 # DEPENDENCYPART_ARC
(24,32),-0.7285 # DEPENDENCYPART_ARC
(24,33),-0.324869 # DEPENDENCYPART_ARC
(24,35),-0.864179 # DEPENDENCYPART_ARC
(25,19),0.03581 # DEPENDENCYPART_ARC
(25,21),0.828886 # DEPENDENCYPART_ARC
(25,24),2.09409 # DEPENDENCYPART_ARC
(25,26),2.89281 # DEPENDENCYPART_ARC
(25,27),1.42033 # DEPENDENCYPART_ARC
(25,30),-0.122423 # DEPENDENCYPART_ARC
(25,31),-0.162377 # DEPENDENCYPART_ARC
(25,33),-0.648064 # DEPENDENCYPART_ARC
(26,23),-0.956414 # DEPENDENCYPART_ARC
(26,24),-0.758022 # DEPENDENCYPART_ARC
(26,25),1.07795 # DEPENDENCYPART_ARC
(26,27),3.11121 # DEPENDENCYPART_ARC
(26,30),-0.56866 # DEPENDENCYPART_ARC
(26,31),-2.7973 # DEPENDENCYPART_ARC
(26,33),-0.970222 # DEPENDENCYPART_ARC
(27,2),-2.77301 # DEPENDENCYPART_ARC
(27,4),-0.890898 # DEPENDENCYPART_ARC
(27,5),-2.4326 # DEPENDENCYPART_ARC
(27,13),0.214921 # DEPENDENCYPART_ARC
(27,14),-0.268221 # DEPENDENCYPART_ARC
(27,15),-2.06446 # DEPENDENCYPART_ARC
(27,18),-2.06916 # DEPENDENCYPART_ARC
(27,19),-1.49568 # DEPENDENCYPART_ARC
(27,21),1.4847 # DEPENDENCYPART_ARC
(27,22),0.57271 # DEPENDENCYPART_ARC
(27,24),0.157108 # DEPENDENCYPART_ARC
(27,25),0.170232 # DEPENDENCYPART_ARC
(27,26),1.15545 # DEPENDENCYPART_ARC
(27,28),1.81452 # DEPENDENCYPART_ARC
(27,30),1.35625 # DEPENDENCYPART_ARC
(27,31),0.434346 # DEPENDENCYPART_ARC
(27,32),0.399816 # DEPENDENCYPART_ARC
(27,33),-0.354031 # DEPENDENCYPART_ARC
(27,35),0.639596 # DEPENDENCYPART_ARC
(27,36),1.65345 # DEPENDENCYPART_ARC
(29,25),-1.28817 # DEPENDENCYPART_ARC
(29,26),-0.602997 # DEPENDENCYPART_ARC
(30,23),-1.65799 # DEPENDENCYPART_ARC
(30,25),-1.11327 # DEPENDENCYPART_ARC
(30,26),-0.558323 # DEPENDENCYPART_ARC
(30,27),-1.27518 # DEPENDENCYPART_ARC
(30,29),3.18957 # DEPENDENCYPART_ARC
(30,31),2.60799 # DEPENDENCYPART_ARC
(30,32),0.0563195 # DEPENDENCYPART_ARC
(30,33),0.249065 # DEPENDENCYPART_ARC
(30,35),-0.796729 # DEPENDENCYPART_ARC
(31,29),0.950529 # DEPENDENCYPART_ARC
(31,30),0.387556 # DEPENDENCYPART_ARC
(32,22),-0.291386 # DEPENDENCYPART_ARC
(32,30),-0.683707 # DEPENDENCYPART_ARC
(32,31),-0.738421 # DEPENDENCYPART_ARC
(32,35),-0.0915741 # DEPENDENCYPART_ARC
(32,36),1.67734 # DEPENDENCYPART_ARC
(33,2),-2.022 # DEPENDENCYPART_ARC
(33,4),0.772041 # DEPENDENCYPART_ARC
(33,5),-0.332123 # DEPENDENCYPART_ARC
(33,8),-1.97883 # DEPENDENCYPART_ARC
(33,10),-1.02336 # DEPENDENCYPART_ARC
(33,12),-1.09948 # DEPENDENCYPART_ARC
(33,13),0.275883 # DEPENDENCYPART_ARC
(33,14),0.364138 # DEPENDENCYPART_ARC
(33,15),-0.704139 # DEPENDENCYPART_ARC
(33,17),-0.442163 # DEPENDENCYPART_ARC
(33,18),-1.09456 # DEPENDENCYPART_ARC
(33,19),-0.536795 # DEPENDENCYPART_ARC
(33,21),1.50453 # DEPENDENCYPART_ARC
(33,22),1.69938 # DEPENDENCYPART_ARC
(33,24),0.87252 # DEPENDENCYPART_ARC
(33,25),0.749076 # DEPENDENCYPART_ARC
(33,26),-0.226255 # DEPENDENCYPART_ARC
(33,27),0.76237 # DEPENDENCYPART_ARC
(33,28),1.9233 # DEPENDENCYPART_ARC
(33,29),-0.416067 # DEPENDENCYPART_ARC
(33,30),2.17699 # DEPENDENCYPART_ARC
(33,31),1.80685 # DEPENDENCYPART_ARC
(33,32),6.06482 # DEPENDENCYPART_ARC
(33,35),3.4722 # DEPENDENCYPART_ARC
(33,36),3.27926 # DEPENDENCYPART_ARC
(35,34),3.22085 # DEPENDENCYPART_ARC
