# _root_ ' Si no volen participar , almenys que aportin els_seus estudis ' , ha explicat Fabra .
#goldHeads=9,4,4,9,4,4,9,9,15,11,9,9,9,15,0,15,15,
#predictedHeads=4,4,4,15,4,7,9,9,15,11,9,9,9,15,0,15,15,
(8,12),-1.06145 # DEPENDENCYPART_ARC
(8,13),-1.2323 # DEPENDENCYPART_ARC
(8,15),-1.91789 # DEPENDENCYPART_ARC
(8,17),-0.779263 # DEPENDENCYPART_ARC
(9,1),1.9943 # DEPENDENCYPART_ARC
(9,2),-0.721283 # DEPENDENCYPART_ARC
(9,3),0.588593 # DEPENDENCYPART_ARC
(9,4),-0.0438623 # DEPENDENCYPART_ARC
(9,5),-1.49849 # DEPENDENCYPART_ARC
(9,6),0.826185 # DEPENDENCYPART_ARC
(9,7),1.42153 # DEPENDENCYPART_ARC
(9,8),3.5742 # DEPENDENCYPART_ARC
(9,11),3.79632 # DEPENDENCYPART_ARC
(9,12),1.64433 # DEPENDENCYPART_ARC
(9,13),1.88639 # DEPENDENCYPART_ARC
(9,14),0.942115 # DEPENDENCYPART_ARC
(9,15),0.692807 # DEPENDENCYPART_ARC
(9,16),0.218948 # DEPENDENCYPART_ARC
(9,17),1.26005 # DEPENDENCYPART_ARC
(11,2),-1.28804 # DEPENDENCYPART_ARC
(11,4),-1.5477 # DEPENDENCYPART_ARC
(11,5),-2.22608 # DEPENDENCYPART_ARC
(11,6),-0.299977 # DEPENDENCYPART_ARC
(11,7),-0.320176 # DEPENDENCYPART_ARC
(11,8),1.05884 # DEPENDENCYPART_ARC
(11,9),0.18384 # DEPENDENCYPART_ARC
(11,10),2.87794 # DEPENDENCYPART_ARC
(11,12),0.410609 # DEPENDENCYPART_ARC
(11,13),-0.486267 # DEPENDENCYPART_ARC
(11,14),-0.381991 # DEPENDENCYPART_ARC
(11,15),-0.192213 # DEPENDENCYPART_ARC
(11,16),-1.0464 # DEPENDENCYPART_ARC
(11,17),-0.392729 # DEPENDENCYPART_ARC
(13,11),-1.82374 # DEPENDENCYPART_ARC
(14,1),-0.825449 # DEPENDENCYPART_ARC
(14,2),-3.66983 # DEPENDENCYPART_ARC
(14,4),-1.83848 # DEPENDENCYPART_ARC
(14,5),-3.60005 # DEPENDENCYPART_ARC
(14,6),-3.33357 # DEPENDENCYPART_ARC
(14,7),-2.00732 # DEPENDENCYPART_ARC
(14,8),0.170487 # DEPENDENCYPART_ARC
(14,9),-0.955428 # DEPENDENCYPART_ARC
(14,11),-1.98059 # DEPENDENCYPART_ARC
(14,12),-1.30935 # DEPENDENCYPART_ARC
(14,13),-1.86404 # DEPENDENCYPART_ARC
(14,15),0.227322 # DEPENDENCYPART_ARC
(14,16),0.966004 # DEPENDENCYPART_ARC
(14,17),1.72035 # DEPENDENCYPART_ARC
(15,1),1.51611 # DEPENDENCYPART_ARC
(15,2),-1.48658 # DEPENDENCYPART_ARC
(15,4),1.70622 # DEPENDENCYPART_ARC
(15,5),-0.657151 # DEPENDENCYPART_ARC
(15,6),-0.452493 # DEPENDENCYPART_ARC
(15,7),0.271309 # DEPENDENCYPART_ARC
(15,8),2.11529 # DEPENDENCYPART_ARC
(15,9),1.55613 # DEPENDENCYPART_ARC
(15,11),0.757525 # DEPENDENCYPART_ARC
(15,12),0.971771 # DEPENDENCYPART_ARC
(15,13),0.605146 # DEPENDENCYPART_ARC
(15,14),6.37885 # DEPENDENCYPART_ARC
(15,16),3.48945 # DEPENDENCYPART_ARC
(15,17),3.76421 # DEPENDENCYPART_ARC
(16,4),-3.83857 # DEPENDENCYPART_ARC
(16,5),-3.59825 # DEPENDENCYPART_ARC
(16,9),-2.64733 # DEPENDENCYPART_ARC
(16,13),-0.959787 # DEPENDENCYPART_ARC
(16,15),-0.416285 # DEPENDENCYPART_ARC
(16,17),-0.21659 # DEPENDENCYPART_ARC
