# _root_ L' empresa Formigons_Montcau desmantellarà la_seva fàbrica de Sabadell , situada al barri d' Hostafrancs i envoltada de vivendes , en un termini de tres anys .
#goldHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,4,22,20,22,25,23,4,
#predictedHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,6,22,20,22,25,23,4,
(12,20),-0.428406 # DEPENDENCYPART_ARC
(12,22),-0.287263 # DEPENDENCYPART_ARC
(12,23),0.463695 # DEPENDENCYPART_ARC
(12,25),-0.883716 # DEPENDENCYPART_ARC
(12,26),0.526597 # DEPENDENCYPART_ARC
(13,9),-0.55835 # DEPENDENCYPART_ARC
(13,14),3.54997 # DEPENDENCYPART_ARC
(13,15),0.361522 # DEPENDENCYPART_ARC
(13,16),-0.395127 # DEPENDENCYPART_ARC
(13,17),0.0522457 # DEPENDENCYPART_ARC
(13,18),1.03712 # DEPENDENCYPART_ARC
(13,19),0.790283 # DEPENDENCYPART_ARC
(13,20),-0.435035 # DEPENDENCYPART_ARC
(14,10),-1.59225 # DEPENDENCYPART_ARC
(14,15),0.847877 # DEPENDENCYPART_ARC
(14,16),0.185497 # DEPENDENCYPART_ARC
(14,17),0.862705 # DEPENDENCYPART_ARC
(14,18),0.198864 # DEPENDENCYPART_ARC
(14,20),-1.54775 # DEPENDENCYPART_ARC
(14,22),-1.17451 # DEPENDENCYPART_ARC
(14,23),-1.02371 # DEPENDENCYPART_ARC
(16,7),0.500116 # DEPENDENCYPART_ARC
(16,9),0.5695 # DEPENDENCYPART_ARC
(16,11),-0.305258 # DEPENDENCYPART_ARC
(16,13),1.54534 # DEPENDENCYPART_ARC
(16,15),1.59503 # DEPENDENCYPART_ARC
(16,17),2.54036 # DEPENDENCYPART_ARC
(16,18),0.655557 # DEPENDENCYPART_ARC
(16,19),0.982551 # DEPENDENCYPART_ARC
(16,20),0.450452 # DEPENDENCYPART_ARC
(16,22),-0.0800802 # DEPENDENCYPART_ARC
(16,23),-0.704108 # DEPENDENCYPART_ARC
(16,26),0.227798 # DEPENDENCYPART_ARC
(17,15),-0.207319 # DEPENDENCYPART_ARC
(17,16),0.325185 # DEPENDENCYPART_ARC
(17,18),4.47509 # DEPENDENCYPART_ARC
(17,19),0.230276 # DEPENDENCYPART_ARC
(17,20),-1.06325 # DEPENDENCYPART_ARC
(18,13),-0.759214 # DEPENDENCYPART_ARC
(18,16),-1.07149 # DEPENDENCYPART_ARC
(18,19),-0.666255 # DEPENDENCYPART_ARC
(18,20),-0.4582 # DEPENDENCYPART_ARC
(18,21),-2.90362 # DEPENDENCYPART_ARC
(18,22),-1.2314 # DEPENDENCYPART_ARC
(18,23),-0.107515 # DEPENDENCYPART_ARC
(18,25),-0.681585 # DEPENDENCYPART_ARC
(18,26),-0.63384 # DEPENDENCYPART_ARC
(20,19),1.82146 # DEPENDENCYPART_ARC
(20,21),-0.975515 # DEPENDENCYPART_ARC
(20,22),3.81441 # DEPENDENCYPART_ARC
(20,23),-0.514556 # DEPENDENCYPART_ARC
(20,25),1.08839 # DEPENDENCYPART_ARC
(20,26),0.22063 # DEPENDENCYPART_ARC
(21,22),2.78274 # DEPENDENCYPART_ARC
(21,23),0.628771 # DEPENDENCYPART_ARC
(21,24),0.7326 # DEPENDENCYPART_ARC
(22,10),-2.12188 # DEPENDENCYPART_ARC
(22,17),-1.1595 # DEPENDENCYPART_ARC
(22,19),0.0936424 # DEPENDENCYPART_ARC
(22,21),3.47626 # DEPENDENCYPART_ARC
(22,23),2.74306 # DEPENDENCYPART_ARC
(22,25),0.609409 # DEPENDENCYPART_ARC
(22,26),0.61195 # DEPENDENCYPART_ARC
(23,21),-0.651147 # DEPENDENCYPART_ARC
(23,25),4.78036 # DEPENDENCYPART_ARC
(24,23),1.47058 # DEPENDENCYPART_ARC
(25,21),2.19167 # DEPENDENCYPART_ARC
(25,24),3.09263 # DEPENDENCYPART_ARC
