# _root_ Si l' objectiu és que el_nostre programa de quatre anys es pugui aconseguir , que el finançament de l' Estat arribi millor del que està arribant , ho hem de saber explicar .
#goldHeads=4,3,4,31,13,7,13,7,10,8,13,13,4,13,21,17,21,17,20,18,13,21,22,26,26,23,26,31,31,31,0,31,31,
#predictedHeads=4,3,4,0,13,7,13,7,10,8,13,13,4,26,21,17,21,17,20,18,4,21,22,26,26,23,26,31,31,31,23,31,4,
(15,14),0.24659 # DEPENDENCYPART_ARC
(15,17),-1.25625 # DEPENDENCYPART_ARC
(15,18),-1.3199 # DEPENDENCYPART_ARC
(16,18),0.350783 # DEPENDENCYPART_ARC
(16,19),-0.658984 # DEPENDENCYPART_ARC
(17,8),-0.665565 # DEPENDENCYPART_ARC
(17,13),-1.4568 # DEPENDENCYPART_ARC
(17,14),-0.0205954 # DEPENDENCYPART_ARC
(17,15),0.894971 # DEPENDENCYPART_ARC
(17,16),3.23837 # DEPENDENCYPART_ARC
(17,18),2.79836 # DEPENDENCYPART_ARC
(17,20),1.05586 # DEPENDENCYPART_ARC
(17,21),0.380714 # DEPENDENCYPART_ARC
(17,22),-0.497231 # DEPENDENCYPART_ARC
(17,23),-1.58849 # DEPENDENCYPART_ARC
(17,25),-0.774788 # DEPENDENCYPART_ARC
(17,26),-1.22363 # DEPENDENCYPART_ARC
(17,29),-2.48319 # DEPENDENCYPART_ARC
(18,16),-1.04096 # DEPENDENCYPART_ARC
(18,19),-0.402502 # DEPENDENCYPART_ARC
(18,20),4.37042 # DEPENDENCYPART_ARC
(18,23),-0.921397 # DEPENDENCYPART_ARC
(18,30),-1.9273 # DEPENDENCYPART_ARC
(19,18),-0.272228 # DEPENDENCYPART_ARC
(20,16),-1.0318 # DEPENDENCYPART_ARC
(20,19),2.42148 # DEPENDENCYPART_ARC
(20,21),-0.777812 # DEPENDENCYPART_ARC
(21,1),-0.396817 # DEPENDENCYPART_ARC
(21,3),-1.86552 # DEPENDENCYPART_ARC
(21,4),-2.67339 # DEPENDENCYPART_ARC
(21,5),1.87233 # DEPENDENCYPART_ARC
(21,7),-0.342385 # DEPENDENCYPART_ARC
(21,10),-0.976792 # DEPENDENCYPART_ARC
(21,12),-0.623118 # DEPENDENCYPART_ARC
(21,13),-1.47273 # DEPENDENCYPART_ARC
(21,14),1.43126 # DEPENDENCYPART_ARC
(21,15),2.83847 # DEPENDENCYPART_ARC
(21,16),-1.4173 # DEPENDENCYPART_ARC
(21,17),1.64769 # DEPENDENCYPART_ARC
(21,18),-0.447383 # DEPENDENCYPART_ARC
(21,19),-0.261632 # DEPENDENCYPART_ARC
(21,20),2.20623 # DEPENDENCYPART_ARC
(21,22),1.92066 # DEPENDENCYPART_ARC
(21,23),0.0551904 # DEPENDENCYPART_ARC
(21,25),0.694463 # DEPENDENCYPART_ARC
(21,26),0.914612 # DEPENDENCYPART_ARC
(21,27),0.609543 # DEPENDENCYPART_ARC
(21,28),-0.905098 # DEPENDENCYPART_ARC
(21,29),-1.05271 # DEPENDENCYPART_ARC
(21,30),-1.01854 # DEPENDENCYPART_ARC
(21,31),-1.04816 # DEPENDENCYPART_ARC
(21,32),-0.688101 # DEPENDENCYPART_ARC
(21,33),2.63115 # DEPENDENCYPART_ARC
(22,18),-1.44461 # DEPENDENCYPART_ARC
(22,23),1.55066 # DEPENDENCYPART_ARC
(22,25),-0.466743 # DEPENDENCYPART_ARC
(22,27),0.0956034 # DEPENDENCYPART_ARC
(22,30),-2.31133 # DEPENDENCYPART_ARC
(23,16),-2.70063 # DEPENDENCYPART_ARC
(23,19),-1.85295 # DEPENDENCYPART_ARC
(23,21),-1.10013 # DEPENDENCYPART_ARC
(23,22),0.76211 # DEPENDENCYPART_ARC
(23,24),0.706144 # DEPENDENCYPART_ARC
(23,25),3.80848 # DEPENDENCYPART_ARC
(23,26),1.76584 # DEPENDENCYPART_ARC
(23,27),0.727247 # DEPENDENCYPART_ARC
(23,29),0.0445192 # DEPENDENCYPART_ARC
(23,30),-0.381465 # DEPENDENCYPART_ARC
(23,31),-0.0648794 # DEPENDENCYPART_ARC
(23,32),-0.377764 # DEPENDENCYPART_ARC
(24,23),-0.562002 # DEPENDENCYPART_ARC
(24,25),-0.390422 # DEPENDENCYPART_ARC
(25,5),-0.864867 # DEPENDENCYPART_ARC
(25,7),-3.06195 # DEPENDENCYPART_ARC
(25,14),-0.538723 # DEPENDENCYPART_ARC
(25,15),0.310137 # DEPENDENCYPART_ARC
(25,17),-1.25189 # DEPENDENCYPART_ARC
(25,22),-0.747572 # DEPENDENCYPART_ARC
(25,23),-0.698082 # DEPENDENCYPART_ARC
(25,24),2.02786 # DEPENDENCYPART_ARC
(25,26),1.53949 # DEPENDENCYPART_ARC
(25,27),0.193761 # DEPENDENCYPART_ARC
(25,28),-1.91545 # DEPENDENCYPART_ARC
(25,29),-1.04878 # DEPENDENCYPART_ARC
(25,30),-1.38895 # DEPENDENCYPART_ARC
(25,31),-2.23565 # DEPENDENCYPART_ARC
(25,33),0.979268 # DEPENDENCYPART_ARC
(26,1),-1.13432 # DEPENDENCYPART_ARC
(26,3),-2.89416 # DEPENDENCYPART_ARC
(26,4),-1.32811 # DEPENDENCYPART_ARC
(26,5),1.42331 # DEPENDENCYPART_ARC
(26,7),-2.0117 # DEPENDENCYPART_ARC
(26,12),0.310512 # DEPENDENCYPART_ARC
(26,13),-2.11162 # DEPENDENCYPART_ARC
(26,14),1.43441 # DEPENDENCYPART_ARC
(26,15),2.61145 # DEPENDENCYPART_ARC
(26,16),-1.71722 # DEPENDENCYPART_ARC
(26,17),-0.170738 # DEPENDENCYPART_ARC
(26,18),-0.270146 # DEPENDENCYPART_ARC
(26,19),-1.66685 # DEPENDENCYPART_ARC
(26,20),1.43489 # DEPENDENCYPART_ARC
(26,21),0.595914 # DEPENDENCYPART_ARC
(26,22),0.839394 # DEPENDENCYPART_ARC
(26,23),-0.118362 # DEPENDENCYPART_ARC
(26,24),3.52338 # DEPENDENCYPART_ARC
(26,25),5.46211 # DEPENDENCYPART_ARC
(26,27),1.16213 # DEPENDENCYPART_ARC
(26,28),0.996383 # DEPENDENCYPART_ARC
(26,29),1.06274 # DEPENDENCYPART_ARC
(26,30),-0.344973 # DEPENDENCYPART_ARC
(26,31),-0.446161 # DEPENDENCYPART_ARC
(26,32),-0.693367 # DEPENDENCYPART_ARC
(26,33),1.88875 # DEPENDENCYPART_ARC
(28,27),0.823483 # DEPENDENCYPART_ARC
(28,30),-1.10736 # DEPENDENCYPART_ARC
(29,5),-1.45366 # DEPENDENCYPART_ARC
(29,15),-0.647935 # DEPENDENCYPART_ARC
(29,17),-3.54989 # DEPENDENCYPART_ARC
(29,22),-2.25753 # DEPENDENCYPART_ARC
(29,23),-2.93168 # DEPENDENCYPART_ARC
(29,24),-0.915279 # DEPENDENCYPART_ARC
(29,25),-0.607518 # DEPENDENCYPART_ARC
(29,26),-1.69003 # DEPENDENCYPART_ARC
(29,27),-0.241998 # DEPENDENCYPART_ARC
(29,28),0.66268 # DEPENDENCYPART_ARC
(29,30),1.01515 # DEPENDENCYPART_ARC
(29,31),-0.889096 # DEPENDENCYPART_ARC
(29,32),-0.749436 # DEPENDENCYPART_ARC
(29,33),-0.129952 # DEPENDENCYPART_ARC
(30,31),1.51646 # DEPENDENCYPART_ARC
(30,32),1.35866 # DEPENDENCYPART_ARC
(31,1),-3.41124 # DEPENDENCYPART_ARC
(31,4),-2.37614 # DEPENDENCYPART_ARC
(31,5),-0.269562 # DEPENDENCYPART_ARC
(31,7),-3.39337 # DEPENDENCYPART_ARC
(31,12),-0.318648 # DEPENDENCYPART_ARC
(31,15),0.886724 # DEPENDENCYPART_ARC
(31,17),-1.70849 # DEPENDENCYPART_ARC
(31,21),-0.270466 # DEPENDENCYPART_ARC
(31,22),-0.801697 # DEPENDENCYPART_ARC
(31,23),-2.05321 # DEPENDENCYPART_ARC
(31,24),0.184227 # DEPENDENCYPART_ARC
(31,25),0.620636 # DEPENDENCYPART_ARC
(31,26),-0.60493 # DEPENDENCYPART_ARC
(31,27),0.382487 # DEPENDENCYPART_ARC
(31,28),1.17231 # DEPENDENCYPART_ARC
(31,29),3.00767 # DEPENDENCYPART_ARC
(31,30),2.0957 # DEPENDENCYPART_ARC
(31,32),3.23274 # DEPENDENCYPART_ARC
(31,33),1.67613 # DEPENDENCYPART_ARC
(32,1),-5.09634 # DEPENDENCYPART_ARC
(32,4),-2.40369 # DEPENDENCYPART_ARC
(32,5),-1.55128 # DEPENDENCYPART_ARC
(32,7),-4.57229 # DEPENDENCYPART_ARC
(32,12),-0.185206 # DEPENDENCYPART_ARC
(32,13),-2.24413 # DEPENDENCYPART_ARC
(32,14),-1.32663 # DEPENDENCYPART_ARC
(32,15),-0.24623 # DEPENDENCYPART_ARC
(32,17),-2.49888 # DEPENDENCYPART_ARC
(32,20),-1.6121 # DEPENDENCYPART_ARC
(32,21),-0.835587 # DEPENDENCYPART_ARC
(32,22),-2.40101 # DEPENDENCYPART_ARC
(32,23),-3.65154 # DEPENDENCYPART_ARC
(32,24),-1.0081 # DEPENDENCYPART_ARC
(32,25),-0.202629 # DEPENDENCYPART_ARC
(32,26),-1.80712 # DEPENDENCYPART_ARC
(32,27),-0.615885 # DEPENDENCYPART_ARC
(32,28),0.1243 # DEPENDENCYPART_ARC
(32,29),1.37573 # DEPENDENCYPART_ARC
(32,30),0.59924 # DEPENDENCYPART_ARC
(32,31),2.21584 # DEPENDENCYPART_ARC
(32,33),3.26626 # DEPENDENCYPART_ARC
