# _root_ A_més_a_més_de presó , reclama la clausura de l' empresa durant dos anys , la inhabilitació durant cinc anys per exercir com_a industrial i una multa .
#goldHeads=4,1,1,0,6,4,6,9,7,6,12,10,6,15,6,15,18,16,15,19,20,21,6,25,6,4,
#predictedHeads=4,1,1,0,6,4,6,9,7,4,12,10,15,15,6,15,18,16,4,19,20,21,22,25,20,4,
(6,16),0.852739 # DEPENDENCYPART_ARC
(6,18),-0.408654 # DEPENDENCYPART_ARC
(6,19),0.634645 # DEPENDENCYPART_ARC
(6,20),0.22655 # DEPENDENCYPART_ARC
(6,21),-0.475653 # DEPENDENCYPART_ARC
(6,23),0.315875 # DEPENDENCYPART_ARC
(6,25),0.421096 # DEPENDENCYPART_ARC
(6,26),0.77294 # DEPENDENCYPART_ARC
(7,1),-1.7267 # DEPENDENCYPART_ARC
(7,3),-1.23302 # DEPENDENCYPART_ARC
(7,5),-0.656934 # DEPENDENCYPART_ARC
(7,9),4.29598 # DEPENDENCYPART_ARC
(7,10),-0.925164 # DEPENDENCYPART_ARC
(7,12),1.0325 # DEPENDENCYPART_ARC
(7,13),-0.614482 # DEPENDENCYPART_ARC
(8,7),0.166864 # DEPENDENCYPART_ARC
(8,9),2.33952 # DEPENDENCYPART_ARC
(8,10),-1.08997 # DEPENDENCYPART_ARC
(8,11),-0.314628 # DEPENDENCYPART_ARC
(9,1),-2.41859 # DEPENDENCYPART_ARC
(9,3),-0.702563 # DEPENDENCYPART_ARC
(9,5),0.497231 # DEPENDENCYPART_ARC
(9,7),0.252851 # DEPENDENCYPART_ARC
(9,8),3.13124 # DEPENDENCYPART_ARC
(9,10),0.964838 # DEPENDENCYPART_ARC
(9,12),0.777354 # DEPENDENCYPART_ARC
(9,13),0.440776 # DEPENDENCYPART_ARC
(9,15),0.724034 # DEPENDENCYPART_ARC
(9,16),0.349659 # DEPENDENCYPART_ARC
(9,18),-0.333896 # DEPENDENCYPART_ARC
(9,19),0.190932 # DEPENDENCYPART_ARC
(9,20),0.167792 # DEPENDENCYPART_ARC
(9,21),-1.02862 # DEPENDENCYPART_ARC
(9,23),-0.58582 # DEPENDENCYPART_ARC
(9,25),-0.00234609 # DEPENDENCYPART_ARC
(9,26),0.188352 # DEPENDENCYPART_ARC
(10,8),-1.04904 # DEPENDENCYPART_ARC
(10,11),-0.938898 # DEPENDENCYPART_ARC
(10,12),4.87525 # DEPENDENCYPART_ARC
(10,13),0.119482 # DEPENDENCYPART_ARC
(10,15),-0.240352 # DEPENDENCYPART_ARC
(10,16),-1.53232 # DEPENDENCYPART_ARC
(10,19),-2.12746 # DEPENDENCYPART_ARC
(11,10),-0.340666 # DEPENDENCYPART_ARC
(11,12),0.0328771 # DEPENDENCYPART_ARC
(12,1),-2.58544 # DEPENDENCYPART_ARC
(12,3),-1.23313 # DEPENDENCYPART_ARC
(12,7),-0.782061 # DEPENDENCYPART_ARC
(12,8),-0.253773 # DEPENDENCYPART_ARC
(12,11),2.98579 # DEPENDENCYPART_ARC
(12,13),0.663588 # DEPENDENCYPART_ARC
(12,15),-0.0516159 # DEPENDENCYPART_ARC
(12,16),-0.117285 # DEPENDENCYPART_ARC
(12,18),0.33796 # DEPENDENCYPART_ARC
(12,19),-0.237886 # DEPENDENCYPART_ARC
(12,20),0.0756504 # DEPENDENCYPART_ARC
(12,23),0.606281 # DEPENDENCYPART_ARC
(12,25),0.47654 # DEPENDENCYPART_ARC
(14,15),1.2404 # DEPENDENCYPART_ARC
(14,16),-0.328344 # DEPENDENCYPART_ARC
(14,17),-0.0458322 # DEPENDENCYPART_ARC
(15,1),-2.86945 # DEPENDENCYPART_ARC
(15,3),-0.897037 # DEPENDENCYPART_ARC
(15,7),-1.16797 # DEPENDENCYPART_ARC
(15,10),-0.767551 # DEPENDENCYPART_ARC
(15,11),-1.04452 # DEPENDENCYPART_ARC
(15,13),0.975013 # DEPENDENCYPART_ARC
(15,14),4.06451 # DEPENDENCYPART_ARC
(15,16),1.77083 # DEPENDENCYPART_ARC
(15,18),0.907043 # DEPENDENCYPART_ARC
(15,19),1.67954 # DEPENDENCYPART_ARC
(15,20),0.965871 # DEPENDENCYPART_ARC
(15,21),0.0237935 # DEPENDENCYPART_ARC
(15,23),0.386869 # DEPENDENCYPART_ARC
(15,25),0.20808 # DEPENDENCYPART_ARC
(15,26),0.950027 # DEPENDENCYPART_ARC
(16,13),0.0160964 # DEPENDENCYPART_ARC
(16,14),-0.643644 # DEPENDENCYPART_ARC
(16,15),-0.450079 # DEPENDENCYPART_ARC
(16,17),-0.334821 # DEPENDENCYPART_ARC
(16,18),4.38009 # DEPENDENCYPART_ARC
(16,19),-1.04497 # DEPENDENCYPART_ARC
(16,20),0.137091 # DEPENDENCYPART_ARC
(16,21),-1.48016 # DEPENDENCYPART_ARC
(17,18),2.03197 # DEPENDENCYPART_ARC
(17,19),-0.867374 # DEPENDENCYPART_ARC
(18,1),-3.84067 # DEPENDENCYPART_ARC
(18,7),-2.16585 # DEPENDENCYPART_ARC
(18,10),-1.74142 # DEPENDENCYPART_ARC
(18,13),-0.833442 # DEPENDENCYPART_ARC
(18,14),-0.0605576 # DEPENDENCYPART_ARC
(18,15),-2.11354 # DEPENDENCYPART_ARC
(18,16),0.298598 # DEPENDENCYPART_ARC
(18,17),1.94467 # DEPENDENCYPART_ARC
(18,19),0.994283 # DEPENDENCYPART_ARC
(18,20),0.420018 # DEPENDENCYPART_ARC
(18,21),-0.83042 # DEPENDENCYPART_ARC
(18,25),-0.567161 # DEPENDENCYPART_ARC
(19,17),-0.80063 # DEPENDENCYPART_ARC
(19,20),3.19655 # DEPENDENCYPART_ARC
(19,21),-0.225761 # DEPENDENCYPART_ARC
(19,22),0.304614 # DEPENDENCYPART_ARC
(19,23),0.0738885 # DEPENDENCYPART_ARC
(19,26),0.0588058 # DEPENDENCYPART_ARC
(20,1),-0.366521 # DEPENDENCYPART_ARC
(20,6),-2.2972 # DEPENDENCYPART_ARC
(20,10),-2.09096 # DEPENDENCYPART_ARC
(20,15),-1.66584 # DEPENDENCYPART_ARC
(20,16),-1.55193 # DEPENDENCYPART_ARC
(20,18),-1.21339 # DEPENDENCYPART_ARC
(20,19),-0.212226 # DEPENDENCYPART_ARC
(20,21),3.01253 # DEPENDENCYPART_ARC
(20,22),1.7869 # DEPENDENCYPART_ARC
(20,23),0.529263 # DEPENDENCYPART_ARC
(20,25),1.14143 # DEPENDENCYPART_ARC
(20,26),2.49544 # DEPENDENCYPART_ARC
(21,22),4.74985 # DEPENDENCYPART_ARC
(21,23),0.875458 # DEPENDENCYPART_ARC
(21,25),-0.270361 # DEPENDENCYPART_ARC
(22,21),0.277275 # DEPENDENCYPART_ARC
(22,23),1.10758 # DEPENDENCYPART_ARC
(22,24),-0.848835 # DEPENDENCYPART_ARC
(22,25),0.885792 # DEPENDENCYPART_ARC
(22,26),-0.0291388 # DEPENDENCYPART_ARC
(25,16),-1.51509 # DEPENDENCYPART_ARC
(25,21),-0.284744 # DEPENDENCYPART_ARC
(25,23),0.633225 # DEPENDENCYPART_ARC
(25,24),3.91867 # DEPENDENCYPART_ARC
(25,26),0.490647 # DEPENDENCYPART_ARC
